firms,age,agr,cashdebt,chatoia,chcsho,chempia,chpmia,depr,egr,grltnoa,herf,hire,invest,lgr,mve_ia,pchdepr,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
LNYJ_71-L^A07,7.0,0.3005589496945274,0.4591434548056808,1.3552033239414036,0.1780663564207551,0.9249147401159096,0.3438616223976759,0.1508187943420641,0.0604611116425907,0.017018679865749,1.0863623030387674e-08,0.1100362756952842,0.4621604055634992,0.5864229170226095,0.3120986147220452,-0.0763344919952554,-0.2346907736963051,0.097152703098618,0.275920364009136,0.8584982892833164,0.0321428571428572,0.0,0.0,0.0108303249097472,0.0108303249097472,0.0852713178294573,0.1244979919678712,0.0810810810810811,0.0370370370370369,0.018181818181818,0.0144927536231884,0.0071942446043165,0.0646387832699619,0.0687022900763356,0.0810810810810811,0.1155378486055778,0.1428571428571428,0.1764705882352941,0.1666666666666667,0.1475409836065573,0.2727272727272725,0.320754716981132,0.4070351758793968,0.4973262032085559,0.5053763440860213,0.7177914110429449,0.8181818181818181,1.08955223880597,1.121212121212121,0.971830985915493,0.917808219178082,0.8791946308724832,1.3140495867768591,1.222222222222222,1.2764227642276422,1.3333333333333337,1.3333333333333337,1.1538461538461535,1.074074074074074,1.1538461538461535,1.3140495867768591,1.2764227642276422,1.3529411764705883,1.2399999999999998,1.3529411764705883,1.568807339449541,2.294117647058824,3.0,2.943661971830986
LOIF_35-L^F18,6.0,0.261033634126333,0.3944673779016781,1.3868469495591322,0.0003000072411571,-0.1284378516517605,0.254365794452941,0.1093433612959213,0.2095627617100009,-0.0270904385264736,3.386590720751306e-09,-0.0152801358234295,0.0936833470057424,0.3269710578842316,0.1188380034694922,0.0449056915874815,-0.1295253703128547,-0.1451782604541218,0.1209814353633687,0.6324103026905742,0.1067415730337077,0.0171428571428571,0.0,0.0532544378698225,0.0289017341040462,0.0532544378698225,0.0920245398773007,0.0787878787878788,0.0113636363636364,0.2191780821917808,0.1788079470198675,0.0595238095238095,0.3185185185185184,0.5344827586206897,0.6036036036036034,1.5797101449275366,1.6176470588235294,1.6176470588235294,1.6176470588235294,1.78125,2.1785714285714284,2.0689655172413794,3.1395348837209305,3.238095238095238,3.564102564102564,3.45,3.9444444444444446,3.9444444444444446,3.9444444444444446,2.2962962962962963,1.870967741935484,1.8253968253968256,1.870967741935484,1.282051282051282,1.0459770114942528,0.8736842105263158,0.797979797979798,0.78,0.797979797979798,0.8541666666666667,1.022727272727273,0.934782608695652,0.8163265306122449,0.5892857142857142,0.5084745762711866,0.459016393442623,0.5344827586206897,0.56140350877193,0.5344827586206897
LOIR_08-L,6.0,0.2830680475429205,0.1120657539349911,1.352995503002194,0.0014162628906742,0.2391821419874475,0.1237995254674893,0.0518713890982165,0.3624629157341382,0.0661105445024581,3.891423395270982e-08,0.0284552845528455,0.1841071800931396,0.243594096904793,0.1347728555548706,-0.2709735947907185,-0.0340267691400417,0.0158145839363287,0.2549582219563713,0.7822603238072452,-0.0212765957446808,0.0444444444444442,-0.155688622754491,-0.2252747252747253,-0.3121951219512194,-0.25,-0.2252747252747253,-0.2914572864321608,-0.3188405797101449,-0.3472222222222223,-0.3349056603773586,-0.2985074626865671,-0.2731958762886598,-0.1849710982658959,-0.1656804733727811,-0.175438596491228,-0.1242236024844721,0.0071428571428571,0.0,0.0444444444444442,0.2589285714285712,0.4842105263157894,0.6395348837209303,0.6785714285714286,0.7624999999999997,0.9054054054054052,1.0142857142857142,1.0735294117647056,1.35,1.35,0.9315068493150684,0.6987951807228916,1.0142857142857142,1.203125,1.203125,1.7115384615384612,2.615384615384615,1.5636363636363635,1.5636363636363635,1.5636363636363635,1.7647058823529411,2.2790697674418605,2.204545454545454,2.133333333333333,1.8775510204081631,2.9166666666666665,2.9166666666666665,3.1470588235294112,2.710526315789473
LOKA_03-L^I99,6.0,0.0962656295738719,0.2748737990555284,1.1278546898986608,0.0034400319441366,13.88950265314163,-0.0205289898384796,0.0941084753313286,0.1416939477881306,0.0039897861474625,2.710625431503937e-09,1.6524216524216526,0.1405511646384811,0.047,0.1279859217398816,-0.0758412314585351,-0.2478155999949523,-0.0962130954366601,0.2010438554870196,0.6127748056810429,0.0128205128205129,0.0218340611353711,0.0129870129870128,-0.0126582278481013,-0.1068702290076336,-0.0330578512396694,0.0086206896551723,-0.025,-0.0370370370370372,0.04,-0.0126582278481013,-0.0209205020920503,-0.0209205020920503,0.2124352331606216,0.0636363636363634,0.0636363636363634,0.0934579439252334,0.2251308900523561,0.2446808510638298,0.3371428571428569,0.352601156069364,0.4181818181818182,0.368421052631579,0.3846153846153846,0.4904458598726113,0.6595744680851063,0.7205882352941175,0.857142857142857,0.8719999999999999,0.7727272727272725,0.6714285714285715,0.5394736842105261,0.7862595419847327,1.34,1.316831683168317,1.25,1.0347826086956524,0.9830508474576272,1.108108108108108,2.078947368421052,2.25,2.2054794520547945,2.12,2.12,2.078947368421052,2.391304347826087,2.391304347826087,2.441176470588235,2.25
LOKI_30-L,23.0,0.0380853441009859,0.1831858751997505,1.2151905637645442,0.0111531845748296,0.4040282308896775,-0.0620376688905705,0.0794797687861271,0.0681354068488848,-0.006347557632938,1.2677416528573151e-08,0.0480668756530824,0.0334006311621616,0.0081399444292254,0.0967804277787177,0.2037655441892304,0.1441130569592067,0.0376184171818261,0.1444122566001671,0.8556738295144086,-0.0614035087719296,-0.0420168067226891,-0.0952380952380953,-0.05,-0.0952380952380953,-0.1230769230769232,-0.1230769230769232,-0.1363636363636364,-0.1555555555555556,-0.1555555555555556,-0.2027972027972028,-0.2297297297297298,-0.1798561151079136,-0.1093750000000001,-0.0952380952380953,-0.088,-0.0806451612903226,-0.0338983050847457,-0.0338983050847457,0.096153846153846,0.1752577319587627,0.1632653061224489,0.225806451612903,0.2391304347826084,0.2391304347826084,0.5616438356164382,0.7538461538461536,0.6285714285714286,0.5616438356164382,0.4074074074074072,0.1752577319587627,0.1067961165048543,0.2127659574468083,0.357142857142857,0.1752577319587627,0.1999999999999999,0.1287128712871286,0.096153846153846,0.1067961165048543,0.1067961165048543,0.1399999999999999,0.0857142857142856,0.2391304347826084,0.1999999999999999,0.1632653061224489,0.2391304347826084,0.2391304347826084,0.6521739130434783,0.7538461538461536
LOMY_K2-L^D20,24.0,-0.1579578139980824,0.0540142852763557,1.521901518157338,3.2750644778319075e-06,-0.598537177958858,-0.1451014629320563,0.0810564663023679,-0.1113524185587364,0.0180438082845369,1.3806940309407307e-09,-0.0712074303405573,-0.0056727388942154,-0.1445310278141175,0.0163932277496643,-0.2097558995590868,-0.2582146988770469,-0.1170886807060171,-0.2175957433644743,0.4154522311575089,0.0,-0.1714285714285714,-0.2162162162162162,-0.275,-0.3255813953488372,-0.2676767676767677,-0.462962962962963,-0.5,-0.5735294117647058,-0.5579268292682926,-0.5034246575342466,-0.4528301886792453,-0.3958333333333333,-0.3907563025210083,-0.3829787234042553,-0.2857142857142857,-0.2032967032967033,-0.2032967032967033,-0.2857142857142857,-0.275,-0.0202702702702702,0.0,0.0902255639097744,-0.0460526315789474,0.8589743589743588,0.8124999999999998,1.6363636363636362,1.1323529411764706,2.81578947368421,1.4166666666666663,1.2307692307692308,0.5263157894736843,1.2307692307692308,1.4166666666666663,0.2608695652173913,-0.5857142857142857,-0.646341463414634,-0.6547619047619048,-0.6666666666666666,-0.6627906976744187,-0.6547619047619048,-0.6547619047619048,-0.6233766233766234,-0.6419753086419753,-0.6472019464720196,-0.6514423076923077,-0.5784883720930233,-0.2328042328042328,-0.2525773195876288
LOXK_14-L^E14,25.0,0.1171796895553801,0.4274794198353586,0.7668401611759097,0.2787045118595782,-0.0651592546278096,0.001866066874519,0.5284191829484902,0.2073947667804323,-0.0547754554265973,7.501751955621275e-10,-0.0077519379844961,-0.0062615101289134,0.0385575866546799,0.1855559350828852,0.0459171427199846,0.1874522292993631,0.1874522292993631,0.1874522292993631,1.09339410064982,-0.0315315315315316,-0.0431034482758618,-0.0672268907563024,-0.0220264317180616,-0.0347826086956519,-0.0220264317180616,-0.0305676855895196,-0.0347826086956519,0.0230414746543781,0.0373831775700934,0.0045248868778282,-0.0901639344262293,0.1935483870967742,0.3214285714285716,0.4509803921568629,0.3293413173652697,0.1871657754010696,0.4899328859060403,0.4605263157894739,0.4800000000000002,0.5310344827586209,0.5744680851063833,0.6691729323308271,0.7076923076923078,0.6818181818181819,1.1553398058252426,1.2653061224489797,1.1142857142857143,1.1142857142857143,1.018181818181818,0.8196721311475412,0.7209302325581397,0.6946564885496185,0.8048780487804881,0.6818181818181819,0.6691729323308271,0.7076923076923078,0.7343750000000002,0.7076923076923078,0.7760000000000002,0.930434782608696,1.336842105263158,1.2200000000000002,1.1346153846153846,1.018181818181818,1.336842105263158,1.5517241379310347,2.8275862068965525,2.415384615384616
LPCU_96-L^F07,6.0,0.0643702028254661,0.2000509405814503,2.1493360360476084,-0.0113624752383367,-0.4127203410346524,-0.0452515158594322,0.1440460163994615,0.0034823395636414,-0.0257930093041635,1.1232679747432044e-08,-0.049100968188105,0.1187289109718566,0.1307954721662274,0.036877701909592,0.2668783964255273,-0.1205190961335848,0.1520097092029829,0.1520097092029829,0.1720056807420821,0.0546875,-0.0153846153846154,-0.044776119402985,-0.0857142857142856,-0.1466666666666666,-0.1351351351351351,-0.1633986928104575,-0.214723926380368,-0.2,-0.2558139534883721,-0.36,-0.2242424242424241,-0.189873417721519,-0.2,-0.2808988764044944,-0.238095238095238,-0.189873417721519,-0.189873417721519,-0.3333333333333332,-0.2558139534883721,-0.2967032967032967,-0.3756097560975608,-0.4796747967479674,-0.3435897435897436,-0.2242424242424241,-0.2426035502958579,-0.2470588235294117,-0.2470588235294117,-0.3081081081081082,-0.3663366336633663,-0.3962264150943396,-0.3846153846153846,-0.3227513227513227,-0.2426035502958579,-0.189873417721519,-0.2,-0.037593984962406,-0.044776119402985,-0.0518518518518519,-0.0857142857142856,-0.044776119402985,0.0406504065040651,0.024,0.0158730158730158,-0.0153846153846154,0.2075471698113207,0.2075471698113207,0.3763440860215052,0.3913043478260869
LPDL_21-L,6.0,-0.0579955869001882,0.3480147128171272,0.0591306576305941,4.86331569664903e-05,0.4423970445782853,-0.0215458902011649,0.3862745098039216,-0.0806292823775826,-0.0030588235294117,3.4223193360904245e-10,0.0526315789473683,0.0003727686489541,0.174825652946807,0.3805371815753204,-0.1988380537400145,0.0739445628997868,0.0739445628997868,0.0739445628997868,0.5638880676624922,-0.0068493150684931,-0.0068027210884353,0.0068965517241379,-0.0135135135135134,-0.070063694267516,-0.0135135135135134,0.0656934306569341,0.0,-0.0135135135135134,0.020979020979021,-0.0394736842105263,-0.1097560975609756,-0.1151515151515151,0.0354609929078013,0.0656934306569341,0.0895522388059699,0.0977443609022554,0.1679999999999999,0.2166666666666667,0.2586206896551724,0.2586206896551724,0.2695652173913043,0.2586206896551724,0.3035714285714284,0.3272727272727271,0.3904761904761904,0.4313725490196078,0.489795918367347,0.6404494382022472,0.5869565217391304,0.536842105263158,0.4455445544554455,0.4599999999999999,0.659090909090909,0.536842105263158,0.5531914893617023,0.6781609195402298,0.6043956043956042,0.536842105263158,0.5051546391752577,0.5531914893617023,0.5869565217391304,0.6043956043956042,0.6976744186046511,0.7590361445783134,0.8024691358024689,0.8961038961038961,1.212121212121212,1.17910447761194
LPGR_01-L^H21,6.0,-0.057384796404529,0.2216707516339869,0.4010628787752813,0.0001023755312106,1.1397347589135516,3.4467457755002666,0.6,0.2383119569714521,-0.0070895929938139,2.671452525740161e-09,0.1355932203389832,0.0212564859286692,-0.2942846691170066,0.1166521941804236,-0.3958333333333333,0.7920867676796892,0.9730245078795356,0.9730245078795356,0.3849962790052139,-0.1041666666666666,-0.04,-0.0769230769230769,-0.0769230769230769,-0.0588235294117647,-0.04,0.0666666666666666,0.0212765957446807,-0.0588235294117647,0.0,-0.142857142857143,-0.1724137931034483,0.0,0.0434782608695651,0.0212765957446807,0.0434782608695651,0.1707317073170731,0.2972972972972973,0.5,0.4545454545454543,0.5483870967741935,0.5483870967741935,1.0869565217391304,1.2857142857142856,2.0,1.8235294117647056,1.8235294117647056,2.0,2.428571428571428,1.8235294117647056,1.526315789473684,1.1818181818181817,1.0869565217391304,2.0,1.6666666666666663,2.2,1.8235294117647056,1.6666666666666663,1.526315789473684,1.0,1.2857142857142856,1.6666666666666663,1.8235294117647056,1.1818181818181817,1.0,0.846153846153846,1.1818181818181817,1.6666666666666663,1.8235294117647056
