firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FSMA_41-L^C04,0.0610148256420964,-0.0610148256420964,4.0,0.3596945060359695,-2.008516831206256,0.8838800210489387,0.7737306843267108,6.044950930381558e-05,0.1720620842572062,-0.5218304170461884,0.3766590199675953,0.9632685914836436,-0.2520766363528129,-0.0630871944221947,-0.556783536585366,0.653306437467111,0.0518449322746378,0.006006006006006,-0.0539772727272727,-0.0566572237960338,-0.0566572237960338,-0.0724233983286907,0.0605095541401272,-0.0029940119760478,0.0707395498392282,0.1935483870967742,0.15625,0.2109090909090909,0.1404109589041096,0.0882352941176469,0.0707395498392282,0.15625,0.125,0.1174496644295302,0.1850533807829182,0.2661596958174905,0.2661596958174905,0.3875000000000002,0.3647540983606558,0.4110169491525424,0.4230769230769231,0.4291845493562232,0.3817427385892116,0.3760330578512396,0.4230769230769231,0.6485148514851484,0.6903553299492386,0.6323529411764706,0.5933014354066988,0.6243902439024391,0.6243902439024391,0.563380281690141,0.5205479452054795,0.3703703703703702,0.4170212765957446,0.6485148514851484,0.6989795918367347,0.7526315789473685,0.839779005524862,0.839779005524862,0.7526315789473685,0.9588235294117649,1.1075949367088609,0.9588235294117649,1.0683229813664594,1.0060240963855422
FSMD_62-L^K00,0.0232620560078733,-0.0232620560078733,3.0,0.1003476463403175,5.2419845977725625,1.18347390294585,0.1714572192513369,1.4776811400646685e-05,-0.016536690782674,2.936903581193849,0.0429689012769721,0.1175736904346392,-0.0536245020452804,0.0275086347074715,-2.626262626262628,0.9134580124679136,0.0540503989541539,0.0144927536231884,-0.2500000000000001,-0.4390243902439025,-0.5766871165644172,-0.5792682926829269,-0.5140845070422535,-0.4850746268656717,-0.5632911392405064,-0.6057142857142858,-0.5868263473053892,-0.6600985221674877,-0.6905829596412556,-0.661764705882353,-0.6682692307692308,-0.6515151515151516,-0.6863636363636364,-0.6745283018867925,-0.7250996015936255,-0.7283464566929134,-0.677570093457944,-0.6682692307692308,-0.6634146341463414,-0.6329787234042553,-0.6123595505617978,-0.655,-0.7025862068965517,-0.677570093457944,-0.6567164179104478,-0.6461538461538462,-0.6714285714285715,-0.6600985221674877,-0.7088607594936709,-0.7051282051282051,-0.649746192893401,-0.6424870466321244,-0.6946902654867256,-0.6919642857142858,-0.6973684210526316,-0.6891891891891893,-0.7148760330578512,-0.7012987012987013,-0.6805555555555556,-0.6584158415841584,-0.655,-0.5843373493975903,-0.603448275862069,-0.6079545454545454,-0.6349206349206349,-0.5843373493975903
FSME_32-L^G03,0.0682887466947646,-0.0682887466947646,6.0,0.0606366678347385,-1.5016268230561267,1.3143329853656616,0.1075839239485634,1.3312907877564484e-07,0.097836318787404,-0.767987526534614,0.0208948037167079,-0.0533950380945687,0.0310026910071177,-0.1064835569282244,-0.8264729620661823,0.7497193279628136,0.0505846153846154,-0.0716332378223495,0.107936507936508,0.1870748299319728,0.1870748299319728,0.2288732394366197,0.3423076923076924,0.2878228782287824,0.2464285714285716,0.2332155477031803,0.3371647509578546,0.2973977695167287,0.3269961977186313,0.3904382470119523,0.3849206349206349,0.5173913043478262,0.4016064257028111,0.4602510460251046,0.4421487603305787,0.7107843137254903,0.9497206703910616,0.8864864864864865,0.7806122448979593,0.7024390243902441,1.005747126436782,1.0773809523809526,1.0529411764705885,0.9497206703910616,1.0529411764705885,1.005747126436782,0.9606741573033708,0.9829545454545456,0.8763440860215055,0.8763440860215055,0.9497206703910616,1.1949685534591197,0.8967391304347827,0.836842105263158,0.9717514124293788,1.0529411764705885,1.0773809523809526,1.0773809523809526,0.8465608465608467,1.0773809523809526,1.1543209876543208,1.585185185185185,1.208860759493671,1.1543209876543208,1.0290697674418603,1.2662337662337664
FSMG_12-L^D99,0.0476948181102298,-0.0476948181102298,5.0,-0.0464987193821316,-0.2002249677629252,1.3315348706279764,-0.0202724724594224,4.369272775969599e-08,-0.0099515506181062,6.631283874041888,0.243478647312426,0.2939285508121753,-0.094623659886793,0.1503516161510435,-1.0513600572655688,0.9006779422458889,0.0391062365661701,0.1134020618556701,-0.0673076923076924,-0.1100917431192661,-0.2301587301587302,-0.1983471074380165,0.1022727272727272,0.0543478260869565,-0.0202020202020202,-0.010204081632653,-0.0202020202020202,-0.1261261261261262,-0.1848739495798319,-0.1261261261261262,0.0319148936170212,0.0659340659340659,-0.03,0.0898876404494382,0.0210526315789474,-0.0761904761904762,0.2597402597402596,0.1411764705882352,0.1547619047619048,0.1829268292682926,0.127906976744186,0.0777777777777777,-0.1709401709401709,-0.2113821138211382,-0.1339285714285715,-0.0202020202020202,-0.1339285714285715,-0.2421875,-0.3445945945945946,-0.4012345679012346,-0.389937106918239,-0.3489932885906041,-0.436046511627907,-0.467032967032967,-0.5125628140703518,-0.4393063583815029,-0.4260355029585798,-0.4049079754601227,-0.4294117647058824,-0.39375,-0.3701298701298702,-0.3821656050955414,-0.3782051282051282,-0.4121212121212121,-0.3660130718954248,-0.3356164383561644
FSMQ_X4-L^F21,0.057170594897794,0.057170594897794,3.0,0.0537217545414266,3.89205766389542,1.4861554845580405,0.2601880877742946,4.237360844072512e-06,0.0575985821887461,-2.841808594997067,-0.0909456082849885,-0.0529464143116484,-0.0189347635852293,-0.0536448782624386,2.2746781115879826,0.8996272630457934,0.0186300032541489,0.0901639344262295,-0.1159420289855072,-0.1468531468531468,-0.2650602409638554,-0.1866666666666666,0.0427350427350428,-0.1094890510948906,-0.024,0.0338983050847458,-0.024,-0.1700680272108843,-0.2375,-0.2375,-0.1159420289855072,-0.0827067669172932,-0.0393700787401575,-0.1527777777777778,-0.2026143790849673,-0.1756756756756756,0.0990990990990989,0.0517241379310344,-0.024,0.1401869158878503,-0.008130081300813,-0.1347517730496453,-0.2823529411764706,-0.2947976878612717,-0.2738095238095238,-0.2026143790849673,-0.1643835616438356,-0.2077922077922078,-0.2327044025157233,-0.3440860215053763,-0.2422360248447205,-0.2179487179487179,-0.4077669902912622,-0.4625550660792952,-0.4190476190476191,-0.3775510204081632,-0.3838383838383838,-0.3678756476683937,-0.3440860215053763,-0.3807106598984772,-0.3405405405405406,-0.2327044025157233,-0.2077922077922078,-0.3369565217391305,-0.2738095238095238,-0.2129032258064516
FSMU_93-L^L09,0.1510947095396116,0.1510947095396116,6.0,-0.0638085742771684,38.65599182147465,0.8297048412423814,0.6835792251409379,4.3805516860640273e-08,0.0604944425981315,2.2091351979594545,-0.1987493541884787,-0.4403781088702994,-0.5206393059826717,-0.1453485619195791,1.0462198745460545,0.2628483219333031,-0.3103687372361229,0.0312499999999997,-0.1160220994475137,-0.2233009708737864,-0.2792792792792793,-0.2592592592592593,0.7204301075268817,0.1111111111111111,0.4159292035398232,1.580645161290323,0.4159292035398232,0.3008130081300815,-0.1351351351351351,-0.4444444444444444,-0.6208530805687204,-0.6617336152219873,-0.600997506234414,-0.7122302158273381,-0.7677793904208998,-0.7746478873239436,-0.6825396825396826,-0.688715953307393,-0.6617336152219873,-0.797979797979798,-0.8148148148148149,-0.8253275109170306,-0.8682042833607908,-0.867109634551495,-0.8658843252305113,-0.8362333674513818,-0.8647506339814032,-0.8765432098765432,-0.8856325947105075,-0.8755832037325039,-0.8693877551020408,-0.8545454545454545,-0.857397504456328,-0.825136612021858,-0.8233995584988962,-0.8192090395480226,-0.815028901734104,-0.8345398138572906,-0.8055893074119076,-0.800498753117207,-0.800498753117207,-0.800498753117207,-0.800498753117207,-0.8192090395480226,-0.8310454065469906,-0.8233995584988962
FSNB_45-L^G02,0.0084470500688836,0.0084470500688836,3.0,-0.1151819560272933,-0.4599792650797063,1.0679456761842427,-0.069832109129066,1.1776501531060045e-07,-0.0530136467020469,1.6369223691393733,-0.0235877903051562,-0.0073163085008566,0.0142817397806673,-0.1055110135359034,15.555555555555436,0.5508058578090484,-0.1230827399332031,-0.0272727272727273,-0.043478260869565,-0.0983606557377048,-0.0265486725663715,0.1111111111111111,0.71875,0.9642857142857142,1.0,1.0370370370370372,0.8333333333333335,0.71875,0.8032786885245904,0.8965517241379313,1.0754716981132075,1.291666666666667,1.291666666666667,1.0,0.6923076923076923,0.6923076923076923,1.6190476190476195,1.0370370370370372,1.2448979591836735,0.8032786885245904,0.8965517241379313,0.25,0.0091743119266054,-0.0350877192982455,0.0784313725490197,0.0280373831775702,-0.0677966101694914,-0.0598290598290597,-0.043478260869565,0.0091743119266054,0.0091743119266054,0.0784313725490197,-0.0833333333333332,-0.1851851851851851,-0.2142857142857142,-0.2903225806451612,-0.3167701863354036,-0.1851851851851851,-0.1851851851851851,-0.1129032258064515,-0.1199999999999998,0.0185185185185186,-0.0350877192982455,-0.0909090909090908,-0.0677966101694914,-0.0983606557377048
FSNE_62-L,0.0236294896030245,-0.0236294896030245,3.0,0.0971258671952428,5.086902856314972,1.232411067193676,0.015006821282401,3.220764658902452e-05,0.0567888999008919,13.032266090277703,-0.1240376124800269,-0.0587255830145662,-0.1608951011787774,-0.0432589913602571,-1.7241379310344829,0.8197628458498024,-0.0289732770745429,0.04739336492891,-0.0622222222222222,-0.2067669172932331,-0.2673611111111111,-0.224264705882353,-0.1853281853281853,-0.182170542635659,-0.2437275985663083,-0.1526104417670684,-0.1526104417670684,-0.2724137931034482,-0.3936781609195402,-0.4297297297297298,-0.4297297297297298,-0.3919308357348704,-0.418732782369146,-0.3866279069767442,-0.4250681198910082,-0.413888888888889,-0.2622377622377623,-0.224264705882353,-0.2410071942446042,-0.172549019607843,-0.2966666666666667,-0.3385579937304075,-0.3971428571428571,-0.4005681818181819,-0.4203296703296704,-0.3606060606060606,-0.413888888888889,-0.3547400611620795,-0.4373333333333333,-0.458974358974359,-0.4266304347826087,-0.4358288770053476,-0.4940047961630696,-0.5321507760532151,-0.5070093457943926,-0.4878640776699029,-0.4841075794621027,-0.4802955665024631,-0.4866180048661801,-0.4266304347826087,-0.4056338028169014,-0.3385579937304075,-0.334384858044164,-0.3237179487179488,-0.3215434083601286,-0.2214022140221402
FSNF_93-L^K04,0.0145596367525033,-0.0145596367525033,3.0,-0.1198916233912846,8.497398570788544,1.396138557637706,-0.0609941844364442,3.88583862521645e-08,-0.0079454676429162,0.4986595963038783,-0.0414297629329964,-0.1130224589324487,0.075578552511953,-0.0517375005931385,-0.9118911174785111,0.5799261783077796,-0.0517375005931385,-0.0428571428571427,-0.1515151515151515,-0.2708333333333333,-0.3137254901960785,-0.2631578947368421,-0.282051282051282,-0.3170731707317072,-0.3170731707317072,-0.3170731707317072,-0.3777777777777777,-0.3777777777777777,-0.4285714285714286,-0.4117647058823529,-0.3693693693693695,-0.3607305936073059,-0.435483870967742,-0.4833948339483395,-0.4909090909090909,-0.3170731707317072,-0.3333333333333333,-0.3721973094170404,-0.3913043478260869,-0.3913043478260869,-0.540983606557377,-0.540983606557377,-0.5454545454545454,-0.5454545454545454,-0.5254237288135594,-0.5172413793103449,-0.5138888888888888,-0.542483660130719,-0.5757575757575757,-0.5942028985507246,-0.5942028985507246,-0.6056338028169015,-0.6781609195402298,-0.6666666666666667,-0.72,-0.7083333333333333,-0.7083333333333333,-0.6818181818181819,-0.6705882352941177,-0.654320987654321,-0.6266666666666667,-0.6111111111111112,-0.5942028985507246,-0.6266666666666667,-0.654320987654321,-0.6766743648960739
FSNN_62-L^F05,0.0549024486822287,0.0549024486822287,3.0,0.0780874770667289,1.991566876331191,1.1008507999034152,0.1215661756086123,1.3028119196117854e-06,0.0939729623571175,-0.455366235551391,-0.0491344136421016,-0.0282719860070382,0.2705574662079579,0.0365264578443883,0.772574237425089,0.8191872659353355,0.0917181907954738,0.0863636363636364,-0.0717299578059071,-0.1760299625468163,-0.1970802919708029,-0.2334494773519163,-0.0833333333333332,-0.1338582677165354,-0.1235059760956174,0.0138248847926267,-0.0222222222222221,-0.0476190476190475,-0.1164658634538152,-0.0946502057613168,-0.0222222222222221,0.0185185185185186,0.0138248847926267,-0.0265486725663715,-0.0350877192982455,-0.0265486725663715,0.2021857923497267,0.2222222222222223,0.2222222222222223,0.2865497076023393,0.2716763005780347,0.2021857923497267,0.1,0.1224489795918368,0.1640211640211641,0.3924050632911393,0.25,0.2021857923497267,0.1827956989247312,0.2222222222222223,0.2865497076023393,0.3414634146341464,0.2222222222222223,0.170212765957447,0.1458333333333334,0.2359550561797754,0.3017751479289943,0.2865497076023393,0.3333333333333335,0.375,0.4012738853503186,0.6793893129770994,0.5714285714285716,0.476510067114094,0.4965986394557824,0.5492957746478875
FSNP_09-L,0.0770647562795573,0.0770647562795573,3.0,0.0498925463577324,1.5717912515118082,1.7322408118486012,0.1256406338976931,1.3147028486649228e-07,0.0947647176259203,5.669395752641436,0.0515870003974047,0.0435350738699988,-0.1052148672767718,-0.0700659848174399,0.6351574673025165,1.20503291278113,-0.0920808341943956,0.1343283582089551,-0.0289855072463767,-0.1410256410256409,-0.2023809523809523,-0.1927710843373493,-0.056338028169014,-0.0694444444444443,-0.0428571428571427,0.046875,0.0151515151515151,0.0,-0.0289855072463767,-0.0428571428571427,-0.0428571428571427,0.0,0.0634920634920634,0.0151515151515151,0.0307692307692308,0.0151515151515151,0.2407407407407407,0.1964285714285714,0.1964285714285714,0.2407407407407407,0.2181818181818182,0.2181818181818182,0.046875,0.0151515151515151,0.046875,0.1551724137931036,0.1754385964912281,0.2181818181818182,0.1551724137931036,0.1551724137931036,0.2407407407407407,0.2407407407407407,0.0634920634920634,-0.0428571428571427,0.0,0.0151515151515151,0.1166666666666667,0.1355932203389831,0.1551724137931036,0.098360655737705,0.1355932203389831,0.4255319148936172,0.2641509433962263,0.2884615384615385,0.3673469387755104,0.5227272727272727
