firms,age,agr,cashdebt,che,chpmia,egr,herf,invest,lgr,mve_ia,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
PNLW_09-L^H12,7.0,0.1161862172539689,-0.0999261514196637,-10.9935,0.9391848791101822,-0.1234153052170586,1.1339801203306342e-08,0.0002137059940735,0.4510102623324078,0.085053923045439,0.1815251078791979,0.1815251078791979,-0.0289855072463767,-0.1375,-0.0416666666666667,-0.1585365853658537,-0.1785714285714286,-0.31,-0.3300970873786408,-0.28125,-0.2500000000000001,-0.28125,-0.2959183673469387,-0.2333333333333334,-0.2886597938144331,-0.3235294117647059,-0.3490566037735849,-0.3428571428571429,-0.3893805309734512,-0.3839285714285715,-0.4152542372881356,-0.4,-0.4152542372881356,-0.4344262295081967,-0.4651162790697675,-0.4692307692307693,-0.5,-0.4651162790697675,-0.4850746268656717,-0.5,-0.5106382978723405,-0.54,-0.54,-0.5490196078431373,-0.5460526315789473,-0.5071428571428571,-0.5430463576158941,-0.5337837837837838,-0.5140845070422535,-0.5,-0.5460526315789473,-0.551948051948052,-0.5576923076923077,-0.591715976331361,-0.54,-0.5576923076923077,-0.5337837837837838,-0.5576923076923077,-0.5740740740740742,-0.5208333333333334,-0.5460526315789473
PNLY_72-L^H21,1.0,0.0691371127809892,0.1997306639368388,-2.5649,-0.3081006955316693,0.3674324966257739,2.877269504766621e-09,0.119847860203621,-0.0159075933175704,0.0405525096283371,0.3712606213102386,0.4844932228463693,-0.1460674157303371,-0.021978021978022,-0.0326086956521739,-0.1274509803921568,0.0595238095238095,0.0853658536585366,0.0987654320987654,0.2027027027027026,0.1558441558441559,0.390625,0.3088235294117647,1.119047619047619,1.225,1.78125,2.1785714285714284,2.708333333333333,2.708333333333333,2.708333333333333,3.045454545454546,2.708333333333333,4.5625,3.684210526315789,3.045454545454546,2.56,2.56,1.6969696969696968,2.1785714285714284,3.9444444444444446,5.357142857142857,3.9444444444444446,3.45,3.9444444444444446,1.78125,1.6176470588235294,1.3421052631578947,0.7115384615384615,0.5084745762711866,0.3692307692307692,0.3088235294117647,0.3088235294117647,0.3088235294117647,0.1125,0.2714285714285716,0.072289156626506,0.1125,0.0113636363636364,0.3088235294117647,0.7115384615384615,0.4833333333333334
PNNF_S8-L^I13,9.0,0.0785671878092223,0.3335228888257037,0.056,0.045148403123823,0.0900523560209424,1.4322909182877282e-11,0.0286958242628141,0.0561239403683134,0.0046182582558457,-0.0807820218600489,0.0846435100548446,0.0,-0.1666666666666666,-0.0909090909090908,-0.1666666666666666,-0.0909090909090908,-0.0909090909090908,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.0909090909090908,0.0,0.0,0.0,-0.0909090909090908,-0.0909090909090908,-0.0909090909090908,-0.3333333333333332,-0.375,-0.4736842105263158,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4736842105263158,-0.5,-0.5,-0.4444444444444444,-0.4736842105263158,-0.375,-0.4444444444444444,-0.5,-0.5,-0.3333333333333332,-0.4736842105263158,-0.5238095238095237,-0.375,-0.3333333333333332,-0.375,-0.375,-0.5,-0.5454545454545454
PNNQ_55-L,10.0,-0.1713956072130588,-0.5216008976996447,-0.171,0.6088132644363363,-0.4356500767375575,3.3398871597386855e-10,0.0085035467054097,0.2006379257125219,0.0006020870089278,-0.0538451776548192,0.0113311447633166,-0.2608695652173912,0.2105263157894736,0.3529411764705881,0.5333333333333334,0.4375,-0.1153846153846154,-0.425,-0.5106382978723404,-0.6101694915254237,-0.7261904761904762,-0.7125,-0.7012987012987013,-0.787037037037037,-0.7653061224489796,-0.8,-0.8357142857142856,-0.8296296296296296,-0.8114754098360656,-0.8174603174603174,-0.8308823529411765,-0.8308823529411765,-0.8174603174603174,-0.8357142857142856,-0.8466666666666667,-0.8506493506493507,-0.8685714285714285,-0.8736263736263736,-0.8535031847133758,-0.7722772277227723,-0.8,-0.7653061224489796,-0.7472527472527473,-0.8067226890756303,-0.7982456140350878,-0.780952380952381,-0.8357142857142856,-0.8685714285714285,-0.8413793103448276,-0.8783068783068783,-0.8838383838383839,-0.9178571428571428,-0.9300911854103344,-0.9178571428571428,-0.9157509157509156,-0.926517571884984,-0.9380053908355797,-0.9416243654822336,-0.9342857142857144,-0.9368131868131868
PNOP_41-L^I13,9.0,0.5533672641439847,0.0210811624755307,0.048,-0.0288064734228404,1.081406707912732,3.833214439920255e-11,0.0136092055764549,0.4859210581042299,0.0044002064152226,0.5069088650830617,0.5069088650830617,-0.0555555555555554,0.0,0.0588235294117645,0.0588235294117645,0.125,0.2857142857142856,0.125,0.3846153846153846,0.5,0.2857142857142856,0.125,0.125,0.125,0.125,0.0588235294117645,0.0588235294117645,0.125,0.125,0.125,0.2857142857142856,0.2857142857142856,0.1999999999999999,0.2857142857142856,1.25,1.0,2.0,2.0,2.0,2.0,2.6,2.6,2.0,2.0,2.0,2.0,2.6,3.5,2.6,2.6,2.6,2.0,1.5714285714285712,1.5714285714285712,1.5714285714285712,1.5714285714285712,1.25,1.0,0.2857142857142856,0.2857142857142856
PNOQ_H2-L,8.0,0.0412479414930172,0.1927559359736931,0.6015,-0.464202432965647,-0.0065695769833357,1.282502738876395e-09,0.0144452080550837,0.4397121283624349,0.0242364572380284,0.0607746132204981,0.2692046841795903,-0.1999999999999999,0.0909090909090908,0.0909090909090908,0.0526315789473683,0.1764705882352941,0.1999999999999999,0.1999999999999999,0.3636363636363635,0.3043478260869563,0.4634146341463414,0.6216216216216215,0.5384615384615383,0.4999999999999998,0.4999999999999998,0.5384615384615383,0.3636363636363635,0.5384615384615383,0.3953488372093023,0.5384615384615383,0.4285714285714286,0.1764705882352941,0.1764705882352941,0.25,0.1111111111111109,0.0909090909090908,0.1320754716981131,0.0,0.1538461538461537,0.6666666666666667,0.6666666666666667,-0.1428571428571428,-0.3023255813953488,-0.1549295774647887,-0.2307692307692308,0.0,-0.2,-0.5161290322580645,-0.5774647887323944,-0.6363636363636364,-0.5945945945945946,-0.5945945945945946,-0.5588235294117647,-0.5,-0.5419847328244275,-0.5774647887323944,-0.6341463414634146,-0.6385542168674698,-0.5973154362416108,-0.6000000000000001
PNPR_B7-L,14.0,-0.5359825249869826,-0.016118422555285,12.128499999999995,1.064182911023019,-0.1967317779865903,5.352876601068821e-08,0.0074827599344687,-0.7605660118303662,0.8453948480551525,0.1888192568896347,0.1888192568896347,0.0112612612612612,-0.0044843049327353,-0.0022471910112359,-0.0492505353319057,-0.026315789473684,-0.0044843049327353,-0.0652631578947368,-0.1294117647058822,-0.1328124999999999,-0.162264150943396,-0.108433734939759,-0.162264150943396,-0.0882956878850101,0.0546318289786225,0.168421052631579,0.0882352941176471,0.0673076923076922,0.1240506329113924,0.0935960591133007,0.168421052631579,0.3495440729483283,0.4653465346534655,0.3619631901840492,0.2436974789915968,0.4322580645161291,0.5857142857142859,0.947368421052632,0.9646017699115048,1.4666666666666668,0.7619047619047621,0.6086956521739133,0.7343750000000002,1.1142857142857143,0.6028880866425994,0.3788819875776397,0.2982456140350877,0.2436974789915968,0.3874999999999999,0.150259067357513,0.2542372881355932,0.2367688022284124,0.2613636363636364,0.1840000000000001,0.0962962962962965,0.1017369727047146,0.0962962962962965,0.1871657754010696,0.3788819875776397,0.2944606413994168
PNSD_86-L,7.0,-0.009955422340824,0.0694180929095354,0.797,-0.009954194080768,0.0250416506471868,1.629273829842775e-08,0.0163476904490644,-0.0617216082497677,0.0192636353622625,-0.0572785010693447,-0.0719298001511967,-0.1363636363636364,-0.057142857142857,-0.0294117647058823,0.2452830188679244,0.4347826086956521,0.9411764705882352,0.8857142857142859,1.7500000000000004,1.7500000000000004,1.869565217391304,2.0,2.3,1.7500000000000004,1.3571428571428572,1.64,2.8823529411764706,4.500000000000001,8.428571428571429,10.000000000000002,15.5,12.2,10.000000000000002,8.428571428571429,8.428571428571429,10.000000000000002,15.5,15.5,12.2,21.000000000000004,32.0,32.0,32.0,32.0,32.0,21.000000000000004,6.333333333333334,6.333333333333334,5.6,5.6,5.6,5.6,3.4000000000000004,3.125,1.7500000000000004,2.0,1.0625,0.783783783783784,0.32,0.0645161290322582
PNSF_48-L^H14,9.0,0.673456486619372,0.1962368566685113,-0.2935,0.0213285410508323,0.0610309278350516,3.8249595133384536e-10,0.4284610521879609,1.982808022922636,0.0045769239660252,-0.4096376543714027,0.0826271186440677,-0.0389610389610389,-0.2299999999999999,-0.2142857142857143,-0.2803738317757009,-0.2596153846153846,-0.3245614035087718,-0.347457627118644,-0.2870370370370371,-0.3063063063063064,-0.2735849056603774,-0.2935779816513761,-0.2735849056603774,-0.2299999999999999,-0.2450980392156863,-0.1979166666666666,-0.2376237623762376,-0.2222222222222222,-0.1894736842105262,-0.1979166666666666,-0.2299999999999999,-0.1979166666666666,-0.2299999999999999,-0.1979166666666666,-0.125,-0.1046511627906976,0.1,0.1323529411764705,0.3508771929824563,0.6041666666666667,0.6739130434782608,0.75,1.5666666666666669,1.75,1.2647058823529411,1.1388888888888888,0.4807692307692308,0.375,0.2833333333333334,-0.0128205128205128,-0.1979166666666666,0.375,0.2622950819672132,0.203125,0.0266666666666666,-0.3125,-0.3739837398373983,-0.493421052631579,-0.5722222222222222,-0.5246913580246914
PNUH_75-L^J12,8.0,-0.2920109164600984,-0.3701457338380199,-0.3220999999999999,-0.0566271451367294,-0.8016952468711146,3.4927252204802995e-10,-0.2405595234697305,0.1071898725653586,0.001994761299704,0.0457971321041923,0.2877254207340926,0.0,-0.0909090909090908,-0.0909090909090908,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.375,-0.4117647058823529,-0.375,-0.2857142857142857,-0.0909090909090908,-0.1666666666666666,-0.2307692307692307,-0.2857142857142857,-0.375,-0.4736842105263158,-0.5652173913043479,-0.1666666666666666,0.4285714285714286,0.25,0.4285714285714286,0.6666666666666667,0.4285714285714286,0.6666666666666667,0.4285714285714286,0.25,0.25,0.4285714285714286,0.0,0.0,0.0,-0.2857142857142857,-0.4444444444444444,-0.7222222222222222,-0.7560975609756098,-0.75,-0.8076923076923077,-0.8181818181818181,-0.8571428571428571,-0.8611111111111112,-0.900990099009901,-0.8979591836734694,-0.9074074074074074,-0.9090909090909092,-0.9137931034482758,-0.9107142857142856,-0.9019607843137256,-0.9056603773584906
PNUN_N7-L^A23,8.0,-0.1436443495555563,0.3350690068466725,1.4065999999999974,-0.1180231681784195,-0.0437050463824739,2.7821109281993163e-08,-0.0002979358684967,-0.1989609800047712,0.3186999507617153,-0.0304737322122226,-0.0750276623802945,0.0727272727272727,-0.1459627329192546,-0.2361111111111111,-0.2198581560283687,-0.0894039735099337,0.0185185185185183,-0.3107769423558897,-0.2547425474254742,-0.1935483870967742,-0.2264416315049227,-0.2455418381344307,-0.0367775831873905,-0.3099121706398996,-0.2939666238767651,-0.3929359823399558,-0.4488977955911823,-0.4382022471910112,-0.3989071038251366,-0.446122860020141,-0.3641618497109826,-0.3073047858942066,-0.1392801251956181,-0.1766467065868263,-0.2231638418079096,-0.2921492921492921,-0.2296918767507002,-0.2142857142857143,-0.1027732463295268,-0.0802675585284281,0.0377358490566037,-0.0125673249551166,0.0261194029850746,0.0805500982318272,0.1802575107296136,0.014760147601476,-0.0333919156414763,0.0700389105058365,0.1340206185567012,0.2168141592920354,0.1506276150627614,0.4473684210526316,0.4285714285714286,0.2614678899082567,0.1410788381742738,0.055662188099808,-0.0316901408450703,-0.0350877192982456,-0.0316901408450703,-0.0401396160558464
PNXV_07-L,7.0,0.0674816337658701,0.4202773051885207,-0.2613,-0.612916148921989,0.0501311326053593,4.216255319922633e-11,-0.0805719506893324,0.1537431981744778,0.0059549858704122,0.2498566133499435,0.3194296824368113,0.0,0.0909090909090908,-0.1578947368421052,-0.1724137931034483,-0.0769230769230769,-0.2781954887218045,-0.3513513513513513,-0.3191489361702128,-0.1932773109243697,-0.2258064516129032,-0.1351351351351352,0.3333333333333332,0.2151898734177213,0.2151898734177213,-0.0588235294117647,-0.1724137931034483,-0.2066115702479338,-0.1932773109243697,-0.25,-0.3885350318471338,-0.2066115702479338,-0.3286713286713286,-0.4074074074074074,-0.3379310344827586,-0.25,-0.2066115702479338,-0.4,-0.5051546391752577,-0.3806451612903226,-0.4,-0.5695067264573992,-0.5492957746478873,-0.5789473684210527,-0.7082066869300911,-0.7746478873239436,-0.6264591439688716,-0.6701030927835052,-0.746031746031746,-0.789010989010989,-0.7913043478260869,-0.8132295719844358,-0.803680981595092,-0.782312925170068,-0.8361774744027304,-0.8402662229617305,-0.8688524590163935,-0.889273356401384,-0.8899082568807339,-0.8957654723127035
PNYX_T9-L,7.0,0.1647551276684805,0.3576937201615865,0.033,0.2312359715652742,0.4073159256645494,3.5094045323014935e-11,0.0870657178735873,-0.4219066937119675,0.0087289885999239,-0.2791435762128735,0.0596759470561389,-0.0454545454545455,-0.0833333333333332,-0.0222222222222222,0.0999999999999998,-0.2,-0.2413793103448275,-0.2413793103448275,-0.2903225806451612,-0.3015873015873016,-0.3529411764705883,-0.2,-0.1020408163265306,-0.1851851851851852,-0.1538461538461538,-0.1538461538461538,-0.2,-0.2280701754385964,-0.1851851851851852,-0.2666666666666666,-0.2542372881355932,-0.2413793103448275,-0.2413793103448275,-0.2,-0.12,0.0232558139534884,0.0,-0.0434782608695653,0.0476190476190476,0.1578947368421053,0.0999999999999998,0.1578947368421053,0.0999999999999998,0.0999999999999998,0.0476190476190476,0.0731707317073171,0.0,-0.0434782608695653,-0.0434782608695653,-0.12,0.1282051282051282,0.0731707317073171,0.0,0.0476190476190476,-0.1538461538461538,-0.1538461538461538,-0.2,-0.12,-0.1538461538461538,-0.2903225806451612
PNZO_35-L,7.0,0.0757502420135528,0.2576121794871794,-4.15,-0.1108029720406351,0.221860767729343,9.75360940603586e-08,0.0696999031945788,-0.0198333994446648,0.4015511019834979,0.0563634997369937,0.1027027027027027,0.0691642651296828,-0.0596205962059619,-0.0721925133689839,0.0087209302325581,0.1377049180327869,0.1266233766233766,0.2261484098939929,0.4279835390946502,0.4765957446808511,0.4221311475409837,0.4221311475409837,0.4338842975206614,0.4221311475409837,0.6523809523809525,0.7350000000000001,0.5021645021645023,0.5772727272727272,0.845744680851064,0.9385474860335196,0.8359788359788363,0.9828571428571428,1.0174418604651163,1.1552795031055902,1.128834355828221,1.628787878787879,1.821138211382114,1.628787878787879,1.891666666666667,1.628787878787879,2.212962962962963,1.891666666666667,1.5328467153284673,2.043859649122808,1.7983870967741935,1.210191082802548,0.8858695652173914,1.1962025316455698,1.3445945945945947,1.2532467532467533,1.2980132450331126,0.96045197740113,0.8655913978494623,0.7979274611398965,0.7178217821782178,0.6064814814814814,0.3346153846153845,0.4956896551724139,0.4458333333333335,0.3661417322834646
