firms,age,cashdebt,chcsho,chinv,depr,grltnoa,herf,mve_ia,saleinv,secured,securedind,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FSSM_86-L^E99,4.0,0.2056880206837115,0.0064586992758818,0.0234349919743178,0.0985975350616234,-0.008079186730872,1.5383120335086217e-05,2.09902219974224,4.868938401048493,1.0,1.0,0.5496695526238282,-0.0168067226890756,-0.1119402985074627,-0.2222222222222223,-0.2916666666666666,-0.2699386503067484,-0.1959459459459459,-0.2272727272727273,-0.1736111111111111,-0.2562500000000001,-0.2608695652173913,-0.2272727272727273,-0.2066666666666666,-0.2916666666666666,-0.3,-0.2699386503067484,-0.2608695652173913,-0.2272727272727273,-0.2371794871794872,-0.2119205298013246,-0.2515723270440252,-0.2420382165605096,-0.0846153846153846,-0.1250000000000001,-0.184931506849315,-0.1959459459459459,-0.0703125000000001,-0.1376811594202898,-0.1250000000000001,-0.0846153846153846,-0.0916030534351145,-0.0984848484848486,-0.2371794871794872,-0.2066666666666666,-0.1250000000000001,0.017094017094017,-0.0703125000000001,-0.3865979381443298,-0.3314606741573034,-0.3314606741573034,-0.3,-0.1959459459459459,-0.1736111111111111,-0.1376811594202898,-0.2222222222222223,-0.0984848484848486,0.017094017094017,0.0530973451327434,0.0438596491228071,-0.0083333333333333
FSSR_11-L,1.0,0.4227429133213174,0.0137226660688225,0.5045777127688391,0.0781872509960159,0.3797605504090131,6.773597313468681e-08,0.2103097201348014,3.17607902082886,1.0,1.0,0.769424736469953,0.0193050193050194,-0.007662835249042,-0.1366666666666667,-0.0263157894736842,-0.018939393939394,-0.0547445255474453,-0.0407407407407408,0.0196850393700787,0.036,0.2451923076923075,0.2821782178217822,0.2758620689655173,0.1409691629955947,0.126086956521739,0.2274881516587676,0.3214285714285714,0.2949999999999999,0.1614349775784753,0.1359649122807018,0.1614349775784753,0.1409691629955947,0.177272727272727,0.177272727272727,0.1880733944954127,0.1460176991150443,0.1163793103448276,0.0928270042194092,0.1212121212121211,0.0882352941176469,0.0928270042194092,0.0485829959514167,0.0614754098360654,0.1212121212121211,0.1460176991150443,0.2949999999999999,0.2696078431372548,-0.1480263157894737,-0.1220338983050848,-0.1480263157894737,-0.0683453237410072,0.0658436213991768,0.1990740740740739,0.182648401826484,0.3015075376884422,0.251207729468599,0.3631578947368421,0.3015075376884422,0.3631578947368421,0.3999999999999999
FSSW_06-L^C00,2.0,0.2265168354326171,0.0021537858062846,-0.0180060426840819,0.1253731753958754,-0.0102873325177956,1.7566233139885046e-07,0.2658031426242032,8.745805030291905,1.0,1.0,0.6620579918896694,0.0504201680672269,-0.184931506849315,-0.2515723270440252,-0.2171052631578948,-0.2013422818791946,-0.1678321678321678,-0.2171052631578948,-0.2119205298013246,-0.2958579881656804,-0.2222222222222223,-0.2013422818791946,-0.184931506849315,-0.3602150537634409,-0.3802083333333333,-0.3602150537634409,-0.3314606741573034,-0.3769633507853402,-0.3928571428571429,-0.407960199004975,-0.4278846153846154,-0.4108910891089109,-0.3351955307262571,-0.3314606741573034,-0.407960199004975,-0.3928571428571429,-0.3736842105263158,-0.3959390862944162,-0.4020100502512563,-0.3351955307262571,-0.3314606741573034,-0.32,-0.3276836158192091,-0.3602150537634409,-0.3928571428571429,-0.2222222222222223,-0.4848484848484848,-0.6371951219512195,-0.5625,-0.5780141843971631,-0.5809859154929577,-0.6123778501628665,-0.5543071161048689,-0.4780701754385964,-0.5041666666666667,-0.4108910891089109,-0.3802083333333333,-0.3351955307262571,-0.3670212765957447,-0.232258064516129
FSTC_32-L^B00,2.0,0.1981442138330518,0.0014698914640772,0.0004272591326639,0.0303213685077158,0.0398032131125206,2.558247222822208e-08,0.1739934380149652,13.911692684419958,1.0,1.0,0.6126030952231943,-0.0275229357798165,-0.0090909090909091,-0.018018018018018,0.0480769230769231,0.1595744680851065,0.1354166666666667,0.0092592592592593,-0.0762711864406778,-0.0916666666666665,-0.0762711864406778,-0.0683760683760682,-0.0762711864406778,-0.1279999999999999,-0.1279999999999999,-0.1279999999999999,-0.1279999999999999,-0.1209677419354837,-0.113821138211382,-0.0991735537190081,-0.0762711864406778,-0.0683760683760682,-0.052173913043478,-0.0603448275862067,-0.0438596491228068,0.0,0.0582524271844659,0.1122448979591836,0.1595744680851065,0.1122448979591836,0.0792079207920792,0.0092592592592593,-0.0438596491228068,-0.052173913043478,-0.052173913043478,-0.0603448275862067,-0.0762711864406778,-0.1742424242424242,-0.1484375,-0.1615384615384615,-0.0683760683760682,0.0283018867924529,0.0686274509803921,0.1122448979591836,0.09,0.0686274509803921,0.1354166666666667,0.0092592592592593,-0.018018018018018,-0.0267857142857143
FSTZ_06-L^A00,2.0,0.2447451995895832,0.000190395649602,-0.0367003488947641,0.1512922738520759,-0.0981613608103046,6.753462323808317e-08,0.1551485917411983,9.137536348450164,1.0,1.0,1.0319248860119303,0.0755813953488373,-0.0444444444444445,-0.1962616822429906,-0.1809523809523809,-0.1179487179487179,-0.0652173913043479,-0.0947368421052631,-0.1650485436893204,-0.1924882629107981,-0.2073732718894009,-0.2422907488986784,-0.2554112554112554,-0.3384615384615385,-0.362962962962963,-0.3676470588235294,-0.2863070539419088,-0.3174603174603174,-0.3558052434456928,-0.3582089552238806,-0.3835125448028674,-0.3409961685823754,-0.2950819672131147,-0.3359073359073359,-0.3509433962264151,-0.3582089552238806,-0.3435114503816794,-0.3653136531365314,-0.362962962962963,-0.3605947955390335,-0.3676470588235294,-0.3790613718411553,-0.3986013986013985,-0.4342105263157895,-0.3879003558718861,-0.4266666666666666,-0.4641744548286605,-0.5612244897959184,-0.4522292993630573,-0.4556962025316455,-0.4487179487179488,-0.4625,-0.4880952380952381,-0.4397394136807817,-0.4469453376205787,-0.40893470790378,-0.3582089552238806,-0.36996336996337,-0.3605947955390335,-0.3676470588235294
FSUD_66-L^F02,1.0,0.1707967975600457,0.0014261714191424,0.0027050787854196,0.0746917204932472,0.1573679583417852,3.51837240188058e-07,7.504998884072814,22.32450331125828,1.0,1.0,0.5209497939919259,-0.0155520995334369,-0.0474074074074074,-0.0374251497005988,0.0141955835962144,-0.0330827067669173,0.1280701754385964,0.057565789473684,0.0438311688311687,-0.0374251497005988,-0.0227963525835867,0.0078369905956112,0.0610561056105611,0.0972696245733786,0.1086206896551724,0.0540983606557377,0.0916808149405772,0.1755027422303474,0.195167286245353,0.2018691588785046,0.1755027422303474,0.1885397412199629,0.3768736616702355,0.3230452674897117,0.1048109965635737,0.0062597809076683,0.4713958810068648,0.2937625754527162,0.3367983367983369,0.6196473551637278,0.631979695431472,0.8967551622418877,1.1796610169491522,1.129139072847682,1.5019455252918288,2.0913461538461537,2.004672897196261,0.8637681159420287,1.0412698412698411,0.9023668639053256,1.1796610169491522,1.4730769230769227,1.7016806722689075,1.4541984732824424,2.2974358974358973,2.3664921465968587,2.513661202185792,3.258278145695364,3.258278145695364,3.908396946564885
FSUE_08-L,1.0,0.4711538461538462,-1.4760147383614062e-08,0.4434838709677419,0.0812278137398204,0.5365161290322326,6.59888435607128e-06,4.529823549730572,4.247599650858307,1.0,1.0,0.8034837878371476,0.0034965034965035,-0.0833333333333333,-0.12,-0.1686046511627907,-0.1411411411411411,-0.0305084745762712,-0.0561056105610561,-0.0803858520900321,-0.1437125748502994,-0.1661807580174927,-0.1280487804878048,-0.0714285714285715,-0.117283950617284,-0.1898016997167139,-0.1686046511627907,-0.1090342679127726,-0.0803858520900321,-0.12,-0.10625,-0.0774193548387097,-0.117283950617284,-0.0069444444444444,-0.0434782608695653,-0.1145510835913312,-0.1488095238095238,-0.092063492063492,-0.1781609195402299,-0.089171974522293,-0.0833333333333333,-0.0498338870431893,-0.0466666666666667,-0.0529801324503311,-0.1145510835913312,-0.0622950819672131,0.0,0.0250896057347669,-0.3238770685579197,-0.1513353115727004,-0.1898016997167139,-0.117283950617284,-0.0034843205574913,0.0514705882352939,0.0957854406130267,0.14859437751004,0.1259842519685039,0.04,0.0957854406130267,0.1085271317829457,0.2016806722689075
FSUM_19-L^D21,2.0,0.2942944270119768,0.0020263104770756,0.0134786582031043,0.0775686332862138,0.0145160209025053,2.500445730853908e-07,0.5281686981525259,4.306048851445543,1.0,1.0,0.9254452375344524,-0.0418848167539266,-0.1434977578475337,-0.2952029520295203,-0.2709923664122138,-0.2267206477732795,-0.1434977578475337,-0.1837606837606837,-0.1511111111111112,-0.2420634920634921,-0.2596899224806202,-0.2420634920634921,-0.2329317269076306,-0.2596899224806202,-0.3003663003663004,-0.2709923664122138,-0.2596899224806202,-0.1511111111111112,-0.1511111111111112,-0.1511111111111112,-0.1906779661016948,-0.1318181818181819,-0.045,-0.0947867298578198,-0.1032863849765258,-0.0637254901960785,-0.0205128205128205,-0.0817307692307692,-0.0637254901960785,-0.0353535353535353,-0.0052083333333333,0.0324324324324323,0.0494505494505492,0.0670391061452513,0.1437125748502994,0.20125786163522,0.0105820105820106,-0.2625482625482626,-0.2765151515151516,-0.3178571428571428,-0.2846441947565543,-0.165938864628821,-0.158590308370044,-0.165938864628821,-0.2107438016528925,-0.0990566037735849,0.0159574468085106,-0.0353535353535353,-0.0637254901960785,0.0268817204301075
FSUT_25-L^F07,2.0,0.3348050036791758,0.0030612244897959,0.0508826361399379,0.0486822115067045,0.0700117684818611,3.540115218393981e-05,8.042834922584747,6.443216463414635,1.0,1.0,0.8343391027939627,0.0636363636363634,0.0068649885583524,-0.0308370044052862,-0.0045248868778279,-0.0045248868778279,0.1518324607329844,0.0945273631840797,0.1282051282051284,0.1,0.0837438423645322,0.0576923076923077,0.1111111111111111,0.0451306413301664,-0.0329670329670328,0.0138248847926267,0.1,0.0377358490566037,0.0208816705336427,0.0757946210268949,0.142857142857143,0.170212765957447,0.2790697674418605,0.3707165109034269,0.3095238095238097,0.4239482200647251,0.4715719063545149,0.345565749235474,0.2979351032448378,0.414790996784566,0.2290502793296089,0.3836477987421385,0.3373860182370822,0.2021857923497267,0.264367816091954,0.3836477987421385,0.2394366197183099,-0.0329670329670328,-0.0496760259179264,-0.0496760259179264,0.0161662817551964,-0.037199124726477,-0.0045248868778279,0.1195928753180661,-0.0775681341719075,0.1027568922305763,0.2790697674418605,0.2790697674418605,0.2680115273775216,0.3707165109034269
FSUX_S9-L^A11,2.0,0.2450903276553493,0.0005014922977947,0.0057156340945439,0.1206455707679753,0.0119556382895046,1.657341916302991e-07,0.2024679836967964,6.357698332005167,1.0,1.0,0.9348520266419392,0.0379746835443035,-0.1318681318681318,-0.2178217821782178,-0.2476190476190476,-0.2547169811320754,-0.2178217821782178,-0.2476190476190476,-0.2685185185185185,-0.2616822429906541,-0.3008849557522124,-0.2476190476190476,-0.2946428571428571,-0.3779527559055117,-0.368,-0.368,-0.3416666666666667,-0.3629032258064516,-0.3828125,-0.3556280587275693,-0.3629032258064516,-0.4148148148148147,-0.293381037567084,-0.3587662337662337,-0.4365192582025677,-0.4086826347305389,-0.4086826347305389,-0.4581618655692729,-0.4788918205804749,-0.4581618655692729,-0.3866459627329193,-0.3769716088328075,-0.368,-0.4042232277526395,-0.3587662337662337,-0.3481848184818481,-0.5147420147420148,-0.5948717948717949,-0.5417633410672853,-0.5390898483080513,-0.4942381562099871,-0.4165435745937961,-0.3818466353677621,-0.2984014209591473,-0.3106457242582897,-0.2209072978303747,-0.0174129353233829,-0.04126213592233,-0.0342298288508556,-0.0124999999999999
FSVE_88-L^L99,18.0,0.2745496066988073,-0.0216415658015411,0.0213196389666977,0.0731388767958206,0.3096794273264738,8.194944538129891e-06,1.021523018734044,82.58375634517768,1.0,1.0,0.5592482445596323,0.0058309037900874,-0.0057971014492753,-0.1113989637305699,-0.1338383838383837,-0.109090909090909,-0.0199999999999999,-0.0602739726027397,-0.0115273775216138,-0.0576923076923077,0.0238805970149253,-0.0171919770773638,0.0208333333333334,-0.0472222222222221,-0.0997375328083989,-0.1205128205128204,-0.0754716981132075,-0.0310734463276836,-0.0143678160919539,0.0331325301204821,0.0553846153846153,0.1471571906354514,0.2035087719298245,0.2338129496402878,0.2163120567375887,0.2846441947565543,0.3041825095057036,0.2472727272727273,0.1395348837209302,0.1627118644067795,0.1827586206896552,0.1627118644067795,0.1706484641638226,0.2163120567375887,0.2610294117647058,0.3611111111111111,0.1395348837209302,-0.0365168539325841,-0.0310734463276836,-0.1272264631043257,-0.1044386422976501,-0.0171919770773638,0.0652173913043479,0.0029239766081872,0.1028938906752412,0.2077464788732395,0.3886639676113359,0.33984375,0.3243243243243245,0.3720000000000001
FSVT_07-L,2.0,0.178988326848249,0.0002843728011725,-0.023489932885906,0.1283582089552238,-0.0276845637583891,6.80936481657555e-08,0.1400903536432061,4.453453453453454,1.0,1.0,0.5794433200576189,0.0379746835443037,-0.0705882352941176,-0.1684210526315789,-0.1770833333333332,-0.1595744680851063,-0.0919540229885057,-0.1123595505617977,-0.0813953488372092,-0.1123595505617977,-0.1022727272727271,-0.0705882352941176,-0.1022727272727271,-0.2178217821782178,-0.3189655172413792,-0.2254901960784313,-0.1770833333333332,-0.0595238095238094,-0.0705882352941176,-0.1022727272727271,-0.0595238095238094,-0.0124999999999999,0.0,0.0675675675675675,0.0128205128205127,0.196969696969697,0.234375,0.2741935483870967,0.234375,0.4107142857142856,0.462962962962963,0.3859649122807018,0.2741935483870967,0.4363636363636363,0.5490196078431373,0.7173913043478262,0.234375,-0.1222222222222222,-0.1595744680851063,-0.1855670103092782,-0.0595238095238094,0.0533333333333334,0.0,0.0533333333333334,0.0259740259740259,0.234375,0.2741935483870967,0.2539682539682539,0.3389830508474578,0.4905660377358489
FSVU_85-L^B01,2.0,0.2449638073404232,0.0013119183876737,0.0317471615035336,0.0727831014136367,0.0850764400344866,1.0296034297522029e-06,0.6833722588414382,6.996226872914771,1.0,1.0,0.6878181785627173,0.0245901639344261,-0.1643835616438356,-0.2026143790849673,-0.2179487179487179,-0.2278481012658229,-0.2077922077922078,-0.3743589743589743,-0.4245283018867924,-0.4672489082969432,-0.4958677685950413,-0.4695652173913043,-0.4190476190476191,-0.5430711610486891,-0.539622641509434,-0.5361216730038023,-0.5158730158730158,-0.5307692307692308,-0.5215686274509803,-0.5040650406504066,-0.5196850393700787,-0.4937759336099585,-0.4218009478672986,-0.4377880184331797,-0.4672489082969432,-0.4377880184331797,-0.4299065420560748,-0.4808510638297872,-0.4479638009049773,-0.4504504504504505,-0.4916666666666667,-0.4786324786324786,-0.5100401606425704,-0.5234375,-0.4601769911504424,-0.4190476190476191,-0.4479638009049773,-0.6051779935275081,-0.6038961038961039,-0.5906040268456376,-0.5807560137457045,-0.5060728744939271,-0.4134615384615385,-0.4218009478672986,-0.3578947368421052,-0.3068181818181819,-0.2278481012658229,-0.1812080536912751,-0.1643835616438356,-0.1468531468531468
