firms,chcsho,mve_ia,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
SCHJ_Y3-L,2.714024977954597e-05,1.6720606575506882,0.0544280442804427,0.1470899470899471,0.2220969560315671,0.4550335570469799,0.3601003764115433,0.1782608695652174,0.1556503198294241,0.1327063740856844,0.2098214285714283,0.26487747957993,0.2619324796274738,0.3028846153846154,0.2332195676905575,0.3482587064676619,0.0648330058939097,0.0679802955665023,0.1470899470899471,0.3203410475030448,0.355,0.2531791907514451,0.3155339805825241,0.0503875968992246,0.1718918918918919,0.1899012074643249,0.2858837485172005,0.4096228868660596,0.2416953035509736,0.2604651162790699,0.2098214285714283,0.2276330690826726,0.4151436031331592,0.4768392370572207,0.5419630156472262,0.6424242424242426,0.6424242424242426,0.6374622356495467,0.739967897271268,0.8435374149659864,0.9744990892531876,0.9889908256880732,1.2966101694915255,1.2869198312236287,1.3616557734204795,1.6898263027295282,1.2677824267782425,1.4088888888888889,1.3261802575107295,1.3982300884955756,1.2304526748971192
SCIP_S9-L,0.004451394782756,0.2161868619006203,-0.0535714285714286,0.0181818181818183,-0.111111111111111,0.1914893617021278,-0.0508474576271185,-0.1884057971014491,-0.282051282051282,-0.282051282051282,-0.3170731707317072,-0.3411764705882352,-0.3333333333333332,-0.3488372093023255,-0.3846153846153846,-0.325301204819277,-0.3978494623655914,-0.4166666666666666,-0.4716981132075472,-0.3563218390804596,-0.3411764705882352,-0.4105263157894736,-0.5044247787610618,-0.5590551181102361,-0.5447154471544715,-0.5087719298245613,-0.4166666666666666,-0.5294117647058822,-0.5130434782608695,-0.4615384615384614,-0.5087719298245613,-0.5483870967741935,-0.5,-0.4716981132075472,-0.4226804123711339,-0.3563218390804596,-0.3563218390804596,-0.3777777777777777,-0.3488372093023255,-0.2727272727272727,-0.263157894736842,-0.096774193548387,0.0769230769230771,0.1914893617021278,0.3658536585365854,0.6000000000000003,0.5135135135135136,0.5135135135135136,0.5555555555555558,0.696969696969697,1.074074074074074
SCJX_34-L^K20,0.0028227981648846,0.0009480751015722,0.0,-0.3333333333333332,0.0,0.0,-0.2,0.0,0.0,0.3333333333333335,0.3333333333333335,1.0,0.3333333333333335,0.3333333333333335,0.3333333333333335,-0.2,-0.3333333333333332,-0.3333333333333332,-0.4285714285714286,-0.5,-0.3333333333333332,-0.2,-0.7777777777777778,-0.8666666666666667,-0.8823529411764706,-0.8823529411764706,-0.9,-0.9111111111111112,-0.92,-0.9365079365079364,-0.9402985074626866,-0.9411764705882352,-0.945945945945946,-0.95,-0.9565217391304348,-0.9574468085106382,-0.9583333333333334,-0.9615384615384616,-0.9555555555555556,-0.9611650485436892,-0.963302752293578,-0.9611650485436892,-0.9626168224299064,-0.962962962962963,-0.9666666666666668,-0.9669421487603306,-0.9699248120300752,-0.9658119658119658,-0.9523809523809524,-0.9411764705882352,-0.943661971830986
SCJY_X8-L,0.4542635358944989,0.7046274718041546,-0.0822320117474302,-0.0229555236728837,-0.0722070844686648,0.0809523809523808,-0.3162650602409639,-0.3780821917808219,-0.3653308480894688,-0.3769441903019214,-0.3994708994708995,-0.4073107049608355,-0.3786496350364964,-0.4010554089709762,-0.3775137111517367,-0.3508102955195424,-0.3401162790697675,-0.3196803196803197,-0.3001027749229189,-0.329724409448819,-0.3043922369765066,-0.3114256825075835,-0.2979381443298968,-0.3439306358381504,-0.3694444444444446,-0.3848238482384825,-0.3786496350364964,-0.3394762366634336,-0.3978779840848807,-0.373505059797608,-0.3477011494252874,-0.3277393879565647,-0.3237338629592851,-0.2979381443298968,-0.3107287449392714,-0.3349609375,-0.3599624060150377,-0.3310412573673871,-0.2986611740473739,-0.3135080645161291,-0.2557377049180328,-0.238255033557047,-0.267741935483871,-0.2296380090497738,-0.2234891676168757,-0.1401515151515151,-0.2466814159292035,-0.244173140954495,-0.227891156462585,-0.2127167630057804,-0.1368821292775666
SCKQ_G2-L,0.0002808898604082,0.0302979945055253,0.1,0.096774193548387,0.1643835616438356,0.7346938775510203,0.2230215827338129,-0.1326530612244898,-0.3584905660377359,-0.1826923076923077,-0.0340909090909091,-0.3333333333333332,-0.2608695652173912,-0.5058139534883721,-0.4498381877022653,-0.518413597733711,-0.5717884130982368,-0.5674300254452926,-0.5454545454545454,-0.5526315789473684,-0.6255506607929515,-0.782608695652174,-0.696969696969697,-0.6336206896551724,-0.6810506566604128,-0.71900826446281,-0.7001763668430335,-0.6255506607929515,-0.6100917431192661,-0.6171171171171171,-0.7138047138047139,-0.7567954220314735,-0.7658402203856749,-0.7602256699576869,-0.7664835164835165,-0.7809278350515464,-0.7908979089790898,-0.781491002570694,-0.7408536585365854,-0.8204857444561774,-0.7941888619854721,-0.7842639593908629,-0.806378132118451,-0.7983392645314353,-0.810479375696767,-0.8380952380952381,-0.7118644067796611,-0.6579476861167002,-0.3992932862190813,-0.154228855721393,-0.1625615763546797
SCKZ_K8-L,0.0993020408438164,2.072397156862225,-0.0024436600597339,0.0273361227336124,0.529485049833887,0.7469879518072291,0.6594575110390197,0.6197554754156038,0.5173862887277523,0.612521891418564,0.8933785728973884,1.0016304347826086,0.6896045508762274,0.5143914473684212,0.6313784549964565,0.8900749255876013,0.881577602942679,0.9158343736995422,0.8548549556809026,1.232662463627546,1.3776630083925112,1.1417771574784834,2.1222448287555107,2.144637978142077,1.5498476876211575,1.6288365453247682,1.91100221308884,1.577687569988802,1.8563673026213745,2.342711925939372,2.247222712043732,2.2801923762023515,2.946635233604801,6.822854715378081,9.57118254879449,9.915826911677534,10.647691334598356,10.65506329113924,10.83483290488432,10.48067331670823,12.116096866096868,11.96830985915493,12.219669777458725,12.324891461649782,15.25330979699912,15.471377459749554,13.198149575944488,13.0465293668955,15.139351446099912,16.421948912015136,18.004127966976267
SCML_Y6-L,0.0005112334293162,0.0649942077428441,0.1814345991561179,0.1560975609756099,0.1703703703703705,0.1761786600496278,0.2606382978723405,0.0281995661605205,0.2061068702290076,0.2473684210526316,0.4584615384615385,0.6013513513513515,0.4149253731343283,0.4584615384615385,0.6690140845070425,0.9832635983263598,1.323529411764706,1.8383233532934136,1.6629213483146068,1.7085714285714286,2.0191082802547773,2.118421052631579,2.16,2.16,1.7085714285714286,1.724137931034483,1.5760869565217392,0.975,1.2571428571428571,1.6043956043956045,1.2679425837320577,1.3819095477386938,1.5760869565217392,1.46875,1.2571428571428571,1.6043956043956045,1.6187845303867403,1.46875,1.406091370558376,1.323529411764706,1.37,1.3582089552238807,1.2253521126760565,1.2571428571428571,2.118421052631579,2.291666666666667,2.618320610687023,2.95,2.95,2.95,2.853658536585366
SCQT_21-L,0.0267639330078874,0.0191302635912708,0.0,0.0,0.0,0.1428571428571428,-0.3846153846153846,-0.5294117647058824,-0.6363636363636364,-0.6363636363636364,-0.6521739130434783,-0.6666666666666666,-0.6666666666666666,-0.4285714285714286,-0.5294117647058824,-0.6190476190476191,-0.6363636363636364,-0.6923076923076923,-0.7037037037037037,-0.6923076923076923,-0.6923076923076923,-0.6923076923076923,-0.7333333333333334,-0.75,-0.7037037037037037,-0.7241379310344827,-0.7241379310344827,-0.7333333333333334,-0.7333333333333334,-0.7142857142857143,-0.7142857142857143,-0.7241379310344827,-0.7142857142857143,-0.7714285714285714,-0.7714285714285714,-0.7714285714285714,-0.7714285714285714,-0.7714285714285714,-0.7714285714285714,-0.8,-0.7948717948717949,-0.7948717948717949,-0.75,-0.7241379310344827,-0.7037037037037037,-0.7333333333333334,-0.7142857142857143,-0.7333333333333334,-0.7419354838709677,-0.7241379310344827,-0.6666666666666666
SCRK_X2-L,0.0004481217363924,0.0120016280515759,-0.0666666666666665,0.0714285714285714,0.0344827586206897,0.3636363636363635,-0.2307692307692308,-0.375,-0.6551724137931034,-0.6341463414634146,-0.6590909090909092,-0.6511627906976745,-0.7087378640776699,-0.7619047619047619,-0.7619047619047619,-0.7222222222222223,-0.7272727272727273,-0.7058823529411764,-0.673913043478261,-0.6590909090909092,-0.75,-0.7435897435897436,-0.7619047619047619,-0.8,-0.7887323943661972,-0.7887323943661972,-0.736842105263158,-0.6808510638297872,-0.7,-0.6666666666666667,-0.625,-0.6103896103896105,-0.625,-0.6428571428571428,-0.6341463414634146,-0.6052631578947368,-0.6052631578947368,-0.5588235294117647,-0.5,-0.5238095238095238,-0.4642857142857143,-0.4230769230769231,-0.2682926829268293,-0.3181818181818182,-0.1176470588235295,0.1538461538461537,0.0714285714285714,0.0344827586206897,0.0,0.0,-0.0625
SCTC_Z1-L^L22,0.6926821037364705,0.0120987475230788,0.0,0.0,0.1666666666666667,0.0,-0.282051282051282,-0.2999999999999999,-0.176470588235294,-0.176470588235294,-0.176470588235294,-0.1999999999999998,-0.176470588235294,-0.176470588235294,-0.176470588235294,-0.1999999999999998,0.0769230769230771,0.0370370370370369,0.0,-0.176470588235294,-0.1515151515151515,-0.1515151515151515,-0.1515151515151515,-0.2222222222222221,-0.176470588235294,-0.176470588235294,-0.2222222222222221,-0.2222222222222221,-0.2432432432432432,-0.0666666666666665,-0.0344827586206895,0.0370370370370369,-0.176470588235294,-0.176470588235294,-0.176470588235294,-0.3777777777777777,-0.3913043478260869,-0.3333333333333332,-0.3488372093023255,-0.3636363636363635,-0.3636363636363635,-0.3636363636363635,-0.4166666666666666,-0.4166666666666666,-0.4399999999999999,-0.4399999999999999,-0.4042553191489361,-0.4285714285714285,-0.2999999999999999,-0.263157894736842,-0.263157894736842
SCWZ_Q3-L,0.0538355649023529,0.0071117861128653,-0.0833333333333332,-0.0769230769230769,0.0,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.5,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.0909090909090908,0.714285714285714,1.0,1.4,1.0,0.714285714285714,0.5,0.5,0.3333333333333332,0.3333333333333332,0.1999999999999999,0.0909090909090908,0.0,0.0,-0.2941176470588236,0.5,0.1999999999999999,0.0,0.1999999999999999,-0.1999999999999999,-0.25,-0.1999999999999999,-0.25,-0.142857142857143,-0.25,-0.25,-0.25,-0.3333333333333333,-0.4,-0.5384615384615385,-0.5,-0.5862068965517242,-0.5862068965517242,-0.5862068965517242,-0.6129032258064516,-0.7142857142857143,-0.7,-0.7142857142857143
SDBM_C3-L,0.0005301006921365,3.5189666978914653,0.0117543859649122,0.0495304732093537,0.4600409836065573,0.9050802139037432,0.6512166859791424,0.5248796147672552,0.4980289093298293,0.6908929101156926,0.649782923299566,0.5277405521307958,0.3885505481120586,0.333957406974023,0.6051816389749367,0.8055115616091226,0.58157602663707,0.893687707641196,1.030637691485572,1.380952380952381,1.7764247442766683,1.3011707710940654,0.8811881188118811,0.8387096774193548,0.4165009940357851,0.3052438745133958,0.3503909026297085,0.4321608040201006,0.5155543738367456,0.4660493827160492,0.4555669050051074,0.3744875813841331,0.4492753623188406,0.5095338983050848,0.5248796147672552,0.5269220466113047,0.5561015561015561,0.6676418958455237,0.6097147698390286,0.5417906410603193,0.6652059596844875,0.7473942366646231,0.7762542848239324,0.8298555377207064,0.8494484101232966,0.954732510288066,0.6097147698390286,0.7570900123304563,0.9527235354573482,1.0098730606488011,1.7616279069767442
SDBT_V1-L^E23,0.0245815015117024,0.0745587775773313,-0.0392156862745098,0.0515463917525773,0.221556886227545,0.146067415730337,0.3076923076923077,0.1724137931034484,0.1590909090909091,0.3972602739726028,1.6153846153846154,1.4578313253012052,1.8333333333333333,1.5185185185185186,1.4285714285714288,1.4878048780487805,1.6153846153846154,1.2666666666666666,0.9065420560747663,1.04,1.170212765957447,0.9245283018867924,0.7894736842105265,0.6190476190476191,0.5692307692307692,0.5,0.728813559322034,0.7894736842105265,0.8214285714285714,1.3181818181818183,1.6153846153846154,1.8333333333333333,2.090909090909091,2.0,1.4878048780487805,1.3720930232558142,1.9142857142857144,2.238095238095238,2.457627118644068,2.1875,2.4000000000000004,2.090909090909091,2.709090909090909,3.4347826086956523,5.0,5.0,4.513513513513514,4.368421052631579,6.285714285714286,6.285714285714286,6.846153846153846
SDCI_B3-L,0.0954781629546334,0.4384755900162103,0.0294802172226531,-0.0542920029347028,0.104541559554413,0.2587890625,-0.0584368151935719,-0.0061680801850424,0.2137476459510359,0.4631101021566401,0.4799081515499426,0.2526724975704568,0.3497382198952878,0.497096399535424,0.6112500000000001,0.6378653113087676,0.7730398899587347,0.6675291073738681,0.7585266030013642,0.6849673202614379,0.918154761904762,0.8983799705449191,1.4003724394785846,1.2301038062283736,1.3564899451553931,1.173693086003373,1.498062015503876,1.347905282331512,1.83920704845815,2.121065375302664,2.2798982188295165,2.174876847290641,1.870824053452116,2.143902439024391,2.047281323877068,2.206467661691543,1.8144104803493453,1.976905311778291,1.9295454545454545,2.348051948051948,2.7146974063400577,2.6619318181818183,2.5122615803814714,2.600558659217877,2.5607734806629834,3.1715210355987056,2.747093023255814,3.1580645161290324,3.538732394366198,3.079113924050633,2.8477611940298506
SDCS_N6-L,0.253551926868747,0.1081436470505631,0.123076923076923,0.2745098039215685,0.9696969696969696,1.7083333333333337,0.9696969696969696,0.7567567567567568,0.3,0.4130434782608696,0.1607142857142856,-0.1095890410958904,-0.0972222222222222,-0.2696629213483146,-0.3157894736842105,-0.0298507462686566,-0.1975308641975308,-0.2696629213483146,-0.3627450980392157,-0.2613636363636363,-0.216867469879518,-0.5149253731343284,-0.5357142857142856,-0.5357142857142856,-0.5723684210526316,-0.6036585365853658,-0.6976744186046511,-0.726890756302521,-0.7072072072072072,-0.7440944881889764,-0.7789115646258503,-0.782608695652174,-0.7610294117647058,-0.7537878787878788,-0.7619047619047619,-0.7743055555555556,-0.7574626865671642,-0.75,-0.7509578544061303,-0.7743055555555556,-0.7781569965870307,-0.7861842105263158,-0.7936507936507936,-0.7975077881619937,-0.7987616099071208,-0.803030303030303,-0.8209366391184573,-0.828042328042328,-0.7993827160493827,-0.7981366459627329,-0.7854785478547854
SDFZ_G4-L,0.0039061982275191,0.0082597515292341,-0.142857142857143,0.1666666666666667,0.1666666666666667,0.4000000000000001,-0.3636363636363635,-0.3636363636363635,-0.4166666666666666,-0.4166666666666666,-0.2999999999999999,-0.3636363636363635,-0.3636363636363635,-0.4166666666666666,-0.3636363636363635,-0.4166666666666666,-0.4166666666666666,-0.3636363636363635,-0.2999999999999999,-0.2999999999999999,-0.3636363636363635,-0.2222222222222221,-0.3636363636363635,-0.3636363636363635,-0.4166666666666666,-0.4166666666666666,-0.2999999999999999,-0.2999999999999999,-0.3636363636363635,-0.2999999999999999,-0.3636363636363635,-0.5,-0.3636363636363635,-0.4166666666666666,-0.5,-0.4615384615384614,-0.588235294117647,-0.588235294117647,-0.631578947368421,-0.631578947368421,-0.6666666666666666,-0.631578947368421,-0.6499999999999999,-0.6666666666666666,-0.631578947368421,-0.611111111111111,-0.611111111111111,-0.6499999999999999,-0.6666666666666666,-0.611111111111111,-0.588235294117647
SDGN_V1-L,0.1000005130739548,0.0051493664253242,0.2857142857142856,-0.1249999999999998,0.0,0.0,0.2727272727272729,0.0769230769230771,-0.1249999999999998,-0.1249999999999998,-0.2222222222222221,-0.6666666666666666,-0.641025641025641,-0.6744186046511628,-0.6888888888888889,-0.7142857142857142,-0.7407407407407407,-0.72,-0.7407407407407407,-0.7971014492753623,-0.7910447761194029,-0.8133333333333334,-0.8181818181818181,-0.8426966292134831,-0.8461538461538461,-0.8541666666666666,-0.851063829787234,-0.851063829787234,-0.875,-0.8738738738738738,-0.7999999999999999,-0.8181818181818181,-0.8205128205128205,-0.8205128205128205,-0.8205128205128205,-0.8181818181818181,-0.8227848101265822,-0.8390804597701149,-0.8390804597701149,-0.8372093023255813,-0.8426966292134831,-0.8313253012048193,-0.8461538461538461,-0.8461538461538461,-0.851063829787234,-0.8526315789473684,-0.8793103448275862,-0.8691588785046729,-0.8738738738738738,-0.8782608695652174,-0.8556701030927835
