firms,age,agr,chpmia,currat,depr,egr,grltnoa,herf,invest,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchinvt,pchsale_pchrect,quick,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FWEF_63-L^F09,11.0,-0.2388933395173644,-0.9122817287034538,1.66118154158215,0.15653189997663,-0.2523101098262933,-0.1173700864693598,2.3214728357326483e-08,-0.2888153363972397,-0.8621791853569387,-0.0411424937759469,0.0963944995114662,0.1272125574367678,0.3123545072410397,0.1043642122018619,0.8659989858012171,5.235743786682124,-0.0501675977653631,-0.176470588235294,-0.15,-0.2916666666666666,-0.15,-0.2916666666666666,-0.15,-0.2916666666666666,-0.3461538461538461,-0.3928571428571429,-0.5405405405405406,-0.5526315789473684,-0.5277777777777777,-0.5952380952380951,-0.5526315789473684,-0.3928571428571429,-0.5526315789473684,-0.5526315789473684,-0.575,-0.575,-0.5952380952380951,-0.575,-0.5,-0.4516129032258064,-0.4137931034482758,-0.4333333333333332,-0.5,-0.575,-0.46875,-0.5142857142857142,-0.5277777777777777,-0.5526315789473684,-0.575,-0.6136363636363635,-0.6304347826086956,-0.6304347826086956,-0.7166666666666666,-0.7166666666666666,-0.6964285714285714,-0.75,-0.7384615384615385,-0.7926829268292683,-0.8468468468468469,-0.8617886178861789,-0.859504132231405,-0.8629032258064516,-0.8521739130434782,-0.8380952380952381,-0.8495575221238938,-0.853448275862069
FWJG_10-L^I06,12.0,0.0322565843810223,-0.7450060400659881,1.8802525152890115,0.5791300323924109,0.1119791666666666,-0.3306315052719514,7.561492265382216e-12,0.0583646875286777,0.1834998314524048,0.2092849787737869,0.014489744200496,0.2279484159853644,0.4100842811115706,0.0323472044870934,1.8427697770763465,7.118449781659389,0.0151798225128445,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.5,0.5,0.5,0.5,0.5,0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.0,0.0,-0.25,-0.4,-0.5,-0.5,-0.5714285714285715,-0.5714285714285715,-0.5714285714285715,-0.625,-0.625,-0.625,-0.625,-0.6470588235294118,-0.6470588235294118,-0.6470588235294118,-0.75,-0.4545454545454546,-0.4,-0.4,-0.25,-0.25,-0.3333333333333333
FWJN_76-L^G01,2.0,0.0221661161180102,-0.143542878047689,0.6881216859542516,0.041980008407679,0.0788937177408929,0.0019677355534524,1.4420009727157192e-08,0.0786788994793666,4.18464446558485,0.0387439378594622,0.3029722215181283,-0.0028667981545747,0.2630965450683722,0.3693128996402378,0.5767310446259241,8.32595029239766,0.3310000701147545,0.0116822429906542,-0.0715835140997831,-0.11018711018711,-0.1120331950207469,-0.1388329979879274,-0.130081300813008,-0.0874200426439232,-0.0874200426439232,-0.0551876379690948,-0.1265306122448979,-0.1008403361344536,-0.0272727272727273,-0.0046511627906975,-0.0403587443946187,-0.0775862068965516,-0.1832061068702289,-0.2074074074074073,-0.2218181818181818,-0.1863117870722432,-0.1689320388349514,-0.0854700854700853,0.0808080808080808,0.0974358974358975,0.0974358974358975,0.0918367346938775,0.0567901234567902,0.0515970515970516,0.1145833333333334,0.1322751322751323,0.1413333333333333,0.1030927835051547,0.1204188481675394,0.1088082901554405,0.1382978723404255,0.202247191011236,0.2814371257485031,0.3048780487804878,0.4172185430463577,0.3630573248407642,0.3674121405750801,0.3851132686084144,0.4657534246575343,0.4707903780068729,0.5451263537906137,0.5340501792114696,0.7188755020080322,0.7120000000000002,0.6984126984126986,0.6398467432950192
FWJQ_58-L^I05,11.0,0.0982035746283388,0.0930463983833214,0.8791928464477128,0.029721974253241,0.1454135907489131,0.0495879389295589,4.0092868939775344e-08,0.0596631892244848,-0.861476436820256,0.016696804395984,0.0108040264867903,0.016696804395984,1.0570078529806264,0.1424725629736381,0.8791928464477128,4.837370418481444,0.0570078529806263,-0.0942622950819672,0.0187891440501044,-0.1062271062271063,0.0041152263374484,-0.0704761904761904,-0.0542635658914729,-0.0651340996168582,-0.0962962962962963,-0.137809187279152,0.0655021834061135,0.0061855670103092,-0.0355731225296441,0.094170403587444,0.1563981042654028,0.0990990990990989,-0.0946196660482374,-0.1423550087873463,-0.2129032258064516,-0.2026143790849673,-0.1893687707641195,-0.1078610603290676,-0.0259481037924151,-0.0181086519114688,0.1619047619047617,0.1192660550458715,0.1759036144578312,0.1401869158878503,0.3118279569892472,0.2354430379746834,0.2109181141439204,0.1787439613526571,0.1902439024390245,0.2169576059850375,0.2323232323232322,0.2577319587628865,0.2577319587628865,0.3369863013698631,0.3118279569892472,0.196078431372549,0.2609819121447028,0.2875989445910289,0.1270207852193994,0.0868596881959911,0.1322505800464037,0.094170403587444,0.148235294117647,0.150943396226415,0.142857142857143,0.0655021834061135
FWJV_72-L^G06,11.0,0.0483303158318245,-0.0046927582923934,1.1323451159255036,0.1302105715513536,0.1503798794865078,0.0158609344692965,4.1279139064459854e-05,0.0169483001408167,0.4280688096622402,0.0577613176232105,0.1169173470849449,0.0244198260358492,0.0879360981426509,0.1588202224812773,0.7093880653743823,7.628943415122684,0.1383419882691374,0.0812182741116751,-0.0942528735632183,-0.087962962962963,-0.0751173708920187,-0.1085972850678732,-0.1359649122807017,-0.1126126126126126,-0.1893004115226337,-0.1652542372881356,-0.2119999999999999,-0.303886925795053,-0.3389261744966443,-0.3183391003460207,-0.0963302752293578,-0.1545064377682403,-0.3253424657534246,-0.2466539196940727,-0.2259332023575638,-0.0837209302325581,-0.1085972850678732,0.0025445292620864,0.0102564102564102,0.2389937106918238,0.2012195121951219,0.4485294117647058,0.397163120567376,0.397163120567376,0.4867924528301888,0.5271317829457365,0.4756554307116105,0.5038167938931297,0.5153846153846153,0.5634920634920635,0.5760000000000001,0.6016260162601625,0.5823293172690762,0.5634920634920635,0.5697211155378488,0.5390625,0.5153846153846153,0.5095785440613028,0.5212355212355213,0.5760000000000001,0.6694915254237288,0.6213991769547325,0.5823293172690762,0.6348547717842323,0.5271317829457365,0.5823293172690762
FWKQ_L4-L^K06,3.0,0.1907706344750141,-0.0145201612416864,0.4035391067618277,0.0159516352247068,0.0527492096612449,0.0800407508145341,2.439435279805019e-07,0.1219434306569343,0.6149030599057921,-0.1852184894923135,0.0944406470220122,-0.1892570135112466,0.1058526044965011,-0.0416068947671217,0.3771613567802221,3123.1333333333337,0.0298216766614495,-0.0449438202247191,-0.101010101010101,-0.1651031894934334,-0.2081850533807828,-0.1257367387033398,-0.0511727078891258,-0.0591966173361522,-0.1325536062378167,-0.1743970315398886,-0.2095914742451153,-0.1713221601489757,-0.0881147540983605,-0.1099999999999999,-0.1743970315398886,-0.2123893805309734,-0.300314465408805,-0.177449168207024,-0.1938405797101448,-0.1257367387033398,-0.0748440748440747,-0.0690376569037657,-0.1099999999999999,-0.063157894736842,-0.0552016985138004,-0.2247386759581882,-0.1952983725135624,-0.1804788213627991,-0.184981684981685,-0.1952983725135624,-0.226086956521739,-0.1409266409266408,-0.1909090909090909,-0.2393162393162392,-0.2039355992844364,-0.0552016985138004,-0.0709812108559498,-0.0326086956521738,-0.0154867256637166,-0.0283842794759825,0.0277136258660508,-0.0552016985138004,-0.011111111111111,0.0022522522522521,0.0372960372960373,0.0853658536585366,0.3567073170731709,0.3403614457831325,0.3363363363363363,0.3363363363363363
FWKZ_24-L^C13,11.0,0.0818378126003094,0.1164648342990224,1.7141304347826083,0.1252733014819013,0.0714368147720715,0.0409153029400427,1.0200477018877876e-08,0.0651025708366161,-0.4546261194181207,-0.1288170566310204,0.0299960451717324,-0.2045270933960935,-0.2893926461828714,-0.1851744173627347,1.1004270186335403,4.778093670507258,-0.094547207440524,-0.0422535211267603,-0.1125,-0.1647058823529411,-0.1547619047619047,-0.0657894736842106,-0.0657894736842106,-0.0897435897435898,-0.1341463414634146,-0.1547619047619047,-0.1744186046511627,-0.2111111111111111,-0.2604166666666666,-0.2680412371134021,-0.1744186046511627,-0.1647058823529411,-0.2282608695652175,-0.2446808510638297,-0.3425925925925926,-0.2446808510638297,-0.2755102040816326,-0.1547619047619047,-0.2282608695652175,-0.2282608695652175,-0.1234567901234569,-0.1547619047619047,-0.1931818181818182,-0.1547619047619047,-0.1744186046511627,-0.1341463414634146,-0.2197802197802199,-0.2526315789473684,-0.2197802197802199,-0.2755102040816326,-0.29,-0.2604166666666666,-0.2680412371134021,-0.2755102040816326,-0.3106796116504855,-0.297029702970297,-0.2828282828282829,-0.3173076923076924,-0.3106796116504855,-0.3173076923076924,-0.2755102040816326,-0.2365591397849463,-0.2197802197802199,-0.2446808510638297,-0.2111111111111111,-0.1839080459770115
FWND_50-L^G04,4.0,-0.3937877570069227,4.090920898740547,2.068368544600939,0.3986123545210385,-0.5179339411663513,-0.0091364003228409,1.2394027064098334e-08,-0.5228032876144053,-0.8366599946859145,-0.5216267835796812,0.2067663610222566,-0.5480142880591199,-0.0349425078056558,0.0584777744985572,1.001613849765258,7.232534246575343,-0.3681637586462746,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1818181818181818,-0.1,-0.1818181818181818,-0.1,-0.1,-0.1818181818181818,-0.25,-0.25,-0.25,-0.1818181818181818,-0.1,-0.1818181818181818,0.0,-0.1,0.2857142857142856,0.5,0.2857142857142856,0.2857142857142856,0.0,0.0,-0.1,-0.1,-0.3076923076923077,-0.25,-0.25,-0.25,-0.1818181818181818,-0.25,-0.25,-0.3076923076923077,-0.1,-0.1,-0.25,0.0,-0.1,0.0,-0.1,-0.1818181818181818,-0.3571428571428572,-0.3571428571428572
FWNV_96-L^G02,11.0,0.04657824933687,-0.122245872787212,1.436001033887007,0.1571139264352658,0.0233726773401893,-0.0025791902120378,1.0014414821653425e-07,0.022128647214854,-0.2838132088365183,-0.0198945198872885,0.1663236780645533,-0.0506031067569843,-0.0725040612043367,-0.0818716831590195,0.8602348011808078,5.12608658526172,-0.01292064442084,0.0782608695652173,-0.065040650406504,-0.2812500000000001,-0.1785714285714286,-0.0612244897959185,-0.0873015873015873,-0.0873015873015873,0.0222222222222221,-0.2013888888888889,-0.2812500000000001,-0.0495867768595041,-0.0416666666666667,-0.1481481481481482,0.0454545454545451,-0.1221374045801527,-0.2255892255892256,-0.3698630136986301,-0.5576923076923077,-0.4978165938864629,-0.5228215767634856,-0.425,-0.4651162790697675,-0.4945054945054945,-0.5700934579439252,-0.5756457564575646,-0.5833333333333333,-0.5021645021645023,-0.434889434889435,-0.4523809523809524,-0.5306122448979593,-0.5818181818181818,-0.5855855855855856,-0.6417445482866044,-0.6488549618320612,-0.6515151515151516,-0.649923896499239,-0.6567164179104478,-0.6417445482866044,-0.6723646723646723,-0.6666666666666667,-0.6592592592592592,-0.6577380952380952,-0.6656976744186047,-0.632,-0.5929203539823009,-0.5779816513761469,-0.5306122448979593,-0.5353535353535355,-0.5533980582524273
FWOG_40-L^I03,11.0,-0.3176865046102263,-1.853387398596698,2.1906561679790024,0.4548126377663483,-0.4473790526209474,-0.328849028400597,3.793706286773644e-09,-0.4216839610370841,-0.824079069406906,0.1261575291309292,1.9406728288419075,0.3727943591987606,0.2960227395914642,-0.6611603211526089,1.7497112860892388,4.760899682177492,-0.2005008758484782,0.1818181818181818,0.0999999999999998,0.0,0.0,-0.1851851851851852,-0.1538461538461538,-0.0833333333333332,0.2222222222222223,0.0,-0.2666666666666666,-0.4634146341463414,-0.3888888888888888,-0.5416666666666666,-0.5769230769230769,-0.7142857142857143,-0.7981651376146789,-0.7411764705882353,-0.752808988764045,-0.7555555555555555,-0.78,-0.8135593220338984,-0.8103448275862069,-0.808695652173913,-0.7555555555555555,-0.7441860465116279,-0.7555555555555555,-0.7608695652173914,-0.7555555555555555,-0.7411764705882353,-0.7411764705882353,-0.7608695652173914,-0.7608695652173914,-0.78,-0.7843137254901961,-0.78,-0.8,-0.8,-0.7904761904761904,-0.8307692307692308,-0.8823529411764706,-0.9067796610169492,-0.9157088122605364,-0.9524838012958964,-0.9522776572668112,-0.951219512195122,-0.9514348785871964,-0.9497716894977168,-0.9503386004514672,-0.9497716894977168
FWON_41-L^G09,11.0,0.4348099173553718,1.8460740722365585,1.178088267908627,0.1675149700598802,1.2332218229876513,0.3698152145873216,1.018600070979079e-08,-0.0148760330578512,-0.8818403485635329,0.0713760715326091,0.298632408081034,0.1634585241355016,0.7182647125698092,0.1098912477751987,1.1231822070145423,5.887330873308732,0.0793063792364758,-0.0545454545454545,-0.014336917562724,0.0223048327137547,0.0,0.0110294117647058,-0.0549828178694158,-0.003623188405797,0.0826771653543307,0.0658914728682169,0.1554621848739497,0.2276785714285714,0.2008733624454148,0.1458333333333334,0.0036496350364962,0.1270491803278688,-0.2647058823529412,-0.2763157894736842,-0.3020304568527918,-0.2403314917127071,-0.2527173913043479,-0.1863905325443786,-0.0582191780821917,0.0826771653543307,0.1178861788617886,0.0956175298804782,0.1904761904761904,0.2557077625570776,0.2850467289719625,0.3221153846153846,0.2443438914027149,0.2443438914027149,0.2168141592920354,0.2672811059907833,0.3095238095238095,0.3959390862944163,0.5277777777777777,0.5277777777777777,0.544943820224719,0.4175257731958763,0.4322916666666667,0.375,0.478494623655914,0.5277777777777777,0.7295597484276728,0.7628205128205128,0.9230769230769232,0.9366197183098592,0.9642857142857144,0.9366197183098592
