firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTOH_K0-L,0.2118170895469644,-0.2118170895469644,13.0,-0.047291546866015,0.0771165206160954,0.1553646432275644,0.2710920119412066,0.0896296345541454,-0.1771031667453655,-0.1291080641741455,4.7839987353433526e-08,-0.1150776308223116,0.0314367800164436,-0.7591908623910585,-0.2618091437098198,-0.2479235610238599,0.2056517648629257,-1.4285800171270011,-7.188486907855286,0.2289365100492479,0.125376615803285,0.0473374140656592,-0.0833333333333332,0.1428571428571428,0.2972972972972973,0.4117647058823528,0.0,0.1428571428571428,0.1162790697674418,0.263157894736842,0.3333333333333332,0.5,0.3333333333333332,0.2972972972972973,0.2307692307692306,0.1428571428571428,0.1707317073170731,0.3714285714285714,0.0212765957446807,0.1707317073170731,0.1162790697674418,0.1707317073170731,0.2307692307692306,0.0666666666666666,0.0,-0.1724137931034483,-0.1999999999999999,-0.1111111111111111,-0.2380952380952381,-0.2258064516129032,-0.3513513513513513,-0.3333333333333333,-0.1864406779661016,-0.2258064516129032,-0.2835820895522388,-0.1272727272727274,0.0,-0.0769230769230769,-0.1724137931034483,-0.1578947368421052,-0.0588235294117647,-0.2258064516129032,-0.3846153846153847,-0.4947368421052631,-0.5932203389830508,-0.5826086956521739,-0.5789473684210527,-0.5514018691588786,-0.4893617021276596,-0.4725274725274725,-0.5636363636363637
FTON_R1-L,0.0116866852910009,0.0116866852910009,14.0,0.1324907151622615,0.2990674328161375,-0.0096478479018138,3.029459871721832,0.174335726639065,0.121805196778605,-0.0179356395734989,1.856797984485652e-07,0.0516301850480324,0.1469225257708132,-0.2769608473022045,-0.0358289937009117,-0.0204262907566414,0.0908197792158602,-0.0496331478867997,0.1091020968429024,2.671457188539504,0.1543857602251762,0.121126015001548,-0.0068493150684931,0.0034364261168384,0.1450980392156864,0.140625,-0.0201342281879194,-0.070063694267516,-0.0457516339869281,-0.0670926517571884,0.0695970695970695,0.1102661596958174,0.0318021201413427,0.0068965517241379,-0.0903426791277258,-0.1070336391437308,0.0541516245487363,-0.1728045325779036,-0.0759493670886076,0.0541516245487363,0.028169014084507,0.0774907749077491,-0.1436950146627567,-0.2531969309462916,-0.3096926713947991,-0.1704545454545455,-0.136094674556213,-0.0759493670886076,0.4106280193236715,0.6404494382022472,0.4455445544554455,0.4974358974358974,0.5614973262032084,0.7278106508875739,0.8364779874213835,0.5531914893617023,0.6976744186046511,0.8136645962732918,0.8364779874213835,0.9210526315789472,0.8838709677419354,1.3934426229508197,0.9210526315789472,0.5051546391752577,0.482233502538071,0.4673366834170853,0.3971291866028708,0.2807017543859649,0.2066115702479338,0.2863436123348017,0.2807017543859649
FTOQ_09-L^A05,0.0495848340595588,-0.0495848340595588,13.0,0.0320913092435254,0.2666972753490107,0.245589131075122,0.8913705583756345,0.0291004810747027,0.0536504085958271,-0.0074133776624771,2.0082948087120496e-09,0.0449551301736787,-0.0175498478254685,0.0034575881279544,0.4019093847538015,0.5097606352408108,0.0001979920319605,0.0102547761697817,-0.9701051248357424,0.7189086294416244,0.0717016081502062,-0.012873903392876,0.0277777777777779,-0.0046082949308754,0.08,0.1368421052631581,0.0485436893203883,0.0693069306930693,0.0,0.1250000000000002,0.2272727272727273,0.2272727272727273,0.1739130434782609,0.2272727272727273,0.2413793103448276,0.2705882352941178,0.2857142857142858,0.3012048192771086,0.1612903225806452,0.1868131868131868,0.1612903225806452,0.3333333333333332,0.2558139534883721,0.2934131736526948,0.3090909090909093,0.1675675675675676,0.2485549132947977,0.1999999999999999,0.3012048192771086,0.2558139534883721,0.2272727272727273,0.1999999999999999,0.2134831460674158,0.2134831460674158,0.2067039106145252,0.4025974025974026,0.4025974025974026,0.3935483870967742,0.3846153846153846,0.3500000000000001,0.5652173913043481,0.7007874015748032,0.3333333333333332,0.2705882352941178,0.1739130434782609,0.1868131868131868,0.3333333333333332,0.3846153846153846,0.4210526315789473,0.4794520547945207,0.4400000000000001
FTOR_44-L^G07,0.0210403631456263,-0.0210403631456263,13.0,0.4909465963786384,0.1364184669371641,-0.0223982245996721,2.520675215912065,0.2589285714285714,0.1358905738923579,-0.0182799656483853,3.310540903429044e-06,0.4838413935365573,0.8662580543768664,0.6608061075131593,-0.2269148640938683,-0.4242207350357046,-0.4052612521520508,-0.0153985139110996,-0.2892074198988196,0.1271918345982727,0.093874386146291,0.113924794359577,0.0639269406392695,0.1967213114754098,0.1902173913043476,0.3192771084337349,0.0092165898617511,0.123076923076923,0.1526315789473684,0.0682926829268293,0.1173469387755101,0.1526315789473684,0.1288659793814432,0.3035714285714286,0.4599999999999999,0.422077922077922,0.4599999999999999,0.6343283582089552,0.825,0.9909090909090909,0.9043478260869566,0.9380530973451328,0.9043478260869566,1.1683168316831685,1.0277777777777777,1.3297872340425534,0.9553571428571426,0.7804878048780488,0.825,0.7380952380952381,0.4038461538461537,0.394904458598726,0.422077922077922,0.422077922077922,0.2958579881656804,0.3860759493670884,0.6343283582089552,1.1057692307692308,1.0277777777777777,0.9553571428571426,0.9210526315789476,1.28125,1.28125,1.0277777777777777,0.8879310344827587,0.6846153846153846,0.659090909090909,0.7380952380952381,0.752,1.3297872340425534,1.0660377358490565
FTPI_91-L,0.0912596910450627,-0.0912596910450627,13.0,0.0248469060200504,0.1653247794707297,0.1692929498505484,1.621726639522146,0.1588899005007478,-0.0662468790298242,0.0018901920374134,2.697560292963574e-08,0.0274272803595239,0.0993737233158993,-0.0173177691717992,-0.0003775008068725,0.0117302633888887,-0.0144240977337443,-0.0113003227046484,-2.6308665846370185,1.248124341194221,0.0824829274578018,-0.105351476530767,-0.2222222222222223,-0.0181818181818181,-0.0526315789473682,-0.2058823529411765,-0.4599999999999999,-0.4857142857142856,-0.5344827586206896,-0.4315789473684209,-0.4489795918367346,-0.4705882352941176,-0.5178571428571428,-0.564516129032258,-0.5609756097560975,-0.5846153846153845,-0.5499999999999999,-0.5909090909090908,-0.608695652173913,-0.6351351351351351,-0.6351351351351351,-0.5909090909090908,-0.5909090909090908,-0.5846153846153845,-0.490566037735849,-0.5909090909090908,-0.6029411764705883,-0.6142857142857142,-0.6351351351351351,-0.6582278481012658,-0.6301369863013698,-0.625,-0.6447368421052632,-0.6029411764705883,-0.6301369863013698,-0.5344827586206896,-0.5499999999999999,-0.5573770491803278,-0.509090909090909,-0.4,-0.5499999999999999,-0.4599999999999999,-0.5909090909090908,-0.625,-0.6707317073170731,-0.7244897959183674,-0.7,-0.6896551724137931,-0.7112299465240641,-0.7365853658536585,-0.7511520737327189
FTPT_07-L^D03,0.0988612999446621,-0.0988612999446621,3.0,-0.1685288640595902,0.1579066202421837,0.0631709927948628,1.1377509495387954,0.0848812777746788,0.0272130858168337,-0.0726950434379646,3.721597133488796e-08,-0.0068472833341573,-0.4144889307583608,-0.909160734162101,0.3593250527833797,0.2823870771234318,-0.0121225177152205,0.1618647760968338,-5.284752284752284,0.7763836136733586,-0.012160619447064,-0.1294918542512927,-0.0333333333333333,0.4516129032258065,0.4516129032258065,0.6666666666666665,0.2328767123287671,0.2162162162162162,0.5,0.5,0.8750000000000002,0.8367346938775511,1.0,0.9565217391304348,0.6981132075471699,0.607142857142857,0.4516129032258065,0.267605633802817,0.2162162162162162,0.139240506329114,0.8750000000000002,0.6363636363636362,0.607142857142857,0.4285714285714286,0.40625,0.2162162162162162,0.0465116279069768,-0.0909090909090908,-0.1176470588235294,-0.0999999999999999,-0.2741935483870967,-0.1818181818181818,-0.3023255813953488,-0.3959731543624161,-0.3959731543624161,-0.4117647058823529,-0.3571428571428571,-0.28,-0.3333333333333333,-0.3382352941176471,-0.4193548387096774,-0.4545454545454545,-0.5135135135135136,-0.5544554455445545,-0.5909090909090909,-0.620253164556962,-0.6086956521739131,-0.6120689655172413,-0.6052631578947367,-0.6564885496183206,-0.6470588235294117
FTPZ_05-L^F15,0.1560992659909122,-0.1560992659909122,13.0,-0.0326797947413207,0.1991615710137458,-0.4587682151961167,1.788155676626518,0.2076629196973036,-0.1672081218274112,-0.0359489688919955,2.203675597729065e-08,0.0530767313328921,0.1738840055153396,0.7057379335965395,-0.1089754713202454,-0.1955973044756319,-0.0476138005893998,0.1801301428730686,-4.064618885096701,1.1769319097994186,0.0731602540156892,0.0286143676976173,0.1551724137931036,-0.1594202898550725,0.1717171717171717,0.1485148514851484,0.0086956521739129,0.0740740740740739,-0.072,-0.2317880794701987,-0.1830985915492957,-0.1944444444444444,-0.3409090909090909,-0.4604651162790698,-0.4912280701754385,-0.4912280701754385,-0.5166666666666666,-0.5021459227467812,-0.4727272727272728,-0.42,-0.4844444444444444,-0.372972972972973,-0.2467532467532468,-0.2926829268292683,-0.3012048192771084,-0.3255813953488372,-0.1594202898550725,-0.1888111888111888,-0.1888111888111888,-0.2054794520547945,-0.1830985915492957,-0.1532846715328468,-0.0793650793650794,0.0740740740740739,0.0450450450450448,0.0841121495327101,0.0841121495327101,0.1047619047619046,0.4320987654320984,0.4320987654320984,0.4683544303797466,0.4499999999999997,0.4146341463414633,0.3333333333333332,0.3033707865168538,0.2888888888888887,0.3333333333333332,0.2888888888888887,0.3333333333333332,0.3975903614457832,0.4683544303797466
FTQA_00-L,0.0551724137931034,-0.0551724137931034,13.0,-0.0310689642448617,-0.0180376302285803,-0.4882159180946002,1.9543443282381328,0.1004500160720025,-0.0513326752221125,-0.0429160419790104,8.406729181944141e-10,-0.0832072617246596,-0.0088242124003406,0.2724005276173652,0.0126121028035591,0.0867300430799574,0.3734924318790977,-0.0374855234397365,-1.7176196032672113,1.6862429605792435,0.0048572645930975,0.0623813207679865,0.0416666666666667,0.0909090909090908,0.2307692307692306,0.4117647058823528,0.1428571428571428,0.263157894736842,0.2307692307692306,0.4117647058823528,0.5,0.4117647058823528,0.4117647058823528,0.4117647058823528,0.1999999999999999,0.6000000000000001,0.714285714285714,0.92,0.7777777777777777,0.714285714285714,1.1818181818181817,1.2857142857142856,1.0,1.0,1.0,1.0,1.0,0.846153846153846,0.846153846153846,0.846153846153846,0.846153846153846,1.0,1.0,1.0,1.4,1.6666666666666663,1.4,1.4,1.4,1.6666666666666663,1.4,1.6666666666666663,1.6666666666666663,1.4,1.0,1.4,1.4,1.4,1.1818181818181817,1.6666666666666663,1.1818181818181817
FTQX_59-L^F08,0.1014404895932565,-0.1014404895932565,13.0,0.0908377595364558,0.140645011060659,-0.1836072111501236,1.4095018905145489,0.1915774099318403,0.1901234567901234,-0.0066972662451998,2.794246254559523e-06,0.0759898599710284,0.0587248322147651,-0.0051076800580728,-0.0664051324480602,-0.089601468585845,0.1218830918370436,0.1803443433472854,-1.7141463414634146,0.9653131678448136,0.1202369320957498,0.3069708111352892,-0.1027027027027027,-0.0159574468085105,0.1144578313253013,0.4015151515151516,0.0571428571428571,-0.0414507772020724,-0.3321299638989169,-0.3097014925373135,-0.1885964912280701,-0.0364583333333332,-0.1314553990610327,-0.1628959276018099,-0.1590909090909091,-0.1474654377880183,0.022099447513812,0.0164835164835164,-0.1991341991341991,-0.1885964912280701,-0.2127659574468084,-0.206008583690987,-0.2418032786885245,-0.2194092827004219,-0.3173431734317342,-0.2716535433070866,-0.2291666666666666,-0.0463917525773195,0.1635220125786163,-0.026315789473684,-0.1355140186915887,-0.1704035874439461,-0.0512820512820512,-0.026315789473684,0.0755813953488373,0.2171052631578947,0.1490683229813665,0.3120567375886527,0.380597014925373,0.2333333333333334,0.4682539682539683,0.6972477064220184,0.5040650406504066,0.1144578313253013,0.0755813953488373,-0.110576923076923,-0.1062801932367148,-0.0841584158415841,-0.0463917525773195,0.1212121212121213,-0.0364583333333332
FTRR_S4-L^A11,0.1284610501893317,-0.1284610501893317,13.0,0.3118416502913818,-0.0916438374834744,-0.7893611961678496,1.2158020001923262,0.3079743780170813,-0.5887468663922503,-0.0364874034189154,3.2464903579748126e-08,0.0569606908824099,0.6960425266097522,0.2095260531682192,0.198699008042483,0.1926489188267688,-0.4114402285865626,-0.0719764022582767,-1.0529872615274205,1.0947807481488605,0.0383248455047958,0.1533717080003195,-0.0536277602523659,0.0837606837606839,0.3153526970954357,0.8270893371757924,0.1341681574239714,0.283400809716599,0.1527272727272726,0.0242326332794828,-0.1182197496522948,-0.0744525547445255,-0.1569148936170212,-0.2192118226600984,-0.29082774049217,-0.1478494623655915,-0.1182197496522948,-0.2645011600928073,-0.1646903820816864,-0.0784883720930232,0.0209339774557166,0.0912220309810671,0.2215799614643543,-0.1569148936170212,-0.3326315789473684,-0.3255319148936171,-0.1712418300653595,0.2991803278688525,0.634020618556701,0.634020618556701,0.4675925925925925,0.6467532467532466,0.601010101010101,0.550122249388753,0.6553524804177544,0.6510416666666667,0.6861702127659575,0.987460815047022,0.9628482972136224,0.98125,0.9689440993788818,1.2402826855123674,0.8114285714285714,0.5654320987654322,0.6091370558375635,0.6382428940568474,0.7417582417582416,0.7808988764044944,0.7465564738292012,1.0786885245901638,1.0993377483443707
