firms,absacc,acc,age,agr,chpmia,currat,depr,egr,grltnoa,herf,invest,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
MOOT_00-L^B03,0.015232837499361,-0.015232837499361,10.0,-0.0633249736008446,3.5640198461055665,1.0955808335011077,0.1426515272669118,0.382293354943274,-0.1194431665218351,3.1115286630575997e-09,-0.0530953009503695,-0.4597791738818689,-0.0326365237973096,-0.3837700637351553,-0.0196450309702714,-0.3186515487916815,-0.5378796864007007,-7.45,0.5706663982283068,5.367206726825266,-0.3464319160891552,0.1666666666666667,0.4399999999999999,0.2857142857142856,0.125,-0.0769230769230769,-0.25,-0.4857142857142856,-0.4375,-0.4375,-0.4285714285714286,-0.6435643564356436,-0.7096774193548387,-0.7333333333333334,-0.7707006369426752,-0.7707006369426752,-0.7906976744186047,-0.8,-0.7906976744186047,-0.84,-0.912621359223301,-0.918552036199095,-0.9076923076923076,-0.9260780287474332,-0.9359430604982206,-0.9359430604982206,-0.93036750483559,-0.9314285714285714,-0.9376083188908144,-0.9294117647058824,-0.9294117647058824,-0.9466666666666668,-0.9478260869565216,-0.9454545454545454,-0.944186046511628,-0.952,-0.95,-0.9571428571428572,-0.9593220338983052,-0.9555555555555556,-0.9571428571428572,-0.963076923076923,-0.963076923076923,-0.9563636363636364,-0.960655737704918,-0.961904761904762,-0.9636363636363636,-0.9688041594454072,-0.9688041594454072,-0.9670932358318098
MOOY_46-L^B02,0.1422298179401362,-0.1422298179401362,10.0,-0.0886075949367088,-0.3949975742358089,2.1348273992409177,0.1732721121314644,0.0243311360992632,-0.0772389565382514,8.76504716196554e-10,0.0360237738759585,-0.1260724399654405,0.127976740502284,0.1216813431324304,0.0330489225006306,-0.0476573322229009,0.1533319923450196,-5.330960854092526,1.0417495029821071,5.430023455824864,-0.0875049270792273,-0.2384105960264901,0.0,0.0202702702702703,-0.032051282051282,-0.032051282051282,-0.1420454545454545,-0.2135416666666666,-0.2669902912621359,-0.2052631578947368,-0.1220930232558139,-0.032051282051282,-0.032051282051282,0.0202702702702703,0.0413793103448276,-0.0792682926829267,-0.151685393258427,0.0942028985507248,0.1102941176470586,0.1102941176470586,0.0785714285714287,0.0413793103448276,-0.006578947368421,-0.006578947368421,-0.006578947368421,-0.006578947368421,-0.006578947368421,-0.0679012345679013,-0.1011904761904761,-0.1703296703296704,-0.1793478260869565,-0.201058201058201,-0.1925133689839572,-0.2135416666666666,-0.2561576354679802,-0.1468926553672316,-0.1468926553672316,-0.1468926553672316,-0.1968085106382978,-0.2094240837696335,-0.233502538071066,-0.0130718954248366,-0.0194805194805195,-0.006578947368421,0.0272108843537415,0.1526717557251908,0.1526717557251908,0.2479338842975207,0.2583333333333333,0.2583333333333333
MOPD_04-L^G08,0.0549017627152886,-0.0549017627152886,10.0,0.0055713128038897,0.1066560396035923,1.24591211037302,0.0688150718889439,0.0805609915198955,-0.0289913632001615,1.686730043178069e-09,0.0173723662884927,-0.209128758324292,-0.1822824327842718,0.2267302171258077,-0.1970297798590287,-0.0236682002556482,0.0297274821375986,-1.0111627906976743,0.6881706693919265,7.744573954983923,-0.0014251658374792,0.0298507462686565,0.0151515151515151,0.046875,0.046875,0.0151515151515151,-0.1410256410256409,0.0151515151515151,0.046875,0.1754385964912281,0.1754385964912281,0.2884615384615385,0.2884615384615385,0.3137254901960784,0.3137254901960784,0.3137254901960784,0.4565217391304348,0.4255319148936172,0.4255319148936172,0.4255319148936172,0.5227272727272727,0.4888888888888889,0.4565217391304348,0.3958333333333335,0.4565217391304348,0.5952380952380953,0.6341463414634148,0.5952380952380953,0.5952380952380953,0.5952380952380953,0.5227272727272727,0.558139534883721,0.5227272727272727,0.5227272727272727,0.4565217391304348,0.4565217391304348,0.4565217391304348,0.4565217391304348,0.4565217391304348,0.3958333333333335,0.3958333333333335,0.3673469387755104,0.4888888888888889,0.4565217391304348,0.5227272727272727,0.5227272727272727,0.558139534883721,0.5227272727272727,0.5227272727272727,0.5227272727272727
MOPH_37-L^E05,0.0398115754386931,-0.0398115754386931,3.0,0.1152210141127387,0.2741478240631405,1.1728572755130466,0.0352068812101438,0.0896210873146622,0.0645161290322582,7.368111039395964e-09,0.0802246850563461,1.0193892888579232,0.1094649726978603,0.0287308544638042,0.4637933573161809,0.2030243792502725,-0.166182970786122,-0.4969055150598268,0.7100009285913269,8.708400908206292,-0.0142337865788732,0.1119402985074626,0.0,0.0,-0.021897810218978,-0.0629370629370628,-0.0694444444444443,-0.0694444444444443,0.0075187969924812,0.0894308943089432,0.2761904761904763,0.3400000000000001,0.3400000000000001,0.3400000000000001,0.3400000000000001,0.3400000000000001,0.3400000000000001,0.3958333333333335,0.3673469387755104,0.3673469387755104,0.3958333333333335,0.4565217391304348,0.4888888888888889,0.4565217391304348,0.4565217391304348,0.4725274725274726,0.4105263157894738,0.558139534883721,0.4725274725274726,0.4255319148936172,0.4105263157894738,0.3400000000000001,0.4888888888888889,0.4565217391304348,0.3673469387755104,0.3400000000000001,0.3673469387755104,0.3673469387755104,0.3267326732673268,0.3267326732673268,0.2884615384615385,0.2641509433962263,0.2293577981651375,0.2523364485981307,0.3009708737864078,0.2761904761904763,0.3673469387755104,0.3267326732673268,0.4888888888888889,0.2884615384615385
MOPS_20-L^I00,0.2106684672518568,-0.2106684672518568,10.0,-0.1640718999526014,-0.1586202530222201,0.7967887917674044,0.2077855382087099,-0.7919979481918441,-0.2590459546411402,4.1767338941177014e-09,-0.2074233419622998,1.0773691285198026,-0.0838850510712253,0.3638183450222187,-0.0875560058174583,-0.1185740996154049,0.0877207484736212,-2.03921568627451,0.7708759531337177,6.363273871983211,0.0172954656019863,-0.0322580645161291,-0.1388888888888888,-0.3673469387755101,-0.5571428571428572,-0.5694444444444444,-0.6219512195121951,-0.6395348837209303,-0.4655172413793103,-0.4918032786885246,-0.4363636363636364,-0.5,-0.5810810810810811,-0.6025641025641026,-0.6395348837209303,-0.5571428571428572,-0.6630434782608696,-0.7181818181818183,-0.7479674796747968,-0.6352941176470588,-0.4363636363636364,-0.5571428571428572,-0.4833333333333333,-0.5810810810810811,-0.6555555555555556,-0.6555555555555556,-0.7686567164179104,-0.7905405405405406,-0.7960526315789473,-0.7933333333333333,-0.7862068965517242,-0.80625,-0.8176470588235294,-0.7862068965517242,-0.7615384615384615,-0.7669172932330828,-0.7669172932330828,-0.7669172932330828,-0.7686567164179104,-0.7832167832167832,-0.7479674796747968,-0.7862068965517242,-0.7801418439716312,-0.7987012987012987,-0.8197674418604651,-0.8277777777777777,-0.8622222222222222,-0.8385416666666666,-0.8359788359788359,-0.8590909090909091
MOPV_59-L^C99,0.0439416726606944,-0.0439416726606944,10.0,0.0220811847150602,0.4761073822988473,1.2550718398536298,0.1453599781001916,1.190874524714829,0.0054273196887464,5.4978920011415714e-09,0.0199986777733703,2.168897813400755,0.0863310753864353,0.0084942271461006,0.1925787025569074,0.4609661060343721,0.2785866230929006,-0.3872082973206569,1.051929182586235,5.475759483708485,0.1292259750377355,0.0206185567010308,0.4923076923076921,0.732142857142857,0.7017543859649125,1.0208333333333337,0.515625,0.2597402597402596,0.1686746987951808,0.2278481012658226,0.3287671232876712,0.5901639344262295,0.5772357723577235,0.4057971014492754,0.4370370370370369,0.7962962962962961,0.9595959595959596,1.0638297872340423,1.1555555555555554,1.1555555555555554,1.2045454545454546,1.4871794871794872,1.6216216216216215,1.4871794871794872,1.255813953488372,1.6944444444444446,1.939393939393939,2.2333333333333334,2.129032258064516,2.344827586206897,1.984615384615384,1.984615384615384,2.2333333333333334,3.041666666666667,2.6603773584905657,4.388888888888889,3.85,3.9743589743589753,3.7317073170731705,3.217391304347826,2.2333333333333334,1.6216216216216215,1.5866666666666664,1.4556962025316451,1.3950617283950617,1.4249999999999998,1.4249999999999998,1.4249999999999998,1.3373493975903616,1.2823529411764705
MOPW_03-L^D00,0.1206124118586622,-0.1206124118586622,4.0,-0.033277997701443,-2.0148339613831543,1.422363002850808,0.07085064509075,-0.1265835511763523,-0.0001558299894814,1.3615834145033955e-09,0.0426254629038436,0.3349090984758591,0.1455522312504694,0.0568889645659899,0.0450581970636811,-0.1943344419617066,0.0010109225679638,-1.4124087591240877,0.842001900538486,2.88437187604132,-0.1438815122518111,-0.3571428571428572,0.7500000000000002,0.7500000000000002,0.7500000000000002,0.4000000000000001,-0.1249999999999998,-0.2222222222222221,-0.3636363636363635,-0.5,-0.5,-0.6666666666666666,-0.6744186046511628,-0.6888888888888889,-0.7254901960784313,-0.8771929824561403,-0.8771929824561403,-0.875,-0.8970588235294118,-0.8970588235294118,-0.8962962962962963,-0.8923076923076922,-0.8861788617886179,-0.888,-0.8962962962962963,-0.8939393939393939,-0.9066666666666666,-0.9156626506024096,-0.8970588235294118,-0.8939393939393939,-0.8970588235294118,-0.9096774193548388,-0.9047619047619048,-0.9125,-0.9176470588235294,-0.9176470588235294,-0.8955223880597015,-0.8852459016393442,-0.8585858585858586,-0.8444444444444444,-0.8390804597701149,-0.8390804597701149,-0.8390804597701149,-0.8444444444444444,-0.8133333333333334,-0.8205128205128205,-0.825,-0.8333333333333333,-0.8426966292134831,-0.86
MOPY_13-L^B12,0.2435341998162006,-0.2435341998162006,2.0,-0.338622607557664,1.3596375038128363,0.7501140337539912,0.3687002652519893,-1.4885135135135137,-0.1184849678351055,1.433530199354584e-09,-0.3595070614537325,-0.1890294488147319,-0.257119749851638,0.157556341693549,-0.2701078965518668,0.1385278624832062,0.2022228307935375,-0.8418425232584524,0.3294815265318535,10.884497549019608,-0.2094570538495771,-0.176470588235294,0.4166666666666667,0.3076923076923077,0.2142857142857142,0.3076923076923077,0.0625,0.7,0.7,0.4166666666666667,0.4166666666666667,0.1333333333333335,-0.2272727272727271,-0.2272727272727271,-0.2272727272727271,-0.2272727272727271,-0.2272727272727271,-0.2916666666666666,-0.2916666666666666,-0.3461538461538461,-0.15,-0.6136363636363635,-0.6136363636363635,-0.575,-0.6136363636363635,-0.46875,-0.5526315789473684,-0.5,-0.6458333333333333,-0.6730769230769231,-0.7384615384615385,-0.7384615384615385,-0.7671232876712328,-0.7792207792207793,-0.7763157894736842,-0.8629032258064516,-0.864,-0.9065934065934066,-0.9065934065934066,-0.907103825136612,-0.907103825136612,-0.915,-0.9114583333333334,-0.92018779342723,-0.9216589861751152,-0.9166666666666666,-0.9178743961352656,-0.9178743961352656,-0.9182692307692308,-0.9090909090909092
MOQA_21-L^A02,0.1007991237023575,0.1007991237023575,2.0,-0.1928242042514902,-1.3879920173858826,1.1448660714285714,0.141357661369433,-4.330188679245283,-0.1605964798725382,4.9041746401831585e-09,-0.2183106512203352,-0.5548318656947192,0.804829197210032,0.1700253183478609,0.8109261548225601,-0.0209639810932963,0.1904507903794738,2.400118553645524,0.9518303571428572,5.872296693476319,-0.1551249742851265,0.0,-0.0476190476190475,0.25,-0.0909090909090908,-0.1666666666666666,-0.1666666666666666,-0.2307692307692307,-0.2307692307692307,-0.1304347826086956,-0.1999999999999999,-0.1999999999999999,-0.1999999999999999,-0.4285714285714285,-0.4285714285714285,-0.375,-0.5,-0.5,-0.4444444444444444,-0.4444444444444444,-0.4936708860759493,-0.5,-0.5555555555555556,-0.6153846153846154,-0.6428571428571428,-0.6296296296296297,-0.6428571428571428,-0.6610169491525424,-0.6799999999999999,-0.6850393700787402,-0.6946564885496183,-0.6666666666666666,-0.7222222222222222,-0.6296296296296297,-0.6226415094339622,-0.6296296296296297,-0.6666666666666666,-0.6521739130434783,-0.5918367346938775,-0.5789473684210527,-0.5294117647058822,-0.6039603960396039,-0.607843137254902,-0.5698924731182795,-0.6,-0.5918367346938775,-0.5918367346938775,-0.607843137254902,-0.6330275229357798,-0.6330275229357798
MOQU_01-L^K06,0.1180748536628628,-0.1180748536628628,10.0,0.1167709637046307,-0.2440595553485821,1.5038913072154068,0.0834403080872914,0.2789550602849835,0.0240643292142139,9.936361505274146e-10,0.1223404255319148,-0.0744088840815347,-0.0650631750975908,0.0889873785407083,-0.1067061419961594,0.0798520350732607,0.1401545781781719,-0.6910034602076123,0.9497427779976256,4.617954722872756,0.264233202256796,-0.0666666666666665,0.0,-0.0476190476190476,-0.0163934426229508,0.0714285714285714,0.0526315789473683,-0.1176470588235295,-0.1666666666666666,0.0526315789473683,0.0169491525423728,0.0714285714285714,0.0344827586206897,0.0526315789473683,-0.0625,-0.0769230769230769,-0.0909090909090909,-0.0476190476190476,0.0526315789473683,-0.0322580645161291,-0.0625,-0.1176470588235295,0.1999999999999999,-0.0909090909090909,-0.0322580645161291,-0.1549295774647887,-0.2,-0.2592592592592593,-0.2307692307692308,-0.2500000000000001,-0.2500000000000001,-0.1549295774647887,-0.2,-0.2771084337349397,-0.2592592592592593,-0.3023255813953488,-0.2941176470588235,-0.2771084337349397,-0.3181818181818182,-0.3877551020408163,-0.375,-0.3181818181818182,-0.3478260869565218,-0.3258426966292135,-0.2941176470588235,-0.3023255813953488,-0.2405063291139241,-0.2307692307692308,-0.0476190476190476,0.0344827586206897
