firms,absacc,acc,age,agr,chpmia,currat,depr,egr,grltnoa,herf,invest,pchcurrat,pchdepr,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BCQE_67-L^A14,0.0879849093742311,-0.0879849093742311,9.0,0.0692054441163491,-0.680194481725227,1.7022306397306397,0.1352897748246585,-0.0430198625623646,0.0164028540966099,1.0188851060620863e-05,0.0586498319926687,-0.0692847710654422,0.063261731138441,-0.0530142651229219,0.1329862780166724,-0.0398978605716456,-1.056737588652482,1.1753998316498315,0.1562848678388674,-0.0489429481610192,-0.0865079365079364,0.0838041431261771,0.0827845719661335,0.1567839195979898,0.2327740092823991,0.2893950709484689,0.1760899182561308,0.2201413427561838,0.1452736318407961,0.0934135528815707,0.2583819241982508,0.2323340471092077,0.1748894181694453,0.2922904191616766,0.3383720930232559,0.2746400885935769,0.370782056371576,0.3789936102236422,0.3290993071593533,0.4551201011378003,0.4864399483426604,0.4896462467644522,0.5526079136690649,0.5774326176336226,0.6341694273544725,0.7725872689938398,0.7448206164729663,0.8715447154471545,0.901431718061674,1.1093463653023825,1.158125,1.2407527579493838,1.333108108108108,1.1223110018438844,1.119705340699816,1.1909898477157363,1.2320620555914674,1.067664670658683,0.9619318181818182,1.1119266055045869,1.1621790857858485,0.907734806629834,0.9982638888888888,0.9453521126760565,1.008726003490401,1.0751201923076923,1.0395747194329594,1.1648902821316618
BCUB_73-L^L00,0.0685468667521303,-0.0685468667521303,9.0,0.1094408653463772,1.0277206472559153,1.7457448675206175,0.1261061946902655,0.2098613251155624,-0.022622728301031,3.277121944558371e-06,0.0450966356478168,-0.0478848145922213,0.0618327498858471,-0.0324982985778055,0.023510639213964,-0.0242739595463472,-0.6039867109634552,1.393226881909107,0.0978421900161031,-0.0809792843691148,-0.2086438152011923,-0.1,-0.0074766355140186,0.0270793036750482,-0.0585106382978724,-0.0056179775280899,-0.0166666666666668,0.0,-0.0415162454873646,-0.0876288659793815,-0.0345454545454546,-0.0651408450704225,-0.1060606060606061,-0.0345454545454546,0.0114285714285713,-0.0220994475138122,0.0037807183364837,-0.0220994475138122,0.0641282565130259,0.0903490759753593,0.1016597510373442,0.1568627450980391,0.2013574660633483,0.2291666666666665,0.193258426966292,0.2377622377622377,0.2826086956521738,0.3341708542713566,0.3792207792207791,0.4628099173553719,0.4197860962566844,0.5481049562682214,0.5617647058823529,0.3900523560209423,0.4197860962566844,0.4873949579831933,0.5302593659942361,0.4351351351351349,0.3720930232558137,0.5128205128205128,0.4668508287292816,0.2888349514563106,0.3477157360406091,0.2888349514563106,0.2642857142857142,0.3241895261845386,0.3828125,0.5526315789473684
BCYN_75-L^D01,0.0657758493170948,-0.0657758493170948,9.0,-0.0008871365204534,1.498324491718712,1.0035324341682723,0.0830505447401321,0.0106769650159018,-0.0276120506878359,3.5681259429770214e-05,-0.0018728437654016,-0.2685428324538368,-0.0320315819943215,-0.2973908126151063,0.2194962137772092,0.254199516451172,-0.896505376344086,0.7350674373795761,0.2415011037527593,-0.0756172839506172,-0.2220888355342136,-0.1910112359550561,-0.1999999999999999,-0.2619589977220955,-0.2447552447552446,-0.2068543451652386,-0.1776649746192893,-0.1638709677419354,-0.1290322580645161,-0.1627906976744185,-0.2039312039312039,-0.1950310559006211,-0.1980198019801979,-0.1869510664993725,-0.160621761658031,-0.1869510664993725,-0.2183353437876959,-0.2508670520231213,-0.1776649746192893,-0.1405835543766578,-0.1439894319682958,-0.1617076326002587,-0.160621761658031,-0.1062068965517241,-0.1670951156812339,-0.0898876404494382,-0.1255060728744939,-0.0553935860058308,-0.0342771982116243,-0.0151975683890577,-0.0255639097744361,0.0384615384615385,0.0062111801242235,-0.0512445095168374,-0.0649350649350648,-0.0847457627118644,-0.0999999999999999,-0.1086657496561209,-0.1123287671232875,-0.0553935860058308,-0.0581395348837208,-0.0756062767475035,-0.0456553755522827,-0.0949720670391061,-0.111111111111111,-0.0342771982116243,0.0675453047775946,0.1509769094138544
BCYO_38-L^K98,0.0036333008538257,-0.0036333008538257,8.0,0.2611374584562529,-2.372798640558432,1.0664445250899013,0.1854655563966692,0.2595356550580432,0.0001321200310482,5.301081355180128e-07,-0.0029500728182531,-0.0331709827098538,0.0930306151574193,-0.0331709827098538,0.0283528352835283,-0.4540154454015898,-0.2029520295202952,1.0664445250899013,0.0283528352835283,-0.0158730158730159,-0.0307692307692307,0.0161290322580645,-0.015625,-0.0454545454545455,-0.0454545454545455,-0.136986301369863,-0.1428571428571428,-0.1764705882352941,-0.0869565217391303,-0.0999999999999999,0.0,0.0161290322580645,0.008,-0.0381679389312977,-0.093525179856115,-0.16,-0.245508982035928,-0.1870967741935484,-0.2363636363636363,-0.1710526315789473,-0.1818181818181818,-0.1063829787234041,-0.0526315789473684,0.0,0.0413223140495868,-0.0381679389312977,-0.136986301369863,-0.1486486486486486,-0.2409638554216867,-0.1870967741935484,-0.1063829787234041,-0.0999999999999999,-0.0999999999999999,-0.0802919708029197,-0.1126760563380281,-0.125,-0.136986301369863,-0.1710526315789473,-0.1188811188811188,-0.1486486486486486,-0.2075471698113208,-0.4521739130434782,-0.4424778761061946,-0.4193548387096774,-0.4272727272727273,-0.4424778761061946,-0.4568965517241379,-0.4028436018957345
BCZB_W7-L^G07,0.0971509971509971,-0.0971509971509971,9.0,0.0787681374000592,0.5712467804608576,0.4440085592011412,0.0507381639232988,0.0387662705149971,0.0245014245014172,0.0002024114085107,0.1002368966538347,-0.0513506695269933,-0.0038528823979676,0.0767418725129514,0.0831610755876666,-0.3544321892957383,-1.6923076923076923,0.1786733238231098,0.0608220479923972,-0.0035087719298246,0.0857142857142858,0.1515151515151516,0.1704312114989732,0.3539192399049882,0.4357682619647354,0.4960629921259842,0.4805194805194805,0.6193181818181819,0.5405405405405406,0.2866817155756209,0.3348946135831383,0.3734939759036144,0.3380281690140847,0.2866817155756209,0.3043478260869565,0.3133640552995391,0.2666666666666666,0.3603818615751788,0.3507109004739337,0.3286713286713287,0.2751677852348995,0.2694877505567927,0.2925170068027212,0.2364425162689805,0.1468812877263583,0.0594795539033456,0.0754716981132075,0.1287128712871288,0.1089494163424125,0.1400000000000001,0.1561866125760649,0.1999999999999999,0.1704312114989732,0.2127659574468086,0.2418300653594771,0.2500000000000002,0.2418300653594771,0.1089494163424125,0.2101910828025477,0.2527472527472527,0.3475177304964538,0.3380281690140847,0.3317757009345794,0.383495145631068,0.3013698630136987,0.1242603550295857,0.2205567451820129,0.2582781456953642
BCZR_85-L^G00,0.0816873597651574,-0.0816873597651574,8.0,0.015868817372179,1.1168823080160295,2.1770543656999752,0.1595121711748988,0.0328602486409306,0.0029317729293363,1.584102647646308e-06,0.024634637494761,-0.0977562062852225,0.0429763124764281,-0.0639965895815118,0.2727667490884234,0.1537539906749033,-3.4186229466926807,1.6770669375480876,0.1189742795575458,-0.0225225225225226,-0.1259842519685038,-0.0431034482758618,0.0230414746543781,-0.0826446280991735,-0.0512820512820511,-0.0593220338983049,-0.2291666666666665,-0.231833910034602,-0.171641791044776,-0.1395348837209301,-0.0133333333333331,-0.1927272727272726,-0.269736842105263,-0.2448979591836734,-0.2371134020618556,-0.2721311475409835,-0.30625,-0.3470588235294116,-0.3272727272727271,-0.2721311475409835,-0.2673267326732672,-0.2210526315789472,-0.1225296442687745,-0.1225296442687745,-0.180811808118081,-0.1838235294117647,-0.159090909090909,-0.1361867704280154,-0.1838235294117647,-0.0826446280991735,-0.0553191489361701,-0.0305676855895196,0.0045248868778282,-0.0044843049327353,-0.0133333333333331,-0.1155378486055775,-0.0512820512820511,-0.1494252873563217,-0.1294117647058822,0.0,-0.0220264317180616,-0.0711297071129707,0.0622009569377992,-0.0089285714285713,0.0,0.150259067357513,0.1746031746031748,0.0622009569377992
BDAJ_H9-L,0.0743273375947673,-0.0743273375947673,3.0,-0.0478816018572257,-7.488918371634398,1.9209225700164745,0.0665593129361245,-0.1587664191890348,0.048164114761398,4.566731770903976e-06,0.0960533952408589,0.6795232096133345,-0.1685368368138094,0.8475161576479533,0.1912575072750913,-1.1640255283598506,-1.2953367875647668,1.7627677100494237,-0.0345489443378119,0.036717062634989,-0.0795228628230616,-0.0570264765784114,-0.074,-0.1078998073217727,-0.2192242833052275,-0.2179054054054053,-0.20446735395189,-0.2071917808219178,-0.2270450751252087,-0.2321724709784411,-0.2139219015280136,-0.1891418563922942,-0.2179054054054053,-0.2765625,-0.3058470764617691,-0.3338129496402878,-0.3376251788268956,-0.3801874163319946,-0.3280116110304789,-0.3171091445427729,-0.2909647779479326,-0.282170542635659,-0.1891418563922942,-0.2030981067125645,-0.2112436115843271,-0.2483766233766233,-0.2071917808219178,-0.1672661870503596,-0.240983606557377,-0.1975736568457539,-0.1819787985865725,-0.1061776061776061,-0.1078998073217727,-0.198961937716263,-0.1891418563922942,-0.1732142857142856,-0.1612318840579709,-0.2017241379310345,-0.1819787985865725,-0.095703125,-0.0684104627766599,-0.2218487394957983,-0.1345794392523364,-0.2192242833052275,-0.2296173044925125,-0.1504587155963302,-0.0433884297520661,-0.0127931769722815
BDFF_05-L^C99,0.0100142627378387,0.0100142627378387,9.0,-0.0975116910109115,-4.776317602527485,2.038315088053308,0.0816470921182963,-0.0083216456287985,-0.0733165417412594,4.2988636845312764e-06,-0.1311702557589053,0.1853142586488103,0.1361356162445168,0.3223609354801462,0.0358117511696462,-0.354452032435985,0.3313253012048193,1.4259876249405046,-0.1641260597756274,-0.1779661016949153,-0.0166666666666666,-0.0634920634920633,-0.0483870967741935,-0.1323529411764705,-0.2337662337662337,-0.2337662337662337,-0.2027027027027027,-0.2804878048780487,-0.3017751479289939,-0.3789473684210526,-0.3621621621621621,-0.3257142857142856,-0.3621621621621621,-0.3854166666666666,-0.4070351758793968,-0.404040404040404,-0.3689839572192512,-0.4129353233830846,-0.404040404040404,-0.3821989528795811,-0.3756613756613756,-0.4326923076923077,-0.4158415841584157,-0.4326923076923077,-0.4636363636363636,-0.4778761061946902,-0.4460093896713615,-0.4129353233830846,-0.4587155963302752,-0.4407582938388625,-0.4354066985645932,-0.4129353233830846,-0.4070351758793968,-0.4636363636363636,-0.4380952380952381,-0.4485981308411214,-0.41871921182266,-0.506276150627615,-0.4913793103448275,-0.4778761061946902,-0.5,-0.512396694214876,-0.4847161572052401,-0.5163934426229508,-0.5298804780876494,-0.5372549019607843,-0.5241935483870968,-0.4847161572052401
BDRV_05-L^D00,0.1176038760828072,-0.1176038760828072,29.0,-0.0439402642159678,2.623719316304721,1.1095238095238096,0.0548408937034529,-0.0363078496548197,-0.0913228600792588,3.11407944573185e-05,-0.0318782309017805,0.2707099200752234,0.1586036844423813,0.3259009009009009,0.1309453904873752,-0.0834330580682885,-3.204,0.9666666666666668,0.0283812879232726,0.0323043790380475,0.0017979144192736,0.0036023054755043,0.0028797696184303,0.1233870967741934,0.0916927899686519,0.0450112528132031,0.0318518518518518,-0.0095982936366868,-0.017283950617284,0.0193926088547384,0.0541051835035943,0.0641711229946524,0.0686612965093977,0.0193926088547384,0.0489457831325301,0.0238882763689818,0.0434456928838951,0.0686612965093977,0.1064336775218426,0.0968503937007874,0.129306850425618,0.1642290012536564,0.2251539138082674,0.262347077480743,0.3018691588785047,0.2898148148148147,0.2470904207699193,0.3916083916083916,0.4257932446264074,0.5240700218818379,0.5133079847908746,0.6349765258215962,0.5929102344196684,0.6263864565090485,0.6160092807424595,0.5215729109776079,0.6311475409836067,0.4279856483854432,0.5075757575757576,0.6475458308693081,0.6122685185185184,0.4655444502893213,0.5731225296442686,0.6160092807424595,0.494635193133047,0.561659192825112,0.558165548098434,0.7081545064377683
BKEO_50-L^A00,0.0837285363859362,-0.0837285363859362,9.0,0.2067845543125223,-12.239871994105656,1.2737896494156928,0.175217812197483,1.21978021978022,0.1223221586263274,1.4249000379635548e-07,0.1844099603031395,-0.0477494853882683,-0.217853019046175,-0.1388100822434119,-0.3707332800650433,0.0548858857472913,-0.3377308707124011,0.9115191986644406,0.0711271850512355,-0.0194174757281553,-0.0096153846153845,-0.0593607305936072,-0.0096153846153845,-0.2046332046332045,-0.2589928057553956,-0.3133333333333333,-0.3223684210526315,-0.3439490445859873,-0.2797202797202797,-0.1953125,-0.2076923076923077,-0.2196969696969697,-0.1953125,-0.1792828685258963,-0.1591836734693877,-0.1759999999999999,-0.1271186440677965,-0.1726907630522088,-0.1522633744855968,-0.1522633744855968,-0.0925110132158589,-0.225563909774436,-0.2509090909090908,-0.2454212454212454,-0.2167300380228136,-0.2167300380228136,-0.1825396825396825,-0.1416666666666666,-0.1626016260162601,-0.1557377049180327,-0.0096153846153845,0.1318681318681318,0.1771428571428572,0.2716049382716048,0.1907514450867051,0.1907514450867051,0.3552631578947369,0.5846153846153845,0.6480000000000001,0.5488721804511278,0.4405594405594406,0.4609929078014185,0.4820143884892087,0.3825503355704698,0.2046783625730994,0.5036496350364963,0.6349206349206349,0.8230088495575223
BKLI_06-L^K01,0.1007828207212217,-0.1007828207212217,2.0,0.4651481598650216,-7.184052342717727,1.090308370044053,0.2610036445192038,1.0866995073891623,-0.0033651309691862,3.341073704874397e-08,0.1020774016661393,0.0665036222100496,2.194684608915056,0.0842398877434525,13.950549646844696,13.942580694584883,-1.1012776565908384,0.9104353795983752,14.320484287367572,-0.101010101010101,0.0421052631578948,0.2073170731707316,0.2374999999999998,0.3112582781456954,0.2531645569620253,0.0999999999999998,0.125,0.0102040816326529,0.0421052631578948,0.2857142857142856,0.2073170731707316,0.5114503816793892,0.523076923076923,0.3561643835616439,0.4142857142857143,0.2774193548387096,0.3655172413793104,0.523076923076923,0.523076923076923,0.1314285714285714,0.2774193548387096,0.1999999999999999,0.2374999999999998,0.2774193548387096,0.0702702702702702,0.1647058823529412,0.1647058823529412,-0.0571428571428571,0.0999999999999998,0.4142857142857143,0.7999999999999998,0.523076923076923,0.5840000000000001,0.5840000000000001,0.523076923076923,0.3655172413793104,0.2774193548387096,0.2374999999999998,0.6500000000000001,0.523076923076923,0.546875,0.375,0.375,0.2692307692307691,0.2374999999999998,0.546875,0.5,0.5
