firms,absacc,acc,age,agr,cashdebt,chpmia,currat,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchquick,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BDCK_44-L^L08,0.1297598835799175,-0.1297598835799175,13.0,0.0004852013585637,0.1702882483370288,-0.0141087633871385,0.8712674187126743,-0.0016085790884719,-0.08197914140189,2.57972999716088e-07,-0.1006792819019893,0.002664298401421,-2.388818797523207,0.0365671661364228,0.0402842291528423,-5.631578947368421,0.8626410086264101,0.0394803871625063,0.1622807017543859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,0.0,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0555555555555554,-0.0555555555555554,-0.0285714285714284,-0.0555555555555554
BLNT_37-L^D19,0.0041667893482714,0.0041667893482714,5.0,0.0747056570683894,0.028887150418111,-0.1501528579543883,1.0329008509624753,0.1723051662911909,0.0015544542401789,1.1228567582701077e-07,0.0037332249656874,0.0695174047901559,2.497365797980038,0.0024444401024035,0.0024444401024035,0.1850025032913646,1.0329008509624753,0.0154705299425949,0.2171624698027693,0.003257328990228,-0.0345911949685535,-0.0917159763313609,-0.0780780780780781,0.0182421227197344,0.0267558528428093,-0.016025641025641,-0.0032467532467532,-0.0253968253968254,0.0319327731092435,0.2581967213114753,0.2899159663865547,0.2304609218436872,0.2633744855967077,0.2953586497890295,0.2039215686274509,0.2765072765072764,0.3347826086956522,0.4413145539906102,0.2685950413223139,0.3318872017353578,0.6594594594594594,0.6243386243386244,0.7745664739884393,0.9616613418530352,1.102739726027397,1.192857142857143,1.6812227074235806,1.5798319327731094,1.3984375,1.3082706766917291,1.4959349593495932,1.4959349593495932,1.4365079365079363,1.4078431372549018,1.2910447761194028,1.590717299578059,1.475806451612903,1.612765957446808,1.7657657657657655,1.855813953488372,2.611764705882353,2.373626373626373,2.181347150259067,1.980582524271844,1.7410714285714284,2.301075268817204,2.569767441860465,2.468926553672316
BPVK_29-L,0.0442340869706782,-0.0442340869706782,30.0,0.0013846782067214,0.4563062129463291,0.2497096891128846,1.520524688772366,0.0549520709228183,-0.010392404858486,0.0001177530555803,0.0704298093048505,-0.057762416956303,0.3124077583475977,-0.0026572791221495,-0.0570171678414826,-0.2679474317561121,1.1498456714494676,0.3068809315779942,-0.0656346164200414,-0.1593944790739092,-0.1619402985074627,-0.2528276779773785,-0.2963659147869674,-0.3558933180384284,-0.3804137931034482,-0.3257280096067247,-0.2750161394448031,-0.2686421361120156,-0.2939327255580005,-0.2789727126805778,-0.3206291591046581,-0.3545977011494252,-0.3152439024390243,-0.3355029585798815,-0.3078582434514638,-0.3253229197957344,-0.2979055954985933,-0.2545635579156986,-0.3345185185185185,-0.3508670520231214,-0.2937106918238993,-0.3442335766423358,-0.2948194662480377,-0.2316113581936366,-0.2754838709677419,-0.2241796200345422,-0.1647452584603942,-0.1588014981273408,0.0427112349117921,-0.0110083663584323,-0.1253894080996884,-0.2105448154657293,-0.1906306306306305,-0.1122529644268774,-0.0776180698151951,-0.0331467929401635,-0.0899513776337114,-0.0798852929127406,-0.076859843814221,-0.2604543957853145,-0.1126037139470563,-0.1920863309352517,-0.1417653802063432,-0.0676629306766293,-0.0123131046613894,0.1246870305458187,0.0130807397383851,-0.0174978127734032
BUBP_92-L^K18,0.5371174728529121,-0.5371174728529121,6.0,-0.4320099063539974,-0.4445572666929918,-1.657718525628245,1.184448862381268,-1.2835187629643598,-0.0805857189864946,7.077709392129926e-06,0.0249464695714985,-0.1112689562098234,-1.3763797814077916,-0.1993232361005933,-0.3084837111483682,-1.1806017647909737,0.7269715043074885,0.7024263270428558,0.2038594969644405,0.0810810810810811,-0.1461538461538462,-0.2448979591836734,-0.2820181112548513,-0.3329326923076924,-0.2270194986072423,-0.1355140186915888,-0.2658730158730158,-0.3605990783410138,-0.2570281124497992,-0.0719063545150502,-0.2735602094240837,-0.312267657992565,-0.2094017094017093,-0.2248603351955307,-0.3721719457013575,-0.3239951278928137,-0.4064171122994652,-0.5219638242894057,-0.5049063336306869,-0.4574780058651027,-0.4663461538461538,-0.4611650485436893,-0.5343959731543624,-0.5413223140495869,-0.5763358778625954,-0.5811320754716982,-0.6476190476190476,-0.6382007822685789,-0.6815834767641997,-0.5981173062997828,-0.4427710843373494,-0.323170731707317,-0.1435185185185186,-0.0397923875432526,-0.0609137055837564,-0.0656565656565657,-0.0640809443507588,-0.0656565656565657,0.0109289617486338,0.0451977401129943,-0.0280210157618213,0.183368869936034,0.2144420131291027,0.1212121212121211,0.1212121212121211,0.1257606490872211,0.1909871244635193,0.2729357798165137
BWQW_65-L^I10,0.1150606278094662,-0.1150606278094662,22.0,-0.0605150371808492,0.2140086698608259,0.2462086851187455,1.6938477111685974,0.1902117320374868,-0.0691648094284694,1.045348697071728e-05,-0.0469247957800652,-0.1343265430221952,-0.9414780064389076,-0.1469929761650648,-0.1241204064231854,-1.6245333333333334,1.2293330334045665,0.147380709178462,-0.1782243332115454,0.0945945945945945,-0.1119999999999998,-0.1526717557251907,-0.159090909090909,-0.1428571428571426,-0.0901639344262293,0.1044776119402988,0.0471698113207548,0.1269035532994924,0.3136094674556213,0.4800000000000002,0.2065217391304348,0.0882352941176471,0.2065217391304348,0.150259067357513,0.4140127388535033,0.4899328859060403,0.2982456140350877,0.2758620689655173,0.5102040816326532,0.4800000000000002,0.3619631901840492,0.2982456140350877,0.0230414746543781,-0.026315789473684,0.0136986301369863,0.168421052631579,0.1269035532994924,0.1269035532994924,0.2906976744186047,0.2065217391304348,0.1100000000000001,0.0,0.0230414746543781,-0.1259842519685038,-0.1747211895910779,-0.1897810218978102,-0.207142857142857,-0.0472103004291845,-0.159090909090909,-0.0347826086956519,-0.0176991150442475,-0.0553191489361701,-0.2183098591549295,-0.159090909090909,-0.1868131868131867,-0.1685393258426964,-0.1190476190476189,-0.2861736334405144
CWI_80-L,0.1297275663931848,-0.1297275663931848,13.0,-0.0293504591290631,0.1479713603818615,0.1719885162395311,1.237785016286645,-0.0818848976438779,-0.0870758411709213,0.0001187462308685,-0.0112106360205058,-0.0006581653640477,2.3859862306701025,-0.0290245274855346,0.037337583311639,-2.2465346534653468,0.7666723812789302,0.1288864539104232,0.0417773705909299,0.0808510638297872,-0.013986013986014,-0.1391941391941391,-0.0194714881780251,0.0444444444444445,0.0763358778625953,0.124401913875598,0.2113402061855669,0.2303664921465966,0.1908783783783783,0.1519607843137254,0.201022146507666,0.2522202486678508,0.3152985074626864,0.2935779816513761,0.2589285714285714,0.3662790697674418,0.2477876106194689,0.4242424242424241,0.3823529411764705,0.4566115702479338,0.4626556016597509,0.5771812080536913,0.595022624434389,0.7581047381546135,0.5807174887892377,0.8359375,0.8170103092783505,1.1625766871165646,1.6305970149253728,1.6014760147601477,1.0028409090909092,0.8503937007874014,0.7893401015228425,0.3715953307392996,0.3352272727272727,0.3177570093457944,0.1595394736842104,0.1868686868686868,0.3505747126436782,0.376953125,0.2155172413793102,0.1426256077795786,0.3352272727272727,0.3055555555555553,0.3823529411764705,0.5562913907284768,-0.4015280135823429,-0.4800884955752212
CWV_20-L^I06,0.1122679580306698,-0.1122679580306698,14.0,-0.0250652533423657,0.1886185756435398,-0.0714531055868922,0.9987979806074204,-0.2697827689372589,-0.1188861985471925,1.2286796889465205e-05,-0.0093247524357925,0.2032308291163876,0.0371187295757414,-0.046203623574594,-0.0509895772401839,-2.7422375554460325,0.7904479525603013,0.0619877386890505,-0.0305335418378436,0.0901639344262297,-0.1724806201550388,-0.1988742964352721,-0.1756756756756756,-0.1981220657276996,-0.1866666666666667,-0.1668292682926829,-0.1943396226415095,-0.1981220657276996,-0.0747562296858073,-0.0584343991179714,-0.1643835616438357,-0.1611001964636542,-0.1943396226415095,-0.2048417132216016,-0.1740812379110252,-0.1417085427135678,-0.1502487562189056,-0.1502487562189056,-0.160275319567355,-0.1356275303643725,-0.1104166666666667,-0.0092807424593968,-0.1460000000000001,-0.1373737373737374,-0.0905218317358893,-0.1267893660531698,-0.1920529801324504,-0.2994257588187039,-0.3485888634630053,-0.3598200899550225,-0.3578947368421054,-0.3450920245398773,-0.3607784431137725,-0.3206046141607002,-0.3525398028809704,-0.3395204949729312,-0.3135048231511255,-0.2264492753623188,-0.1338742393509128,-0.0183908045977011,0.0376670716889426,-0.0069767441860465,-0.0069767441860465,-0.0206422018348625,0.0142517814726839,0.187760778859527,0.0865139949109412,0.0837563451776648
DLY_Y2-L^F16,0.0941778630838131,-0.0941778630838131,13.0,-0.1204906204906205,0.1272372274650179,0.2731382501805364,0.8853948287910552,0.5271453590192644,-0.1182341650671719,1.0535445571306608e-05,-0.0524290524290524,-0.2313669064748201,0.6662125317480196,-0.4514401604229331,-0.4405510631925727,-2.3,0.6526904262753319,-0.010392609699769,0.2406593406593406,0.144963144963145,-0.0665137614678899,-0.1794354838709676,-0.2003929273084478,-0.1924603174603174,-0.107456140350877,-0.0874439461883407,0.040920716112532,0.0598958333333334,0.0824468085106384,0.108991825613079,0.0544041450777204,0.2333333333333334,0.279874213836478,0.2446483180428136,0.3257328990228014,0.5243445692883897,0.4908424908424909,0.4693140794223827,0.7319148936170212,0.6958333333333335,0.58984375,0.6958333333333335,0.5593869731800769,0.5074074074074073,0.5300751879699248,0.6477732793522266,0.58984375,0.724576271186441,1.1088082901554408,0.8930232558139537,0.5593869731800769,0.5775193798449614,0.5416666666666667,0.5186567164179106,0.2679127725856698,0.2561728395061728,0.5300751879699248,0.6086956521739133,0.6086956521739133,0.910798122065728,0.9757281553398058,0.9757281553398058,1.2994350282485878,1.142105263157895,0.7929515418502204,0.6958333333333335,0.5358490566037737,0.3129032258064517
DOQX_41-L^J16,0.1365629984051037,-0.1365629984051037,14.0,0.2935528120713305,0.1380163245115013,-0.2100230603129783,2.373072360616845,0.5227686703096539,0.0753588516746393,5.972051616570217e-07,0.0182898948331047,0.2822466836014676,-0.1764148315977487,0.2761406177982181,0.5089133879169471,-1.7746113989637304,1.4661921708185055,0.1894860729697921,-0.0796621775850263,0.0105263157894737,-0.2338709677419355,-0.4025157232704403,-0.4025157232704403,-0.4662921348314607,-0.3581081081081081,-0.304029304029304,-0.4025157232704403,-0.3262411347517731,-0.0776699029126214,0.0857142857142856,-0.2578125,-0.2578125,-0.2803030303030304,-0.4378698224852071,-0.4836956521739131,-0.3890675241157556,-0.4933333333333334,-0.4973544973544973,-0.5671981776765376,-0.5343137254901962,-0.5343137254901962,-0.5814977973568283,-0.6468401486988848,-0.6303501945525292,-0.610655737704918,-0.5905172413793103,-0.5432692307692308,-0.5581395348837209,-0.5601851851851852,-0.6082474226804124,-0.5878524945770065,-0.4736842105263158,-0.3402777777777778,-0.3493150684931507,-0.3090909090909091,-0.2635658914728682,-0.2016806722689075,-0.2748091603053435,-0.3581081081081081,-0.0865384615384615,-0.0206185567010309,-0.1037735849056604,0.2025316455696202,0.0439560439560438,0.1111111111111111,0.2751677852348992,-0.1037735849056604,-0.2519685039370078
DOS_59-L,0.0692192052282967,-0.0692192052282967,32.0,0.0065610415490354,0.2459658779486434,-0.214317827346735,0.9599617154039166,0.039683656409807,-0.0308633669630443,0.0131596343133736,0.0594193140749527,-0.0289874605937815,1.3641353506291591,-0.1111518793607758,-0.0894142424625425,-1.2158551894076826,0.7570851270169066,0.1192196217426498,0.2077011979165808,0.054968287526427,-0.1553571428571427,-0.1914529914529913,-0.1816608996539792,-0.2431999999999999,-0.1983050847457627,-0.1462093862815884,-0.1142322097378276,-0.0833333333333332,-0.1523297491039426,-0.1041666666666666,-0.1886792452830188,-0.1928327645051194,-0.1745200698080279,-0.2515822784810126,-0.2431999999999999,-0.1788194444444443,-0.1844827586206895,-0.1830742659758203,-0.124074074074074,-0.1384335154826957,-0.2077051926298156,-0.2181818181818181,-0.2678018575851393,-0.1745200698080279,-0.2700617283950617,-0.2220394736842105,-0.1462093862815884,-0.1508078994614002,-0.028747433264887,-0.1336996336996336,-0.2395498392282957,-0.253943217665615,-0.1900684931506848,-0.1672535211267604,-0.1955782312925169,-0.216887417218543,-0.1955782312925169,-0.1477477477477476,-0.1983050847457627,-0.0633663366336632,0.0974477958236661,0.1208530805687204,0.0534521158129175,0.0395604395604396,0.0581655480984342,0.1051401869158878,0.2783783783783784,0.1679012345679014
