firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchrect,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
MDKZ_41-L^A06,0.0578759258939516,-0.0578759258939516,5.0,0.5116874105555312,0.1586461512196162,-0.7732281994979409,1.1254330929862346,0.206382175226586,0.7096299926488605,0.1074986618782049,2.878516523126849e-09,0.1213409081052951,0.4691221414269153,0.065787435552063,-0.0353905710313006,0.5314155611016242,-0.0353919797199471,0.0200344677066725,-0.6387195121951218,0.7654742953460062,0.1406206231130753,0.422927698841294,-0.1971830985915493,-0.0138888888888889,0.0441176470588233,-0.1069182389937107,-0.1695906432748538,0.0597014925373133,-0.0138888888888889,-0.0657894736842106,-0.0657894736842106,-0.0897435897435898,-0.0657894736842106,-0.1012658227848102,-0.1069182389937107,-0.0897435897435898,-0.1125,-0.0657894736842106,-0.0273972602739726,0.1833333333333333,0.2678571428571425,0.8684210526315788,0.8205128205128203,0.7530864197530862,0.9189189189189187,0.8205128205128203,0.5777777777777777,0.2241379310344828,0.543478260869565,0.4059405940594058,0.3027522935779814,0.2241379310344828,0.2347826086956521,0.0923076923076922,0.0923076923076922,-0.0273972602739726,-0.0405405405405405,0.0,-0.0838709677419355,-0.0273972602739726,-0.0657894736842106,0.0142857142857142,0.0757575757575756,0.3523809523809522,0.1544715447154472,0.1833333333333333,0.2136752136752135,0.1269841269841269,0.1181102362204724,0.0518518518518518,-0.0779220779220779
MDLC_54-L^C17,0.1004754416797706,-0.1004754416797706,5.0,0.806623121735428,0.2493010251630941,0.4058323518866941,0.544007920218289,0.0865230597446446,0.7176130099228224,0.4194024604569414,4.587384173917931e-09,0.8290117239015979,0.8604275312817609,1.9294555225740424,0.1106593674533261,-0.2455379864396703,0.112800572592132,0.0008414490038066,-1.6198997852541162,0.5305338903242943,0.0890821714213013,0.5186276899891403,-0.5705521472392638,0.0020491803278688,0.0166320166320166,-0.0559845559845559,-0.0994475138121546,-0.0180722891566266,-0.0278330019880717,0.0166320166320166,0.0915178571428569,-0.0392927308447937,0.2348484848484848,0.3813559322033897,0.3508287292817678,0.2506393861892582,0.2506393861892582,0.156028368794326,0.0561555075593951,0.14519906323185,0.1926829268292682,0.4215116279069766,0.3774647887323943,0.2074074074074074,0.1425233644859811,0.14519906323185,0.3109919571045576,0.0700218818380742,0.3697478991596639,0.9878048780487804,0.8953488372093021,0.8246268656716416,0.9101562499999998,0.4256559766763848,0.613861386138614,0.3252032520325203,0.0794701986754966,0.0061728395061726,-0.0685714285714286,0.0338266384778012,0.0607375271149672,0.4553571428571428,0.4773413897280965,0.3735955056179774,0.5233644859813082,0.6085526315789473,0.7717391304347827,0.9797570850202426,1.098712446351931,1.098712446351931,0.888030888030888
MDLE_54-L^F11,0.1014722736489465,-0.1014722736489465,5.0,-0.1080810607955966,0.3553679624208591,-0.4714021410786141,1.0960599153370238,0.4471184293856871,-0.1085619678334909,-0.1519880102265713,1.352189713270517e-09,0.094070552914686,-0.1078191420842457,0.020515570277005,-0.0005774283434542,0.1748638823670749,-0.0162243481523821,0.2340842224815559,-0.9607679465776297,1.0234451318788669,0.0462833099579242,0.0771636216231867,0.52,0.25,0.25,0.1363636363636364,0.1363636363636364,0.6666666666666667,0.7857142857142856,0.5625,0.3157894736842106,0.3888888888888888,0.25,-0.0384615384615385,-0.0740740740740741,-0.1071428571428572,-0.1071428571428572,-0.0384615384615385,-0.1379310344827585,0.1363636363636364,0.0416666666666667,-0.0384615384615385,-0.1666666666666666,-0.1666666666666666,-0.0740740740740741,-0.1666666666666666,-0.21875,0.0,0.6666666666666667,1.272727272727273,0.7857142857142856,0.3888888888888888,0.1363636363636364,0.1363636363636364,0.1363636363636364,0.0416666666666667,-0.21875,-0.2647058823529412,-0.2857142857142857,-0.2857142857142857,-0.375,-0.4565217391304348,-0.4565217391304348,-0.4565217391304348,-0.6527777777777778,-0.6621621621621622,-0.6951219512195121,-0.7222222222222222,-0.7159090909090908,-0.7282608695652174,-0.7159090909090908
MDLJ_22-L^L07,0.1183674037377715,-0.1183674037377715,4.0,-0.2125018655788269,-0.2653743973236249,-0.02329295878003,0.7514920194309508,0.5752310536044363,0.177710843373494,-0.1044238182045893,6.254045306328556e-09,0.0047758817969255,-0.1745436583668246,-0.2225064391567735,0.0538330507799428,0.5057262025305804,0.0177983833003966,0.5166418351628328,-0.3445398574206092,0.6705412907702984,-0.3917835340702854,0.2536352240676904,0.0,0.0,0.0,-0.2083333333333332,-0.2083333333333332,-0.1363636363636363,-0.2692307692307693,-0.2692307692307693,-0.4411764705882353,-0.6935483870967742,-0.7205882352941176,-0.7361111111111112,-0.75,-0.8492063492063492,-0.8716216216216216,-0.9431137724550898,-0.9437869822485208,-0.949868073878628,-0.9464788732394366,-0.9431137724550898,-0.9478021978021978,-0.9478021978021978,-0.9486486486486486,-0.9441176470588236,-0.9522613065326632,-0.955607476635514,-0.9585152838427948,-0.955607476635514,-0.945868945868946,-0.9454022988505748,-0.9283018867924528,-0.947075208913649,-0.9510309278350516,-0.9437869822485208,-0.9573991031390134,-0.9605809128630706,-0.9634615384615384,-0.959915611814346,-0.9582417582417584,-0.9573033707865168,-0.9548693586698336,-0.9493333333333334,-0.947513812154696,-0.9510309278350516,-0.939297124600639,-0.9396825396825396,-0.939297124600639,-0.9362416107382552,-0.939102564102564
MDSP_22-L,0.1451596954415109,-0.1451596954415109,4.0,0.1530764317649563,0.1798063623789765,-0.215838101882399,0.7980369950924877,0.1993801652892562,0.233712512926577,-0.0162167507168982,9.639753349543146e-05,0.0798381945922929,0.132171581769437,0.0379819397826687,-0.0478777368818422,0.3422557556080284,-0.0591743780296218,-0.2057096870092158,-2.231003039513678,0.7516043790109476,0.0784313725490196,0.3763336566440349,-0.1083333333333332,0.0212765957446807,0.0126582278481011,0.0212765957446807,0.0,-0.0625,-0.0163934426229508,-0.0163934426229508,0.1009174311926603,0.1059907834101383,0.0666666666666666,0.1059907834101383,-0.0204081632653062,0.0619469026548673,0.0212765957446807,0.0714285714285714,0.2834224598930479,0.3793103448275861,0.3407821229050278,0.4035087719298245,0.5094339622641508,0.4545454545454546,0.7142857142857144,0.6326530612244898,0.9672131147540984,0.7266187050359714,0.9354838709677418,0.8604651162790697,0.7391304347826089,0.8045112781954886,0.751824817518248,0.951219512195122,0.846153846153846,1.4242424242424243,1.2429906542056073,1.1621621621621618,1.1818181818181817,1.0869565217391304,0.92,0.951219512195122,1.0,1.4489795918367347,1.4489795918367347,1.5806451612903225,1.3076923076923077,1.376237623762376,1.4742268041237114,1.9268292682926829,2.333333333333333
MDST_05-L^B02,0.0685433381254927,-0.0685433381254927,4.0,0.1026132743938114,0.3596536241180244,-0.2126438321583163,1.071156692746881,0.3850058570870754,0.15353470437018,-0.0424492572152914,8.884899509263222e-10,0.1055060781382045,0.050506379060897,-0.0389964835010133,0.2394831037463617,-0.0351838705191949,0.2394831037463617,0.1302763916934943,-0.8369195922989806,1.071156692746881,-0.0732484076433121,-0.0093623731152064,-0.0769230769230769,-0.1034482758620688,-0.1875,-0.4468085106382978,-0.48,-0.5357142857142858,-0.6623376623376623,-0.7758620689655172,-0.821917808219178,-0.8617021276595744,-0.8194444444444444,-0.8645833333333333,-0.8169014084507042,-0.8712871287128713,-0.9273743016759776,-0.9781879194630873,-0.9717391304347828,-0.9670886075949368,-0.9519408502772644,-0.9301075268817204,-0.9057971014492754,-0.915032679738562,-0.91875,-0.8779342723004695,-0.8693467336683417,-0.8514285714285714,-0.8243243243243243,-0.7936507936507936,-0.8129496402877697,-0.7173913043478262,-0.6176470588235294,-0.6388888888888888,-0.6666666666666667,-0.5806451612903225,-0.7173913043478262,-0.7547169811320755,-0.7758620689655172,-0.74,-0.7547169811320755,-0.74,-0.7234042553191489,-0.7045454545454546,-0.7592592592592593,-0.7234042553191489,-0.8266666666666667,-0.8266666666666667,-0.8266666666666667,-0.8289473684210527,-0.8470588235294118
MDVF_63-L,0.0486644317075808,-0.0486644317075808,4.0,0.1424930491195551,0.0573929961089494,-0.0060348021533185,1.0518234165067175,0.1641468682505399,0.2988764044943819,-0.0198983454093216,1.4839129680465708e-06,0.0484244670991659,0.1245156290364246,0.9751767125210844,0.020662327764055,-0.0824610954200586,0.043218401305802,0.0632338047178647,-1.40625,0.6573896353166986,0.0391022674687644,0.2005845104724793,-0.0031152647975076,-0.018348623853211,0.1888888888888888,0.211320754716981,0.5891089108910892,0.6546391752577321,0.8033707865168538,0.7734806629834254,0.8238636363636362,0.5970149253731345,0.735135135135135,0.7637362637362637,1.0980392156862746,0.9814814814814814,0.7074468085106385,0.7165775401069518,0.4861111111111109,0.5970149253731345,0.5891089108910892,0.671875,0.6377551020408163,0.8238636363636362,0.8342857142857143,0.7074468085106385,1.1258278145695364,1.0062499999999996,1.183673469387755,1.26056338028169,1.3777777777777778,1.244755244755245,1.213793103448276,1.213793103448276,1.2765957446808511,1.183673469387755,1.0062499999999996,0.9693251533742332,1.1689189189189189,1.244755244755245,1.0980392156862746,1.3602941176470584,1.3777777777777778,1.244755244755245,1.2765957446808511,1.213793103448276,1.3430656934306566,1.3430656934306566,1.413533834586466,1.3260869565217392,1.1543624161073829
MDVK_79-L^G07,0.0836933938847928,-0.0836933938847928,9.0,-0.044499041227229,0.0568547087956961,-5.011247338681356,1.269895536562203,0.1824011004859,-0.3661615467121366,-0.1163225407098245,2.946475563210778e-09,0.0258868648130392,0.0451122058857331,-0.2227364826783971,0.2184445216958399,-0.0353620482479094,0.1915766100031753,-0.202881690735126,-1.5423537384233117,1.224159544159544,-0.0424203183090354,0.2179197161233087,-0.0263157894736841,-0.0256410256410256,0.0857142857142858,0.1515151515151513,0.0555555555555555,-0.1739130434782608,-0.24,-0.3090909090909092,-0.3214285714285715,-0.4242424242424243,-0.4242424242424243,-0.2962962962962963,-0.3214285714285715,-0.3333333333333332,-0.3870967741935484,-0.3448275862068964,-0.4328358208955224,-0.4492753623188406,-0.5529411764705883,-0.4647887323943661,-0.4722222222222222,-0.4794520547945206,-0.5064935064935066,-0.5365853658536586,-0.4492753623188406,-0.4492753623188406,-0.5365853658536586,-0.5869565217391304,-0.5824175824175823,-0.6082474226804124,-0.6041666666666666,-0.5581395348837209,-0.62,-0.3448275862068964,-0.5,-0.4864864864864865,-0.5308641975308642,-0.5869565217391304,-0.5957446808510638,-0.5869565217391304,-0.6122448979591837,-0.5957446808510638,-0.6041666666666666,-0.6274509803921569,-0.6724137931034482,-0.703125,-0.7007874015748031,-0.7164179104477613,-0.6666666666666666
MDWD_B0-L^J10,0.1559359469906129,-0.1559359469906129,3.0,-0.1688574317492416,-0.0365094731019222,1.1670260277948985,1.7908087138167712,0.4224770642201835,-0.1931572828433815,-0.2154610712313638,2.5953377236597543e-11,-0.0179979777553083,-0.1310416128198501,-0.2097447119109595,0.0360317841415502,0.4839221423258121,-0.1991429410870037,-0.1674312431952554,-1.3409306742640077,0.3774992539540437,-0.1559159601916697,-0.456787521079258,-0.4,0.0294117647058822,0.0294117647058822,-0.1463414634146341,-0.375,-0.4166666666666666,-0.3518518518518518,-0.4852941176470589,-0.5138888888888888,-0.5394736842105263,-0.4852941176470589,-0.4166666666666666,-0.5930232558139534,-0.6276595744680851,-0.6759259259259259,-0.7697368421052632,-0.7222222222222222,-0.7839506172839507,-0.7941176470588236,-0.6276595744680851,-0.396551724137931,-0.732824427480916,-0.6929824561403508,-0.7131147540983607,-0.717741935483871,-0.7727272727272727,-0.6428571428571428,-0.6276595744680851,-0.6568627450980392,-0.7388059701492538,-0.7388059701492538,-0.7535211267605634,-0.8214285714285714,-0.8300970873786407,-0.9022346368715084,-0.9326923076923076,-0.9476047904191616,-0.9329501915708812,-0.9385964912280702,-0.947129909365559,-0.9420529801324504,-0.9282786885245902,-0.9337121212121212,-0.9388111888111887,-0.944794952681388,-0.9504249291784702,-0.946808510638298,-0.9578313253012049,-0.9588235294117649
MDWJ_V7-L,0.1189981673793524,0.1189981673793524,5.0,0.1858726131659768,0.220489977728285,-0.3392391412629843,1.129373542152616,0.1460014673514306,1.41731843575419,-0.02871105681124,1.100199154137953e-09,0.0429963947122446,0.0225225225225225,-0.2424741065168456,-0.0226027124684259,-0.0813938858178358,0.0386037193836717,-0.3449015458341253,0.7877072381722604,0.777074308563812,0.2124218800335029,0.0506590688499953,-0.0090909090909091,-0.0983606557377048,-0.2857142857142857,-0.2857142857142857,-0.1791044776119402,-0.1472868217054262,-0.2028985507246375,-0.2567567567567567,-0.3641618497109826,-0.4387755102040815,-0.4086021505376344,-0.3452380952380951,-0.375,-0.5491803278688524,-0.6283783783783783,-0.6014492753623188,-0.375,-0.3956043956043955,-0.1791044776119402,0.0891089108910891,0.0185185185185186,-0.0983606557377048,-0.2142857142857142,0.2222222222222223,0.375,0.3414634146341464,0.2790697674418605,0.3095238095238097,0.25,0.170212765957447,0.1956521739130434,0.2790697674418605,0.4473684210526316,0.4102564102564103,0.170212765957447,0.1224489795918368,0.1,0.170212765957447,-0.0983606557377048,0.0,0.0,0.1,0.3414634146341464,0.0,-0.1791044776119402,-0.1791044776119402,-0.2465753424657533,-0.3209876543209876,-0.367816091954023
