firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chpmia,chtx,egr,herf,lgr,mve_ia,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
NREN_01-L,11.0,0.1761719293364863,0.0273416512447018,0.4016439680876782,1.101514454066831,0.0010222077356456,0.1515,-0.2720282769943337,0.0035971223021582,0.1256473767169556,1.2482254113091795e-10,0.2578238719068413,0.0166959341252499,0.0597827688285353,0.0790056643459594,0.0330549648034549,0.0232688782449293,0.0393578715743148,0.0818101515254466,0.6226373287037088,0.2068965517241379,0.0481927710843375,0.1917808219178083,-0.0594594594594595,-0.043956043956044,-0.0224719101123596,0.2253521126760564,0.1917808219178083,0.403225806451613,0.5,0.8510638297872342,0.4871794871794872,0.6111111111111109,0.3181818181818181,0.10126582278481,0.0481927710843375,0.0295857988165679,-0.0984455958549223,-0.1122448979591836,-0.0842105263157894,-0.1212121212121212,-0.1906976744186046,-0.2300884955752211,-0.2897959183673469,-0.25,-0.0793650793650793,0.0116279069767442,0.0807453416149066,-0.1869158878504673,-0.1830985915492957,-0.1830985915492957,-0.2532188841201717,-0.26890756302521,-0.2926829268292683,-0.3281853281853282,-0.348314606741573,-0.3307692307692308,-0.3873239436619717,-0.3229571984435797,-0.3255813953488372,-0.3255813953488372,-0.3358778625954198,-0.3307692307692308,-0.3458646616541354,-0.3176470588235294,-0.3829787234042553,-0.3829787234042553,-0.3695652173913043,-0.3602941176470589
NRYO_43-L^I22,12.0,0.1832460732984293,0.1290349768225874,0.7758603083835394,1.3312013584142188,0.0015912517434649,0.1654999999999999,0.1009596363837437,-0.0122117801333187,0.1466371960846226,2.688338215463863e-10,0.320616113744076,0.0185330180746728,-0.1273497426918464,0.4138643073285734,0.1428946698338546,0.0613736737905477,0.0734999088090461,0.2047540476436011,0.2000609420719914,-0.0285714285714284,-0.0140845070422535,-0.0277777777777777,0.0769230769230768,0.1864406779661016,0.1666666666666667,0.0769230769230768,0.1764705882352941,0.4583333333333332,0.5217391304347825,0.627906976744186,0.0606060606060605,0.0606060606060605,0.0852713178294573,-0.0344827586206897,-0.2307692307692308,-0.1082802547770701,-0.0277777777777777,-0.2391304347826087,-0.2708333333333333,-0.2553191489361702,-0.282051282051282,-0.2708333333333333,-0.339622641509434,-0.3607305936073059,-0.3859649122807017,-0.3859649122807017,-0.4067796610169492,-0.3991416309012876,-0.3859649122807017,-0.3991416309012876,-0.3548387096774194,-0.2553191489361702,-0.1954022988505748,-0.1954022988505748,-0.1860465116279069,-0.0789473684210526,-0.0344827586206897,-0.0140845070422535,-0.0344827586206897,-0.0849673202614379,-0.0140845070422535,0.0144927536231884,-0.0849673202614379,0.0606060606060605,0.4285714285714286,0.4736842105263157,0.5555555555555554,0.5730337078651684
NRZG_18-L,10.0,0.0095265946637191,0.1218596761457246,0.1576664729440695,1.6848401400442987,0.0025626460534354,0.9695,-0.0386349645443858,0.0020862308762169,0.1237760971601275,6.031135399219916e-08,-0.0535967126323565,0.1757975426298928,0.266372108135277,0.1775727998642738,-0.3337631233502406,0.0175084571838191,0.0441960191359095,0.1497941656728138,0.7611346472756204,0.0825242718446601,-0.0167064439140811,0.0483460559796438,0.095744680851064,0.0564102564102564,0.0325814536340851,0.1165311653116532,0.1135135135135134,0.08994708994709,0.0813648293963253,0.0785340314136127,0.2335329341317367,0.2638036809815951,0.1976744186046513,0.0813648293963253,0.0757180156657963,0.0928381962864721,0.1045576407506703,0.0098039215686274,0.15406162464986,0.2599388379204892,0.2225519287833828,0.2599388379204892,0.2409638554216868,0.3552631578947369,0.1573033707865168,0.34640522875817,0.3597359735973597,0.3552631578947369,0.3333333333333335,0.2915360501567399,0.2915360501567399,0.4714285714285715,0.4609929078014185,0.4714285714285715,0.7531914893617022,0.9252336448598132,0.8642533936651584,0.8392857142857142,0.8642533936651584,0.9252336448598132,0.8727272727272726,1.0,0.916279069767442,0.9619047619047618,0.7682403433476395,1.049751243781095,0.7606837606837609,0.8392857142857142
NRZN_08-L,11.0,-0.0881800964187327,0.1870521257210834,0.066386770313875,2.900435490017612,-0.0016935544931381,-3.4195,0.2759671371056792,-0.0122083632447954,-0.1059592657782247,4.445019020595722e-08,-0.0694097867445359,0.0883452644238302,-0.1292556128984907,-0.1093026909884349,0.0337485917041774,0.0147376591772085,0.0271240757543581,-0.1093026909884349,8.013135049636936,0.401315789473684,-0.1602209944751381,-0.2124352331606217,-0.0065359477124182,0.0,0.0482758620689656,0.2881355932203391,0.277310924369748,0.9487179487179488,0.6000000000000001,0.3333333333333335,0.4901960784313726,0.7882352941176471,0.7272727272727273,0.4339622641509433,0.1692307692307693,0.4339622641509433,0.2357723577235773,-0.0256410256410256,-0.0952380952380952,-0.1264367816091953,-0.0129870129870129,0.2881355932203391,0.0,-0.089820359281437,-0.4176245210727969,-0.3770491803278688,-0.5476190476190477,-0.5718309859154929,-0.609254498714653,-0.6051948051948052,-0.5718309859154929,-0.525,-0.5777777777777777,-0.5581395348837209,-0.5351681957186545,-0.4776632302405498,-0.4571428571428571,-0.3968253968253968,-0.392,-0.3090909090909092,-0.371900826446281,-0.4370370370370371,-0.3559322033898304,-0.2761904761904762,-0.2124352331606217,-0.0256410256410256,0.0410958904109588,0.1515151515151513
NSDX_21-L^J19,14.0,-0.0450067495763563,0.035578947368421,0.2043872477332553,0.5607809009685336,0.0018299643063377,0.1500000000000001,-1.0864745652438257,0.0034341305534124,0.2467053941908714,4.903613474489601e-10,-0.2673693812395479,0.0335101911659526,0.109417513491221,1.132216282157081,0.1232366903203463,0.0204290176791173,0.0398399274164803,0.1322162821570809,0.5834915460816364,0.0,0.0303030303030302,0.0303030303030302,0.1333333333333333,0.2439024390243902,0.4166666666666667,0.2749999999999999,0.5454545454545454,0.9615384615384616,1.3720930232558142,1.4878048780487805,1.6842105263157894,1.9142857142857144,1.5499999999999998,0.59375,0.59375,0.3076923076923077,0.2142857142857144,0.0851063829787235,0.186046511627907,0.4166666666666667,0.186046511627907,0.186046511627907,0.1724137931034484,0.1999999999999999,0.0625,0.1333333333333333,0.0408163265306122,-0.0097087378640776,0.1590909090909091,0.1208791208791209,0.2289156626506026,0.186046511627907,0.0,-0.0285714285714285,-0.0192307692307692,0.0851063829787235,-0.0285714285714285,0.108695652173913,0.0625,0.2289156626506026,0.2142857142857144,0.2592592592592593,0.2749999999999999,0.3783783783783785,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.8545454545454545
NSNF_68-L^K22,9.0,0.2832435287902799,0.1074189644242089,158.09132420091325,1.292521827717637,-0.0009630045742717,37.226,0.1532911123276729,7.175078145959806e-05,0.2885535712390836,6.548659490335835e-10,-0.9343065693430656,0.058957375077457,1.6882773719872413,-1.6882773719872413,-1.6882773719872413,0.0955170461632938,0.0955381307944795,-1.6882773719872413,0.004762660859126,0.0294117647058824,0.0429447852760735,0.0,0.096774193548387,0.1643835616438356,0.2499999999999997,0.1486486486486486,0.1805555555555555,0.4166666666666667,0.5044247787610621,0.4655172413793105,0.5454545454545452,0.4655172413793105,0.3821138211382113,0.096774193548387,-0.0760869565217392,0.0119047619047618,-0.0555555555555555,-0.1099476439790575,-0.15,-0.1145833333333333,-0.1866028708133971,-0.1414141414141414,-0.212962962962963,-0.1747572815533981,-0.3089430894308943,-0.3253968253968254,-0.4137931034482759,-0.4276094276094276,-0.4295302013422819,-0.4753086419753086,-0.4910179640718562,-0.4620253164556962,-0.4237288135593221,-0.4585987261146497,-0.4785276073619632,-0.4137931034482759,-0.3884892086330935,-0.3703703703703704,-0.3333333333333332,-0.3089430894308943,-0.2916666666666666,-0.2975206611570248,-0.3511450381679389,-0.3511450381679389,-0.3359375,-0.3061224489795919,-0.2477876106194689,-0.205607476635514
NSUW_55-L^A14,10.0,-0.0777440802519538,0.0666666666666666,-0.1387963422414404,1.0773468702206208,0.0037197020388477,-0.415,0.7479741845033857,-0.0108534621578099,-0.1251118846345101,2.0199055403200208e-10,-0.0105767874770836,0.001869432916584,-0.4002806117175299,-0.135337061862272,0.1721985796855895,-0.0119838107885916,-0.0215414345799704,-0.135337061862272,1.792313524615904,-0.2,-0.0909090909090908,-0.1666666666666666,-0.1666666666666666,-0.0909090909090908,0.25,0.1111111111111111,0.6666666666666667,1.0,0.4285714285714286,-0.0909090909090908,-0.0909090909090908,0.0,-0.0909090909090908,-0.3333333333333332,-0.375,-0.375,-0.5,-0.5,-0.5454545454545454,-0.375,-0.5,-0.5,-0.5454545454545454,-0.5,-0.375,-0.375,-0.4444444444444444,-0.4444444444444444,-0.5,-0.5454545454545454,-0.5238095238095237,-0.5454545454545454,-0.5,-0.375,-0.375,-0.375,-0.375,-0.375,-0.3333333333333332,-0.375,-0.375,-0.6153846153846154,-0.6153846153846154,-0.6774193548387096,-0.6875,-0.7058823529411764,-0.7222222222222222,-0.736842105263158
NSUZ_15-L,10.0,-0.0029776674937966,0.1941399662731872,0.0897435897435897,1.7973642774527212,0.0030302272236085,-0.0263,1.118941819545126,0.0197612186084808,0.0038255547054323,7.77301427163878e-12,-0.0169491525423729,0.0012899323705722,-0.0992992299178795,0.0065872814796047,-0.0984127185203952,0.0212575297456066,0.0325308547920158,0.0065872814796047,2.1507762295390846,-0.111111111111111,0.0,0.2857142857142856,0.2857142857142856,0.2857142857142856,0.2857142857142856,0.2857142857142856,0.2857142857142856,0.2857142857142856,0.5,0.5,0.5,0.2857142857142856,0.2857142857142856,0.0,-0.1,0.0,-0.25,-0.25,-0.25,-0.25,-0.3076923076923077,-0.25,-0.3571428571428572,-0.3571428571428572,-0.3571428571428572,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5714285714285714,-0.5714285714285714,-0.5909090909090909,-0.4,-0.4,-0.3571428571428572,-0.4375,-0.4705882352941177,-0.4375,-0.25,-0.25,-0.25,-0.3571428571428572,0.0,0.0,0.125,0.125,0.125
NSVG_11-L^F19,10.0,0.1422102968304544,0.3921010130670973,0.0572294666422766,0.9679272669642968,-0.0001010075716685,-0.5085,-1.1363852484152963,-0.0012272963155163,0.0075859344132753,9.784857932547647e-10,0.2440039875681696,0.0062205679676119,0.18904069714556,-0.18904069714556,-0.18904069714556,0.0015890188653729,0.0036710146059517,-0.18904069714556,-1.4431615393011177,-0.1,0.0,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.0909090909090908,0.1111111111111111,-0.0909090909090908,-0.1666666666666666,0.0,-0.1666666666666666,-0.1666666666666666,-0.3333333333333332,-0.5238095238095237,-0.5454545454545454,-0.5833333333333333,-0.5454545454545454,-0.5454545454545454,-0.5454545454545454,-0.5652173913043479,-0.5652173913043479,-0.5833333333333333,-0.5833333333333333,-0.6153846153846154,-0.6153846153846154,-0.6296296296296297,-0.6551724137931034,-0.6666666666666666,-0.6774193548387096,-0.6551724137931034,-0.6153846153846154,-0.5,-0.4444444444444444,-0.4736842105263158,-0.4736842105263158,-0.5,-0.4444444444444444,-0.4736842105263158,-0.4444444444444444,-0.4117647058823529,-0.4444444444444444,-0.4444444444444444,-0.5,-0.4444444444444444,-0.4736842105263158,-0.4444444444444444,-0.4117647058823529
NSVI_V8-L^L11,4.0,-0.1741789011654306,0.1429115285938922,0.0392307139606734,1.6552100516758466,0.0264453471952849,-4.129,-1.2329395811965964,0.0090560516623782,0.0177032461936226,7.241292899919441e-09,-0.2544002675697144,0.0027408137487959,0.0719421592525223,0.1782725273727717,-0.0522615433987189,-0.0729509045265146,-0.2182370703004026,-0.2218436166458113,-0.7917211795750608,-0.0666666666666665,-0.1176470588235295,0.0714285714285714,-0.0625,-0.0625,0.0,0.6666666666666667,0.4999999999999998,2.0,0.4999999999999998,0.0,0.0714285714285714,0.0714285714285714,-0.375,-0.625,-0.7222222222222223,-0.75,-0.7580645161290323,-0.7272727272727273,-0.7058823529411764,-0.7272727272727273,-0.8214285714285714,-0.8369565217391305,-0.8421052631578947,-0.8369565217391305,-0.8170731707317074,-0.7826086956521738,-0.8295454545454546,-0.846938775510204,-0.8717948717948718,-0.8780487804878049,-0.8660714285714286,-0.8529411764705882,-0.8943661971830986,-0.887218045112782,-0.9117647058823528,-0.9127906976744186,-0.9090909090909092,-0.9,-0.9356223175965666,-0.9369747899159664,-0.9324324324324323,-0.9230769230769232,-0.9268292682926828,-0.927536231884058,-0.9285714285714286,-0.9202127659574468,-0.931818181818182,-0.9302325581395348
NSZS_73-L,11.0,-0.0811153358681876,0.0551724137931034,0.1913236929922135,0.981385739722937,0.0006240153557698,1.35,0.1323984382849278,-0.0007462686567164,0.1180555555555556,2.2303984953045953e-09,-0.1983967935871743,0.0463460281943413,0.019426066595878,0.3597113997113997,0.0281347897928209,0.0291607396870554,0.0683333333333333,-0.0288600288600288,0.1937636242828004,0.1469072164948455,0.3152542372881355,0.2278481012658226,0.1938461538461537,0.5097276264591439,0.8743961352657006,0.8834951456310678,0.7168141592920354,1.6575342465753424,1.8115942028985508,2.0551181102362204,1.939393939393939,1.552631578947368,1.1675977653631282,0.9019607843137254,0.6371308016877637,0.9595959595959596,0.8834951456310678,0.5275590551181102,0.6440677966101696,0.6869565217391305,0.375886524822695,0.732142857142857,0.3566433566433566,0.552,0.5582329317269075,0.0777777777777777,-0.0372208436724567,-0.174468085106383,-0.1882845188284519,-0.2362204724409449,-0.2377210216110019,-0.2623574144486692,-0.2286282306163022,-0.1950207468879669,-0.0490196078431373,-0.0934579439252337,0.0104166666666667,0.0264550264550265,0.0319148936170212,0.0130548302872062,-0.010204081632653,-0.0582524271844661,-0.1261261261261262,-0.1472527472527472,-0.1221719457013574,-0.0251256281407035,0.1547619047619048,0.1345029239766082
