firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chpmia,chtx,egr,grltnoa,herf,lgr,mve_ia,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BUNQ_03-L^K12,20.0,-0.5574021012416428,0.485098977594083,-2.6818102999826605,0.9477286834157206,0.0013424007719528,0.2694999999999999,-4.164836618328641,-0.0008118433619866,-0.8461443400889768,-0.6308262711864404,9.491657070005524e-12,0.4251471825063077,0.0037013234428143,0.040909252799172,-0.4545926282778655,0.1269148886348994,-0.186593707250342,-0.9081225033288948,0.2003938946331856,1.6251312986416828,0.0,0.0,0.0,0.0,-0.142857142857143,-0.3333333333333333,-0.5,-0.5714285714285715,-0.5714285714285715,-0.6666666666666667,-0.7,-0.7142857142857143,-0.7272727272727273,-0.7391304347826086,-0.7142857142857143,-0.7692307692307693,-0.7692307692307693,-0.7931034482758621,-0.7692307692307693,-0.8125,-0.8378378378378378,-0.7692307692307693,-0.7,-0.6842105263157895,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6470588235294118,-0.6470588235294118,-0.6470588235294118,-0.625,-0.625,-0.625,-0.625,-0.625,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
BWQW_65-L^I10,7.0,0.1662141775084655,0.0700855963430747,0.0906793128741394,2.067476409413065,2.4754324506956927e-05,-44.1527,-0.3368315520616081,-0.0047692498570551,0.0423652465740653,-0.0517012954181144,5.852758215264021e-06,0.2669424079065588,1.1026857490506232,-0.0002168606973615,-0.0345688492243167,-0.1098304797016228,-0.0165129732509615,-0.0386549975799207,0.3015026683435874,1.6251312986416828,0.3700787401574803,0.1339285714285714,0.1339285714285714,0.0325203252032519,0.1981132075471698,0.0672268907563025,-0.1056338028169013,-0.1533333333333333,0.0079365079365079,-0.1180555555555554,-0.2701149425287356,-0.2905027932960894,-0.3021978021978022,-0.2440476190476189,-0.3244680851063829,-0.2824858757062146,-0.3350785340314135,-0.4200913242009132,-0.4355555555555556,-0.4708333333333333,-0.4429824561403508,-0.5134099616858236,-0.5296296296296297,-0.5243445692883895,-0.5278810408921932,-0.5,-0.5398550724637681,-0.483739837398374,-0.4708333333333333,-0.4730290456431535,-0.4641350210970464,-0.5559440559440559,-0.5528169014084507,-0.5605536332179931,-0.5480427046263345,-0.6253687315634218,-0.6286549707602339,-0.6208955223880597,-0.6080246913580247,-0.5766666666666667,-0.5590277777777777,-0.5330882352941178,-0.563573883161512,-0.5559440559440559,-0.5364963503649636,-0.5225563909774436,-0.5313653136531364,-0.4816326530612245,-0.5207547169811321
CWI_80-L,20.0,0.4711127723195216,0.0557502517623363,0.1800037539886129,0.5531867188405516,5.446076916965037e-06,126.0,-0.0458882099242086,0.0024361225992861,0.0093023255813953,0.1754575509410315,5.866285621752526e-05,0.7485812553740326,23.0702047545156,0.0039090740116067,-0.3904818178663795,-0.0006363467388794,0.0263148343072846,0.1044066820276497,0.2100219604711519,0.6779648274756714,0.0,-0.0737752161383286,-0.1501850872554204,-0.1072222222222222,0.004375,-0.0721709006928406,-0.1497354497354496,-0.1550998948475288,-0.1131346578366446,-0.0524764150943396,-0.1397216274089935,-0.1656282450674974,-0.1638917793964619,-0.1519788918205804,-0.1141124586549062,-0.1821882951653943,-0.1452127659574468,-0.120415982484948,-0.0673244341265235,-0.0189255189255188,0.0190234622701332,-0.0348348348348347,-0.0635198135198135,0.0441845354126055,0.0196700507614213,0.021614748887476,0.0347714101738572,0.1245626312106369,0.1222067039106145,0.1237762237762236,0.1229909154437456,0.1121107266435987,0.1190807799442896,0.1670297748729121,0.1868537666174299,0.1462196861626248,0.1602888086642599,0.1628075253256151,0.2603921568627452,0.2361538461538461,0.2764098490865767,0.3054427294882209,0.3436454849498327,0.4171075837742504,0.4221238938053095,0.4689213893967094,0.5103383458646615,0.6431492842535789,0.7279569892473117
DLY_Y2-L^F16,20.0,0.3952316340376042,0.0071017923571187,0.0943938667944417,0.8040513791343311,4.252465332946812e-05,-60.0,-0.0505684431265622,-0.0047190047190047,0.1873293282359366,0.1697823096220607,8.51378154057376e-06,0.5099218280216476,1.4447441540280297,-0.434295339021936,-0.2874564115316578,0.9190374830973236,-0.0009724923589886,-0.0032198712051517,0.2788701190805871,0.6519422070132331,0.1717171717171717,0.0421052631578948,-0.1160714285714284,-0.2404092071611253,-0.1818181818181817,-0.3011764705882352,-0.3370535714285714,-0.3529411764705882,-0.2928571428571428,-0.2738386308068459,-0.3926380368098159,-0.4288461538461539,-0.3850931677018633,-0.3913934426229507,-0.3799582463465553,-0.3626609442060086,-0.4406779661016948,-0.5033444816053512,-0.5278219395866455,-0.4931740614334471,-0.4667863554757629,-0.4638989169675089,-0.5107084019769357,-0.4914383561643834,-0.5201938610662359,-0.4715302491103202,-0.5099009900990099,-0.4923076923076922,-0.5025125628140703,-0.5444785276073619,-0.5322834645669291,-0.5154975530179444,-0.4705882352941176,-0.495755517826825,-0.444859813084112,-0.5107084019769357,-0.5247999999999999,-0.4834782608695651,-0.4752650176678444,-0.4752650176678444,-0.4780316344463972,-0.444859813084112,-0.486159169550173,-0.4715302491103202,-0.4590163934426229,-0.4530386740331491,-0.4520295202952029,-0.419921875,-0.444859813084112
DOQX_41-L^J16,21.0,0.0211282484682019,0.0670502323522903,0.1479673070799278,2.050909985278372,0.0006369590805566,-11.7,-0.0120224010186198,-0.0067971163748712,-4.2653061224489806,-0.1478151787580963,2.583204382995771e-07,0.0787731685789938,0.4097722182016485,-0.0096007121655034,-0.1774386679894992,-0.0282672249357306,0.0126215601075936,-1.0892857142857142,0.0801665100040283,0.6632547466409963,0.2380952380952381,0.1052631578947369,-0.0381679389312977,-0.093525179856115,0.0161290322580645,-0.0381679389312977,-0.2222222222222223,-0.3571428571428571,-0.2758620689655172,-0.2674418604651163,-0.2363636363636363,-0.2758620689655172,-0.3152173913043479,-0.136986301369863,-0.16,-0.1428571428571428,-0.0999999999999999,-0.2125,-0.2173913043478261,-0.3152173913043479,-0.3297872340425531,-0.3762376237623762,-0.4112149532710281,-0.4193548387096774,-0.3762376237623762,-0.2921348314606742,-0.3505154639175257,-0.3636363636363636,-0.3297872340425531,-0.3262032085561498,-0.3,-0.34375,-0.288135593220339,-0.3038674033149171,-0.3333333333333332,-0.3731343283582089,-0.4056603773584906,-0.3823529411764705,-0.4,-0.2716763005780347,-0.2269938650306747,-0.093525179856115,-0.1543624161073825,-0.2758620689655172,-0.2588235294117647,-0.2222222222222223,-0.2125,-0.1486486486486486,-0.263157894736842
DOS_59-L,15.0,0.3361098046100436,0.0374546938161477,0.2695771759741637,2.6353395454653947,0.0002712519361658,-1781.8248,-0.0680386464807807,-0.0081863777009342,0.3467757862401388,0.0772682275668426,0.0250891661077578,0.3302509380059524,65.50374511713466,-0.2515598649759226,0.8796861770917148,0.3635586423665054,0.0112822956147013,0.0282033294299352,0.7551292158825876,0.969148820736823,0.054229934924078,0.0898345153664301,-0.049484536082474,-0.1235741444866919,-0.0705645161290321,-0.09251968503937,-0.0064655172413792,-0.1151631477927063,-0.1151631477927063,-0.1912280701754385,-0.2367549668874171,-0.2380165289256197,-0.099609375,-0.1462962962962962,-0.1494464944649446,-0.2504065040650406,-0.2159863945578231,-0.2540453074433656,-0.185512367491166,-0.1618181818181817,-0.1968641114982577,-0.2367549668874171,-0.1883802816901407,-0.1811722912966251,-0.1587591240875913,-0.1100386100386099,-0.1431226765799256,-0.1883802816901407,-0.1883802816901407,-0.2133105802047781,-0.2079037800687285,-0.2265100671140939,-0.2819314641744548,-0.2774294670846394,-0.2717219589257503,-0.3180473372781064,-0.3160237388724035,-0.2774294670846394,-0.3180473372781064,-0.2552504038772213,-0.2907692307692306,-0.2670906200317965,-0.3160237388724035,-0.2774294670846394,-0.2623999999999999,-0.2239057239057239,-0.1797153024911031,-0.1367041198501871,-0.1648550724637679
DPCZ_02-L^F20,13.0,0.2437784503857162,0.051980796807781,-0.062831241829042,1.0069352206794575,0.000155465443966,-2.587,-0.564198059625257,-0.0001567843789611,0.096741126455865,0.1051538260203244,4.698315229852068e-08,0.3513743609095218,0.076244200612403,-0.1731397027694236,1.5897852975387767,0.1434258393868658,-2.670654844567888e-05,-7.167636686831617e-05,0.5897852975387766,1.6251312986416828,0.0666666666666666,0.0714285714285714,0.1111111111111109,0.3636363636363635,0.1538461538461537,0.0714285714285714,-0.1176470588235295,-0.1176470588235295,0.1999999999999999,0.0344827586206897,-0.0909090909090909,-0.1891891891891892,-0.1891891891891892,-0.2105263157894736,0.0344827586206897,-0.1176470588235295,-0.0625,-0.2500000000000001,-0.2500000000000001,-0.4,-0.375,-0.3877551020408163,-0.4545454545454546,-0.375,-0.3478260869565218,-0.375,-0.3617021276595744,-0.2857142857142857,-0.2500000000000001,-0.375,-0.4736842105263158,-0.4827586206896551,-0.4736842105263158,-0.4642857142857143,-0.4736842105263158,-0.5238095238095238,-0.5,-0.4827586206896551,-0.4444444444444445,-0.4230769230769231,-0.375,-0.3333333333333333,-0.375,-0.4117647058823529,-0.4230769230769231,-0.4,-0.3617021276595744,-0.4,-0.4915254237288136
DPXL_94-L,20.0,0.2672754195459033,0.127349251989832,0.1398725646366866,0.7835251991842551,7.168449546762e-06,-286.5,0.199873816926683,-0.0034277276802193,0.2125377137110291,0.0542505714596712,0.000110952718632,0.2895216720437649,9.147935733809014,0.012770958294702,-0.1558991084190401,-0.036632099151507,-0.0014605647517039,-0.0051838540226707,0.1650709343769655,0.5615783226824841,0.0619469026548673,-0.0504201680672268,-0.1524999999999999,-0.1007957559681697,-0.0029411764705882,-0.0661157024793387,-0.1966824644549762,-0.3039014373716632,-0.2630434782608695,-0.2152777777777778,-0.2499999999999999,-0.2832980972515856,-0.3123732251521297,-0.305327868852459,-0.2966804979253112,-0.319277108433735,-0.2756410256410255,-0.3137651821862348,-0.305327868852459,-0.2693965517241379,-0.2004716981132075,-0.1567164179104476,-0.2533039647577092,-0.2533039647577092,-0.261437908496732,-0.2134570765661252,-0.1966824644549762,-0.204225352112676,-0.1329923273657288,-0.1850961538461538,-0.1482412060301506,-0.0887096774193548,-0.0369318181818181,-0.053072625698324,-0.1171874999999998,-0.1889952153110047,-0.2004716981132075,-0.1966824644549762,-0.2152777777777778,-0.1125654450261779,-0.0116618075801749,0.0089285714285713,-0.0145348837209301,0.0335365853658538,0.090032154340836,0.1770833333333334,0.2417582417582418,0.3294117647058825,0.2744360902255638
DRNQ_D0-L^A11,14.0,0.3313985745380052,0.5317783263812037,0.0588410104011886,0.5076482390192613,0.0018037744938831,0.599,1.200946673770601,0.00762239507508,0.1871224399587445,0.1802039284602845,1.2486041479136634e-10,1.2882736156351793,0.0483659704213868,0.0131787170684297,-0.9126455202894722,0.5490809470040537,-0.0058100397486857,-0.007498655413512,0.9423393739703456,1.6251312986416828,0.3650793650793651,0.2857142857142858,-0.015625,-0.0454545454545455,0.0677966101694915,0.008,-0.0869565217391303,-0.2588235294117647,-0.284090909090909,-0.0666666666666667,-0.2716763005780347,-0.1188811188811188,-0.125,-0.1710526315789473,-0.1486486486486486,0.024390243902439,-0.1126760563380281,-0.2588235294117647,-0.3,-0.284090909090909,-0.3225806451612903,-0.3152173913043479,-0.3403141361256544,-0.3076923076923077,-0.2921348314606742,-0.1126760563380281,-0.093525179856115,0.0862068965517242,-0.0307692307692307,0.0,-0.3538461538461538,-0.2921348314606742,-0.3152173913043479,-0.3225806451612903,-0.3668341708542714,-0.4,-0.3823529411764705,-0.3538461538461538,-0.3971291866028708,-0.4473684210526315,-0.4424778761061946,-0.5058823529411764,-0.5,-0.5483870967741935,-0.5019762845849802,-0.4836065573770491,-0.4220183486238532,-0.4272727272727273,-0.520912547528517
DVX_M7-L^C10,20.0,-0.2154701005468336,0.0460817825041144,0.0977167491617435,0.3607827047699668,0.0006705261596156,7.5,0.0810787980250493,-0.0007456750845098,-0.1537722248918789,-0.3064300894578164,1.157243492947804e-05,-0.2517794836008374,4.995207564803937,-0.3404508783713286,-0.2587780521687096,0.473372376247982,0.0044406970207982,0.0112152186257808,-0.3245514991845439,0.1324835297805719,-0.0432330827067669,0.0,-0.0291970802919708,-0.122112211221122,0.0094876660341556,-0.0779896013864817,-0.044883303411131,-0.1608832807570976,-0.1133333333333332,-0.1487999999999999,-0.2130177514792899,-0.4075723830734966,-0.4055865921787709,-0.3878020713463751,-0.3995485327313769,-0.4515463917525772,-0.4554759467758443,-0.4549180327868852,-0.4029180695847362,-0.4179431072210066,-0.4015748031496062,-0.4918815663801337,-0.528786536758193,-0.4859903381642512,-0.4844961240310077,-0.3726415094339622,-0.4101995565410199,-0.3770491803278687,-0.3423980222496909,-0.3582629674306392,-0.3954545454545455,-0.3906071019473081,-0.3464373464373464,-0.3527980535279805,-0.3333333333333333,-0.3741176470588234,-0.4055865921787709,-0.4173055859802848,-0.3813953488372092,-0.3806752037252618,-0.392,-0.3933865450399086,-0.4101995565410199,-0.3933865450399086,-0.3770491803278687,-0.3674197384066587,-0.3755868544600939,-0.3512195121951218,-0.3520097442143727
