firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchquick,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTMA_04-L^K03,0.0707031752153233,-0.0707031752153233,13.0,0.1789915966386554,0.0762742069621005,-0.3239868945761937,2.0497180932854944,1.1304347826086958,0.0310718358038767,0.0307237434117485,4.651612750352285e-07,0.2100840336134453,0.3225717439293599,-1.197167215078243,-0.2479788030766322,-0.759383623523808,-2.5345622119815667,0.0740645822655048,0.0564803804994054,0.2426470588235292,-0.1036585365853658,-0.108695652173913,-0.1182795698924732,-0.0574712643678161,-0.0238095238095238,0.0649350649350648,0.0789473684210526,0.1156462585034012,0.1388888888888888,0.0123456790123455,0.0379746835443037,0.0123456790123455,0.0186335403726707,-0.1717171717171717,-0.127659574468085,-0.0681818181818182,-0.18,-0.0786516853932585,-0.0352941176470588,-0.0574712643678161,-0.0120481927710843,0.058064516129032,0.0249999999999999,0.1388888888888888,0.1388888888888888,0.2615384615384615,0.1714285714285714,0.1549295774647887,0.28125,0.2424242424242422,0.0512820512820511,0.2058823529411764,0.2424242424242422,0.0933333333333332,-0.0786516853932585,-0.0574712643678161,-0.0574712643678161,0.1310344827586207,-0.088888888888889,0.1081081081081081,0.3225806451612902,0.5185185185185184,0.5185185185185184,0.3898305084745763,0.3225806451612902,0.4385964912280702,0.4909090909090907,0.4260869565217391,0.2058823529411764
FTMO_13-L^G06,0.1715782580222659,-0.1715782580222659,14.0,-0.0091264667535853,0.2354048964218455,-0.0647177548130175,1.1020812685827552,0.2634408602150537,0.0197368421052632,-0.0619951975551181,1.3304053105034192e-07,0.0721425467188178,-0.040590405904059,1.023992083337365,-0.0334885611090146,-0.1014593003147626,-7.277777777777778,0.5847373637264618,0.1698876404494382,0.0147019513499064,-0.0560747663551401,-0.0272727272727273,0.0918367346938775,0.1145833333333334,0.1758241758241758,0.0490196078431373,-0.0272727272727273,0.0388349514563106,0.3048780487804878,0.2738095238095239,0.215909090909091,0.1630434782608696,0.1630434782608696,0.07,0.3048780487804878,0.445945945945946,0.3896103896103897,0.2738095238095239,-0.0092592592592593,0.0190476190476189,0.202247191011236,0.07,-0.1083333333333332,-0.1507936507936507,-0.122950819672131,-0.1439999999999999,-0.1574803149606298,0.009433962264151,0.215909090909091,-0.018348623853211,-0.0854700854700853,-0.2014925373134328,-0.0854700854700853,-0.0775862068965516,-0.0932203389830507,-0.0446428571428572,-0.0775862068965516,-0.0695652173913041,0.0918367346938775,0.0288461538461539,0.0918367346938775,0.215909090909091,0.215909090909091,0.5507246376811596,0.0490196078431373,0.1505376344086022,-0.0272727272727273,-0.213235294117647,-0.1769230769230768
FTMS_64-L,0.1855502158507779,-0.1855502158507779,13.0,-0.0552827498811974,-0.1028647273531689,-1.871333168703231,0.1971021159153634,0.2962962962962963,-0.5668733392382639,-0.0889468111102007,7.279905958768945e-08,0.0419768731189609,0.229593094944513,3.4731812513565226,-0.5612465719794759,-0.5915721958210587,-1.6156028368794326,0.1430542778288868,0.1782360831656606,-0.065557404326123,-0.1958470976875885,-0.2509720749381406,-0.2272064186725018,-0.0959897610921501,-0.075479930191972,0.0,-0.1915299504006103,-0.1780449961210241,0.0,0.1497558328811721,-0.3020421607378128,-0.209917971662938,-0.3287931580614507,-0.424966078697422,-0.3981823345640443,-0.3995466137716066,-0.497986259180289,-0.4788489916379733,-0.5546448087431693,-0.4731476877175534,-0.5261627906976744,-0.5648870636550307,-0.6288316692940971,-0.6559506413378795,-0.6667190940547342,-0.5170920692798542,-0.5837752897269691,-0.6192957240388071,-0.6070832560726869,-0.5898180410375532,-0.5292157298378137,-0.471571072319202,-0.446157867224255,-0.4439779585410652,-0.4541473467284904,-0.4683893627696939,-0.433422459893048,-0.44148655772272,-0.446157867224255,-0.433422459893048,-0.4181768259198243,-0.365568862275449,-0.3057011795543904,-0.2738176833447566,-0.2499115044247787,-0.2402294729293653,-0.1979560938682816,-0.355143031040779,-0.3903912543153048
FTMU_Z4-L,0.0959192668687518,-0.0959192668687518,3.0,0.0090344100742091,0.0991214676137998,0.014449403363035,1.0026390240084089,0.0419228102611509,0.0582566090561568,0.0142072572205801,4.7583042689385693e-07,0.0044112693807924,-0.0139147709292922,0.8727292288428777,-0.1208405904849883,-0.1492800704445988,-2.3429326287978864,0.3407695662383843,0.0818396984484118,0.2323746972253742,-0.0789473684210526,0.0270270270270269,-0.0256410256410256,0.1875,0.3103448275862071,0.5833333333333335,0.6521739130434783,0.6521739130434783,0.7272727272727273,0.7272727272727273,0.52,0.7272727272727273,0.8095238095238095,0.7272727272727273,0.8095238095238095,1.1111111111111112,1.1111111111111112,1.0,1.5333333333333337,1.375,1.375,1.375,1.375,1.375,1.375,1.5333333333333337,1.923076923076923,1.714285714285714,1.5333333333333337,1.375,1.923076923076923,1.5333333333333337,1.5333333333333337,1.1111111111111112,0.8999999999999999,1.0,1.1111111111111112,1.2352941176470589,1.714285714285714,1.375,1.2352941176470589,1.2352941176470589,1.375,1.375,1.1111111111111112,1.714285714285714,1.375,1.1111111111111112,0.8095238095238095
FTNC_74-L^I02,0.0964829791235659,-0.0964829791235659,13.0,0.1285028022417932,0.128353781852501,-0.0451910667709359,0.8439218081857056,0.1347124117053481,0.0886408404464871,0.024637953733307,1.78027004366361e-06,0.1034827862289832,0.1356176216527496,1.45933755481437,-0.1967288840079529,-0.1855740351599109,-2.454545454545455,0.6209529627367136,0.0918063314711359,0.2298290673988132,0.0,0.0458015267175573,0.0085889570552146,0.133793103448276,0.4221453287197232,0.3979591836734695,0.6606060606060606,0.5451127819548873,0.5657142857142858,0.767741935483871,0.2646153846153847,0.170940170940171,0.1138211382113822,0.1577464788732396,0.1913043478260869,0.3173076923076923,0.2744186046511627,0.4123711340206186,0.5451127819548873,0.4810810810810813,0.4731182795698925,0.5,0.3885135135135136,0.3654485049833889,0.3885135135135136,0.4626334519572954,0.2744186046511627,0.2803738317757009,0.8389261744966445,0.6117647058823532,0.4221453287197232,0.3979591836734695,0.3431372549019609,0.2884012539184954,0.1878612716763006,0.1947674418604652,0.1078167115902966,0.0703125000000002,0.1827338129496403,0.154494382022472,0.1577464788732396,0.1033557046979867,0.1033557046979867,0.1742857142857143,0.2454545454545456,0.3475409836065575,0.0123152709359608,0.037878787878788,-0.1180257510729613
FTND_42-L^H05,0.0868488633647346,-0.0868488633647346,6.0,-0.0339687665686605,0.247796723824121,0.0453708087431165,0.6884576972463974,0.0461800656050138,0.1662712372849001,-0.0689274747635707,1.5112776337119463e-08,0.009676097749072,-0.1929285497901068,1.1906820188968874,0.2599209172487753,0.1196063092999358,-0.9051999488948512,0.2573833642459694,0.1525722118129346,0.1444058821424737,-0.1702127659574468,-0.0723684210526316,-0.0070422535211267,0.0763358778625953,0.2368421052631579,0.194915254237288,0.1015625,0.3055555555555553,0.5666666666666664,0.8552631578947367,0.4387755102040815,0.5326086956521738,0.6022727272727271,0.6588235294117646,0.8552631578947367,1.203125,1.1363636363636362,1.0735294117647056,1.0142857142857142,1.35,1.473684210526316,1.35,1.2741935483870963,1.169230769230769,1.0735294117647056,1.238095238095238,1.238095238095238,1.1363636363636362,1.1363636363636362,0.9054054054054052,1.0434782608695654,1.0142857142857142,1.1363636363636362,1.1363636363636362,1.0735294117647056,1.4310344827586206,1.6111111111111107,1.9375,2.133333333333333,2.615384615384615,2.710526315789473,2.9166666666666665,2.710526315789473,2.8108108108108105,3.0285714285714285,3.2727272727272725,3.7,2.357142857142857,2.204545454545454
FTNS_87-L,0.1810655189802164,-0.1810655189802164,13.0,-0.1830133600392065,0.1314286206629158,-0.3852295444450478,1.371848790567643,0.3305661714459264,0.0302453622325202,-0.1578147049280923,3.626927401103564e-08,-0.2118642262044277,-0.3870281838901551,1.7492675858562003,0.2597041310001073,0.227298997647683,-4.262053735737946,1.100182326485961,0.2005022087886538,0.0013792964072612,0.0285714285714286,-0.0909090909090909,-0.0666666666666667,-0.2045454545454545,-0.1025641025641026,-0.0789473684210526,-0.0789473684210526,-0.0789473684210526,-0.0789473684210526,-0.1250000000000001,-0.1954022988505748,-0.0277777777777777,-0.0789473684210526,-0.1666666666666667,-0.1764705882352941,-0.1025641025641026,0.09375,0.0606060606060605,0.1666666666666667,0.2068965517241379,0.2068965517241379,0.2068965517241379,0.129032258064516,0.129032258064516,0.1111111111111109,0.129032258064516,0.1666666666666667,0.0144927536231884,0.296296296296296,0.09375,-0.0909090909090909,-0.1139240506329114,-0.1139240506329114,-0.1025641025641026,-0.1250000000000001,-0.0789473684210526,-0.1860465116279069,-0.1358024691358026,-0.1025641025641026,0.0294117647058822,-0.0140845070422535,-0.0666666666666667,0.09375,0.0,0.2499999999999997,0.129032258064516,-0.1666666666666667,-0.3,-0.4696969696969697
FTNU_50-L^A12,0.0987160759590989,-0.0987160759590989,14.0,-0.0592360489406148,-0.016588063099691,-0.3254111702443839,1.3138508371385085,0.1462783171521035,-1.3373983739837398,-0.079803182901513,8.540850258787305e-07,-0.0111906893464637,-0.0006503007641033,-0.954316781030771,-0.01639893802906,-0.0238989882766326,-1.957317073170732,0.9196347031963472,-0.0232641374373657,0.029764453961456,-0.1492537313432836,-0.1410256410256409,-0.1298701298701298,-0.0629370629370628,0.0806451612903227,0.1074380165289257,0.3400000000000001,0.3814432989690723,0.50561797752809,0.2641509433962263,-0.1241830065359477,-0.1728395061728395,-0.2429378531073446,-0.1624999999999999,-0.0428571428571427,-0.0694444444444443,-0.0289855072463767,-0.0884353741496597,-0.0147058823529412,-0.0074074074074074,-0.0629370629370628,-0.5620915032679739,-0.5759493670886076,-0.5620915032679739,-0.5548172757475083,-0.5732484076433121,-0.6182336182336181,-0.2209302325581394,-0.1354838709677419,-0.2163742690058478,-0.3649289099526065,-0.4508196721311475,-0.4618473895582329,-0.5109489051094891,-0.5663430420711973,-0.5197132616487454,-0.5426621160409557,-0.5649350649350648,-0.6277777777777778,-0.5248226950354609,-0.5144927536231884,-0.5231316725978647,-0.4806201550387596,-0.3649289099526065,-0.4297872340425531,-0.4485596707818929,-0.6817102137767221,-0.7105831533477321,-0.7242798353909465
FTOE_84-L^L06,0.0490266762797404,0.0490266762797404,14.0,0.135817677856483,0.4110942249240122,0.1834688422907023,2.825649622799665,0.1147540983606557,0.238399071925754,-0.0732516222061984,3.2562874702070774e-08,0.1201108715737604,0.0230591852421214,-2.7135790208440174,0.0159749600946932,-0.1131767935050241,0.3225806451612903,0.6035205364626991,0.260661890139884,0.1211940298507463,-0.0584415584415585,-0.1098265895953757,-0.0778443113772454,0.0620689655172415,0.0807017543859649,0.0584192439862543,0.096085409252669,0.1578947368421053,0.2469635627530364,0.3106382978723403,-0.0128205128205128,0.0694444444444444,0.1365313653136532,0.0,-0.0374999999999999,0.0694444444444444,0.1323529411764705,0.0921985815602837,0.0694444444444444,0.1711026615969582,0.1282051282051282,0.3162393162393164,0.203125,0.2520325203252034,0.2622950819672132,0.1365313653136532,0.096085409252669,0.1846153846153846,0.2727272727272727,0.203125,0.2469635627530364,0.3999999999999999,0.5714285714285714,0.6125654450261782,0.2674897119341564,0.3508771929824563,0.2833333333333334,0.4528301886792452,0.4325581395348838,0.5714285714285714,0.801169590643275,1.1388888888888888,1.2000000000000002,1.2985074626865671,1.2647058823529411,1.701754385964913,1.6782608695652177,1.2647058823529411,0.8554216867469882
FTOG_39-L^B08,0.1131619703571224,0.1131619703571224,8.0,-0.100214850414375,0.1310055698301774,-0.0367148436711937,1.9167139494617085,0.2506904307718589,0.1972267806289705,0.1268288970490292,6.823468778064117e-07,-0.6691592784727404,-0.2825542121264645,0.2859926839588593,-0.1860136973102087,2.309187588549225,1.8954211707118087,1.811123841876572,0.0572784538271249,0.0240015246626088,-0.1447368421052631,0.021505376344086,-0.1536748329621381,-0.1422121896162528,-0.1460674157303371,-0.1343963553530751,-0.1121495327102805,-0.0952380952380953,0.0,0.0106382978723404,-0.1016548463356975,0.1242603550295857,0.148036253776435,0.0382513661202184,0.0526315789473683,0.2418300653594771,0.3475177304964538,0.4393939393939392,0.6309012875536479,0.6964285714285712,1.021276595744681,1.3170731707317072,1.0879120879120876,1.0652173913043477,1.0,1.0,0.9487179487179488,0.9689119170984456,0.958762886597938,0.6964285714285712,0.7040358744394619,0.6309012875536479,0.8446601941747571,0.6239316239316239,0.484375,0.68141592920354,0.7351598173515981,0.7117117117117115,0.6740088105726871,1.2352941176470589,1.3749999999999996,1.5,1.602739726027397,1.835820895522388,1.7536231884057971,2.3928571428571423,2.584905660377358,1.923076923076923,1.5675675675675675
