firms,absacc,acc,age,agr,chpmia,currat,depr,egr,herf,invest,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FSTZ_06-L^A00,0.1868236084200399,-0.1868236084200399,8.0,-0.0124728312334845,-7.279633092843464,1.120908630298936,0.1435692921236291,-0.1494742906524558,5.409650461116895e-08,0.0124187191673956,-0.096402400215681,-0.0872780260897419,0.2461976671311442,-4.270068450528936,0.709660530315825,0.182445245229188,0.0214592274678111,-0.0085106382978723,-0.0127118644067796,-0.0210084033613444,0.0130434782608697,-0.0450819672131147,-0.0042735042735041,0.0264317180616739,0.2072538860103627,0.1310679611650484,0.0737327188940093,0.0542986425339366,0.1201923076923077,0.0043103448275862,-0.2649842271293374,-0.3044776119402985,-0.3003003003003003,-0.2483870967741935,-0.29607250755287,-0.3086053412462908,-0.2981927710843373,-0.271875,-0.238562091503268,-0.2181208053691274,-0.2741433021806853,-0.3187134502923976,-0.2939393939393938,-0.3206997084548105,-0.3527777777777777,-0.3702702702702702,-0.428921568627451,-0.4218362282878412,-0.4385542168674698,-0.4530516431924882,-0.4232673267326733,-0.3581267217630853,-0.332378223495702,-0.3187134502923976,-0.3065476190476189,-0.3147058823529411,-0.2508038585209002,-0.2532051282051282,-0.2532051282051282,-0.204778156996587,-0.2074829931972789,-0.1433823529411765,-0.1496350364963504,-0.1737588652482269,-0.0291666666666665
FSUD_66-L^F02,0.2309208134840919,-0.2309208134840919,8.0,0.0771340009537434,0.7660271197864169,1.6902194124209744,0.1527396442640563,0.0567248459958931,1.3018247000369425e-06,0.1830790017485296,-0.2143882457925586,-0.2158856537703626,-0.5742016618924108,-4.235087719298246,1.6587950911119378,0.3271726307510814,0.0945945945945947,0.0962962962962961,0.0685920577617329,0.1319311663479923,0.2256728778467909,0.284164859002169,0.2515856236786469,0.3303370786516852,0.339366515837104,0.5376623376623375,0.5913978494623655,0.4874371859296482,0.6676056338028169,0.7463126843657817,0.6629213483146068,0.6086956521739129,0.5538057742782152,0.494949494949495,0.4230769230769229,0.4230769230769229,0.5140664961636827,0.5336787564766841,0.4617283950617283,0.510204081632653,0.5538057742782152,0.5297157622739017,0.5336787564766841,0.5179487179487179,0.3767441860465117,0.4874371859296482,0.5063613231552162,0.4230769230769229,0.4874371859296482,0.3609195402298852,0.2813852813852813,0.3214285714285714,0.3485193621867881,0.2231404958677685,0.2595744680851064,0.2282157676348546,0.3155555555555556,0.2282157676348546,0.2758620689655173,0.2307692307692308,0.1699604743083005,0.2622601279317695,0.3097345132743363,0.3424036281179137,0.2813852813852813
FSUE_08-L,0.0210670655696833,-0.0210670655696833,8.0,-0.1251168588345278,-3.298500463705461,1.2224862888482633,0.1305785123966942,-0.5336053768602976,6.068240138318167e-06,0.0072062947958865,-0.1899985767664132,-0.2815894846478784,0.1880695451203164,-0.2108108108108107,0.8927787934186472,0.1942744755244754,0.0167173252279635,-0.0193740685543963,0.078688524590164,0.100334448160535,0.2140221402214022,0.1133671742808799,0.0734094616639478,0.0595813204508857,0.0966666666666666,0.0595813204508857,0.1133671742808799,0.1813285457809694,0.0804597701149425,0.1729055258467022,0.2345215759849905,0.2117863720073665,0.1708185053380781,0.2230483271375465,0.205128205128205,0.2801556420233464,0.340122199592668,0.321285140562249,0.2826510721247564,0.3266129032258065,0.2253258845437615,0.1483420593368236,0.2299065420560748,0.119047619047619,0.1228668941979522,0.2485768500948768,0.2253258845437615,0.1344827586206898,0.1503496503496504,0.0894039735099336,0.0494417862838916,0.2117863720073665,0.200729927007299,0.316,0.3651452282157676,0.4493392070484581,0.5741626794258374,0.5741626794258374,0.6828644501278771,0.6871794871794872,0.7880434782608694,0.9239766081871346,0.9183673469387754,0.8908045977011494,1.0
FSUH_43-L^F05,0.0147385462708224,-0.0147385462708224,8.0,0.0765684893626874,-0.4114915622819051,1.9184214739685213,0.0933668106971855,0.0623472588373391,1.6552953321667037e-07,0.0966144222831875,-0.0579557076219739,-0.0936625729189277,0.1151570206059494,-0.2983639647296293,1.472750308033943,0.2589564053030566,-0.0243902439024389,0.0,0.0249999999999999,0.0249999999999999,0.0,-0.0238095238095238,-0.0238095238095238,0.0,0.0,0.0,0.0,0.0249999999999999,0.0249999999999999,0.0,-0.0238095238095238,0.0,0.0249999999999999,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.1081081081081081,0.0789473684210526,0.0789473684210526,0.0,0.0,0.0,-0.088888888888889,-0.088888888888889,-0.088888888888889,-0.088888888888889,-0.108695652173913,-0.108695652173913,-0.1960784313725491,-0.267857142857143,-0.18,-0.0238095238095238,0.0,0.0,-0.0238095238095238,-0.0238095238095238,0.0,0.0,0.0,0.0789473684210526,0.0789473684210526,0.0789473684210526,0.1388888888888888,0.2058823529411764,0.2424242424242422
FSUM_19-L^D21,0.0662393162393162,-0.0662393162393162,8.0,0.1076765609007165,1.4350333484195343,2.2500000000000004,0.0913860953213817,0.0061025223759153,3.510779930996092e-07,0.1518935516888434,-0.0981112277019934,-0.1444976744186044,0.0463189449564787,-0.8080568720379145,1.3997093023255816,0.2023782300480218,0.0149253731343284,-0.060747663551402,-0.1106194690265487,-0.042857142857143,0.0255102040816326,0.0203045685279186,0.0496083550913837,0.0100502512562812,0.0255102040816326,0.0100502512562812,-0.0122850122850124,0.0864864864864862,0.1074380165289254,0.0307692307692306,0.0307692307692306,0.0177215189873416,-0.0242718446601942,0.0360824742268039,0.0578947368421052,0.1104972375690607,0.1652173913043475,0.2641509433962261,0.2523364485981307,0.2562499999999998,0.221884498480243,0.1858407079646016,0.1420454545454543,0.0719999999999998,0.1485714285714283,0.2108433734939758,0.0281329923273656,-0.0242718446601942,0.0334190231362465,-0.0122850122850124,-0.0925507900677201,0.0360824742268039,0.1166666666666664,0.1260504201680672,0.1323943661971831,0.0634920634920634,0.1166666666666664,0.0777479892761392,0.0864864864864862,0.1013698630136985,0.0387596899224804,-0.0122850122850124,0.0523560209424083,0.0777479892761392,0.1485714285714283
FSUT_25-L^F07,0.0568542945452962,-0.0568542945452962,8.0,0.0259591356754373,-7.132827616341916,1.6412416445380462,0.064516129032258,0.0969654691314962,2.1604647108767787e-05,0.0657063060414522,-0.0368095478345475,-0.0726434441814292,-0.1187335487720026,-0.5751614797416323,1.168299606263163,-0.0425709709616769,-0.0488322717622079,0.0194805194805194,0.0064102564102563,0.011815252416756,0.0560538116591928,0.0840046029919447,0.0455049944506105,-0.0052798310454066,0.0608108108108107,0.0596175478065241,0.0107296137339054,0.0802752293577981,0.0991831971995331,0.1501831501831503,0.0953488372093023,0.13768115942029,0.1600985221674877,0.2427440633245381,0.2427440633245381,0.2281616688396348,0.256,0.3083333333333333,0.3457142857142856,0.256,0.2851296043656206,0.1924050632911391,0.2202072538860104,0.1294964028776979,0.1969504447268106,0.190897597977244,0.2543275632490014,0.1572481572481572,0.256,0.190897597977244,0.1487804878048781,0.0596175478065241,0.1544117647058822,0.2233766233766232,0.3230337078651686,0.2921810699588476,0.3852941176470588,0.4403669724770642,0.4229607250755287,0.4017857142857144,0.3286318758815232,0.2798913043478259,0.2695417789757413,0.1294964028776979,0.2092426187419769
FSUX_S9-L^A11,0.0496574472050741,-0.0496574472050741,8.0,-0.0028650871087998,-1.2540286231571296,1.068039401445024,0.1084383673567472,0.0033459982841033,6.970001543371767e-08,0.1104637718758989,-0.131972040303797,-0.1867185969234079,-0.0111581130696833,-1.4119158503292113,0.635559461711429,-0.0021551540551821,-0.0459770114942527,-0.0842105263157895,-0.1386138613861386,-0.1823308270676692,-0.2300884955752213,-0.275,-0.2983870967741936,-0.3149606299212598,-0.304,-0.304,-0.3555555555555556,-0.3741007194244605,-0.3785714285714286,-0.3458646616541354,-0.3958333333333333,-0.3741007194244605,-0.3095238095238095,-0.3203125000000001,-0.3307692307692308,-0.3149606299212598,-0.275,-0.304,-0.3307692307692308,-0.2809917355371901,-0.2868852459016393,-0.45625,-0.449367088607595,-0.4821428571428572,-0.4882352941176471,-0.485207100591716,-0.5396825396825398,-0.5538461538461539,-0.5714285714285714,-0.5934579439252337,-0.591549295774648,-0.5650000000000001,-0.5515463917525774,-0.5628140703517588,-0.5492227979274612,-0.5671641791044777,-0.5322580645161291,-0.5421052631578948,-0.546875,-0.5421052631578948,-0.5297297297297298,-0.5372340425531916,-0.5056818181818183,-0.4695121951219512,-0.4161073825503356
FSVC_45-L^L10,0.0199489560502941,-0.0199489560502941,8.0,0.0662153002778213,0.036445745580523,1.7914619120098574,0.1595195502172246,0.1064408511661456,1.2742298972869834e-07,0.0371222785809517,0.0293373571022533,0.0666269502346795,-0.0058249887087315,-0.2798058448781476,0.9673842139595566,0.0777278402847004,-0.138157894736842,0.0,0.0133333333333334,0.0133333333333334,0.0,-0.0193548387096774,-0.0379746835443037,-0.0318471337579617,0.0270270270270269,0.0629370629370629,0.1094890510948904,0.1603053435114503,0.0780141843971631,0.0555555555555555,0.0066225165562914,-0.0065359477124182,-0.0256410256410256,0.0133333333333334,0.0270270270270269,0.0857142857142858,0.1014492753623188,0.1515151515151513,0.1692307692307693,0.1692307692307693,0.1692307692307693,0.1603053435114503,0.1343283582089551,0.1176470588235294,0.1692307692307693,0.2159999999999999,0.1515151515151513,0.1259259259259257,0.1343283582089551,0.1014492753623188,0.0857142857142858,0.1176470588235294,0.256198347107438,0.256198347107438,0.3103448275862071,0.3333333333333335,0.4339622641509433,0.4205607476635513,0.2459016393442623,0.357142857142857,0.52,0.4901960784313726,0.504950495049505,0.7272727272727273,0.853658536585366
FSVE_88-L^L99,0.0272669933530638,-0.0272669933530638,8.0,-0.6101820633850303,1.3745686711181042,1.1732173913043478,0.1197273114614401,-0.537948131197559,1.654680981311592e-06,-0.4771409305461901,-0.0502446881762739,-0.0379906027178663,-0.0529712820532665,-0.6386363636363636,1.1537391304347826,-0.5365031671268475,0.0610236220472439,-0.0116731517509727,0.0221327967806841,0.0180360721442884,0.0019723865877712,-0.0058708414872798,0.016,0.0388548057259714,0.0877944325481798,0.1759259259259258,0.1813953488372093,0.1786542923433876,0.1981132075471698,0.2450980392156863,0.2893401015228427,0.3766937669376693,0.3804347826086955,0.4639769452449567,0.3956043956043955,0.5255255255255256,0.4350282485875707,0.6440129449838188,0.6075949367088607,0.6282051282051282,0.6933333333333334,0.8207885304659499,0.8207885304659499,0.7278911564625852,0.7337883959044369,0.6282051282051282,0.7397260273972603,0.5924764890282133,0.7046979865771812,0.4472934472934473,0.3439153439153439,0.3766937669376693,0.4189944134078212,0.3510638297872341,0.3994490358126723,0.4189944134078212,0.4985250737463127,0.5347432024169185,0.6282051282051282,0.6493506493506493,0.6230031948881789,0.6440129449838188,0.6334405144694535,0.8676470588235292,1.0158730158730158
FSVT_07-L,0.0546984572230014,-0.0546984572230014,8.0,0.1125925925925925,1.7778687953533308,2.013487475915221,0.1334792122538293,0.1529968454258674,4.082470194264597e-08,0.1155555555555555,-0.0072837739324737,-0.0294230572786224,0.0869023377429566,-0.5571428571428572,1.1541425818882467,0.2057834566240755,-0.018939393939394,-0.1538461538461538,-0.1592356687898088,-0.108108108108108,-0.0865051903114186,-0.1111111111111111,-0.108108108108108,-0.12,-0.025830258302583,-0.025830258302583,0.1428571428571428,0.1139240506329113,0.0114942528735633,-0.0185873605947954,-0.0503597122302157,-0.025830258302583,0.0775510204081633,0.1681415929203542,0.2165898617511521,0.3608247422680413,0.3750000000000002,0.4505494505494505,0.3968253968253969,0.411764705882353,0.4270270270270271,0.517241379310345,0.4748603351955307,0.4748603351955307,0.4915254237288136,0.76,0.8992805755395685,0.8082191780821919,0.8333333333333335,0.783783783783784,0.9555555555555556,1.0787401574803148,1.2000000000000002,1.4220183486238531,1.7500000000000004,1.9333333333333336,2.1428571428571432,2.82608695652174,3.258064516129033,3.4000000000000004,3.474576271186441,3.631578947368421,3.5517241379310347,3.7142857142857135,3.981132075471698
FSVU_85-L^B01,0.0635624538063562,-0.0635624538063562,8.0,-0.0173749214988486,9.55917155627234,1.3628257887517146,0.0794357832219747,0.1060209424083768,7.451092979190987e-07,0.084990579861838,0.1968638926992834,0.0616680157665432,0.0055790757571389,-0.9525316455696202,0.7812071330589848,-0.0872259294566254,0.1020408163265307,0.1264367816091953,0.0208333333333332,0.0208333333333332,0.0315789473684211,-0.0297029702970297,-0.0392156862745098,-0.0297029702970297,-0.0485436893203884,-0.0485436893203884,-0.0666666666666667,-0.02,0.0,-0.176470588235294,-0.1900826446280992,-0.2575757575757575,-0.1551724137931034,-0.1009174311926606,-0.0925925925925926,0.0315789473684211,0.0425531914893617,-0.1009174311926606,-0.0754716981132076,-0.1478260869565216,-0.1478260869565216,-0.2159999999999999,-0.2032520325203252,-0.3146853146853147,-0.1900826446280992,-0.2575757575757575,-0.234375,-0.3509933774834437,-0.3241379310344827,-0.379746835443038,-0.391304347826087,-0.3422818791946309,-0.375796178343949,-0.4814814814814815,-0.4269005847953216,-0.4787234042553191,-0.4895833333333333,-0.4869109947643979,-0.4555555555555556,-0.5075376884422111,-0.4673913043478261,-0.4431818181818182,-0.44,-0.3333333333333333,-0.2846715328467154
FSVZ_N1-L,0.0829516278990421,-0.0829516278990421,8.0,0.0230890689307069,0.4955988010582002,2.5326919484401267,0.1289685737308622,-0.0205949077783305,9.393693427272833e-08,0.0478822077843639,0.0054804574832719,-0.0169676018805812,0.1193010111883359,-0.65047991705963,1.7259480665047635,0.0823566866307182,-0.1027227722772277,0.0240811153358682,-0.0122249388753056,-0.0437869822485206,-0.0369487485101311,-0.0206060606060606,0.0163522012578616,0.0292993630573248,0.0452781371280723,0.162589928057554,0.2059701492537313,0.2624999999999999,0.2392638036809817,0.2373660030627871,0.2605304212168486,0.331136738056013,0.3511705685618729,0.4377224199288256,0.4076655052264808,0.5159474671669793,0.5843137254901962,0.7264957264957266,0.7376344086021505,0.665979381443299,0.6356275303643724,0.665979381443299,0.7527114967462039,0.7451403887688985,0.8157303370786517,0.8617511520737329,0.8157303370786517,0.7264957264957266,0.8574712643678162,0.8747099767981441,0.8489702517162472,1.2076502732240435,1.2382271468144044,1.0352644836272038,1.0612244897959182,1.02,1.172043010752688,1.2136986301369863,1.2076502732240435,1.18970189701897,1.104166666666667,1.172043010752688,1.276056338028169,1.383480825958702,1.548895899053628
