firms,age,agr,cashdebt,chpmia,egr,herf,invest,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
LPGU_S9-L^G22,20.0,0.0740348321303226,0.1220876346319792,-0.0024457524873585,-2.322916666666667,1.934084752874012e-06,0.0354281173432223,0.0588932026057774,0.7413712365089592,-0.0664049567130441,0.1396239311999019,0.0290495887415014,-0.0671641791044777,0.185840707964602,0.2126696832579186,0.2350230414746545,0.2523364485981307,0.1703056768558952,0.0894308943089432,0.1601731601731602,0.223744292237443,0.223744292237443,0.2641509433962263,0.4565217391304348,0.4972067039106145,0.3400000000000001,0.6341463414634148,0.558139534883721,0.675,0.6441717791411046,0.6645962732919255,0.6242424242424245,0.9142857142857146,0.8482758620689657,0.5314285714285716,0.3333333333333335,0.098360655737705,-0.1410256410256409,-0.3447432762836185,-0.2637362637362637,-0.2163742690058478,-0.0884353741496597,-0.1677018633540372,-0.1270358306188924,-0.1298701298701298,-0.1598746081504701,-0.247191011235955,-0.121311475409836,-0.1878787878787877,-0.0790378006872851,-0.0662020905923345,0.0113207547169811,0.185840707964602,0.1551724137931036,-0.2576177285318559,-0.249299719887955,-0.1036789297658863,-0.0945945945945945,-0.0976430976430976,-0.0530035335689045,0.0
LPLI_30-L,14.0,0.1016662723493425,0.1163096477291404,-0.0008425877479442,0.0191884240327148,1.1357294183612068e-09,0.0996045560550242,0.1638314267085533,0.0079153198941054,-0.3055331301310646,-0.047210809404269,0.0675771947322355,-0.0144927536231882,0.1039999999999998,0.1896551724137931,0.1596638655462183,0.1311475409836064,0.1896551724137931,-0.0675675675675676,-0.0482758620689656,-0.0212765957446808,0.1694915254237288,0.1039999999999998,0.1896551724137931,0.3398058252427183,0.2545454545454544,0.7037037037037035,0.7692307692307689,0.7692307692307689,0.8648648648648647,0.6829268292682926,0.8904109589041096,0.6626506024096386,0.6428571428571428,0.9166666666666664,0.8399999999999999,0.6046511627906976,0.5333333333333332,0.7692307692307689,0.7249999999999999,0.6428571428571428,0.5333333333333332,0.5681818181818181,0.5681818181818181,0.5333333333333332,0.7249999999999999,0.7922077922077921,0.8648648648648647,0.6626506024096386,0.5505617977528088,0.6428571428571428,0.8157894736842104,0.7249999999999999,0.7692307692307689,0.7249999999999999,1.0597014925373132,1.15625,1.0294117647058822,1.0597014925373132,1.5090909090909088,1.5090909090909088
LQFY_95-L^F11,14.0,0.1380283060162444,0.0130802360823097,-0.0011461765794598,0.0037890748342279,1.646966226433124e-07,4.863576674286253e-05,0.1624698171783373,0.1382464106400322,-0.0553395154053245,-0.0553395154053245,-0.0553395154053245,-0.02,0.0416666666666667,0.1363636363636364,0.0638297872340425,0.2195121951219512,0.1111111111111111,0.0,0.0416666666666667,0.0869565217391303,0.0869565217391303,0.0869565217391303,0.1111111111111111,0.0869565217391303,0.0,0.1111111111111111,0.1904761904761904,0.1627906976744186,0.1904761904761904,0.1904761904761904,0.1363636363636364,0.1904761904761904,0.1904761904761904,0.0,-0.1666666666666666,-0.1525423728813558,-0.0566037735849057,-0.2537313432835821,-0.3243243243243243,-0.358974358974359,-0.4382022471910112,-0.4565217391304348,-0.5098039215686274,-0.4791666666666666,-0.4897959183673469,-0.504950495049505,-0.4791666666666666,-0.5652173913043478,-0.4845360824742267,-0.4897959183673469,-0.5,-0.4791666666666666,-0.5283018867924529,-0.4949494949494949,-0.4680851063829787,-0.4791666666666666,-0.4791666666666666,-0.5,-0.4565217391304348,-0.3902439024390244
LQGM_77-L,8.0,0.696848554485835,0.7053138503452212,0.0043522517390897,0.7312835319575965,5.902512540670819e-09,0.6731615242555745,0.6317960562320841,0.1168268229443456,-0.604138249769619,0.0012341297585311,0.2865932457806304,-0.035234899328859,0.0118845500848896,0.0456140350877192,-0.0066666666666667,0.1374045801526717,0.1550387596899225,0.0836363636363637,0.2900432900432901,0.3244444444444445,0.5204081632653061,0.532133676092545,0.5684210526315789,0.5602094240837696,0.6836158192090396,0.7126436781609196,0.7633136094674557,0.7426900584795322,0.6788732394366197,0.6328767123287671,1.0912280701754384,1.4833333333333334,1.4833333333333334,1.2156133828996285,1.310077519379845,1.5147679324894514,0.5126903553299493,0.2213114754098359,0.1078066914498141,0.0311418685121107,0.0016806722689075,-0.0033444816053512,-0.0464,-0.083076923076923,0.0935779816513762,0.3333333333333335,0.4974874371859297,0.471604938271605,0.5767195767195767,0.5088607594936707,0.4752475247524752,0.4396135265700485,0.482587064676617,0.6328767123287671,0.8980891719745223,0.904153354632588,0.7951807228915664,0.91025641025641,0.892063492063492,0.9163987138263668
LQIT_75-L,15.0,0.0338090152595702,0.1731072417054969,-0.0035072040180272,0.0115455610379468,3.393375189235815e-09,0.0086654864212042,0.1272964412148313,0.0451042471209661,-0.023031396363508,-0.0702718879691517,0.0394762488964307,-0.0573770491803279,0.0608695652173914,0.1401869158878503,-0.008130081300813,0.0990990990990989,0.1844660194174756,0.1296296296296295,0.0990990990990989,0.0082644628099173,-0.046875,-0.008130081300813,-0.024,0.0082644628099173,0.0166666666666666,-0.0393700787401575,-0.0895522388059701,0.0082644628099173,0.0338983050847458,0.0166666666666666,0.0608695652173914,-0.0317460317460317,-0.0962962962962963,-0.2129032258064516,-0.1866666666666666,-0.2229299363057325,-0.1920529801324503,-0.2515337423312883,-0.1973684210526316,-0.0393700787401575,-0.0827067669172932,-0.1029411764705883,-0.2327044025157233,-0.2375,-0.2179487179487179,-0.1700680272108843,0.0517241379310344,-0.2515337423312883,-0.1347517730496453,-0.2179487179487179,-0.1920529801324503,-0.3578947368421052,-0.3068181818181819,-0.2738095238095238,-0.3440860215053763,-0.3405405405405406,-0.4403669724770642,-0.5080645161290323,-0.5807560137457045,-0.5919732441471572
LQJC_81-L^I22,14.0,-0.1520241834170854,0.0876617852983131,-0.0052133234146703,0.1979123491147786,2.6153030427787325e-08,0.0114305904522613,-0.2317979254928353,0.1754579994212994,0.859321094817715,0.859321094817715,0.859321094817715,0.0647482014388489,-0.0211267605633802,0.139344262295082,0.1119999999999998,0.1119999999999998,0.0859375,-0.0347222222222222,-0.0479452054794521,0.139344262295082,0.0,0.0072463768115942,-0.1626506024096385,-0.1575757575757576,-0.108974358974359,-0.0071428571428571,-0.0071428571428571,0.0530303030303029,-0.0141843971631205,0.1487603305785123,0.1779661016949152,0.2636363636363634,0.2522522522522521,0.3365384615384614,0.3899999999999999,0.2086956521739129,0.0775193798449611,0.2410714285714283,0.2990654205607475,0.2410714285714283,0.0530303030303029,0.0775193798449611,-0.0211267605633802,-0.1146496815286625,-0.0479452054794521,-0.1575757575757576,-0.1676646706586826,-0.3412322274881516,-0.2320441988950277,-0.3118811881188119,-0.3534883720930233,-0.365296803652968,-0.365296803652968,-0.308457711442786,-0.2835051546391752,-0.305,-0.2908163265306123,-0.2526881720430108,-0.2320441988950277,-0.191860465116279
LQNE_57-L^I14,17.0,-0.0126366950182261,0.686367969494757,-0.0039996862440321,0.0369400814426991,9.587697060655268e-12,0.0089914945321992,-0.0927272727272728,0.001194359528718,0.4030635282919708,0.0502425571975297,0.2365922504490634,-0.0869565217391304,0.0,0.0454545454545454,-0.4025974025974026,-0.28125,-0.2580645161290322,-0.3235294117647059,-0.2580645161290322,-0.28125,-0.28125,-0.0799999999999999,-0.0799999999999999,-0.0799999999999999,-0.0799999999999999,0.2777777777777779,0.3529411764705881,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.0952380952380953,0.2105263157894736,0.2432432432432432,0.4375,0.4375,0.4375,0.3529411764705881,0.2777777777777779,0.2777777777777779,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736,-0.1153846153846154,-0.1153846153846154,-0.1153846153846154,-0.1153846153846154,-0.1153846153846154,-0.1636363636363637,-0.1481481481481481,-0.2333333333333332,-0.1153846153846154,-0.1636363636363637,-0.0799999999999999,-0.0799999999999999,-0.1153846153846154,-0.1153846153846154,0.2105263157894736,0.1499999999999999,0.4838709677419355
LQNF_R2-L^E23,22.0,0.2029961547865128,0.3636266266802334,-0.0090347743418002,0.3127215945623219,5.322942555314126e-09,-0.0103131737458602,0.147254235555669,0.2659329973763071,0.9727319455152916,-0.3850439264115237,-0.0272680544847083,0.1488413547237077,0.0265324794144556,0.1873015873015875,0.1822971548998946,0.3076923076923077,0.2592592592592593,0.201284796573876,0.2606741573033708,0.3262411347517731,0.3309608540925268,0.4148802017654478,0.364963503649635,0.4841269841269842,0.5286103542234333,0.8920741989881957,0.8952702702702704,0.8214285714285714,0.9788359788359792,0.7894736842105265,1.7567567567567566,2.9787234042553195,1.94488188976378,1.9840425531914896,1.5852534562211984,1.21301775147929,0.5060402684563758,0.0978473581213306,0.0830115830115831,0.0830115830115831,0.017225747960109,0.2749999999999999,0.212972972972973,0.1687500000000001,0.2195652173913045,0.1798107255520504,0.1108910891089109,0.011722272317403,0.0716332378223496,0.055503292568203,0.052532833020638,0.0625,-0.0642201834862384,0.0903790087463558,0.1356275303643723,0.0903790087463558,0.1333333333333333,0.0408163265306122,0.2077502691065664,0.212972972972973
LQNJ_37-L,27.0,-0.1696405347760494,0.1062652410429563,0.0034179120895791,0.021143190434529,5.255347679260455e-10,-0.1356708110076471,-0.2754549130610594,0.0046298729596617,0.3565210138672856,0.0127240831391492,0.0147037911322202,0.0384615384615385,0.2682926829268293,0.3684210526315792,0.56,0.3109243697478991,0.6774193548387097,0.5757575757575759,0.4579439252336448,1.2608695652173916,0.95,1.0526315789473686,1.08,0.95,1.1081081081081083,1.2608695652173916,1.6440677966101696,1.7857142857142856,2.804878048780488,2.466666666666667,3.5882352941176467,2.319148936170213,2.2500000000000004,2.7142857142857144,2.391304347826087,1.328358208955224,0.8795180722891567,0.752808988764045,1.08,0.9259259259259258,0.8571428571428572,0.642105263157895,0.5294117647058825,0.471698113207547,0.8139534883720931,0.6956521739130435,0.4444444444444444,0.21875,0.752808988764045,0.6595744680851066,0.5294117647058825,0.4857142857142857,0.8571428571428572,2.2500000000000004,2.319148936170213,2.2500000000000004,2.058823529411765,2.7142857142857144,2.804878048780488,3.0
LQNV_23-L^L18,15.0,-0.0649895442291702,0.1133690699275053,0.0011224965561921,0.0407740044282283,1.5405004309685085e-08,-0.003854778161296,-0.1884544676823385,0.0206906994053439,-0.1281763605489513,0.0040411425442131,0.0156581908427451,0.0357142857142855,0.1666666666666667,0.2173913043478261,0.1666666666666667,0.1666666666666667,0.1200000000000001,0.2173913043478261,0.5555555555555558,0.8666666666666669,1.1538461538461542,1.1538461538461542,0.6470588235294119,0.7500000000000002,0.4000000000000001,0.4000000000000001,0.7500000000000002,0.0769230769230771,0.0769230769230771,-0.0666666666666665,0.0370370370370369,-0.0666666666666665,-0.3170731707317072,-0.3913043478260869,-0.263157894736842,-0.4399999999999999,-0.4615384615384614,-0.5483870967741935,-0.5820895522388059,-0.5625,-0.588235294117647,-0.5999999999999999,-0.5555555555555556,-0.5999999999999999,-0.5692307692307692,-0.611111111111111,-0.5999999999999999,-0.6744186046511628,-0.6216216216216216,-0.5999999999999999,-0.5692307692307692,-0.5757575757575757,-0.5692307692307692,-0.5087719298245613,-0.5483870967741935,-0.5820895522388059,-0.6585365853658536,-0.6666666666666666,-0.6853932584269662,-0.6781609195402298
LQOA_07-L,15.0,0.0537232073227409,0.0989480279646484,0.0237805496424493,0.0472283487722392,8.671955390216576e-11,4.726381875900789e-05,0.0612095773786258,0.0328235644029624,0.5836183092675309,0.5828964613368283,0.5828964613368283,0.0,0.0271739130434782,0.0558659217877093,0.0161290322580645,0.0441988950276241,0.1183431952662721,0.0441988950276241,0.2115384615384614,0.1886792452830188,0.1886792452830188,0.1524390243902438,0.1183431952662721,0.1183431952662721,0.1183431952662721,0.227272727272727,0.2115384615384614,0.2115384615384614,0.4651162790697674,0.588235294117647,0.783018867924528,0.588235294117647,0.588235294117647,0.5,0.3897058823529409,0.3404255319148936,0.1886792452830188,0.1385542168674698,0.1524390243902438,0.0738636363636362,0.0738636363636362,0.1283582089552237,0.0738636363636362,0.0738636363636362,0.0738636363636362,0.0106951871657752,0.0106951871657752,0.0271739130434782,0.0799999999999998,0.0738636363636362,0.0647887323943661,0.0161290322580645,-0.0257731958762886,-0.0357142857142857,-0.0357142857142857,0.0188679245283018,0.0161290322580645,0.0134048257372654,0.0647887323943661,0.0216216216216216
LQOJ_65-L^F13,14.0,-0.178578259483583,0.2334112569681712,0.6369334810668126,-0.1870257650296006,7.798781336432055e-11,-0.1283391775581765,0.003963963963964,0.0093988277624652,2.38435819411142,2.1970225633868345,2.1970225633868345,-0.0046189376443419,0.0606246172688305,0.0446320868516285,-0.5163362189332589,-0.5140291806958474,-0.4997111496244945,-0.4801920768307323,-0.4459373000639796,-0.4459373000639796,-0.3706395348837209,-0.4896876841484973,-0.4926772114821324,-0.4617775015537601,-0.4473516273133375,-0.4332460732984292,-0.4563716258631513,-0.5244371224601867,-0.5337819650067295,-0.5368983957219251,-0.4700122399020807,-0.5136197697276046,-0.498697539797395,-0.4647713226205191,-0.3948287910552062,-0.4647713226205191,-0.6345991561181434,-0.6364399664147775,-0.6407384360091267,-0.6834795321637427,-0.7289514866979656,-0.7296706727017325,-0.7353705118411,-0.7265119216800884,-0.7356935754616206,-0.7369779802581624,-0.7427213309566251,-0.76588267099216,-0.8036503797755357,-0.806328972380633,-0.8163503340048776,-0.8171452702702703,-0.8337013922227556,-0.832786252172234,-0.8249444107539923,-0.8234994395190054,-0.8165059858035809,-0.7992116856016693,-0.8003458213256485,-0.7967136150234742
LQOS_64-L^I16,14.0,-0.0277253304183642,0.2360030678207516,-0.0023191125630289,0.0111191525758273,7.509848324912509e-11,0.0165954486733578,-0.147554292673026,0.0073423101499315,-0.3476299016601833,0.0509930814593187,0.0590498625834315,0.0,0.0,-0.1249999999999998,-0.1249999999999998,0.0,-0.1249999999999998,-0.1249999999999998,-0.1249999999999998,0.0,0.0,0.0,-0.1249999999999998,-0.1249999999999998,-0.1249999999999998,-0.2222222222222221,0.0,-0.1249999999999998,0.0,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.1666666666666667,0.4000000000000001,0.1666666666666667,0.0,0.0,-0.1249999999999998,-0.1249999999999998,0.0,0.0,-0.1249999999999998,-0.1249999999999998,0.0,0.0,-0.1249999999999998,-0.1249999999999998,0.0,0.0,0.1666666666666667,0.1666666666666667,0.0,0.0,-0.1249999999999998,0.1666666666666667
LQRW_68-L^B11,15.0,-0.3940725032818338,-1.1308791426870413,-0.0607740122818122,-0.4397371916849172,3.773162220010478e-10,-0.0312784004847016,-0.2859086657028659,0.0017385539266585,0.1828250514960747,0.1630540480116256,-0.070673224715647,0.0,-0.3333333333333332,0.0,0.0,-0.3333333333333332,-0.3333333333333332,-0.4285714285714286,-0.5,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3333333333333332,0.0,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.3333333333333332,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6000000000000001,-0.6000000000000001,-0.6363636363636364,-0.6666666666666666,-0.7777777777777778,-0.7142857142857143,-0.7777777777777778,-0.8333333333333333,-0.9,-0.902439024390244,-0.9130434782608696,-0.92,-0.9130434782608696,-0.9130434782608696,-0.9130434782608696,-0.9,-0.92,-0.9285714285714286,-0.92,-0.9130434782608696
