firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,salerec,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
NBGQ_54-L,0.0120817843866171,-0.0120817843866171,8.0,0.1864363728727458,0.0844826341252076,0.0312064618338715,1.0491283676703644,0.1902874132804757,-0.1953463203463204,0.0414730483271367,2.067334488712432e-06,-0.0006350012700025,0.3062447960033305,0.5614870301444773,3.9883100157200793,-0.1175183858476877,-0.064776697090866,-0.3621623302197857,-0.2646310432569976,1.0155309033280506,4.404218308327898,0.0831550802139037,0.1200000000000001,0.0223048327137547,0.0185185185185183,-0.014336917562724,-0.0316901408450703,0.1178861788617886,0.1652542372881356,0.1133603238866396,0.1458333333333334,0.1316872427983537,0.206140350877193,0.206140350877193,0.2557077625570776,0.2614678899082567,0.4397905759162304,0.4248704663212435,0.4322916666666667,0.6566265060240966,0.544943820224719,0.4473684210526316,0.5193370165745856,0.6666666666666667,0.8211920529801324,0.9097222222222224,0.9642857142857144,0.6768292682926831,0.7973856209150327,0.8333333333333333,0.7295597484276728,0.6369047619047619,0.992753623188406,1.291666666666667,1.217741935483871,1.370689655172414,1.4553571428571428,1.291666666666667,1.083333333333333,1.412280701754386,0.6467065868263473,0.6369047619047619,0.4627659574468086,0.3480392156862744,0.2790697674418605,0.4627659574468086,0.536312849162011,0.71875,0.9642857142857144,1.1153846153846154,0.8581081081081081
NEDG_04-L,0.0104326244169626,-0.0104326244169626,3.0,0.1192527432665277,0.0719002465048491,0.2786591533003569,3.950954593807737,0.377781418974275,0.0743636697564876,-0.0533206384526508,5.460954353589151e-10,0.0927382787702911,0.3538937203523831,0.1054464639643592,-1.751236530255185,-0.1942135157260283,-0.2469173123889195,0.2035417355140918,-0.285781268315555,3.269660153406864,5.387905073649754,0.5333926442092709,0.2307692307692308,-0.0714285714285715,-0.0714285714285715,0.0833333333333334,0.3,0.4444444444444446,0.4444444444444446,0.368421052631579,0.4444444444444446,0.3,0.4444444444444446,0.3,0.3,0.7333333333333334,0.857142857142857,0.857142857142857,0.5294117647058822,0.4444444444444446,0.3,0.0833333333333334,-0.037037037037037,0.1304347826086955,0.625,0.5294117647058822,0.4444444444444446,0.368421052631579,0.3,0.368421052631579,0.368421052631579,1.0,1.6,2.714285714285714,1.6,1.166666666666667,0.7333333333333334,0.625,1.166666666666667,1.166666666666667,1.166666666666667,1.0,0.625,0.0,0.0833333333333334,0.0,0.0833333333333334,-0.1333333333333333,-0.4222222222222221,-0.48,-0.3658536585365853
NEDH_97-L^I08,0.0352695209526406,0.0352695209526406,9.0,0.8923360063099776,0.0660954712362301,-0.0090830914248089,1.214011232633757,1.871720116618076,3.459623149394348,0.4845014089628215,9.758320884953268e-11,0.0495596161430261,0.2690736807711157,0.013705578728504,1.4419172679839052,-0.082563794034109,-0.082563794034109,0.1146844070317623,2.1202185792349724,1.214011232633757,4.875963559915908,0.4634556735724051,0.0,-0.0909090909090908,0.0,0.1764705882352941,0.0526315789473683,-0.069767441860465,-0.1304347826086956,-0.1666666666666666,-0.2982456140350876,-0.2452830188679244,-0.2307692307692307,-0.2982456140350876,-0.1304347826086956,0.0,-0.0476190476190475,0.0,-0.0476190476190475,0.0,-0.0476190476190475,0.25,0.0526315789473683,0.3793103448275863,0.6666666666666667,0.4285714285714286,0.142857142857143,0.1111111111111111,-0.0243902439024389,0.0256410256410257,0.2903225806451615,0.1111111111111111,0.142857142857143,0.2121212121212121,0.0526315789473683,0.0526315789473683,0.0,-0.0476190476190475,-0.1304347826086956,0.0256410256410257,0.0,-0.1666666666666666,0.0,-0.1304347826086956,-0.2982456140350876,-0.5,-0.3548387096774192,-0.4594594594594594,-0.5180722891566265,-0.4444444444444444,-0.1999999999999999
NETR_P9-L^B12,0.1314059999318963,0.1314059999318963,6.0,0.1486738613499177,0.1339485554905134,0.0427527474067427,3.531875463306153,0.6117647058823529,0.1242667048218629,-0.0009193993257738,3.762689511860727e-10,0.1042619352478507,0.1742157670135509,0.0085665242354105,-0.6815959499521618,0.8009111060740142,0.8578037355442754,-0.5027723589874216,2.2216465169833044,0.8401284902396838,4.104852035451405,-0.1491733349939283,0.1199999999999998,0.0,-0.0384615384615385,0.0,-0.1666666666666666,0.1904761904761904,0.1363636363636362,0.1904761904761904,0.1904761904761904,0.1363636363636362,0.0869565217391306,0.0869565217391306,0.0416666666666667,0.0869565217391306,0.1363636363636362,0.1363636363636362,0.1363636363636362,0.1363636363636362,0.1363636363636362,0.25,0.1363636363636362,0.25,0.0416666666666667,0.1363636363636362,0.0416666666666667,-0.21875,-0.1071428571428571,-0.0384615384615385,0.3157894736842106,-0.0740740740740741,0.5625,1.0833333333333337,0.5625,0.1363636363636362,0.1363636363636362,0.1363636363636362,0.1363636363636362,0.0416666666666667,-0.21875,-0.4318181818181819,-0.5689655172413792,-0.5967741935483871,-0.6212121212121212,-0.5833333333333333,-0.609375,-0.5370370370370371,-0.609375,-0.6428571428571428,-0.609375
NEUF_60-L^I19,0.0671794343868111,-0.0671794343868111,7.0,-0.0032008927260445,0.0913375507220808,-0.0161785148184507,0.3507910529187125,0.0276501929083226,0.0260409214479897,-0.0661793902672176,7.940380469952081e-11,0.0584970487181745,-0.0235616438356163,0.012691273290925,-1.349469008931415,0.1841011471970766,0.1774066205148536,-0.5290524990607838,-2.5126512651265123,0.3251500272776868,12.012440191387562,0.040016570008285,0.0833333333333332,-0.0357142857142857,0.0,0.0588235294117647,0.0485436893203883,0.0588235294117647,0.0,0.0588235294117647,0.0693069306930693,0.148936170212766,0.148936170212766,0.2272727272727273,0.2705882352941178,0.2558139534883721,0.2857142857142858,0.2558139534883721,0.2558139534883721,0.2272727272727273,0.2272727272727273,0.1739130434782609,0.1739130434782609,0.1739130434782609,0.1739130434782609,0.1250000000000002,0.148936170212766,0.148936170212766,0.1250000000000002,0.148936170212766,0.3170731707317074,0.3170731707317074,0.3170731707317074,0.2857142857142858,0.2705882352941178,0.2705882352941178,0.2558139534883721,0.2857142857142858,0.3170731707317074,0.2857142857142858,0.2558139534883721,0.148936170212766,0.1250000000000002,0.2272727272727273,0.1999999999999999,0.3500000000000001,0.2272727272727273,0.2272727272727273,0.1999999999999999,0.2272727272727273,0.2272727272727273
NEUG_G4-L^L16,0.1243878550440745,-0.1243878550440745,4.0,-0.3585209003215434,-2.1239669421487606,-0.1578556236442256,0.9345372460496614,1.709090909090909,-0.6225930680359435,-0.0910871694417238,5.252883137547189e-13,0.042604501607717,0.086206896551724,0.0023149078954503,-0.4793641845817402,-0.534512578841846,-0.534512578841846,0.0967607955821708,-0.1131907308377897,0.9345372460496614,4.400862068965517,0.0514933058702368,0.0,-0.1818181818181818,-0.1,0.125,0.125,0.5,0.5,-0.1,-0.1818181818181818,0.0,0.125,0.2857142857142856,-0.1818181818181818,-0.25,-0.3571428571428572,-0.25,-0.1,-0.25,-0.4,-0.4,-0.4375,-0.25,-0.3571428571428572,-0.4,-0.4,-0.4,-0.1,0.125,-0.25,-0.5,-0.1,-0.1,-0.1,-0.1,-0.25,-0.25,-0.25,-0.25,-0.4,-0.4,-0.4,-0.1,-0.1,-0.25,-0.25,-0.3571428571428572,-0.3571428571428572,-0.4705882352941177,-0.4705882352941177
NEUH_08-L,0.1992720794876914,-0.1992720794876914,6.0,8.53673139158576,-0.8883450850269599,900.7159485498743,1.4006481188744864,0.0149005813669451,9.140179299103512,1.1267718107406666,7.561682395724797e-13,6.560355987055018,7.647859143657468,0.0822902958346294,-0.6333491323879804,-0.8423541024147753,-0.8493196651826344,242.0637450199256,-0.5731955119710221,1.338760670249763,0.8310719131614654,244.00000000000523,0.064796523113394,-0.1908567774936062,-0.1088028169014084,-0.0391040242976462,-0.1021638879035119,-0.0752648885641213,-0.2115264797507788,-0.3525198260424662,-0.3525198260424662,-0.2930167597765363,-0.2498518079430943,-0.3127884876459408,-0.1633057851239669,0.0424217462932454,0.3666306695464363,0.2554563492063491,0.1494096276112624,0.2058122915674129,0.1944313355356299,0.051516410469464,-0.0159409020217728,0.5376670716889427,0.782394366197183,0.5565805658056577,0.4471126357918811,0.68508655126498,0.2680360721442885,0.5565805658056577,0.952932098765432,1.084843492586491,1.8598870056497177,2.0753341433778854,2.155860349127182,1.6726504751847937,1.6726504751847937,1.3654205607476635,1.049392712550607,1.121542330259849,2.515277777777777,2.7275405007363767,1.4127740705433744,1.4127740705433744,1.6726504751847937,1.9988151658767768,1.7332613390928726,1.4596695821185617,1.049392712550607,0.983542319749216,1.2358657243816251
NEUI_93-L^C11,0.0391488617992746,0.0391488617992746,7.0,-0.1658608254307467,0.233971151015602,0.2566552809695516,1.8805386981461467,0.2557200538358008,-0.0236629034097388,-0.1113004471242771,8.85669480511237e-10,-0.2393482035528249,-0.2914193743084197,0.0270337738353585,0.5558456562423942,0.189847717886752,0.1659872188356614,-0.0005933635793466,0.4181705040448039,1.8388893507357216,2.402246160898464,-0.1387662030855194,-0.0545454545454545,-0.140625,-0.0178571428571429,0.1458333333333334,0.170212765957447,0.25,0.3414634146341464,0.5277777777777779,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4864864864864866,0.2790697674418605,0.1956521739130434,-0.0350877192982455,-0.0833333333333332,-0.1129032258064515,-0.0833333333333332,-0.0517241379310343,0.0576923076923077,-0.1666666666666666,-0.2567567567567567,-0.1911764705882352,-0.2948717948717948,-0.1911764705882352,-0.140625,-0.0350877192982455,-0.140625,-0.1129032258064515,0.4102564102564103,0.4473684210526316,0.5277777777777779,-0.0178571428571429,0.0576923076923077,-0.0517241379310343,-0.1666666666666666,0.0784313725490197,0.3414634146341464,-0.0350877192982455,-0.0178571428571429,-0.0833333333333332,-0.4907407407407407,-0.5089285714285714,-0.5528455284552845,-0.4607843137254901,-0.3604651162790697,-0.4711538461538461,-0.5528455284552845,-0.3888888888888888
NEUN_53-L^B10,0.0461868742601472,0.0461868742601472,8.0,0.0694652051154294,0.0750764174993053,-0.0029218490880054,1.0763578845319794,0.0529531568228105,0.6128633271490415,0.015027788367007,1.0088828024823124e-08,-0.088315894369706,-0.0145129176961641,0.0251462951573449,-0.756278446548862,0.0445813934997476,0.0445813934997476,0.0202994575865742,0.7940669196274578,1.0763578845319794,4.724125267094017,0.1524433946896889,-0.0128205128205127,0.0493273542600896,0.0588235294117647,0.1037735849056602,0.0636363636363634,0.0353982300884956,0.1527093596059114,0.3448275862068966,0.4096385542168674,0.5599999999999998,0.8281249999999998,0.7727272727272725,0.6027397260273972,0.7205882352941175,0.8719999999999999,1.0172413793103448,1.0172413793103448,1.1666666666666663,0.95,0.95,1.2718446601941746,1.5999999999999996,1.7209302325581397,1.543478260869565,1.5999999999999996,1.4893617021276595,2.078947368421052,2.078947368421052,2.342857142857143,2.342857142857143,2.9,3.5,3.254545454545454,3.5,3.5,3.254545454545454,4.3181818181818175,3.254545454545454,2.162162162162162,2.65625,3.105263157894737,1.8536585365853655,2.078947368421052,2.441176470588235,2.545454545454545,4.571428571428571,6.8,6.312499999999999,8.75
NEVV_35-L^L16,0.0426837491571139,-0.0426837491571139,7.0,0.334697732997481,0.5282766526557127,-0.0150030012953788,1.2264084507042254,0.2818284850774462,0.2457289960215307,0.1819285232636545,9.769543794762016e-11,0.0350283375314861,0.5175565175565173,0.0213996901513565,1.3411337785466486,-0.3027515449958602,-0.2980781451830157,0.2159733859962655,-0.3135215453194651,1.2264084507042254,5.046756071040232,0.4537481728962205,-0.0099009900990099,-0.0471698113207547,-0.0471698113207547,-0.0818181818181819,0.0978260869565217,0.0978260869565217,0.1744186046511628,0.01,-0.0471698113207547,-0.0818181818181819,0.2317073170731707,0.4027777777777779,0.3466666666666667,0.2023809523809523,0.6833333333333333,0.9423076923076924,1.1956521739130437,1.02,0.9423076923076924,1.525,1.02,0.8363636363636362,1.104166666666667,1.104166666666667,1.2954545454545454,1.4047619047619049,2.6071428571428568,2.060606060606061,2.6071428571428568,4.05,4.611111111111112,6.2142857142857135,4.941176470588235,4.611111111111112,4.611111111111112,4.611111111111112,4.611111111111112,5.3125,5.3125,3.809523809523809,1.6578947368421053,1.525,1.2444444444444445,0.442857142857143,0.4027777777777779,0.188235294117647,0.3466666666666667,0.3289473684210526,0.442857142857143
