firms,age,agr,cashdebt,egr,invest,lgr,mve_ia,pchsale_pchinvt,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
LQWW_06-L,14.0,0.0049045227884492,0.1779141755403828,0.0819294574277797,0.0146568535492567,-0.0562439132987277,0.1093488258640763,-0.0488596283711137,-0.1162791539123953,-0.0149253731343284,0.0485133020344288,0.252336448598131,0.3814432989690723,0.3320079522862822,0.321499013806706,0.3320079522862822,0.30859375,0.5261958997722098,0.6183574879227054,0.4346895074946466,0.654320987654321,0.7091836734693879,0.6876574307304786,0.6028708133971294,0.6876574307304786,0.898016997167139,0.8611111111111112,1.7459016393442623,2.087557603686636,1.2789115646258504,2.3168316831683167,2.004484304932736,1.4014336917562726,0.8059299191374665,0.4164904862579279,0.1394557823129252,0.120401337792642,0.1037891268533772,0.046875,0.0387596899224806,-0.0496453900709219,0.1260504201680672,0.2316176470588233,0.2934362934362935,0.1837455830388692,0.1754385964912281,0.30859375,0.2884615384615385,0.2689393939393938,0.2786259541984732,0.3814432989690723,0.6708229426433916,0.7091836734693879,0.5839243498817965,0.5437788018433181,0.7631578947368423,0.7179487179487181,0.9142857142857144
LQXE_97-L^K11,17.0,0.0921412992600411,0.3481888819424065,0.2114622514777001,0.0792044696298213,-0.0817690104995227,0.0646378501871303,0.002962225258722,0.1343287083191612,-0.0575539568345322,-0.0347222222222222,0.0451127819548871,0.1779661016949152,-0.0211267605633802,-0.3564814814814816,-0.3219512195121951,-0.268421052631579,-0.3152709359605911,-0.2853470437017995,-0.3186274509803922,-0.351981351981352,-0.3301204819277109,-0.2362637362637363,-0.1871345029239766,-0.1701492537313433,-0.1032258064516129,-0.0733333333333333,-0.0608108108108108,-0.0915032679738563,-0.1146496815286625,-0.0885245901639344,-0.0825082508250825,-0.0479452054794521,-0.0639730639730641,-0.1498470948012232,-0.0479452054794521,-0.0794701986754967,-0.1419753086419753,-0.054421768707483,0.0145985401459851,0.0775193798449611,0.103174603174603,0.1440329218106995,0.0692307692307692,0.0,-0.0413793103448276,0.0183150183150182,0.1209677419354837,0.2636363636363634,0.2300884955752213,0.1631799163179914,0.0901960784313724,0.1631799163179914,0.0859375,0.0220588235294116,0.1119999999999998,-0.0671140939597315,-0.1366459627329194
LQXK_00-L,14.0,-0.0580566437608374,0.1464262941278766,-0.0996488147497805,-0.02324834628476,-0.0255236351150281,0.0035451994937957,0.0053525820425864,-0.1938391038696537,0.0483870967741935,0.0825396825396826,0.0179104477611939,0.0179104477611939,0.0179104477611939,0.0179104477611939,0.0179104477611939,0.0179104477611939,0.0179104477611939,0.0179104477611939,0.0029411764705882,0.0029411764705882,0.0029411764705882,-0.0657534246575342,0.0492307692307691,0.1366666666666667,-0.0966887417218542,0.0029411764705882,0.1860869565217391,0.1860869565217391,0.0911999999999999,0.0911999999999999,0.0911999999999999,0.0911999999999999,-0.0906666666666666,-0.1312101910828025,-0.1026315789473683,-0.1026315789473683,-0.3097165991902834,-0.2954545454545454,-0.2249999999999999,-0.3040816326530612,-0.3131923464249747,-0.3300589390962671,-0.3300589390962671,-0.3866906474820143,-0.38,-0.3855855855855855,-0.3788706739526412,-0.3754578754578754,-0.3910714285714285,-0.4753846153846154,-0.4801829268292682,-0.4801829268292682,-0.4801829268292682,-0.4491114701130856,-0.4491114701130856,-0.4069565217391304,-0.38
LQXS_X2-L^K16,13.0,-0.0359707402187772,0.1430339182028746,0.1658782971217829,0.0223474934568149,-0.1812568526747071,0.0118229183779449,0.144569025001643,0.0740755708223882,0.0909090909090908,0.0,0.0999999999999998,0.0999999999999998,0.0,-0.0833333333333332,-0.0833333333333332,0.0,0.0,0.2222222222222223,0.2222222222222223,0.375,0.375,0.375,0.375,0.5714285714285714,0.375,0.375,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.375,0.375,0.375,0.375,0.5714285714285714,0.375,0.2222222222222223,0.2222222222222223,0.375,0.5714285714285714,0.5714285714285714,0.8333333333333335,0.5714285714285714,1.1999999999999995,0.8333333333333335,0.8333333333333335,0.8333333333333335,0.8333333333333335,1.1999999999999995,1.1999999999999995,1.1999999999999995,0.8333333333333335,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8333333333333335,0.8333333333333335,0.8333333333333335
LQYB_07-L^G12,22.0,-0.0585922875327593,0.0729411764705882,-0.0016787912702852,-0.0067390490453013,-0.0872011251758087,0.1031096981361068,-0.0001055400609418,-0.0142065976402601,-0.0068965517241378,0.0283687943262409,0.0820895522388061,0.10126582278481,0.2288135593220337,0.2083333333333332,0.1917808219178081,0.3593749999999998,0.3221884498480241,0.5316901408450703,0.4695945945945945,0.6666666666666665,0.6292134831460674,0.7975206611570247,1.111650485436893,1.0714285714285712,1.668711656441718,1.6363636363636362,2.782608695652174,1.5588235294117645,0.9772727272727268,0.6730769230769229,0.6730769230769229,0.4499999999999999,0.0874999999999999,-0.0645161290322582,-0.0563991323210413,-0.1634615384615385,-0.2314487632508834,-0.1536964980544747,-0.179245283018868,-0.2259786476868328,-0.1838649155722327,-0.3062200956937799,-0.2798013245033113,-0.3127962085308057,-0.2926829268292684,-0.2551369863013699,-0.2434782608695652,-0.2474048442906575,-0.1351888667992048,-0.1176470588235294,-0.0861344537815126,-0.1212121212121213,-0.1122448979591838,-0.0861344537815126,-0.0022935779816515,-0.0158371040723982,-0.0397350993377484
LQYE_79-L,22.0,-0.0506544405827109,0.1173167441988494,0.0293335864818681,0.0519855061746654,-0.1370698938515974,0.0053063169295734,-0.1933748899430067,-0.2391171223940999,0.0,0.0,0.1052631578947367,0.2727272727272727,0.2352941176470586,0.2352941176470586,0.3125,0.1052631578947367,0.1052631578947367,0.3125,0.0,0.0,0.0,0.0,0.2352941176470586,0.1999999999999999,0.1999999999999999,0.0499999999999998,0.3125,0.1052631578947367,-0.0454545454545455,-0.125,-0.125,-0.125,-0.125,-0.2363636363636364,-0.2222222222222223,-0.2500000000000001,-0.3636363636363636,-0.1923076923076924,-0.1923076923076924,-0.34375,-0.2222222222222223,-0.1923076923076924,-0.5800000000000001,-0.631578947368421,-0.6692913385826772,-0.6612903225806452,-0.6666666666666667,-0.6865671641791045,-0.6744186046511629,-0.8090909090909091,-0.7835051546391752,-0.79,-0.825,-0.7627118644067796,-0.7514792899408285,-0.7341772151898734,-0.7272727272727273
LQYK_79-L^K16,15.0,-0.0867007672634271,-0.0993184031158714,-0.7865685372585096,0.0552429667519181,0.1827842720510095,0.0009366873624803,1.0352112676056338,0.0352112676056338,-0.2,-0.2307692307692307,-0.0909090909090908,0.1111111111111111,0.4285714285714286,0.5384615384615385,0.4285714285714286,0.4285714285714286,3.0,3.0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,3.0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,0.6666666666666667,0.5384615384615385,0.6666666666666667,0.4285714285714286,0.4285714285714286,0.1764705882352941,0.0,-0.0476190476190475,0.0,0.1111111111111111,0.1111111111111111,-0.0476190476190475,0.1111111111111111,0.0526315789473683,-0.0909090909090908,-0.2592592592592593
LRMN_M3-L,21.0,0.9106962663975782,0.2753792298716452,0.8396358543417366,0.2270433905146316,1.0938628158844763,0.0018828863898382,0.1943601416287303,-0.0556398583712696,0.170212765957447,0.0930232558139534,0.119047619047619,0.0681818181818181,0.0444444444444442,0.0,-0.0784313725490196,-0.1296296296296297,-0.189655172413793,-0.2656250000000001,-0.253968253968254,-0.3733333333333334,-0.4777777777777778,-0.2033898305084746,-0.3285714285714285,-0.5523809523809524,-0.5523809523809524,-0.4659090909090909,-0.3285714285714285,-0.1607142857142858,-0.2419354838709677,-0.2419354838709677,-0.2166666666666666,-0.2419354838709677,-0.2166666666666666,-0.3974358974358974,-0.3285714285714285,-0.3472222222222222,-0.5052631578947369,-0.4659090909090909,-0.2985074626865672,-0.0961538461538462,-0.06,0.3428571428571429,0.3428571428571429,0.3428571428571429,0.5666666666666667,0.0444444444444442,0.0444444444444442,0.0444444444444442,-0.1454545454545456,0.0444444444444442,0.8799999999999999,0.3428571428571429,0.3428571428571429,0.3428571428571429,0.0444444444444442,0.0444444444444442,-0.2166666666666666
LROS_40-L,22.0,0.4966487935656838,0.1868235294117647,0.3343339587242027,0.0345174262734584,0.6545908806995627,0.3533014343976797,-0.4297680530915304,0.1302319469084695,0.0404040404040404,-0.0480769230769231,-0.0917431192660551,-0.0747663551401869,-0.1610169491525424,-0.1818181818181817,-0.1610169491525424,-0.1610169491525424,-0.1749999999999999,-0.1610169491525424,-0.1610169491525424,-0.1885245901639344,-0.2204724409448819,-0.2442748091603054,-0.1749999999999999,-0.1081081081081082,-0.1538461538461538,-0.1160714285714287,0.0206185567010308,0.1123595505617978,-0.0294117647058823,-0.0660377358490567,-0.0833333333333333,0.03125,-0.0660377358490567,-0.1465517241379309,-0.1391304347826086,-0.0571428571428571,-0.1680672268907562,-0.1885245901639344,-0.1885245901639344,-0.25,-0.2325581395348838,-0.321917808219178,-0.2928571428571428,-0.2978723404255319,-0.2442748091603054,-0.2611940298507463,-0.2265625,-0.2877697841726618,-0.2978723404255319,-0.2016129032258065,-0.1749999999999999,-0.1749999999999999,-0.2016129032258065,-0.2265625,-0.1680672268907562,-0.0660377358490567,-0.0571428571428571
LRRH_10-L^F20,22.0,-0.1190406408753419,0.0631410180840779,-0.1437603148406753,0.081249185879901,-0.0748490763015749,0.0107804176296311,-0.106756698607551,-0.0073023657505937,0.0454545454545454,0.0,-0.0434782608695653,-0.0833333333333332,-0.1538461538461538,-0.1851851851851852,0.0476190476190476,0.0999999999999998,0.0476190476190476,-0.0833333333333332,-0.0833333333333332,-0.0833333333333332,-0.2142857142857143,-0.2142857142857143,-0.0833333333333332,0.0476190476190476,0.2941176470588234,0.2222222222222223,0.6923076923076923,1.0,0.375,0.375,0.2941176470588234,0.8333333333333335,0.2222222222222223,-0.2142857142857143,-0.12,-0.2903225806451612,-0.45,-0.5319148936170213,-0.5319148936170213,-0.5217391304347827,-0.45,-0.5217391304347827,-0.4210526315789473,-0.5416666666666666,-0.5319148936170213,-0.5769230769230769,-0.6071428571428572,-0.6666666666666667,-0.6857142857142857,-0.6944444444444444,-0.6615384615384616,-0.6901408450704225,-0.6944444444444444,-0.7066666666666667,-0.681159420289855,-0.717948717948718,-0.6986301369863014
LRTP_07-L,21.0,0.126234768762765,0.2887601436995123,0.0358869070097987,0.1292028001930721,0.2498573993331623,0.2147930959387028,-1.1074416217400045,-0.1444485787414448,0.0745614035087718,0.0704225352112675,0.2391304347826088,0.2666666666666666,0.2765957446808511,0.2025316455696202,0.2364425162689805,0.2596685082872927,0.2765957446808511,0.3179190751445087,0.2837837837837837,0.3523131672597865,0.4039408866995075,0.5659340659340659,0.6239316239316242,0.7014925373134329,0.7484662576687118,0.8387096774193548,1.1590909090909092,1.1428571428571428,1.1923076923076923,1.4782608695652175,1.4,1.6388888888888888,0.78125,0.4503816793893129,0.4578005115089514,0.3073394495412844,0.2881355932203391,0.3255813953488373,0.4467005076142132,0.3571428571428572,0.3987730061349692,0.4393939393939394,0.4882506527415144,0.2969283276450514,0.3987730061349692,0.4126394052044608,0.2837837837837837,0.2925170068027212,0.2025316455696202,0.2391304347826088,0.4522292993630574,0.7592592592592593,0.982608695652174,1.0802919708029195,1.2800000000000002,1.7272727272727275,1.7014218009478674
LSHG_S3-L^A19,7.0,0.9766618578968173,0.6838230981289226,1.177913232386777,0.619190148440517,-0.0837940768342922,2.6390222029215376,-0.0538616583751573,0.1363435074996997,-0.1026819923371648,0.0856905158069882,0.1579414374445429,0.0731907894736842,0.0532687651331718,0.1683079677708145,0.25,0.3509316770186337,0.4516129032258063,0.3049999999999999,0.2207670720299344,0.5550524308865585,0.5407319952774499,0.83389544688027,0.6970091027308192,0.599264705882353,0.5013805798435342,0.9530080814127508,0.680401751223281,1.1150729335494325,1.117131732641142,1.213364993215739,1.8782531980591088,2.214285714285714,1.8807947019867552,1.8344917463075587,1.568897637795276,1.7742346938775513,2.0576382380506093,1.9780921953445916,1.9181574239713772,1.430167597765363,1.6417004048582995,2.5327558202490525,2.789198606271777,2.6822799097065464,2.96415552855407,4.37037037037037,5.069767441860465,5.00828729281768,4.432972522897585,4.392561983471075,4.330882352941177,4.69371727748691,4.419435215946844,4.460251046025105,4.557921635434412,4.41044776119403,4.857271095152603
LTBQ_59-L^A22,14.0,-0.179727299970033,0.0203530372510836,-0.2927530173990281,-0.0085780641294575,0.1065237528119623,0.0011374838422346,0.1049008036311931,-0.1246073930901184,-0.3333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,-0.25,-0.25,-0.4,-0.4,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.25,-0.25,-0.4,-0.5,-0.5,-0.4,-0.5,-0.5,-0.5,-0.5714285714285715,-0.625,-0.625,-0.6666666666666667,-0.625,-0.5714285714285715,-0.625,-0.625,-0.6666666666666667,-0.7,-0.6666666666666667,-0.7857142857142858,-0.7692307692307693,-0.625,-0.7272727272727273
LTBT_65-L^A11,10.0,-0.4659876728803367,-1.727245598328857,-0.4170856394439984,0.0001503307276007,-0.8598162640353862,0.005923678093381,-3.022075055187638,-3.022075055187638,0.0615384615384613,0.0,0.0317460317460318,0.015625,0.0483870967741935,0.0833333333333334,0.0833333333333334,0.1206896551724139,0.1016949152542374,0.015625,0.1607142857142856,0.1818181818181816,0.0483870967741935,0.0655737704918033,0.0483870967741935,0.0483870967741935,0.0,0.1403508771929826,0.3541666666666667,0.3829787234042554,0.1403508771929826,0.0833333333333334,-0.1558441558441557,-0.1772151898734177,-0.3298969072164948,-0.3809523809523809,-0.4196428571428572,-0.4583333333333332,-0.4444444444444444,-0.439655172413793,-0.439655172413793,-0.439655172413793,-0.4196428571428572,-0.4090909090909091,-0.3564356435643564,-0.3564356435643564,-0.3367346938775509,-0.3925233644859813,-0.4347826086956521,-0.439655172413793,-0.4298245614035086,-0.4298245614035086,-0.3981481481481481,-0.3367346938775509,-0.3867924528301887,-0.3229166666666666,-0.3229166666666666,-0.3229166666666666,-0.2777777777777778
LTBW_29-L^C15,17.0,0.0283960292580981,0.0525888324873096,0.0570083303151032,0.0792580982236153,0.0122574055158323,0.0037654356609544,-0.1321220742019798,0.0210234200899802,-0.0263157894736841,0.0857142857142858,0.1176470588235294,0.1176470588235294,0.1515151515151513,0.0,-0.0952380952380952,-0.073170731707317,0.357142857142857,0.357142857142857,0.1875,0.0555555555555555,0.0270270270270269,0.0555555555555555,0.2666666666666668,0.1875,0.3103448275862071,0.2666666666666668,0.4615384615384614,0.2258064516129032,0.2666666666666668,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,0.1515151515151513,0.1875,0.1875,0.0857142857142858,-0.073170731707317,-0.1162790697674418,-0.0952380952380952,-0.2962962962962963,-0.2962962962962963,-0.3870967741935484,-0.3448275862068964,-0.3559322033898304,-0.3870967741935484,-0.4242424242424243,-0.40625,-0.4411764705882353,-0.4411764705882353,-0.4794520547945206,-0.3870967741935484,-0.4571428571428571,-0.4571428571428571,-0.4571428571428571,-0.4571428571428571
