firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BDCK_44-L^L08,0.1297598835799175,-0.1297598835799175,13.0,0.0004852013585637,0.1702882483370288,-0.0090197533420431,0.8712674187126743,0.1184426229508196,-0.0016085790884719,-0.08197914140189,2.555458668447355e-07,-0.1006792819019893,0.002664298401421,-1.1326550640789106,0.0365671661364228,0.0402842291528423,0.154638780357006,-5.631578947368421,0.8626410086264101,0.0394803871625063,0.1622807017543859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,0.0,-0.0285714285714284,-0.0285714285714284,-0.0285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0555555555555554,-0.0555555555555554,-0.0285714285714284,-0.0555555555555554,-0.0555555555555554,-0.0555555555555554,-0.0555555555555554
BLNT_37-L^D19,0.0041667893482714,0.0041667893482714,5.0,0.0747056570683894,0.028887150418111,-0.0959929446110085,1.0329008509624753,0.4842156782771841,0.1723051662911909,0.0015544542401789,1.1122923869955289e-07,0.0037332249656874,0.0695174047901559,1.1841224712700626,0.0024444401024035,0.0024444401024035,0.1762056132007198,0.1850025032913646,1.0329008509624753,0.0154705299425949,0.2171624698027693,0.015015015015015,0.1044776119402985,0.1137123745819397,0.0673076923076922,0.0811688311688312,0.0571428571428571,0.119327731092437,0.3647540983606558,0.3991596638655463,0.3346693386773547,0.3703703703703702,0.4050632911392404,0.3058823529411765,0.3846153846153848,0.4478260869565218,0.563380281690141,0.3760330578512396,0.4446854663774402,0.8,0.7619047619047621,0.9248554913294798,1.1277955271565498,1.2808219178082192,1.3785714285714286,1.908296943231441,1.7983193277310927,1.6015625,1.5037593984962403,1.707317073170732,1.707317073170732,1.6428571428571428,1.611764705882353,1.4850746268656714,1.810126582278481,1.685483870967742,1.8340425531914888,2.0,2.0976744186046514,2.9176470588235297,2.659340659340659,2.450777202072539,2.233009708737864,1.9732142857142856,2.5806451612903225,2.872093023255814,2.76271186440678,2.741573033707865,2.46875,2.741573033707865
BPVK_29-L,0.0442340869706782,-0.0442340869706782,30.0,0.0013846782067214,0.4563062129463291,0.159639774310035,1.520524688772366,0.1612127913433487,0.0549520709228183,-0.010392404858486,0.0001166451787396,0.0704298093048505,-0.057762416956303,0.1481276980559717,-0.0026572791221495,-0.0570171678414826,-0.0424121511208484,-0.2679474317561121,1.1498456714494676,0.3068809315779942,-0.0656346164200414,-0.0582706766917293,-0.0845999426441065,-0.1194482758620689,-0.0417292104473131,0.0303421562298258,0.0394008466297624,0.0034580320653883,0.0247191011235956,-0.0344827586206897,-0.082758620689655,-0.0268292682926828,-0.0556213017751477,-0.0163328197226502,-0.0411534995494141,-0.0021881838074396,0.0594092266843677,-0.0542222222222221,-0.0774566473988439,0.0037735849056603,-0.0680291970802918,0.0021978021978021,0.0920287375983579,0.0296774193548388,0.1025906735751296,0.1870583860171066,0.195505617977528,0.4818941504178273,0.40554821664465,0.2429906542056075,0.1219683655536028,0.1502702702702703,0.2616600790513834,0.31088295687885,0.3740852346104175,0.293354943273906,0.3076607947562475,0.3119605425400742,0.0510372077708265,0.2611615962070328,0.1482014388489207,0.2197172334734429,0.3250311332503115,0.4036939313984171,0.598397596394592,0.4397834912043301,0.3963254593175853,0.2319567734465457,0.2542239685658154,0.2329084588644263
BUBP_92-L^K18,0.5371174728529121,-0.5371174728529121,6.0,-0.4320099063539974,-0.4445572666929918,-1.0597819101093189,1.184448862381268,0.5845481049562682,-1.2835187629643598,-0.0805857189864946,7.011118930576103e-06,0.0249464695714985,-0.1112689562098234,-0.652608532352364,-0.1993232361005933,-0.3084837111483682,0.4653642449556751,-1.1806017647909737,0.7269715043074885,0.7024263270428558,0.2038594969644405,-0.0491591203104787,-0.0709134615384615,0.0766016713091923,0.2040498442367602,0.0224867724867725,-0.1094470046082948,0.0348058902275769,0.2926421404682273,0.011780104712042,-0.0421313506815365,0.1011396011396013,0.079608938547486,-0.1255656108597284,-0.0584652862362972,-0.1732620320855614,-0.334194659776055,-0.3104371097234611,-0.2443792766373411,-0.2567307692307692,-0.2495145631067961,-0.3515100671140939,-0.3611570247933884,-0.4099236641221373,-0.4166037735849056,-0.5092063492063492,-0.4960886571056062,-0.5565117613310384,-0.4402606806661839,-0.2238955823293172,-0.0573170731707315,0.1929012345679013,0.3373702422145328,0.3079526226734348,0.3013468013468012,0.3035413153457,0.3013468013468012,0.4080145719489982,0.4557438794726931,0.3537653239929947,0.64818763326226,0.6914660831509847,0.5616161616161617,0.5616161616161617,0.567951318458418,0.6587982832618027,0.7729357798165137,0.7811059907834104,0.8060747663551402,0.8060747663551402
BWQW_65-L^I10,0.1150606278094662,-0.1150606278094662,22.0,-0.0605150371808492,0.2140086698608259,0.1574015772682284,1.6938477111685974,0.1629063982413514,0.1902117320374868,-0.0691648094284694,1.035513558559246e-05,-0.0469247957800652,-0.1343265430221952,-0.4464004690592636,-0.1469929761650648,-0.1241204064231854,-0.0610789113084934,-1.6245333333333334,1.2293330334045665,0.147380709178462,-0.1782243332115454,-0.0075757575757575,0.0193050193050194,0.0819672131147541,0.3134328358208957,0.2452830188679244,0.3401015228426396,0.5621301775147931,0.76,0.4347826086956521,0.2941176470588236,0.4347826086956521,0.367875647668394,0.6815286624203822,0.7718120805369129,0.5438596491228072,0.517241379310345,0.795918367346939,0.76,0.619631901840491,0.5438596491228072,0.2165898617511521,0.1578947368421053,0.2054794520547946,0.3894736842105264,0.3401015228426396,0.3401015228426396,0.5348837209302326,0.4347826086956521,0.32,0.189189189189189,0.2165898617511521,0.0393700787401574,-0.0185873605947954,-0.0364963503649635,-0.057142857142857,0.1330472103004292,0.0,0.1478260869565217,0.1681415929203542,0.123404255319149,-0.0704225352112675,0.0,-0.0329670329670329,-0.0112359550561796,0.0476190476190476,-0.1511254019292603,-0.1926605504587155,-0.2563380281690139,-0.25
CWI_80-L,0.1297275663931848,-0.1297275663931848,13.0,-0.0293504591290631,0.1479713603818615,0.1099525133123072,1.237785016286645,0.2942494398805078,-0.0818848976438779,-0.0870758411709213,0.0001176290097616,-0.0112106360205058,-0.0006581653640477,1.1313120065000617,-0.0290245274855346,0.037337583311639,0.0804781307844337,-2.2465346534653468,0.7666723812789302,0.1288864539104232,0.0417773705909299,0.1390820584144643,0.0651851851851852,0.0977099236641221,0.1467304625199363,0.2353951890034364,0.2547993019197208,0.2145270270270272,0.1748366013071896,0.2248722316865417,0.2770870337477797,0.3414179104477612,0.3192660550458717,0.2839285714285715,0.3934108527131783,0.2725663716814159,0.4525252525252525,0.4098039215686275,0.4855371900826448,0.491701244813278,0.6085011185682327,0.6266968325791857,0.7930174563591024,0.6121076233183858,0.8723958333333335,0.8530927835051547,1.2055214723926384,1.6828358208955223,1.653136531365314,1.0426136363636362,0.8871391076115487,0.8248730964467006,0.3988326848249028,0.3617424242424243,0.3439252336448599,0.1825657894736843,0.2104377104377104,0.3773946360153257,0.404296875,0.2396551724137932,0.1653160453808753,0.3617424242424243,0.3314814814814815,0.4098039215686275,0.5871964679911699,-0.3896434634974532,-0.4697640117994101,-0.4101722723543888,-0.3510830324909747,-0.3692982456140351
CWV_20-L^I06,0.1040219893355607,-0.1040219893355607,13.0,-0.0489103657381088,0.2199663509707178,-0.0974107587899216,1.0471815633758952,0.1039891434703023,0.0143824771287826,-0.0868695305898388,1.2949938647001456e-05,0.004832291074474,-0.0558271160277849,-0.3693818229748588,0.110326754509885,0.0970071897932198,0.1646716400993643,-2.1224732461355527,0.8329180940516971,0.1132256029926705,0.0539710031566891,0.028957528957529,-0.0272300469483568,-0.0133333333333334,0.0107317073170731,-0.0226415094339622,-0.0272300469483568,0.1224268689057419,0.1422271223814772,0.0136986301369861,0.0176817288801571,-0.0226415094339622,-0.0353817504655493,0.0019342359767891,0.0412060301507537,0.0308457711442784,0.0308457711442784,0.0186823992133726,0.0485829959514167,0.0791666666666666,0.2018561484918795,0.036,0.0464646464646463,0.103301384451544,0.0593047034764826,-0.0198675496688742,-0.1501230516817063,-0.20976353928299,-0.2233883058470764,-0.2210526315789475,-0.205521472392638,-0.2245508982035928,-0.1758154335719969,-0.2145564821834723,-0.1987625676720804,-0.1672025723472668,-0.0615942028985506,0.0507099391480729,0.1908045977011494,0.2588092345078978,0.2046511627906977,0.2046511627906977,0.1880733944954127,0.2304038004750592,0.4408901251738524,0.3180661577608141,0.3147208121827411,0.2481927710843372,0.0625641025641026,0.000966183574879
DLY_Y2-L^F16,0.0941778630838131,-0.0941778630838131,13.0,-0.1204906204906205,0.1272372274650179,0.1746176881208124,0.8853948287910552,0.2066189624329159,0.5271453590192644,-0.1182341650671719,1.0436323080625007e-05,-0.0524290524290524,-0.2313669064748201,0.3158837324202259,-0.4514401604229331,-0.4405510631925727,0.7092692061301927,-2.3,0.6526904262753319,-0.010392609699769,0.2406593406593406,-0.0255402750491159,0.0099206349206348,0.1162280701754385,0.141255605381166,0.3017902813299231,0.3255208333333332,0.3537234042553192,0.3869209809264304,0.3186528497409326,0.5424242424242425,0.60062893081761,0.5565749235474005,0.6579804560260587,0.906367041198502,0.8644688644688645,0.8375451263537905,1.1659574468085103,1.1208333333333336,0.98828125,1.1208333333333336,0.950191570881226,0.8851851851851851,0.913533834586466,1.0607287449392708,0.98828125,1.1567796610169494,1.637305699481865,1.3674418604651164,0.950191570881226,0.9728682170542636,0.928030303030303,0.8992537313432833,0.5856697819314642,0.5709876543209875,0.913533834586466,1.0118577075098814,1.0118577075098814,1.3896713615023475,1.470873786407767,1.470873786407767,1.8757062146892656,1.6789473684210527,1.2422907488986783,1.1208333333333336,0.920754716981132,0.6419354838709677,0.4460227272727273,0.2324455205811137,0.3118556701030928
DOQX_41-L^J16,0.1365629984051037,-0.1365629984051037,14.0,0.2935528120713305,0.1380163245115013,-0.1342680537041954,2.373072360616845,0.1507449605609115,0.5227686703096539,0.0753588516746393,5.915863710068594e-07,0.0182898948331047,0.2822466836014676,-0.0836468436178559,0.2761406177982181,0.5089133879169471,0.0516811059970632,-1.7746113989637304,1.4661921708185055,0.1894860729697921,-0.0796621775850263,0.0,-0.1067415730337077,0.0743243243243243,0.1648351648351649,0.0,0.1276595744680853,0.5436893203883495,0.8171428571428572,0.2421875,0.2421875,0.2045454545454545,-0.059171597633136,-0.1358695652173913,0.022508038585209,-0.1519999999999999,-0.1587301587301586,-0.2756264236902049,-0.2205882352941176,-0.2205882352941176,-0.2995594713656387,-0.4089219330855018,-0.3813229571984435,-0.3483606557377049,-0.314655172413793,-0.235576923076923,-0.2604651162790696,-0.2638888888888889,-0.3443298969072164,-0.3101952277657267,-0.1191135734072021,0.1041666666666667,0.089041095890411,0.1563636363636364,0.2325581395348837,0.3361344537815127,0.2137404580152671,0.0743243243243243,0.528846153846154,0.6391752577319589,0.5,1.0126582278481011,0.7472527472527473,0.8596491228070178,1.1342281879194631,0.5,0.2519685039370078,0.0564784053156146,-0.1519999999999999,-0.1166666666666667
DOS_59-L,0.0692192052282967,-0.0692192052282967,32.0,0.0065610415490354,0.2459658779486434,-0.1370137046335559,0.9599617154039166,0.1098953625496156,0.039683656409807,-0.0308633669630443,0.0130358222049277,0.0594193140749527,-0.0289874605937815,0.6468028527660509,-0.1111518793607758,-0.0894142424625425,0.2732869695073031,-1.2158551894076826,0.7570851270169066,0.1192196217426498,0.2077011979165808,0.0121107266435984,-0.0751999999999999,-0.0203389830508474,0.0433212996389891,0.0823970037453183,0.1201550387596899,0.0358422939068101,0.0946969696969697,-0.0085763293310462,-0.0136518771331057,0.0087260034904013,-0.0854430379746835,-0.0751999999999999,0.0034722222222223,-0.0034482758620688,-0.0017271157167529,0.0703703703703704,0.0528233151183969,-0.031825795644891,-0.0446280991735537,-0.1052631578947368,0.0087260034904013,-0.1080246913580247,-0.0493421052631578,0.0433212996389891,0.0377019748653499,0.1868583162217658,0.0586080586080586,-0.0707395498392282,-0.088328075709779,-0.0102739726027396,0.0176056338028169,-0.0170068027210883,-0.043046357615894,-0.0170068027210883,0.0414414414414414,-0.0203389830508474,0.1445544554455446,0.3410672853828307,0.3696682464454977,0.2873051224944321,0.2703296703296705,0.2930648769574946,0.3504672897196261,0.5621621621621622,0.4271604938271607,0.2873051224944321,0.3018018018018018,0.2142857142857144
