firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
MOOW_69-L^D07,0.1196178510666143,-0.1196178510666143,8.0,0.1615275813295615,0.1113432468968907,-0.0629152176624505,1.0198412698412698,0.2698675496688741,-0.1824104234527687,-0.0638659861274668,4.184488059864422e-06,0.0056577086280056,0.1351351351351351,4.301484357153846,-0.1357676963912238,-0.0876633654411433,-0.1029542343408931,0.0882010582010582,-0.0758099514357909,-1.5758620689655172,0.7797619047619048,-0.0150812064965197,-0.0062893081761006,0.0037878787878788,0.1041666666666667,0.1455331412103746,0.2287480680061824,0.2082066869300911,0.2082066869300911,0.200906344410876,0.1936936936936937,0.1795252225519288,0.2230769230769231,0.1901197604790419,0.3032786885245901,0.3249999999999999,0.3361344537815125,0.327212020033389,0.3996478873239437,0.4350180505415162,0.394736842105263,0.3316582914572865,0.3054187192118227,0.3361344537815125,0.3140495867768595,0.2659235668789808,0.4070796460176991,0.2884927066450566,0.4145907473309609,0.2619047619047618,0.3032786885245901,0.2325581395348837,0.3383838383838382,0.2740384615384614,0.2363919129082428,0.3566552901023889,0.4722222222222221,0.5963855421686746,0.6158536585365855,0.6914893617021276,0.7588495575221241,0.6736842105263159,0.7434210526315792,0.6459627329192548,0.6843220338983051,0.8068181818181817,0.6914893617021276,0.8068181818181817,0.8402777777777777,0.7282608695652175,0.8928571428571428
MOPD_04-L^G08,0.0652432621631081,-0.0652432621631081,16.0,0.107087543329154,0.458034250833663,-0.0111078962243344,1.7218372820742065,0.0441939890710382,0.0924570337364735,-0.0214910745537275,2.149077790857291e-09,0.0262924994468618,0.1404548753931768,0.0395307201924487,-0.3952935250637829,0.0700528462192316,0.0452623257812977,0.1144146253070875,-0.0382222029010616,-0.5474302496328929,1.1487483236477425,0.0400929796742106,0.0467706013363029,0.1753926701570682,0.364741641337386,0.3323442136498515,0.2865329512893981,0.2506963788300838,0.4119496855345912,0.4031249999999999,0.4966666666666668,0.181578947368421,0.2201086956521738,0.2647887323943663,0.2201086956521738,0.2472222222222222,0.3205882352941178,0.4253968253968254,0.580985915492958,0.6327272727272728,0.7607843137254904,0.9106382978723404,1.200980392156863,1.222772277227723,1.222772277227723,1.3882978723404258,1.3507853403141366,1.3507853403141366,1.3507853403141366,1.314432989690722,1.314432989690722,1.138095238095238,1.427027027027027,1.427027027027027,1.363157894736842,1.7716049382716048,1.9539473684210529,1.8967741935483875,1.8967741935483875,2.033783783783784,2.0753424657534247,2.033783783783784,2.0753424657534247,1.7888198757763971,2.033783783783784,2.118055555555556,2.161971830985916,2.033783783783784,1.9933333333333336,1.9539473684210529,1.9539473684210529
MOPH_37-L^E05,0.0411539683197304,-0.0411539683197304,9.0,0.2559876624944503,0.2764279879207321,-0.0353567652111679,0.8833276682528891,0.035902691078091,0.116535994297933,0.2028421096242279,2.2186605233686936e-09,0.2793463614484108,0.5194718098145322,0.1326081067359382,0.6704781121002853,-0.0289457371684308,-0.307853601751291,-0.0434149954100936,-0.1838714137998827,-0.5910939204601804,0.751359619306594,0.060101585235797,-0.0136986301369862,0.0045871559633026,0.1648936170212767,0.1774193548387095,0.1967213114754098,0.2303370786516854,0.2032967032967032,0.2032967032967032,0.2732558139534884,0.3035714285714286,0.3272727272727274,0.3035714285714286,0.422077922077922,0.5422535211267605,0.5755395683453237,0.4697986577181208,0.4038461538461537,0.3353658536585366,0.3192771084337349,0.3518518518518516,0.5985401459854014,0.5755395683453237,0.4407894736842104,0.422077922077922,0.3035714285714286,0.2443181818181818,0.2443181818181818,0.1837837837837836,0.1526315789473684,0.1774193548387095,0.140625,-0.0680851063829788,-0.0875,-0.0836820083682009,-0.124,-0.1576923076923077,-0.1641221374045802,-0.1948529411764706,-0.2342657342657342,-0.1309523809523809,-0.1097560975609756,-0.1204819277108434,-0.1828358208955224,-0.2065217391304347,-0.2122302158273381,-0.2036363636363636,-0.1309523809523809,-0.0875,-0.0759493670886076
MOPY_13-L^B12,0.0556138573621027,-0.0556138573621027,8.0,-0.1143938874019171,-0.043055881662362,0.0485913039488423,1.7134775117648573,0.3108361454818148,-0.2519583843329253,-0.0180041370692321,1.5942883708553862e-08,-0.0556013085352183,-0.0827729792082829,0.0255910760306271,0.722869134645209,-0.0128036737478508,1.28389891578868,-0.0307620601900503,0.6778756379264106,-0.8456004427227449,0.8360891814745289,0.7178666258727887,0.0,0.0666666666666666,0.1428571428571428,0.0666666666666666,0.1428571428571428,0.1428571428571428,0.0,-0.0588235294117647,0.0,0.0,-0.0588235294117647,-0.1578947368421053,-0.0588235294117647,-0.111111111111111,-0.1578947368421053,-0.1578947368421053,-0.1578947368421053,-0.3333333333333332,-0.111111111111111,-0.1578947368421053,0.1428571428571428,0.3333333333333335,0.7777777777777779,0.5999999999999999,0.7777777777777779,0.4545454545454546,0.3333333333333335,0.1428571428571428,0.0,0.1428571428571428,0.3333333333333335,0.1428571428571428,0.1428571428571428,0.2307692307692308,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999,1.0,1.2857142857142856,0.4545454545454546,0.4545454545454546,0.2307692307692308,0.2307692307692308,0.2307692307692308,0.2307692307692308,0.2307692307692308,0.0
MOQJ_36-L,0.1697660654767467,-0.1697660654767467,16.0,0.4361056305964486,0.4057986491176549,-0.0749071489824782,1.4341801385681294,0.2727272727272727,0.3927057617960779,0.0010123664455035,4.9272807477252486e-09,0.020033388981636,0.4712674012007654,0.116102011561198,0.7707824282463789,-0.0414763937595915,-0.1016883116883116,-0.0414763937595915,-0.2575177460206886,-0.8134328358208955,1.4341801385681294,0.4890535820768379,0.1536388140161726,0.0277008310249307,-0.0487179487179486,-0.0080213903743315,0.0943952802359882,0.3250000000000002,0.5458333333333334,0.5173824130879348,0.5267489711934155,0.4869739478957915,0.4379844961240309,0.3690036900369005,0.4379844961240309,0.4751491053677932,0.75,0.962962962962963,1.4248366013071894,1.032876712328767,1.4012944983818771,1.853846153846154,1.83206106870229,2.3125,2.467289719626168,2.6019417475728157,2.6732673267326734,2.864583333333333,3.4698795180722897,4.082191780821918,4.152777777777778,2.884816753926702,2.5845410628019327,2.6019417475728157,2.283185840707965,1.9919354838709675,2.0285714285714285,2.925925925925926,2.946808510638298,2.7857142857142856,2.925925925925926,3.0108108108108107,2.6372549019607843,1.853846153846154,1.748148148148148,1.9919354838709675,1.8106060606060608,2.946808510638298,3.0108108108108107,2.567307692307692,3.0769230769230766
MOQU_01-L^K06,0.0100227528008985,0.0100227528008985,17.0,-0.0571316658273178,0.0783164624400639,-0.3510304530579721,1.4215730337078654,0.0961825838880586,-0.0519031141868512,-0.196307710031393,4.5956471380909864e-10,0.0389457780762129,-0.0639504899432697,0.0065868333089922,-0.6772597878120356,-0.0331117662703128,-0.7221109083506505,-0.1419631224921268,0.061577587274191,1.45,0.6973782771535583,-0.0636685726312835,-0.0555555555555554,0.0,0.0,-0.0526315789473684,-0.0526315789473684,-0.0526315789473684,-0.0526315789473684,0.0,0.0,0.0588235294117645,0.0588235294117645,-0.1,-0.1,-0.1428571428571429,0.0,-0.1818181818181818,-0.1818181818181818,-0.25,0.0,-0.3571428571428572,-0.3333333333333333,-0.1428571428571429,-0.1818181818181818,-0.1428571428571429,-0.1,-0.1,-0.1818181818181818,0.0588235294117645,-0.0526315789473684,-0.1,-0.1818181818181818,-0.1428571428571429,-0.2173913043478261,-0.2173913043478261,-0.1818181818181818,0.0,-0.1,-0.3076923076923077,-0.3076923076923077,-0.4,-0.3571428571428572,-0.5714285714285714,-0.5813953488372093,-0.6086956521739131,-0.6170212765957447,-0.6170212765957447,-0.6470588235294118,-0.71875,-0.7230769230769232
MORA_39-L^K15,0.0168804224820822,0.0168804224820822,9.0,0.0189442619829596,0.0265222582295753,-0.9564245744146448,1.2633179633081528,0.1617647058823529,-0.034493056592504,-0.034090909090909,4.3890055008543475e-10,0.0533580846303965,0.049283467319119,0.0069872179517286,4.33637340628866,-0.0202645931593778,-0.3792318074457316,-0.1222933065797149,-0.0826655656432011,119.33333333333331,0.8396939075836359,-0.0682264690123236,-0.0714285714285715,-0.0666666666666665,-0.0666666666666665,-0.0666666666666665,-0.0666666666666665,-0.1249999999999998,0.0,-0.176470588235294,-0.2222222222222221,-0.263157894736842,-0.1249999999999998,-0.2222222222222221,-0.176470588235294,0.0,0.0,0.0,0.0,-0.263157894736842,-0.4399999999999999,-0.2999999999999999,-0.176470588235294,-0.0666666666666665,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.0,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.1666666666666667,-0.263157894736842,-0.2999999999999999,-0.2222222222222221,-0.263157894736842,-0.3913043478260869,-0.3913043478260869,-0.2222222222222221,-0.3636363636363635,-0.3333333333333332,-0.4166666666666666,-0.2999999999999999,-0.5625,-0.5483870967741935,-0.611111111111111,-0.611111111111111,-0.6888888888888889,-0.7307692307692307,-0.8409090909090908,-0.8703703703703703
MORB_X0-L,0.109411459683692,0.109411459683692,10.0,0.2424418604651163,0.0602294455066921,-0.4580620808168128,1.5088566827697265,0.1977186311787072,-1.5922693266832917,-0.0482240082966035,1.855239733467485e-11,-1.5587209302325582,-0.3409992069785884,0.0044421392482722,-0.314106619616984,1.0652996859458548,-0.5555415894164598,1.2943298109062145,0.0773171347092409,2.851351351351352,0.994363929146538,-0.0484386089425123,0.0,0.0909090909090908,0.0909090909090908,0.0416666666666667,-0.0769230769230768,0.4084507042253522,0.4084507042253522,0.4084507042253522,0.595744680851064,0.595744680851064,0.1363636363636362,-0.3071593533487298,-0.3435448577680525,-0.4800693240901212,-0.52,-0.4800693240901212,-0.52,-0.4059405940594059,-0.3435448577680525,-0.4059405940594059,-0.45750452079566,-0.3762993762993762,-0.3762993762993762,-0.3762993762993762,-0.3762993762993762,-0.3762993762993762,-0.6098829648894668,-0.3435448577680525,-0.4059405940594059,-0.45750452079566,-0.45750452079566,-0.45750452079566,-0.4059405940594059,-0.2665036674816625,-0.2665036674816625,-0.2665036674816625,-0.3435448577680525,-0.4059405940594059,-0.45750452079566,-0.45750452079566,-0.5377503852080123,-0.5973154362416108,-0.6328029375764994,-0.643281807372176,-0.5973154362416108,-0.6216897856242118,-0.6216897856242118,-0.643281807372176,-0.569583931133429
MORN_72-L^E12,0.0876890914272166,-0.0876890914272166,17.0,0.7679647366851157,0.3166446881153242,-0.0151148138786195,0.6106247916162733,0.1427925643343844,0.1575358285946832,0.322934751633779,9.95102219231519e-08,0.3055645776024922,1.6937910786374404,0.1787059361066857,-0.1569020569424966,-0.4526330456009077,-0.1517851482817308,-0.3652554056837569,-5.1726881421529125,-0.8282366778250247,0.2262246425606192,0.1664157275008538,-0.037037037037037,0.1020408163265307,0.148936170212766,0.2558139534883721,0.2558139534883721,0.3170731707317074,0.2558139534883721,0.2413793103448276,0.3170731707317074,0.2272727272727273,0.2857142857142858,0.2705882352941178,0.2413793103448276,0.3170731707317074,0.1739130434782609,0.1368421052631581,0.1739130434782609,0.3333333333333332,0.3170731707317074,0.5428571428571431,0.6615384615384616,0.6875,1.0377358490566038,1.1176470588235294,1.076923076923077,0.9636363636363636,0.741935483870968,0.7142857142857144,0.8000000000000003,0.741935483870968,0.9285714285714286,0.7142857142857144,0.6363636363636365,0.741935483870968,1.0,1.076923076923077,1.2040816326530617,1.0377358490566038,1.1176470588235294,0.9636363636363636,1.2500000000000004,1.16,1.2040816326530617,1.16,1.076923076923077,1.4,1.6341463414634148,1.7692307692307692,1.7000000000000002
MPDV_23-L^F07,0.0756811301715439,-0.0756811301715439,5.0,0.2382834556747601,0.1346351490236382,0.0693268369889518,1.533910533910534,1.054054054054054,0.1286919831223629,0.0060544904137234,1.1173483571757619e-07,0.0214568040654997,0.3645200486026732,0.2509879450226766,0.4412450132714776,0.0916828451647394,-0.1939586645468999,0.0946042344347429,0.2892326253912345,-2.830188679245284,1.5165945165945165,0.3713344316309719,-0.015625,-0.0327455919395467,0.1566265060240963,0.2307692307692306,0.263157894736842,0.3241379310344827,0.2387096774193546,0.2190476190476189,0.2715231788079471,0.2075471698113207,0.2467532467532467,0.1925465838509314,0.2151898734177213,0.381294964028777,0.3241379310344827,0.3105802047781569,0.2467532467532467,0.2229299363057324,0.263157894736842,0.2972972972972973,0.4545454545454543,0.4883720930232558,0.6340425531914893,0.8285714285714285,0.8285714285714285,0.811320754716981,0.7454545454545451,0.786046511627907,0.92,0.5298804780876494,0.5483870967741935,0.3473684210526315,0.1815384615384614,0.3333333333333332,0.2715231788079471,0.3568904593639574,0.4656488549618318,0.5058823529411764,0.5118110236220472,0.8373205741626795,1.0983606557377046,0.92,0.9009900990099008,0.811320754716981,1.0104712041884816,1.1942857142857144,1.1942857142857144,1.3272727272727272,1.6666666666666663
