firms,age,agr,cashdebt,che,egr,invest,lgr,mve_ia,pchsale_pchinvt,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTTO_38-L,21.0,-0.1136053774691652,0.0582440186207643,26.85,0.0437242798353909,-0.1173467770062461,-0.2666541565021579,0.7568515471604327,-0.0497274269886588,-0.1905874309156173,-0.0020964360587001,0.1895261845386533,0.0791855203619908,0.0148936170212765,0.0392156862745096,0.1748768472906403,0.0414847161572051,0.0105932203389829,0.0324675324675323,0.3436619718309859,0.2486910994764397,0.2585751978891819,0.3213296398891965,0.3746397694524495,0.6736842105263157,1.0739130434782609,1.271428571428571,0.4859813084112148,0.2389610389610388,0.2389610389610388,0.6224489795918366,0.6335616438356164,0.0214132762312633,-0.1557522123893806,-0.3992443324937028,-0.3393351800554017,-0.3977272727272728,-0.40375,-0.3946700507614213,-0.5277227722772277,-0.5196374622356495,-0.5877268798617113,-0.5826771653543308,-0.5933503836317136,-0.652332361516035,-0.6453531598513012,-0.6647926914968377,-0.6592857142857143,-0.6628975265017668,-0.6874180865006554,-0.6735112936344969,-0.6402714932126696,-0.6432311144353029,-0.6165594855305466,-0.6285046728971964,-0.6180944755804645,-0.6109298531810767,-0.6358778625954199,-0.6394557823129252
FTTP_25-L,24.0,-0.0455497972059486,0.3481186656271798,9.927,0.064609556229668,-0.074915502478594,-0.1232504861097742,0.070329689688173,0.1279456418909357,0.0568495948474859,0.0277777777777779,0.0588235294117645,0.0909090909090908,-0.0526315789473684,-0.1428571428571429,-0.0526315789473684,0.0285714285714286,0.3846153846153846,0.6363636363636362,1.25,1.4,1.0,1.117647058823529,2.0,2.2727272727272725,2.2727272727272725,1.5714285714285712,2.0,2.0,1.5714285714285712,1.5714285714285712,1.4,2.0,1.25,1.25,0.0909090909090908,0.3846153846153846,0.125,-0.0769230769230769,-0.3076923076923077,-0.3076923076923077,-0.4193548387096775,-0.4782608695652174,-0.5324675324675325,-0.5555555555555556,-0.52,-0.4705882352941177,-0.5384615384615385,-0.5813953488372093,-0.6000000000000001,-0.6170212765957447,-0.6326530612244898,-0.6603773584905661,-0.6603773584905661,-0.6504854368932039,-0.6603773584905661,-0.5862068965517242,-0.625,-0.6288659793814433
FTTX_H2-L,21.0,0.0716791270963832,0.6804403350030688,5.247,0.1508005761932464,-0.0467367144877752,-0.0387915970954839,0.644130129158179,0.3177740112418137,0.1040389498043453,-0.0139860139860139,0.0437956204379561,0.1259842519685039,0.2016806722689075,0.2654867256637168,0.2434782608695653,0.2767857142857142,0.4742268041237112,0.625,0.7439024390243902,0.6067415730337078,0.765432098765432,0.6436781609195401,1.072463768115942,1.134328358208955,0.8101265822784809,0.9589041095890412,0.881578947368421,0.5714285714285714,0.311926605504587,0.2999999999999998,0.311926605504587,0.2543859649122808,0.3240740740740739,0.2543859649122808,0.4742268041237112,0.7023809523809523,0.4742268041237112,0.4895833333333332,0.311926605504587,0.3883495145631066,0.4019607843137254,0.3883495145631066,0.5543478260869563,0.5376344086021503,0.7228915662650603,0.6823529411764706,0.8333333333333333,0.7228915662650603,0.7023809523809523,0.765432098765432,0.8101265822784809,0.881578947368421,0.9324324324324323,1.134328358208955,1.072463768115942,0.9861111111111112,0.857142857142857,1.0428571428571427
FTUR_66-L,21.0,-0.2109374999999999,0.1790163934426229,0.8499999999999996,-0.1664167916041979,-0.1295572916666667,-0.2451093210586882,0.0935875847833867,0.2537573235639304,-0.0669233047083208,0.0147058823529411,0.0329113924050632,-0.0192307692307692,0.0488431876606683,0.0408163265306122,0.1178082191780822,0.1333333333333333,0.431578947368421,0.431578947368421,0.5055350553505535,0.4571428571428573,0.6790123456790123,1.5822784810126582,1.4,1.125,0.728813559322034,1.5499999999999998,1.3314285714285714,0.1791907514450867,-0.0239234449760764,0.1239669421487603,-0.0831460674157303,-0.1757575757575757,-0.1013215859030837,-0.0377358490566037,-0.1839999999999999,-0.1319148936170212,-0.3025641025641025,-0.2791519434628975,-0.3808801213960546,-0.3376623376623376,-0.2581818181818182,-0.3289473684210526,-0.3165829145728642,-0.3311475409836065,-0.3605015673981191,-0.3245033112582781,-0.2867132867132866,-0.2513761467889908,-0.2272727272727273,-0.2301886792452829,-0.2213740458015267,-0.1952662721893491,-0.1499999999999999,-0.1724137931034481,-0.04,-0.1535269709543568,-0.1872509960159362,-0.1839999999999999
FTVA_51-L,22.0,-0.0330442140892744,0.1016262408604527,0.3,-0.0573050072824068,0.0005711867992384,-0.0153879893270953,0.0110988981941228,-0.0053865898401825,-0.0521209457125812,0.2413793103448276,0.0740740740740739,0.3181818181818181,0.3809523809523809,0.5263157894736841,0.4499999999999997,0.4499999999999997,0.4499999999999997,0.7058823529411762,0.6111111111111112,1.0714285714285712,1.0714285714285712,3.1428571428571423,1.8999999999999997,1.8999999999999997,1.4166666666666663,0.9333333333333332,0.5263157894736841,0.3181818181818181,0.0740740740740739,0.1599999999999999,-0.0333333333333333,-0.1714285714285714,-0.1944444444444444,-0.2926829268292683,-0.2926829268292683,-0.2926829268292683,-0.3095238095238095,-0.3958333333333333,-0.4727272727272728,-0.4528301886792453,-0.3958333333333333,-0.4423076923076924,-0.3829787234042553,-0.462962962962963,-0.4313725490196078,-0.3695652173913044,-0.2564102564102565,-0.42,-0.4423076923076924,-0.3095238095238095,-0.2162162162162162,-0.0333333333333333,0.1153846153846152,0.1153846153846152,0.1153846153846152,0.0357142857142855,0.1153846153846152,0.7058823529411762
FTVF_02-L,13.0,-0.3655716733846636,-0.5318273058211138,3.673,-0.4539696627400355,-0.0838985300861674,-0.2339121552604699,0.0034179206865219,0.2034004594581763,-0.1589514092747316,-0.1249999999999998,0.1428571428571428,0.1428571428571428,0.3333333333333335,0.3333333333333335,0.3333333333333335,0.0666666666666666,0.0666666666666666,-0.111111111111111,-0.111111111111111,0.0,-0.111111111111111,2.2,1.2857142857142856,1.0,1.0,0.3333333333333335,0.4545454545454546,0.1428571428571428,0.1428571428571428,0.2307692307692308,-0.0588235294117647,0.0,0.0,-0.0588235294117647,-0.2,-0.1578947368421053,-0.2727272727272727,-0.4285714285714286,-0.5428571428571428,-0.5294117647058824,-0.5428571428571428,-0.5294117647058824,-0.4285714285714286,-0.4285714285714286,-0.4285714285714286,-0.4482758620689654,-0.5294117647058824,-0.5789473684210527,-0.5294117647058824,-0.6363636363636364,-0.6190476190476191,-0.6363636363636364,-0.5675675675675675,-0.5789473684210527,-0.6097560975609756,-0.6000000000000001,-0.6444444444444444,-0.627906976744186
FTWG_42-L,21.0,-0.1739330832820168,0.0483191071940952,7.983499999999999,-0.1720865560093855,-0.0393401630931721,-0.1727500969739853,0.1573987588597126,0.0193677486318674,-0.0965564801933013,0.1388888888888888,0.0588235294117647,0.0285714285714286,0.1868131868131868,0.1368421052631581,0.1250000000000002,0.3333333333333332,0.3333333333333332,0.5211267605633805,0.6363636363636365,1.2040816326530617,1.9189189189189195,2.857142857142857,2.6000000000000005,2.483870967741936,2.272727272727273,1.5116279069767442,1.2500000000000004,0.3670886075949366,0.1868131868131868,0.5000000000000002,0.5000000000000002,0.1868131868131868,0.1134020618556701,0.1250000000000002,0.1134020618556701,0.2134831460674158,-0.0442477876106193,0.1612903225806452,-0.1627906976744185,-0.2116788321167882,-0.2602739726027396,-0.1755725190839694,-0.2058823529411765,-0.2551724137931034,-0.2602739726027396,-0.2340425531914892,-0.2551724137931034,-0.2551724137931034,-0.2230215827338129,-0.2116788321167882,-0.2230215827338129,-0.1818181818181817,-0.2230215827338129,-0.1692307692307691,-0.2116788321167882,-0.2653061224489795,-0.3333333333333333,-0.3793103448275862
FTWV_20-L,22.0,-0.096652915455794,0.2666732295164031,36.4177,0.1440938324937465,-0.0156880317425408,-0.2422665063834632,3.185126774079673,-0.0616090394246761,-0.1147385013515335,0.0414110429447853,-0.0509461426491995,0.028391167192429,0.0187499999999998,0.1013513513513513,0.18978102189781,0.1726618705035971,0.2442748091603053,0.3872340425531912,0.4173913043478261,0.4266958424507656,0.3872340425531912,0.4818181818181817,0.3279022403258653,0.3360655737704918,0.4885844748858448,0.3961456102783725,0.1519434628975264,0.1241379310344827,-0.0239520958083833,0.1854545454545453,0.1919561243144423,0.1854545454545453,0.1438596491228068,-0.0383480825958703,0.0,-0.0060975609756097,0.1241379310344827,0.147887323943662,0.0550161812297733,0.0884808013355591,0.1164383561643835,0.1126279863481227,0.0482315112540192,0.0516129032258063,0.0516129032258063,0.0030769230769229,0.1088435374149658,0.1202749140893468,0.2232645403377109,0.3526970954356845,0.2809430255402749,0.3252032520325203,0.3991416309012874,0.4488888888888889,0.5413711583924348,0.5023041474654377,0.436123348017621,0.2538461538461536
FTYW_98-L,11.0,-0.0105736904891009,0.1210114388922336,0.031,0.1025039123630673,0.0171890250515128,-0.0705277132426153,0.0015197146219096,0.0872794800371402,0.0872794800371402,0.0,0.0,0.0,0.0,0.0,0.0967741935483872,0.0625,0.0625,0.0303030303030302,0.0303030303030302,0.0303030303030302,0.0625,0.0625,0.0,-0.0555555555555554,-0.15,-0.1707317073170731,-0.1904761904761903,-0.1904761904761903,-0.3461538461538461,-0.3461538461538461,-0.3461538461538461,-0.3461538461538461,-0.3584905660377359,-0.3703703703703703,-0.3703703703703703,-0.3703703703703703,-0.3703703703703703,-0.3703703703703703,-0.3928571428571429,-0.4035087719298245,-0.4137931034482758,-0.4137931034482758,-0.4137931034482758,-0.4516129032258064,-0.4516129032258064,-0.4516129032258064,-0.4516129032258064,-0.4603174603174602,-0.4603174603174602,-0.5,-0.5,-0.4925373134328358,-0.5277777777777777,-0.5277777777777777,-0.5277777777777777,-0.5142857142857142,-0.5142857142857142,-0.5142857142857142
FTZA_89-L,10.0,-0.093138373327249,0.1145137545473348,-3.4435,-0.0788141215909488,-0.0611366274167468,-0.1119840121287299,0.0168292218902419,0.1330239409113908,-0.0628359317000742,-0.0416666666666666,-0.04,-0.0769230769230769,0.0,0.0434782608695651,0.0,-0.04,-0.0769230769230769,-0.0769230769230769,-0.1111111111111111,-0.0769230769230769,-0.1111111111111111,0.0909090909090908,0.1999999999999999,0.3333333333333332,0.5,0.263157894736842,-0.25,-0.1999999999999999,-0.0769230769230769,-0.142857142857143,-0.0769230769230769,-0.1999999999999999,-0.3142857142857143,-0.1724137931034483,-0.5384615384615385,-0.3142857142857143,-0.5,-0.5294117647058824,-0.6521739130434783,-0.6571428571428571,-0.6842105263157895,-0.7073170731707317,-0.7,-0.7073170731707317,-0.7176470588235294,-0.75,-0.75,-0.7525773195876289,-0.7623762376237624,-0.7551020408163265,-0.7575757575757576,-0.6962025316455697,-0.7073170731707317,-0.6571428571428571,-0.625,-0.6470588235294118,-0.5636363636363637,-0.5932203389830508
FUCW_H9-L,21.0,-0.334512816086994,0.0015847860538827,-7.25,-0.1457317073170731,-0.0742211098645032,-0.4728482831644229,0.2233517056929707,-0.0395174234971262,-0.2109459949256976,0.0469483568075117,0.1833333333333333,0.2033898305084744,0.3396226415094339,0.3312499999999998,0.2831325301204819,0.290909090909091,0.2831325301204819,0.4791666666666667,0.6384615384615384,0.4589041095890411,0.5,0.6904761904761905,0.8849557522123894,0.7749999999999999,0.7317073170731707,0.2312138728323698,-0.0405405405405406,-0.2446808510638297,-0.4580152671755726,-0.3948863636363636,-0.3466257668711656,-0.4566326530612244,-0.4593908629441624,-0.3771929824561404,-0.3405572755417957,-0.3486238532110092,-0.3405572755417957,-0.4740740740740741,-0.5653061224489797,-0.5046511627906977,-0.548728813559322,-0.5419354838709678,-0.5534591194968553,-0.581532416502947,-0.581532416502947,-0.6048237476808905,-0.5224215246636772,-0.5515789473684211,-0.4593908629441624,-0.4940617577197149,-0.4940617577197149,-0.4904306220095693,-0.4727722772277227,-0.4792176039119804,-0.5136986301369864,-0.5379609544468547,-0.5590062111801243,-0.55625
FUEW_86-L,22.0,0.0278810408921933,0.098584023510553,-3.3000000000000003,0.2857142857142856,0.0051115241635687,-0.0716125708397733,0.2170066322504312,0.029412170743829,-0.018664752333094,0.0204081632653061,-0.125,-0.2003626473254759,-0.239655172413793,0.1838926174496644,0.1666666666666667,0.0161290322580645,0.1807228915662651,0.2564102564102566,0.4294975688816855,0.2636103151862463,0.2894736842105263,1.0950118764845604,1.3902439024390243,0.3548387096774195,0.1713147410358566,0.2582025677603423,-0.060702875399361,-0.3547915142648135,-0.4127829560585885,-0.4220183486238532,-0.4442344045368619,-0.4712230215827337,-0.4951345163136805,-0.4895833333333333,-0.4399999999999999,-0.4012219959266803,-0.4421252371916508,-0.4127829560585885,-0.4696331930246542,-0.4272727272727272,-0.4644808743169398,-0.467391304347826,-0.5019762845849802,-0.5308510638297872,-0.5389440669106116,-0.5325914149443561,-0.4836065573770491,-0.4699519230769231,-0.4410646387832699,-0.4452830188679245,-0.3348416289592759,-0.3114754098360656,-0.3241379310344827,-0.2563237774030353,-0.2330434782608695,-0.239655172413793,-0.2904263877715205,-0.28928283642224
FUEY_93-L^H15,12.0,-0.0164229574118076,0.1980426697983949,0.1500000000000001,-0.1797345511631225,0.0625297020654359,0.0604960677555958,0.0382592133617112,-0.0116212848258393,0.0321109733713879,-0.0862068965517239,-0.0645161290322581,0.2083333333333332,0.0642201834862383,-0.0169491525423729,-0.0491803278688525,-0.0333333333333333,0.1599999999999999,0.2747252747252746,0.5064935064935063,0.5466666666666666,0.3033707865168538,0.7575757575757573,1.3673469387755102,2.052631578947368,0.1599999999999999,0.3181818181818181,0.1262135922330096,0.0,0.0357142857142855,0.0265486725663717,0.0175438596491228,-0.1407407407407408,-0.1714285714285714,-0.1714285714285714,-0.2839506172839507,-0.1888111888111888,-0.3333333333333333,-0.3012048192771084,-0.3862433862433863,-0.3216374269005848,-0.3255813953488372,-0.3626373626373627,-0.3294797687861271,-0.3829787234042553,-0.4020618556701031,-0.3626373626373627,-0.3333333333333333,-0.3012048192771084,-0.1714285714285714,-0.2418300653594771,-0.2266666666666666,-0.2368421052631579,-0.1278195488721806,-0.0937500000000001,-0.1076923076923077,0.0175438596491228,-0.072,-0.0413223140495868
FUIR_X0-L,12.0,-0.1068689999396219,0.0202223983476235,0.056,-0.0199040676813838,-0.0626924547668404,-0.2060749676863421,0.0076468589184082,0.0673256720558288,-0.2248590526333364,0.0,-0.0384615384615385,0.1904761904761904,0.4705882352941175,0.3157894736842106,0.3157894736842106,0.1363636363636364,0.6666666666666667,0.8518518518518516,0.5625,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7857142857142856,0.7241379310344829,0.5625,0.5625,0.5625,0.6666666666666667,0.1904761904761904,0.1627906976744186,0.1363636363636364,0.1363636363636364,0.1904761904761904,-0.1071428571428572,-0.0909090909090909,-0.1071428571428572,-0.1666666666666666,-0.21875,-0.1935483870967741,-0.2647058823529412,-0.2647058823529412,-0.2647058823529412,-0.2647058823529412,-0.2753623188405796,-0.2647058823529412,-0.2647058823529412,-0.21875,-0.2424242424242424,-0.2537313432835821,-0.2424242424242424,-0.2647058823529412,-0.2753623188405796,-0.2307692307692308,-0.2424242424242424,-0.21875,-0.2647058823529412,-0.2753623188405796,-0.2857142857142857
