firms,absacc,acc,age,agr,chpmia,currat,depr,egr,herf,invest,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FSCH_T9-L^K09,0.0850059031877213,-0.0850059031877213,8.0,0.0406126312166581,-0.5272632389679753,1.68,0.1458420392812369,-0.0371344068353598,1.2025517610111336e-06,-0.0044742729306487,-0.019220779220779,0.0310304631198139,0.1551782999211624,-11.96121800611093,-1.0677966101694911,1.3117241379310345,0.1179186845365469,0.1330275229357798,-0.0396475770925109,-0.1314741035856572,-0.1314741035856572,-0.1583011583011582,-0.2482758620689654,-0.265993265993266,-0.2875816993464052,-0.2214285714285713,-0.2585034013605441,-0.2585034013605441,-0.305732484076433,-0.2043795620437956,-0.1550387596899224,-0.1244979919678714,-0.1065573770491802,-0.1450980392156862,-0.171102661596958,-0.2072727272727271,-0.0878661087866108,-0.113821138211382,-0.018018018018018,-0.0396475770925109,0.0331753554502372,0.0686274509803921,0.1295336787564767,0.1237113402061855,0.0046082949308756,0.0092592592592593,0.013953488372093,-0.052173913043478,-0.1279999999999999,-0.1550387596899224,-0.0267857142857143,-0.0438596491228068,-0.1773584905660377,-0.031111111111111,-0.1244979919678714,-0.1383399209486164,0.0234741784037559,0.0954773869346734,0.0480769230769231,0.0738916256157637,0.0582524271844659,0.0738916256157637,0.2178770949720672,0.2601156069364163,0.2178770949720672,0.2386363636363637
FSCL_62-L^F06,0.0901781491407851,-0.0901781491407851,9.0,-0.1496499416569428,1.0429110671817283,1.642135642135642,0.1096491228070175,-0.1380020597322348,1.0399762631294251e-05,-0.1295215869311552,-0.0904729559827174,-0.0941850078062703,0.1777322639990801,0.2085796029346543,-143.0,1.0678210678210678,0.0068989306657468,-0.0593220338983049,-0.1690140845070422,-0.1862068965517241,-0.2435897435897436,-0.2236842105263158,-0.2976190476190476,-0.3723404255319149,-0.4215686274509804,-0.3551912568306011,-0.3586956521739131,-0.3917525773195877,-0.4326923076923077,-0.4460093896713615,-0.4485981308411215,-0.4010152284263959,-0.4158415841584159,-0.3854166666666666,-0.3480662983425414,-0.3789473684210526,-0.4215686274509804,-0.3444444444444444,-0.2976190476190476,-0.3333333333333333,-0.3099415204678363,-0.2337662337662338,-0.2578616352201258,-0.144927536231884,-0.2531645569620254,-0.2484076433121019,-0.3621621621621622,-0.3407821229050279,-0.3689839572192513,-0.3586956521739131,-0.2578616352201258,-0.3218390804597701,-0.4010152284263959,-0.3218390804597701,-0.3586956521739131,-0.3516483516483517,-0.3058823529411765,-0.2287581699346406,-0.1510791366906474,-0.1571428571428571,-0.2080536912751678,-0.1323529411764706,-0.024793388429752,-0.0708661417322835,-0.0781250000000001,0.0727272727272725
FSCM_81-L^E05,0.031786395422759,0.031786395422759,8.0,-0.3866666666666666,7.902777393234564,1.2821192052980133,0.1847133757961783,0.3393665158371041,1.967552530438493e-07,-0.4208547008547008,0.3770475925275735,0.4300169575502969,-0.0535512328709849,-2.298625124496601,0.2798507462686567,1.1549668874172183,-0.3914822673537435,0.0888030888030888,0.003875968992248,-0.018939393939394,0.0156862745098038,-0.0038461538461539,-0.0226415094339622,0.102127659574468,0.1163793103448276,0.1212121212121211,0.0485829959514167,0.2333333333333331,0.2102803738317755,0.1990740740740739,0.0882352941176469,0.1511111111111109,0.377659574468085,0.8111888111888113,0.7619047619047619,0.4885057471264367,0.3924731182795697,0.4469273743016759,0.6818181818181817,0.5416666666666667,0.5325443786982249,0.5696969696969696,0.5325443786982249,0.4469273743016759,0.4715909090909089,0.5325443786982249,0.3489583333333332,0.3350515463917525,0.1068376068376069,0.0077821011673151,0.3015075376884422,0.182648401826484,0.126086956521739,0.0836820083682006,-0.0683453237410072,-0.1452145214521452,-0.2448979591836735,-0.1880877742946708,-0.316622691292876,-0.3,-0.316622691292876,-0.2514450867052024,-0.3426395939086294,-0.2981029810298103,-0.4045977011494253,-0.4418103448275862
FSCO_P5-L^A08,0.0796004370220071,-0.0796004370220071,9.0,-0.0745304282494365,-4.1589031370873775,1.8174024860694384,0.2240228789323164,-0.1365681233933162,5.152060692100265e-05,-0.050488354620586,-0.0155236698123305,-0.0146810527463985,0.1113608667485339,0.1738081803568383,-1.25,1.339905700814402,0.0420208500400962,-0.0266311584553927,-0.005298013245033,-0.0322164948453608,-0.0170157068062827,0.0287671232876711,-0.005298013245033,-0.0541561712846347,-0.0246753246753246,-0.023407022106632,0.060734463276836,0.0013333333333334,0.0488826815642458,0.0287671232876711,0.0121293800539084,0.034435261707989,0.0577464788732393,0.2035256410256409,0.1958598726114648,0.1845425867507886,0.1845425867507886,0.2433774834437085,0.223127035830619,0.1661490683229813,0.2433774834437085,0.2643097643097643,0.288164665523156,0.3654545454545455,0.3654545454545455,0.380514705882353,0.3362989323843417,0.3106457242582896,0.2392739273927393,0.3292035398230089,0.3038194444444444,0.2993079584775087,0.2372322899505765,0.266441821247892,0.1996805111821087,0.0995607613469984,0.0995607613469984,0.1716068642745709,0.0713266761768902,0.0577464788732393,0.0518207282913165,0.0562587904360056,0.1259370314842578,0.1826771653543306,0.1882911392405062,0.2035256410256409
FSCW_23-L^K06,0.1457634766643067,-0.1457634766643067,8.0,-0.0894248520287885,-4.233780340031915,1.666526215793828,0.1859029833750854,-0.0837200391672698,4.032829963349849e-07,-0.0033354836599947,-0.2068952759996613,-0.233758019967446,0.1860285829971886,0.1919087771714721,-12.01025641025641,1.1725783715870437,0.1714330548836033,0.1363636363636362,-0.0265486725663715,-0.0598290598290597,0.0576923076923077,0.0377358490566037,-0.0756302521008401,-0.0350877192982455,0.1,0.2222222222222223,0.1224489795918368,0.0576923076923077,0.0679611650485436,0.1224489795918368,0.0784313725490197,0.1827956989247312,0.25,0.2222222222222223,0.1578947368421053,0.1,0.1578947368421053,0.2941176470588236,0.3580246913580247,0.2941176470588236,0.4102564102564103,0.4666666666666668,0.6176470588235294,0.6666666666666667,0.4102564102564103,0.4285714285714286,0.4473684210526316,0.0280373831775702,-0.0178571428571429,-0.1199999999999998,-0.0677966101694914,-0.1269841269841268,-0.1911764705882352,-0.105691056910569,-0.1791044776119402,-0.2028985507246375,-0.0598290598290597,-0.009009009009009,-0.0517241379310343,0.0280373831775702,-0.009009009009009,0.0476190476190476,0.1111111111111111,0.1458333333333334,0.25,0.3095238095238097
FSCZ_68-L^D05,0.0731969860064585,-0.0731969860064585,8.0,-0.0713279454289315,2.051534895424536,1.8061477441745168,0.1760061621413441,0.2450697983602924,5.448438000757877e-06,-0.1739452806406167,0.1800841721769455,0.3748575631720537,0.3537654630558343,0.2592829651175955,-0.8955785512699906,1.442240951908775,0.0091226059129772,-0.0179211469534049,-0.0792079207920791,-0.0822368421052631,0.0488721804511278,0.0648854961832061,0.0410447761194028,0.0108695652173913,0.125,0.2455357142857142,0.1625000000000001,0.085603112840467,0.073076923076923,0.2345132743362832,0.1722689075630252,0.1027667984189724,0.2857142857142858,0.2916666666666665,0.273972602739726,0.1772151898734177,0.029520295202952,-0.0606060606060606,0.073076923076923,-0.0346020761245674,0.0219780219780219,-0.0106382978723403,0.0608365019011407,0.0689655172413794,0.0035971223021582,-0.0606060606060606,-0.0668896321070234,-0.0477815699658703,-0.1842105263157895,-0.1621621621621621,-0.1818181818181818,-0.1842105263157895,-0.2882653061224489,-0.3076923076923077,-0.378619153674833,-0.4271047227926078,-0.3934782608695651,-0.3094059405940594,-0.2335164835164835,-0.2162921348314607,-0.2184873949579832,-0.1226415094339623,-0.0822368421052631,-0.128125,-0.1253918495297805,-0.1769911504424779
FSDD_00-L^D99,0.106071490207821,-0.106071490207821,8.0,-0.1364294844482318,3.335841392601599,1.6716881124245913,0.1630854593918294,-0.2155742853386699,3.361024808003472e-07,-0.0514039886196516,0.0146255093189662,0.0087662743684589,0.5331640410613404,0.5900305686676542,-3.218601736639513,1.1123618230637793,0.4027372726179176,0.0650406504065042,-0.016,0.0081967213114753,0.0250000000000001,0.0250000000000001,-0.031496062992126,0.0789473684210526,0.0603448275862068,-0.0538461538461538,-0.1021897810218979,-0.1214285714285713,-0.1151079136690647,-0.088888888888889,0.0081967213114753,-0.0610687022900764,0.0982142857142855,0.1495327102803738,0.0982142857142855,-0.1575342465753424,-0.18,-0.2264150943396227,-0.1458333333333332,-0.1151079136690647,-0.1151079136690647,-0.1151079136690647,0.1941747572815533,0.1941747572815533,0.0512820512820513,-0.1338028169014083,-0.1458333333333332,-0.2215189873417722,-0.2590361445783132,-0.23125,-0.2807017543859649,-0.2931034482758621,-0.359375,-0.3089887640449438,-0.3089887640449438,-0.2971428571428571,-0.1744966442953019,-0.2264150943396227,-0.2678571428571428,-0.2407407407407408,-0.2407407407407408,-0.1907894736842105,-0.23125,-0.2545454545454545,-0.2848837209302325,-0.2115384615384615
FSDF_86-L,0.1088954665835799,-0.1088954665835799,9.0,0.0653153153153153,-0.1217155965937318,0.3679200380771061,0.0544112598695502,0.0841694537346711,0.0002353813817349,0.1024774774774774,0.0076277923808023,0.2354194569584803,0.1643555121139623,0.0178205506143901,-1.3442307692307691,0.1061399333650642,0.1482553332230858,0.0342465753424658,0.0138888888888888,-0.033112582781457,-0.0266666666666667,0.0138888888888888,0.0503597122302159,0.1317829457364341,0.1496062992125983,0.1869918699186992,0.1679999999999999,0.1496062992125983,0.2372881355932203,0.2920353982300885,0.2807017543859649,0.1869918699186992,0.1679999999999999,0.1774193548387097,0.1774193548387097,0.0977443609022554,0.0428571428571429,0.0977443609022554,0.1967213114754098,0.1679999999999999,0.2372881355932203,0.2920353982300885,0.3644859813084111,0.4038461538461537,0.3904761904761904,0.4313725490196078,0.4747474747474747,0.4599999999999999,0.3904761904761904,0.4599999999999999,0.5698924731182795,0.659090909090909,0.6404494382022472,0.6222222222222222,0.536842105263158,0.5869565217391304,0.6222222222222222,0.7380952380952381,0.7176470588235293,0.8024691358024689,0.5051546391752577,0.6222222222222222,0.6043956043956042,0.5208333333333333,0.5531914893617023,0.4455445544554455
FSDG_16-L^J21,0.1158878918153101,-0.1158878918153101,9.0,0.0910551242358456,0.0335269731718658,0.4553716294829987,0.0547447294440496,0.1367164929029016,5.7793554466435964e-06,0.1316295474734944,-0.0266059515547615,-0.0943354592336749,-0.0616438539226861,-0.0996384926954312,-1.3921798371705358,0.1658809166339934,0.0365060856178216,0.0526315789473683,0.0133333333333334,0.0,-0.073170731707317,-0.0256410256410256,-0.0617283950617284,-0.0256410256410256,-0.1162790697674418,-0.073170731707317,-0.05,-0.073170731707317,-0.1162790697674418,-0.0256410256410256,0.0,0.0,0.0704225352112677,0.0857142857142858,0.0270270270270269,-0.0256410256410256,-0.05,-0.0256410256410256,0.0410958904109588,0.0555555555555555,0.0410958904109588,0.1176470588235294,0.0857142857142858,0.0410958904109588,0.0704225352112677,0.1515151515151513,0.1515151515151513,0.1875,0.0555555555555555,0.0857142857142858,0.2666666666666668,0.2258064516129032,0.2666666666666668,0.2258064516129032,0.3333333333333335,0.357142857142857,0.357142857142857,0.6521739130434783,0.5833333333333335,0.52,0.0555555555555555,0.0555555555555555,0.0857142857142858,-0.0379746835443037,0.0,-0.0256410256410256
FSDJ_J4-L,0.0607186722514408,-0.0607186722514408,19.0,0.1295017101468715,-0.9309865564188792,1.5665898386611885,0.0768851651059635,0.1115345813249635,2.905473195053412e-05,0.0942592716786265,0.0333521754908609,0.0669353297437048,0.0373121259174895,0.0104123972798478,-1.1080459770114943,1.1089287503757892,0.0819141387262727,0.0737051792828684,-0.0137524557956778,-0.0195312500000001,-0.0922242314647379,-0.106761565836299,-0.0938628158844766,-0.0822669104204754,-0.0438095238095238,-0.0805860805860806,-0.0634328358208956,-0.047438330170778,-0.106761565836299,-0.1130742049469966,-0.1003584229390681,-0.0788990825688074,-0.0889292196007259,-0.0703703703703705,-0.0510396975425331,-0.0510396975425331,-0.0772058823529413,-0.0290135396518376,0.0019960079840319,-0.0510396975425331,-0.0156862745098039,-0.0137524557956778,-0.0118110236220473,0.014141414141414,0.0161943319838056,0.0286885245901638,0.014141414141414,-0.0308880308880309,-0.0195312500000001,-0.0118110236220473,0.0546218487394958,0.0308008213552359,-0.0346153846153847,-0.0214424951267057,0.0120967741935482,-0.0438095238095238,0.0749464668094217,0.0590717299578058,0.1106194690265487,0.159353348729792,0.1461187214611872,0.0842332613390928,0.1409090909090906,0.1409090909090906,0.0726495726495726,0.0120967741935482
FSDN_02-L^D99,0.0398927751557754,-0.0398927751557754,9.0,0.1395645395999279,1.116907061211866,0.597205707491082,0.0319983345681204,-0.0076478773899617,3.078338668522001e-08,0.1083373246977494,0.5225424192809363,0.6912340671324202,0.1548808234118271,0.0061533650784188,-0.5363674705724474,0.3849043346665226,0.1053950399877495,0.0142857142857142,-0.054054054054054,-0.0849673202614379,0.0769230769230768,-0.0070921985815602,-0.0476190476190476,-0.054054054054054,-0.0344827586206897,-0.0410958904109589,-0.1641791044776119,-0.1930835734870317,-0.1954022988505748,-0.1836734693877552,-0.1884057971014493,-0.1540785498489426,-0.0879478827361563,-0.1082802547770701,-0.0789473684210526,-0.0759075907590759,-0.1082802547770701,-0.0909090909090909,-0.0344827586206897,-0.0849673202614379,-0.0311418685121108,-0.0410958904109589,0.0486891385767789,-0.0728476821192053,-0.0759075907590759,-0.0410958904109589,-0.0879478827361563,-0.0635451505016724,-0.0789473684210526,0.0108303249097472,0.0727969348659003,0.0218978102189779,0.0408921933085502,0.0566037735849056,-0.0378006872852234,-0.0666666666666667,0.018181818181818,0.0035842293906809,-0.0140845070422535,0.0256410256410255,-0.0106007067137809,0.0294117647058822,0.0294117647058822,0.2017167381974247,0.1570247933884296,0.1067193675889328
