firms,absacc,acc,age,agr,chpmia,currat,egr,herf,invest,pchcapx_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTQA_00-L,0.1111076404073217,-0.1111076404073217,6.0,-0.2499795009156258,-0.2300874159084647,2.164941092466976,-0.1773607446861466,2.3627293467416524e-09,0.002104572662421,-1.9711989157610303,0.0925486646812152,0.031363000191535,-0.1070440869088901,0.3399365838203372,-13.524714828897338,1.7458050696179934,-0.2071973827699019,0.0,-0.0689655172413792,-0.0999999999999998,0.1739130434782609,0.1250000000000002,0.08,-0.0357142857142857,0.0,0.4210526315789473,0.2272727272727273,0.0,-0.2702702702702702,-0.3249999999999999,-0.4,-0.4255319148936169,-0.3720930232558139,-0.4,-0.2702702702702702,-0.3720930232558139,-0.5,-0.509090909090909,-0.4599999999999999,-0.3414634146341463,-0.4489795918367346,-0.5499999999999999,-0.5573770491803278,-0.5263157894736841,-0.6301369863013698,-0.6931818181818181,-0.7065217391304348,-0.7127659574468085,-0.7096774193548387,-0.6931818181818181,-0.6746987951807228,-0.7096774193548387,-0.7065217391304348,-0.7403846153846154,-0.7522935779816514,-0.8029197080291971,-0.8163265306122449,-0.8258064516129032,-0.8163265306122449,-0.8150684931506849,-0.8125,-0.8125,-0.8029197080291971,-0.7874015748031495,-0.7652173913043478,-0.763157894736842
FTQG_18-L^H98,0.0345051433136921,-0.0345051433136921,4.0,0.0280648897722021,0.145521691815161,2.683717323165412,0.0389108119092256,5.8005978864513884e-08,0.0268939369964111,-5.252986155096486,-0.0464502999647062,-0.0573077398897147,-0.0234746927338839,0.0130955000624794,-0.5019978205593896,1.92907228487414,0.048055474735719,0.0714285714285714,-0.0485436893203884,-0.062200956937799,0.0315789473684211,-0.0439024390243901,-0.1327433628318584,-0.1967213114754098,-0.1515151515151516,-0.062200956937799,-0.0754716981132076,-0.02,-0.0392156862745098,-0.0754716981132076,-0.0531400966183573,-0.0710900473933648,0.1199999999999998,0.0652173913043476,0.07103825136612,0.0155440414507772,-0.0576923076923077,0.1736526946107783,0.1264367816091953,0.3424657534246575,0.3900709219858156,0.380281690140845,0.4202898550724638,0.5555555555555556,0.5433070866141732,0.3517241379310345,0.3706293706293706,0.4100719424460433,0.5433070866141732,0.6198347107438016,0.5193798449612403,0.4202898550724638,0.4626865671641789,0.380281690140845,0.7345132743362832,0.240506329113924,0.0888888888888888,0.07103825136612,0.1597633136094673,0.1951219512195121,-0.1441048034934497,-0.1694915254237288,-0.2659176029962546,-0.2575757575757575,-0.2659176029962546,-0.289855072463768
FTQX_59-L^F08,0.0456056757092375,-0.0456056757092375,4.0,0.0276925950197684,0.3775360421371836,1.6209853427895982,0.0066321533510563,1.384350068059921e-06,-0.0558721074686796,-2.9508465455691275,0.262523083870017,0.4924487947254501,0.1385224450013844,-0.0802656241638212,-1.2865627319970303,1.0852992907801418,-0.0480021536372897,0.1276595744680853,0.146341463414634,0.1898734177215189,0.4687499999999998,0.323943661971831,0.2207792207792207,0.1898734177215189,0.2533333333333332,0.5666666666666667,0.6491228070175439,0.6206896551724139,0.8799999999999999,0.7735849056603772,0.3823529411764703,0.2702702702702702,0.3823529411764703,0.4920634920634918,0.6491228070175439,0.7735849056603772,0.7090909090909088,0.7407407407407405,0.8799999999999999,1.764705882352941,1.0,0.9583333333333331,1.0888888888888886,0.9183673469387754,0.7090909090909088,0.4029850746268655,0.323943661971831,0.2876712328767123,0.4461538461538461,0.4687499999999998,0.5932203389830508,0.4029850746268655,0.0804597701149425,0.1898734177215189,0.2207792207792207,0.0,-0.2295081967213115,-0.4404761904761904,-0.437125748502994,-0.3974358974358974,-0.426829268292683,-0.437125748502994,-0.4502923976608187,-0.3188405797101449,-0.2166666666666666,-0.2419354838709677
FTRB_07-L^H97,0.0879215455348447,-0.0879215455348447,4.0,0.1575938232994528,0.7448965382210203,2.2831154830885327,0.0829078204783659,1.0088333839608767e-09,0.1249511336982018,-0.7118265941125743,-0.1377863055268821,-0.1120708659716158,-0.0064650617782885,0.1434424840890918,-0.9104127579737336,1.4543862013205768,0.1024422588131286,0.0142857142857142,-0.1025641025641026,-0.1250000000000001,-0.1250000000000001,-0.1358024691358026,-0.2134831460674158,-0.2134831460674158,-0.2045454545454545,-0.1025641025641026,-0.1025641025641026,-0.1025641025641026,-0.0666666666666667,-0.0666666666666667,-0.1025641025641026,-0.0909090909090909,-0.0666666666666667,-0.0909090909090909,-0.1025641025641026,-0.0909090909090909,-0.0789473684210526,-0.0666666666666667,0.2727272727272725,0.2727272727272725,0.296296296296296,0.2727272727272725,0.2727272727272725,0.2280701754385965,0.1111111111111109,-0.0666666666666667,-0.0410958904109589,-0.0789473684210526,-0.0410958904109589,0.0294117647058822,0.1666666666666667,0.1475409836065573,0.0606060606060605,0.0294117647058822,0.0294117647058822,-0.0666666666666667,-0.0666666666666667,-0.0909090909090909,0.0769230769230768,0.1666666666666667,0.1111111111111109,0.346153846153846,0.3999999999999999,0.5217391304347825,0.4285714285714286,0.3999999999999999
FTRD_95-L^C99,0.5813165537270087,-0.5813165537270087,4.0,-0.1505684361292631,-4.175433141715654,0.3386952636282395,0.0223897349858808,7.771510213612856e-09,-0.1036612657774594,-2.693042210450115,-0.116100978296475,-0.0122924890902685,0.9110193900377308,-0.04976832893347,-7.450372208436724,0.3276891961808005,0.107163564388108,0.0714285714285714,-0.3488372093023255,-0.3488372093023255,-0.1999999999999998,-0.3488372093023255,-0.5172413793103448,-0.5333333333333332,-0.4716981132075472,-0.4399999999999999,-0.3488372093023255,-0.2999999999999999,-0.2999999999999999,-0.2999999999999999,-0.4399999999999999,-0.0666666666666665,0.2173913043478261,1.1538461538461542,0.8666666666666669,0.2173913043478261,0.4000000000000001,-0.1515151515151515,-0.4909090909090908,-0.4399999999999999,0.4000000000000001,-0.1999999999999998,-0.9096774193548388,-0.9096774193548388,-0.9066666666666666,-0.9471698113207548,-0.965432098765432,-0.9662650602409638,-0.9582089552238806,-0.96,-0.9605633802816902,-0.965432098765432,-0.9670588235294116,-0.9658536585365852,-0.9695652173913044,-0.9805555555555556,-0.9809523809523808,-0.9805555555555556,-0.9806896551724138,-0.9808219178082191,-0.9812080536912752,-0.9782945736434108,-0.9784615384615384,-0.9798561151079136,-0.9717171717171718,-0.975
FTRR_S4-L^A11,0.0525766037031201,0.0525766037031201,4.0,-0.0208460854400776,-8.677202464751273,1.845012741172188,0.1239095381816678,1.102841773485393e-08,-0.0513818471595043,-2.722030560189588,1.1473668508686217,1.3028944941283165,0.0970684055520298,-0.0758748587223843,0.6421037628278221,1.7190116490717149,-0.0349065160780641,0.0857142857142858,0.2499999999999997,0.346153846153846,0.346153846153846,0.2499999999999997,-0.1025641025641026,-0.1463414634146341,-0.0277777777777777,-0.0277777777777777,-0.054054054054054,-0.0789473684210526,-0.2045454545454545,-0.2045454545454545,-0.1860465116279069,-0.1250000000000001,-0.0789473684210526,-0.0789473684210526,-0.0789473684210526,-0.1250000000000001,-0.1250000000000001,-0.054054054054054,0.4583333333333332,0.7499999999999998,0.4583333333333332,0.4583333333333332,0.2499999999999997,0.129032258064516,-0.2708333333333333,-0.3518518518518519,-0.3859649122807017,-0.4166666666666666,-0.4166666666666666,-0.453125,-0.4927536231884057,-0.5205479452054795,-0.4852941176470589,-0.4852941176470589,-0.435483870967742,-0.5625,-0.5783132530120483,-0.5930232558139534,-0.6022727272727273,-0.65,-0.6634615384615385,-0.6902654867256637,-0.4927536231884057,-0.453125,-0.5,-0.3518518518518519
FTRZ_42-L^K97,0.0813328556073091,0.0813328556073091,4.0,0.2552999334537504,0.8569988151653773,1.0158014990070678,0.0146753138771098,3.5778189417197014e-08,0.3089647304876888,0.185785281677657,-0.1882502779869329,-0.201752487346299,-0.0807689370024909,0.0970108112815745,1.1903146206045645,0.9278469389934018,0.2289289962248539,0.076502732240437,0.3071428571428574,0.0517241379310344,-0.1116504854368931,-0.1973684210526315,-0.3321167883211678,-0.3775510204081632,-0.4369230769230768,-0.3272058823529412,-0.39,-0.3510638297872339,-0.2823529411764705,-0.2560975609756097,-0.3533568904593639,-0.3940397350993377,-0.428125,-0.4153354632587859,-0.4096774193548387,-0.4585798816568047,-0.4334365325077399,-0.4537313432835821,-0.4369230769230768,-0.4039087947882736,-0.3920265780730896,-0.3667820069204152,-0.2879377431906614,-0.2620967741935484,-0.3775510204081632,-0.4786324786324786,-0.4756446991404012,-0.456973293768546,-0.4553571428571428,-0.4617647058823528,-0.4504504504504504,-0.456973293768546,-0.419047619047619,-0.3272058823529412,-0.3817567567567567,-0.4726224783861671,-0.5234375,-0.4316770186335403,-0.3838383838383838,-0.3369565217391304,-0.2766798418972331,-0.2560975609756097,-0.1902654867256635,-0.1866666666666666,-0.1448598130841122,-0.1408450704225351
FTSE_11-L^A05,0.0360386173523395,-0.0360386173523395,4.0,0.0552402139597271,-1.3707187614744676,2.6835722819593792,0.130896991993075,2.2872006017993204e-09,0.0759818755827458,-0.955350626182108,0.094885872203249,-0.0320535050291648,-0.2062802044811986,-0.0928305113408239,-0.398311048557354,0.4057347670250897,-0.1239356118045025,0.0375,-0.180327868852459,-0.180327868852459,-0.24953095684803,-0.2982456140350877,-0.3277310924369748,-0.3311036789297659,-0.3442622950819671,-0.3442622950819671,-0.3388429752066115,-0.3220338983050848,-0.3442622950819671,-0.3442622950819671,-0.4202898550724637,-0.4285714285714286,-0.4277539341917025,-0.4301994301994302,-0.4342291371994342,-0.4358251057827926,-0.3984962406015038,-0.3798449612403101,-0.3650793650793651,-0.3495934959349593,-0.2592592592592593,-0.1752577319587628,-0.1752577319587628,-0.1397849462365592,-0.1397849462365592,-0.1304347826086955,-0.1360691144708423,-0.0099009900990099,0.0,0.015228426395939,0.0178117048346055,0.0256410256410257,0.0309278350515465,0.0443864229765011,0.0362694300518136,0.0309278350515465,0.0256410256410257,0.0498687664041994,0.0526315789473683,0.10803324099723,0.1940298507462685,0.4084507042253522,0.4035087719298245,0.4814814814814814,0.4869888475836432,0.4814814814814814
FTSJ_24-L,0.1422144920067424,-0.1422144920067424,24.0,-0.198886160153153,0.7173192551797865,1.1786782594823118,-0.3125176205243868,5.179143547073209e-09,-0.2353760176357975,-1.4317987615412295,-0.104965273494658,0.3397059627610473,0.286143639834665,-0.3073843836274152,-6.986286919831223,0.7040641327324213,-0.2042422108783665,0.0294117647058822,0.1724137931034484,-0.0285714285714284,-0.15,-0.2093023255813952,-0.3199999999999999,-0.3703703703703703,-0.2916666666666666,-0.081081081081081,-0.2272727272727271,-0.3061224489795917,-0.276595744680851,-0.2916666666666666,-0.3061224489795917,-0.4137931034482758,-0.2608695652173912,-0.2608695652173912,-0.2272727272727271,-0.3584905660377359,-0.4137931034482758,-0.4516129032258064,-0.2272727272727271,-0.0555555555555554,-0.3928571428571429,-0.3928571428571429,-0.4137931034482758,-0.3928571428571429,-0.4848484848484848,-0.5696202531645569,-0.5853658536585366,-0.5405405405405406,-0.5641025641025641,-0.6421052631578947,-0.6699029126213591,-0.7094017094017093,-0.6909090909090909,-0.7142857142857142,-0.7322834645669292,-0.793939393939394,-0.8034682080924855,-0.8057142857142857,-0.8,-0.8045977011494253,-0.8068181818181818,-0.8121546961325967,-0.8191489361702128,-0.8100558659217877,-0.8011695906432749,-0.8068181818181818
FTSS_80-L,0.3151311205153045,-0.3151311205153045,24.0,0.022792904290429,-0.411381654848952,1.138754138754139,0.1591641134417473,6.163427061532869e-09,0.1504400440044004,6.119542902661107,-0.0037009598390342,-0.0097202527330429,-0.061367837033359,0.2006812631929088,-1.7200371057513917,1.0852390852390852,0.0331203519430188,0.1129032258064515,0.0829694323144105,0.087719298245614,0.1643192488262912,0.117117117117117,-0.0197628458498022,-0.088235294117647,0.087719298245614,0.2588832487309644,0.1428571428571428,0.1121076233183857,0.0464135021097045,0.0290456431535268,0.0689655172413794,0.0464135021097045,0.1428571428571428,0.1481481481481481,0.0376569037656904,0.0040485829959513,0.0,-0.008,0.0290456431535268,0.3478260869565217,0.417142857142857,0.417142857142857,0.417142857142857,0.5499999999999998,0.4418604651162792,0.2783505154639176,0.2588832487309644,0.5214723926380369,0.5796178343949043,0.5308641975308641,0.3262032085561497,0.3405405405405404,0.417142857142857,0.4850299401197606,0.2916666666666667,0.0598290598290598,-0.1111111111111111,-0.1418685121107267,-0.309192200557103,-0.2994350282485876,-0.2994350282485876,-0.3033707865168539,-0.2727272727272728,-0.2176656151419558,-0.0814814814814816,-0.2369230769230769
FTTA_13-L^K99,0.0301838682045459,-0.0301838682045459,4.0,0.1644777123343192,-0.5169052364293568,0.5682477313125643,0.0198948831280105,3.634245379213072e-09,0.1902881141073293,0.2171617000100346,-0.3747148883544238,-0.4215088372200378,0.1505488850380717,0.0018511980001553,-0.6841249774245981,0.4387688277668631,0.2301120675653727,0.1414392059553348,0.1514285714285714,0.1352112676056338,0.0633245382585752,0.038659793814433,-0.0756880733944954,-0.1258134490238611,0.0,-0.0289156626506024,0.2834394904458599,0.3,0.3569023569023568,0.3569023569023568,0.3569023569023568,0.3569023569023568,0.3569023569023568,0.3569023569023568,0.3896551724137933,0.3213114754098363,0.3614864864864866,0.4761904761904763,0.7076271186440679,0.7831858407079648,0.7076271186440679,0.6448979591836734,0.6448979591836734,0.57421875,0.4041811846689895,0.2554517133956386,0.2753164556962024,0.2753164556962024,0.2554517133956386,0.1923076923076925,0.0833333333333332,0.0862533692722373,0.0921409214092141,0.0921409214092141,0.1194444444444444,0.0891891891891891,0.0951086956521738,0.1071428571428572,0.1818181818181818,0.1818181818181818,0.1887905604719764,0.2029850746268657,0.2212121212121214,0.2672955974842768,0.3388704318936879,0.3300330033003302
