firms,age,agr,cashdebt,chcsho,chpmia,depr,egr,grltnoa,herf,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FSBR_F1-L,7.0,0.3163934426229509,0.6206659800892551,0.0010141987829614,-0.6844125693549333,0.2641629535327817,0.3163323782234956,-0.0475179456071164,1.0638449762017065e-06,0.3174224343675417,7.260261088613034,0.0201354553699422,0.0318975338334277,0.1705113952195663,0.8531123338718354,0.0659340659340659,0.0224719101123596,0.0340909090909091,0.0833333333333334,0.1304347826086955,0.1592356687898088,0.1374999999999999,0.2214765100671141,0.2816901408450705,0.3481481481481481,0.3787878787878787,0.3999999999999999,0.5166666666666668,0.5964912280701757,0.610619469026549,0.5964912280701757,0.5964912280701757,0.5964912280701757,0.7169811320754718,0.6396396396396395,0.5166666666666668,0.6697247706422018,0.7843137254901962,0.5166666666666668,0.5964912280701757,0.421875,0.3582089552238805,0.5166666666666668,0.7009345794392523,0.8571428571428572,0.7333333333333334,0.7169811320754718,0.8958333333333335,0.766990291262136,0.8958333333333335,0.8200000000000001,0.6396396396396395,0.5689655172413794,0.625,0.7333333333333334,0.75,0.8762886597938147,1.0681818181818183,1.676470588235294,1.3636363636363638,1.2195121951219514,1.0449438202247192,1.275,1.527777777777778
FSBU_72-L^C20,12.0,-0.0726408689748813,0.2021791767554479,0.0076465590484282,-13.23383496913606,0.2360097323600972,0.1310592459605026,-0.0049313138429023,1.6989201563870908e-07,-0.1965065502183406,0.9387153486305856,0.0043958360938281,0.2140640628228972,0.0433973961562306,0.747982469497509,0.3096774193548386,0.1742424242424243,0.1923076923076923,0.2015503875968991,0.2704918032786885,0.25,0.3478260869565219,0.4622641509433962,0.6315789473684212,0.9620253164556962,1.0945945945945947,1.152777777777778,1.4603174603174605,1.2142857142857144,1.0945945945945947,1.0666666666666669,1.0394736842105263,1.183098591549296,1.183098591549296,1.3484848484848486,1.6724137931034484,1.183098591549296,0.9620253164556962,0.7613636363636365,1.0394736842105263,0.6847826086956521,0.7032967032967032,0.9620253164556962,0.7613636363636365,0.7415730337078652,0.8023255813953489,0.4903846153846154,0.55,0.4351851851851851,0.4485981308411215,0.6145833333333335,0.91358024691358,1.0945945945945947,0.9375,1.012987012987013,0.9620253164556962,1.313432835820895,1.818181818181818,1.6724137931034484,1.183098591549296,0.7613636363636365,0.7032967032967032,0.7222222222222223,0.7415730337078652
FSBV_B3-L,7.0,0.071344438835605,0.2629674306393245,0.0002247696111485,-6.616997906089677,0.1344709897610921,0.2820828208282082,-0.0079610073111286,4.636918802305393e-06,-0.0765661252900233,1.9685777177418544,-0.0358389282503177,0.0840216989273825,0.0840216989273825,0.8814608226401622,0.0714285714285714,0.1067193675889328,0.0727969348659003,0.09375,0.2173913043478261,0.0727969348659003,0.0486891385767789,0.0408921933085502,0.0408921933085502,0.0769230769230768,0.0769230769230768,0.1570247933884296,0.2334801762114535,0.3270142180094786,0.3270142180094786,0.261261261261261,0.3333333333333332,0.346153846153846,0.2727272727272725,0.320754716981132,0.3592233009708736,0.4736842105263157,0.3793103448275863,0.1914893617021276,0.238938053097345,0.2903225806451612,0.3526570048309179,0.4893617021276595,0.5469613259668507,0.5300546448087431,0.5053763440860213,0.5217391304347825,0.6374269005847952,0.6867469879518071,0.696969696969697,0.6666666666666665,0.5999999999999999,0.6666666666666665,0.6666666666666665,0.8300653594771241,1.0,1.1538461538461535,1.1705426356589146,1.47787610619469,1.7184466019417473,1.1705426356589146,0.9310344827586206,0.9858156028368794,1.456140350877193
FSBW_00-L^B98,7.0,-0.0002596728122565,0.1236435003463403,0.0019305019305019,4.466905922339654,0.0630761994355597,-0.0146409652736904,-0.0253646712548152,9.395094355587983e-06,0.0757248981548046,4.152246898092338,-0.1621466721323099,-0.1502672696133432,0.013893389500972,2.289817328027028,0.0820512820512819,-0.1034482758620689,-0.0322580645161291,0.0025706940874035,0.0263157894736842,0.1142857142857143,0.029023746701847,-0.0151515151515151,-0.0394088669950738,-0.0556900726392252,-0.1034482758620689,-0.0487804878048779,-0.1013824884792626,-0.0866510538641684,-0.088785046728972,-0.1521739130434781,-0.1612903225806452,-0.1594827586206896,-0.1942148760330578,-0.2972972972972972,-0.2764378478664192,-0.2121212121212121,-0.2057026476578412,-0.2844036697247707,-0.2764378478664192,-0.3344709897610922,-0.3819334389857369,-0.3333333333333332,-0.3193717277486911,-0.2613636363636364,-0.2998204667863555,-0.2682926829268293,-0.2277227722772277,-0.1925465838509317,-0.1891891891891891,-0.1235955056179776,-0.1075514874141876,-0.1942148760330578,-0.1594827586206896,-0.0417690417690418,0.0803324099722992,0.0955056179775279,0.1370262390670553,0.1111111111111111,-0.1503267973856209,-0.1875,-0.25,-0.2669172932330828,-0.1333333333333333
FSCA_54-L^C98,7.0,0.0159197483976672,0.0758390355164548,2.415769202855977e-05,-0.721674735256769,0.1274192161023023,0.3554679802955663,-0.0122814775140594,4.8682984344106574e-08,0.0049814217467641,0.1754119821905469,0.3724783039466716,0.0411228962243531,0.3691481197237144,0.5867321861045931,-0.0289855072463767,0.0454545454545454,0.1499999999999999,0.2321428571428569,0.3018867924528301,0.2777777777777777,0.4375,0.4375,0.4081632653061224,0.4999999999999998,0.4375,0.4680851063829787,0.9166666666666664,0.4375,0.4375,0.2321428571428569,0.2545454545454544,0.3799999999999999,0.3529411764705881,0.2321428571428569,1.7599999999999998,2.2857142857142856,2.0,2.631578947368421,2.631578947368421,2.45,2.136363636363636,5.2727272727272725,3.928571428571428,3.928571428571428,4.307692307692308,3.6,2.45,2.0,1.875,1.7599999999999998,1.875,2.0,1.464285714285714,1.7599999999999998,3.3125,4.75,5.2727272727272725,6.666666666666666,2.833333333333333,2.136363636363636,1.6538461538461535,1.225806451612903,2.833333333333333
FSCG_57-L^F03,7.0,4.91762970247893e-05,0.1543430222675506,0.0001425110446059,-2.6411191167561507,0.1091857077135408,-0.0024592285788247,-0.0284723758943663,9.071387404639149e-06,0.0057961131946811,2.4614354597340062,0.0219029831210349,-0.0171938536359554,-0.0497971798338806,0.6740300964427761,-0.0931372549019607,0.0355329949238578,0.0909090909090908,0.1657142857142857,0.1396648044692736,0.0909090909090908,0.0149253731343284,-0.0239234449760764,-0.0285714285714285,0.0569948186528497,-0.0642201834862385,0.0,0.0049261083743843,0.1590909090909091,0.186046511627907,0.0793650793650795,0.0049261083743843,0.0408163265306122,0.0149253731343284,-0.0769230769230768,-0.0422535211267605,-0.0331753554502368,-0.0852017937219731,-0.1464435146443514,-0.1052631578947367,-0.2183908045977011,-0.25,-0.2093023255813954,-0.2554744525547445,-0.2608695652173912,-0.1968503937007873,-0.1807228915662651,-0.1639344262295081,-0.1535269709543568,-0.1206896551724137,-0.1428571428571428,-0.128205128205128,-0.0892857142857143,-0.0973451327433627,-0.0933333333333332,-0.0422535211267605,-0.0048780487804876,0.0251256281407035,0.2830188679245282,0.1791907514450867,0.0625,-0.0467289719626168,-0.0852017937219731,0.0569948186528497
FSCH_T9-L^K09,7.0,0.0462729564277998,0.29047976011994,0.001410437235543,-0.95188680040096,0.1206829646876212,0.0190890823844607,0.0186537615486135,1.1821507378912409e-06,0.0778816199376947,1.341777080522312,0.062251645671918,0.1532589052000488,0.2098378525684698,0.6736336373021584,0.145985401459854,0.0620155038759691,0.1004016064257027,0.1229508196721311,0.0745098039215688,0.0418250950570342,-0.0036363636363635,0.1464435146443514,0.1138211382113822,0.2342342342342342,0.2070484581497798,0.2985781990521328,0.3431372549019609,0.4196891191709846,0.4123711340206186,0.2626728110599079,0.2685185185185186,0.2744186046511629,0.1913043478260871,0.096,0.0620155038759691,0.2232142857142856,0.2017543859649124,0.0339622641509436,0.2177777777777778,0.1004016064257027,0.0830039525691701,0.2863849765258217,0.3768844221105529,0.3173076923076923,0.3497536945812809,0.3300970873786408,0.3497536945812809,0.5307262569832403,0.5838150289017343,0.5307262569832403,0.5568181818181819,0.6213017751479293,0.5568181818181819,0.5054945054945055,0.6606060606060609,0.6309523809523812,0.5054945054945055,0.767741935483871,0.691358024691358,0.4972677595628416,0.3564356435643565,0.481081081081081,0.7125000000000001
FSCL_62-L^F06,8.0,0.1147967479674796,0.1073170731707317,0.0009960159362549,-12.523042312183438,0.1327913279132791,0.1755447941888619,-0.0544364139627732,1.2602049361205413e-05,0.1068859198355601,3.963079251829632,-0.096027846027846,0.0813763861709067,0.0833333333333333,1.586629480752292,-0.0234741784037557,-0.0046728971962617,0.0812182741116751,0.0544554455445545,0.109375,0.1767955801104972,0.1210526315789473,0.0441176470588233,0.1833333333333333,0.2678571428571428,0.2033898305084744,0.2456140350877191,0.3831168831168829,0.3396226415094339,0.5434782608695652,0.3481012658227846,0.3566878980891719,0.1513513513513511,0.1899441340782122,0.1390374331550801,0.1576086956521738,0.3396226415094339,0.2241379310344826,0.0812182741116751,0.2241379310344826,0.1576086956521738,0.1703296703296701,0.2529411764705882,0.392156862745098,0.5323741007194245,0.5214285714285714,0.4295302013422819,0.5661764705882351,0.7603305785123966,0.6771653543307086,0.6640624999999998,0.936363636363636,1.048076923076923,1.1515151515151514,1.21875,2.0,1.629629629629629,1.6962025316455691,1.5975609756097562,1.3406593406593403,0.8205128205128205,0.5323741007194245,0.4489795918367347,0.7899159663865547
FSCM_81-L^E05,7.0,-0.0515564202334629,0.0787878787878787,0.0017762368232808,1.994289968633536,0.1152561247216035,-0.0622347949080623,-0.0901980362789127,6.527838000056988e-07,-0.0473372781065088,0.292656068939676,0.1029748712178891,0.205920901916024,-0.0235311528784965,1.586629480752292,-0.0092592592592593,-0.0924369747899158,-0.0399999999999999,0.148936170212766,0.5104895104895106,0.4693877551020409,0.2413793103448276,0.1612903225806452,0.2067039106145252,0.4025974025974026,0.2857142857142858,0.2781065088757397,0.3090909090909093,0.2781065088757397,0.2067039106145252,0.2272727272727273,0.2781065088757397,0.1250000000000002,0.1134020618556701,-0.0769230769230767,-0.1595330739299609,0.085427135678392,-0.0136986301369862,-0.0608695652173911,-0.0962343096234309,-0.2230215827338129,-0.287128712871287,-0.3702623906705539,-0.3228840125391848,-0.4300791556728232,-0.4162162162162162,-0.4300791556728232,-0.3757225433526011,-0.4517766497461928,-0.4146341463414633,-0.5034482758620689,-0.5344827586206896,-0.4976744186046511,-0.4844868735083533,-0.4193548387096774,-0.2499999999999999,-0.2894736842105263,-0.3394495412844036,-0.3333333333333333,-0.3898305084745762,-0.4330708661417323,-0.5011547344110854,-0.4404145077720206,-0.3454545454545453
FSCO_P5-L^A08,8.0,0.0541739268176778,0.2821741285313068,0.001088534107402,-0.3792314428866379,0.2058823529411764,-0.070489844683393,-0.0285317705120275,5.82931684258821e-05,0.2261860978300846,18.725701132681152,0.0483654199788071,0.0670888242341263,0.0670888242341263,0.7793075780260054,-0.0191780821917808,-0.0161725067385444,0.0055096418732782,0.028169014084507,0.1698717948717949,0.1624203821656051,0.1514195583596214,0.1514195583596214,0.2086092715231788,0.1889250814332248,0.1335403726708075,0.2086092715231788,0.228956228956229,0.2521440823327616,0.3272727272727274,0.3272727272727274,0.3419117647058822,0.2989323843416369,0.2739965095986039,0.2046204620462046,0.2920353982300885,0.2673611111111111,0.2629757785467128,0.2026359143327842,0.2310286677908937,0.1661341853035143,0.0688140556368961,0.0688140556368961,0.1388455538221529,0.0413694721825963,0.028169014084507,0.022408963585434,0.0267229254571026,0.0944527736131934,0.1496062992125983,0.1550632911392404,0.1698717948717949,0.2372881355932203,0.2607944732297063,0.2874779541446208,0.3419117647058822,0.4928425357873209,0.4426877470355732,0.5400843881856541,0.6222222222222222,0.5665236051502145,0.6441441441441442,0.6079295154185023,0.8341708542713568
FSCW_23-L^K06,7.0,0.1617280369119405,0.1626292484160444,0.000329489291598,0.0759034624067164,0.1297784194338083,-0.0303618237734525,0.0102310615924603,3.61047606970632e-07,0.3553364261096897,0.6234375117460235,0.0171662444136913,0.0810465551351584,0.246679369918699,0.7215649649878472,0.0510204081632652,-0.0392156862745098,0.053763440860215,0.1136363636363635,0.0888888888888888,0.0315789473684211,-0.02,0.0315789473684211,0.1529411764705881,0.2098765432098763,0.1529411764705881,0.2564102564102564,0.3066666666666666,0.441176470588235,0.4848484848484848,0.2564102564102564,0.2727272727272727,0.2894736842105263,-0.0841121495327104,-0.1250000000000001,-0.2159999999999999,-0.1694915254237288,-0.2222222222222222,-0.2794117647058824,-0.2032520325203252,-0.2686567164179105,-0.289855072463768,-0.1623931623931623,-0.1171171171171172,-0.1551724137931034,-0.0841121495327104,-0.1171171171171172,-0.0666666666666667,-0.01010101010101,0.0208333333333332,0.1136363636363635,0.1666666666666667,0.1395348837209302,0.1807228915662651,0.380281690140845,0.53125,0.6065573770491803,0.380281690140845,0.5806451612903225,0.4848484848484848,0.3066666666666666,0.240506329113924,0.3243243243243243,0.441176470588235
FSCZ_68-L^D05,7.0,0.1285248096393608,0.2062975027144408,0.0001667500416875,3.7464659575539474,0.134451123062322,-0.1245392822502424,0.0411195848730244,6.573151645487478e-06,0.2570071986521673,2.6608823902023286,0.0335185867347703,0.0521634252977535,0.0521634252977535,1.0561742513664512,0.1504424778761064,-0.0504201680672269,-0.1067193675889328,0.0414746543778801,0.046296296296296,0.0319634703196345,-0.0464135021097047,-0.1660516605166052,-0.2390572390572392,-0.1307692307692308,-0.2179930795847752,-0.1721611721611722,-0.198581560283688,-0.1406844106463879,-0.1340996168582375,-0.1870503597122302,-0.2390572390572392,-0.2441471571906356,-0.2286689419795222,-0.3391812865497077,-0.3213213213213214,-0.3372434017595309,-0.3391812865497077,-0.4234693877551021,-0.4392059553349876,-0.4966592427616927,-0.535934291581109,-0.508695652173913,-0.4405940594059406,-0.3791208791208792,-0.3651685393258428,-0.3669467787114846,-0.2893081761006291,-0.2565789473684211,-0.29375,-0.2915360501567399,-0.3333333333333333,-0.3352941176470588,-0.3130699088145897,-0.319277108433735,-0.2516556291390729,-0.2152777777777778,-0.143939393939394,-0.0044052863436124,-0.143939393939394,-0.1406844106463879,-0.2802547770700637,-0.2959501557632399,-0.1781818181818182
