firms,age,agr,cashdebt,chcsho,chempia,chpmia,depr,egr,grltnoa,herf,hire,invest,lgr,mve_ia,pchdepr,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
LZZR_20-L^L01,2.0,0.7731159100925517,0.3179889690284259,0.5,0.1449711311741737,0.3954797818246099,0.0786498708010335,0.1226962457337882,0.2101649661485649,1.655698618079762e-09,0.0630630630630629,0.6532393124724547,1.437739288969918,0.0638624052378695,-0.5294737155818464,-0.4415667295199017,0.1243170010214952,0.4750195771339075,0.7470735152028785,0.0,0.04,-0.0545454545454545,-0.0877192982456139,-0.037037037037037,-0.0877192982456139,-0.1333333333333333,-0.037037037037037,0.1304347826086955,0.1304347826086955,0.1304347826086955,0.3333333333333332,0.4054054054054055,0.4857142857142857,0.7333333333333334,0.5294117647058822,0.625,0.5294117647058822,0.7333333333333334,0.5757575757575757,0.625,0.7333333333333334,0.625,1.0,1.0,1.0,1.0,0.7333333333333334,0.7931034482758623,0.7931034482758623,0.7333333333333334,0.625,0.5757575757575757,0.7931034482758623,0.5757575757575757,0.4054054054054055,0.3333333333333332,0.2093023255813955,0.3,0.2380952380952381,0.4444444444444446,0.4857142857142857,0.5757575757575757,0.4857142857142857,0.4444444444444446,0.4857142857142857,0.4857142857142857,0.5294117647058822,0.5294117647058822
LZZT_51-L^I02,3.0,0.1067621032285344,0.1708414247437378,0.2150907503166423,2.003022871743169,0.1317679701172868,0.037599813939065,0.1270437472381795,0.1050217182504979,6.407804869722019e-09,0.8713235294117646,0.105523844039745,0.0899563318777293,0.0355094478026832,-0.1225707419179781,1.7522754602300057,0.2874160492905138,0.9444050898596352,0.8199631766370505,0.1666666666666667,0.1999999999999999,-0.3571428571428572,-0.4461538461538462,-0.5443037974683544,-0.4705882352941177,-0.5384615384615385,-0.4,-0.4193548387096775,-0.4375,-0.4193548387096775,-0.4545454545454546,-0.3793103448275862,-0.3571428571428572,-0.3207547169811321,-0.3076923076923077,-0.2653061224489795,-0.25,-0.2653061224489795,-0.3684210526315788,-0.3207547169811321,-0.3793103448275862,-0.28,0.0,0.0,-0.027027027027027,-0.0526315789473684,0.0,0.0588235294117645,-0.027027027027027,0.0588235294117645,0.161290322580645,0.161290322580645,0.4399999999999999,0.3846153846153846,0.5652173913043477,0.5,0.5652173913043477,0.5652173913043477,0.7142857142857142,0.7999999999999998,1.117647058823529,0.7999999999999998,0.7142857142857142,0.7142857142857142,0.6363636363636362,0.5652173913043477,0.5,0.7142857142857142
LZZY_67-L^G03,2.0,1.1464818205597695,0.2566794824254962,0.0017122282396819,0.7105468169497821,-0.3434625338983662,0.0525393347938657,1.725202848153668,0.4054368609194439,8.658721919679818e-10,0.3090909090909089,1.2563104891446508,0.7687776937209552,0.2747013831544396,-0.3191615363933832,-1.7200804448062197,0.6311247129451686,0.7697154735611276,0.9289847394197124,0.0678466076696164,-0.0396600566572237,-0.259825327510917,-0.198581560283688,-0.2347629796839728,-0.1670761670761671,-0.1148825065274151,0.0398773006134971,0.0660377358490567,0.0727848101265822,0.2840909090909091,0.2792452830188681,0.2417582417582418,0.2988505747126437,0.3294117647058825,0.2463235294117647,0.3614457831325299,0.4364406779661018,0.5622119815668203,0.4675324675324674,0.63768115942029,0.7936507936507937,0.7384615384615385,0.7208121827411169,0.661764705882353,0.7936507936507937,0.9709302325581396,1.1455696202531644,1.0797546012269943,1.2450331125827816,1.6279069767441865,1.7338709677419355,1.6692913385826773,1.6484375,1.825,1.8487394957983196,1.872881355932204,1.690476190476191,1.872881355932204,2.2596153846153846,2.6451612903225805,3.5810810810810816,3.460526315789473,3.460526315789473,3.460526315789473,3.842857142857144,4.380952380952381,4.467741935483871,4.380952380952381
MAAD_54-L^L13,10.0,0.0843038092144945,0.290610684507135,0.0021052631578947,0.0186139913942548,0.0015543025403587,0.2630290311297656,0.1309558608593979,-0.1718496093315225,7.192210477842957e-10,0.0080971659919028,0.1186841738969053,0.0626062130378627,0.011695686955736,0.0199322723801445,-0.2481767170203656,-0.0669067759182737,0.1253172588832487,0.5563171994882644,-0.054054054054054,-0.1777777777777778,-0.26,-0.3148148148148149,-0.3675213675213674,-0.3620689655172413,-0.2815533980582524,-0.2291666666666666,-0.1294117647058823,-0.075,-0.1777777777777778,0.0277777777777779,0.3214285714285714,0.3454545454545452,0.2758620689655173,0.3703703703703702,0.2333333333333334,0.1212121212121211,0.1212121212121211,0.0277777777777779,-0.1777777777777778,-0.1777777777777778,-0.2210526315789474,-0.1777777777777778,-0.159090909090909,-0.26,-0.2952380952380953,-0.3392857142857143,-0.3781512605042016,-0.3934426229508196,-0.3833333333333333,-0.408,-0.3884297520661157,-0.4307692307692308,-0.3620689655172413,-0.1777777777777778,-0.1494252873563218,-0.2043010752688172,-0.3333333333333333,-0.3565217391304347,-0.2884615384615385,-0.26,-0.2043010752688172,-0.2448979591836735,-0.26,-0.3018867924528302,-0.3451327433628318,-0.421875,-0.421875
MAAK_50-L^A08,2.0,0.1923740354062641,0.2494313210848644,0.0458470544856252,1.206075220568241,-0.2148824763804557,0.4837855724685639,26.02173913043476,-0.0200422377738208,5.883657849771041e-10,0.5246478873239437,0.022333182024512,0.0840550642720394,0.0898383824183163,0.6572616879855322,0.2492073204650386,0.0114874902649174,0.2492073204650386,0.7565389085493709,0.1060606060606061,-0.1361256544502618,-0.1951219512195121,-0.175,-0.261744966442953,-0.1269841269841269,-0.0060240963855421,0.0377358490566037,0.2222222222222221,0.4473684210526316,0.5865384615384615,0.4163090128755364,0.736842105263158,0.6336633663366336,0.4999999999999998,0.1702127659574468,0.1301369863013699,0.2595419847328244,0.0927152317880795,-0.0236686390532544,-0.0434782608695653,0.1458333333333332,0.1073825503355703,0.0377358490566037,-0.0517241379310344,0.0153846153846153,0.0891089108910891,0.0819672131147541,0.1458333333333332,0.0714285714285714,-0.1081081081081082,-0.0909090909090909,-0.0958904109589041,-0.0782122905027933,-0.0379008746355685,-0.0379008746355685,0.0476190476190476,0.0714285714285714,0.1578947368421051,0.1379310344827586,0.1073825503355703,0.1785714285714286,0.3043478260869565,0.3043478260869565,0.2790697674418603,0.2547528517110267,0.3043478260869565,0.3580246913580245,0.3580246913580245
MABG_66-L^F99,2.0,0.484082546792513,0.2551239950175518,0.0552630932610868,0.9808332532012682,1.251518902028478,0.3687732342007435,-0.7335311572700296,-0.1680834621329212,2.1648393992907307e-10,0.4266666666666667,0.1700527915533514,0.225554435483871,0.0475651563462931,0.1359911122505663,-0.1792209421743102,0.1157827509775311,0.3070427940894261,-0.1149363366045759,-0.0176056338028168,-0.0240549828178695,-0.2055944055944056,-0.247682119205298,-0.3530751708428246,-0.1125,-0.1152647975077881,-0.0035087719298246,0.102912621359223,-0.0121739130434782,-0.0897435897435898,-0.0533333333333333,0.0234234234234234,0.1137254901960784,0.1359999999999999,0.0106761565836297,0.0234234234234234,0.0616822429906542,0.2764044943820223,0.1474747474747473,0.1247524752475246,0.5146666666666666,0.4199999999999999,0.4024691358024692,0.1359999999999999,0.1247524752475246,0.1474747474747473,-0.0912,-0.1827338129496403,-0.1193798449612404,-0.0611570247933884,-0.2575163398692811,-0.2987654320987654,-0.3508571428571428,-0.4174358974358975,-0.3653631284916201,-0.1999999999999999,-0.1885714285714286,0.0327272727272727,-0.0912,-0.1419939577039275,-0.0533333333333333,-0.1261538461538461,-0.1585185185185186,-0.1261538461538461,-0.2176308539944903,-0.29,-0.4174358974358975,-0.4021052631578947
MABU_45-L^H09,2.0,-0.1594896765593972,0.1702500288051619,0.0030962961733618,-0.4576370430518071,1.886020049393188,0.143736091111402,0.1217718637835945,-0.0489809190203816,3.290762459295737e-09,-0.1990740740740741,-0.1479557139359647,-0.2855280312907431,0.0217543300916808,0.0917452489496332,0.261150690383054,-0.0821829901395287,-0.1641091017832129,0.9244808931403592,-0.2,-0.6518987341772151,-0.6978021978021978,-0.8090277777777778,-0.8307692307692307,-0.8225806451612903,-0.8270440251572326,-0.806338028169014,-0.8116438356164384,-0.7727272727272727,-0.7405660377358491,-0.7317073170731707,-0.7441860465116279,-0.7659574468085106,-0.7277227722772277,-0.7808764940239044,-0.7817460317460317,-0.7884615384615384,-0.76890756302521,-0.7317073170731707,-0.7900763358778626,-0.6978021978021978,-0.6604938271604939,-0.6944444444444444,-0.7179487179487178,-0.8635235732009925,-0.8635235732009925,-0.8804347826086957,-0.8948374760994264,-0.9306431273644388,-0.9151234567901234,-0.9355216881594371,-0.929305912596401,-0.9324324324324323,-0.9414893617021276,-0.9411764705882352,-0.9253731343283582,-0.9054982817869416,-0.8891129032258065,-0.8834745762711864,-0.8884381338742393,-0.8726851851851851,-0.8674698795180723,-0.8548812664907651,-0.8410404624277457,-0.8509485094850948,-0.8353293413173652,-0.8253968253968254,-0.8122866894197952
MNLV_48-L^A05,1.0,-0.1775877387827631,0.6181711948583114,0.0275737927838614,-0.2998471222422354,-0.0625728843081236,0.0348857191957381,-0.0731401722787783,-0.0954354317752453,1.1334895902076863e-11,-0.1304347826086956,-0.0738560639715682,-0.51561144839549,0.0082573167610426,0.1447424439606523,-0.1614943062979316,-0.3526679649464459,-0.2007692307692307,0.0487997543410758,-0.0476190476190475,-0.0454545454545455,-0.16,-0.16,-0.16,-0.16,-0.1923076923076924,-0.263157894736842,-0.263157894736842,-0.2500000000000001,-0.2500000000000001,-0.263157894736842,-0.3,-0.3,-0.3,-0.3,-0.3,-0.263157894736842,-0.2500000000000001,-0.1923076923076924,-0.1923076923076924,-0.2363636363636364,-0.2500000000000001,-0.263157894736842,-0.3,-0.263157894736842,-0.2758620689655172,-0.2758620689655172,-0.2363636363636364,-0.1764705882352941,-0.125,-0.125,0.2727272727272727,0.1052631578947367,0.1052631578947367,0.1052631578947367,-0.0232558139534884,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.16,-0.1428571428571429,-0.0232558139534884,0.1052631578947367,0.1052631578947367,-0.0232558139534884
MNLY_17-L^L99,3.0,0.1297984212205712,0.007974806065622,0.0025704859127252,-1.1771106907300612,-0.4768841237770886,0.3276525563496426,-0.1352183650615901,-0.0328495681288182,1.4094623819583551e-09,-0.5120481927710844,-0.0133946532373302,0.1370125830941372,0.0222378103413685,0.6269318576093209,-0.1185331710286062,-0.1185331710286062,-0.1185331710286062,-2.5820933233179884,-0.0204081632653061,-0.1250000000000001,-0.2686567164179105,-0.3098591549295775,-0.3717948717948718,-0.3509933774834437,-0.379746835443038,-0.2999999999999999,-0.289855072463768,-0.1478260869565216,-0.01010101010101,-0.2032520325203252,-0.2575757575757575,-0.3098591549295775,-0.3098591549295775,-0.3378378378378378,-0.2575757575757575,-0.2794117647058824,-0.234375,-0.2575757575757575,-0.2222222222222222,-0.2631578947368421,-0.2794117647058824,-0.3422818791946309,-0.3509933774834437,-0.3836477987421384,-0.3466666666666667,-0.2949640287769783,-0.2999999999999999,-0.3241379310344827,-0.1900826446280992,-0.1327433628318584,-0.1009174311926606,-0.2159999999999999,-0.2403100775193798,-0.2222222222222222,-0.2403100775193798,-0.234375,-0.0576923076923077,0.0315789473684211,-0.0392156862745098,-0.0576923076923077,-0.1403508771929824,-0.1403508771929824,-0.1694915254237288,-0.2999999999999999,-0.2631578947368421,-0.406060606060606,-0.3836477987421384
MNMF_61-L^I05,5.0,-0.259464331702292,-0.1260486257283182,0.0046070162538681,-0.1966467271572571,-1.7005321904161437,0.195566888976069,-0.375796178343949,-0.0530196542625335,2.314743423233029e-09,-0.0855421686746987,-0.3271525452828568,-0.230731865284974,0.0079869434774768,0.4032559241464694,0.5962075370377273,-0.3011951194000889,0.0582547337910716,1.6689515984647931,-0.3846153846153846,0.0,-0.2352941176470587,-0.4583333333333332,-0.6867469879518072,-0.7078651685393258,-0.6941176470588235,-0.7011494252873562,-0.7142857142857142,-0.7204301075268817,-0.7045454545454546,-0.7045454545454546,-0.7263157894736842,-0.717391304347826,-0.7346938775510203,-0.7796610169491526,-0.7523809523809524,-0.7657657657657657,-0.7678571428571428,-0.7777777777777778,-0.7833333333333333,-0.7373737373737373,-0.711111111111111,-0.711111111111111,-0.6976744186046511,-0.7204301075268817,-0.717391304347826,-0.717391304347826,-0.6578947368421053,-0.6623376623376623,-0.6578947368421053,-0.6486486486486487,-0.6486486486486487,-0.6829268292682926,-0.5666666666666667,-0.48,-0.5185185185185186,-0.5,-0.5,-0.4583333333333332,-0.4347826086956521,-0.4090909090909091,-0.3157894736842105,-0.3809523809523809,-0.4347826086956521,-0.2777777777777778,-0.1875,-0.2352941176470587,-0.2352941176470587
