firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
MPRE_14-L,0.0297834561523369,-0.0297834561523369,8.0,0.0635790648230521,0.4398052021593869,1.6403545122542798,1.227829893683552,0.0688765746426372,0.0393295903051865,-0.0619490042344235,2.7547884331884008e-09,-0.0412325276315988,0.1706067931331176,0.0259294886815346,0.8292301477178499,-0.0745786018819592,-1.2087781731909848,1.0426516572858036,-0.0181935676293681,0.0277777777777779,0.0285714285714286,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0526315789473683,-0.0526315789473683,-0.0526315789473683,-0.027027027027027,0.0,0.0285714285714286
MPSB_32-L^I07,0.0574297034273185,-0.0574297034273185,8.0,-0.0794178486997635,0.0061558888318899,1.6956978529819402,1.6132651611986932,0.4323784143904064,-0.1105321174466379,-0.0762780320806246,7.038756152491097e-09,0.0216090425531914,-0.0612531445621014,0.0192859373452983,0.3999820203459391,-0.0535229958224888,-2.7294332723948806,1.6132651611986932,-0.1661619185125189,0.0,0.0,0.162162162162162,0.5087719298245614,0.5636363636363635,0.4098360655737705,0.5087719298245614,0.5925925925925926,0.6538461538461537,0.5925925925925926,0.5357142857142856,0.2285714285714286,0.2112676056338027,0.131578947368421,0.162162162162162,0.1025641025641024,0.1025641025641024,0.0749999999999999,0.0,0.0,0.0238095238095237,0.1466666666666667,0.162162162162162,0.3650793650793651,0.5357142857142856,0.5357142857142856,0.6538461538461537,0.34375,0.1944444444444444,0.162162162162162,0.131578947368421,0.2647058823529411,0.162162162162162,0.1944444444444444,0.1025641025641024,0.131578947368421,0.1025641025641024,0.0749999999999999,0.0,-0.3174603174603174,-0.3174603174603174,-0.0851063829787234,-0.0652173913043479,-0.0851063829787234,-0.1041666666666666,-0.0337078651685394,-0.1650485436893204,-0.3174603174603174,0.0238095238095237
MPWH_47-L^G16,0.8060241504243518,-0.8060241504243518,8.0,-0.1618910649836029,-1.2472827887865334,-115.2653235206995,0.4611685073031706,0.019372921876288,-0.8903185509056839,0.1455504113944551,3.40509707129491e-10,1.0606507520656614,1.251852051399477,0.114215244709556,-0.8002856754171095,0.977577378755976,-1.0544653218761002,0.3804773779836123,0.23933606996252,0.1036585365853659,-0.0409356725146199,-0.1322751322751323,-0.1368421052631578,-0.0492753623188406,0.0445859872611464,0.1468531468531468,0.3225806451612902,0.4909090909090907,0.4017094017094016,0.3119999999999998,0.2519083969465647,0.2377358490566037,0.3225806451612902,0.3387755102040815,0.0218068535825544,0.0249999999999999,-0.0352941176470588,-0.0208955223880598,0.0,-0.0352941176470588,-0.1013698630136986,-0.1480519480519481,-0.0060606060606061,0.0314465408805031,0.0412698412698413,0.1271477663230238,0.0412698412698413,0.0649350649350648,-0.0409356725146199,-0.0628571428571429,-0.0574712643678161,0.0186335403726707,-0.1758793969849247,-0.1999999999999999,-0.1960784313725491,-0.2579185520361992,-0.2096385542168676,-0.3278688524590164,-0.2759381898454747,-0.3333333333333333,-0.0628571428571429,-0.18,-0.2096385542168676,-0.2511415525114155,0.1927272727272726,0.1388888888888888,-0.0120481927710843,-0.029585798816568
MPZB_70-L^C11,0.1797813713975968,-0.1797813713975968,8.0,-0.2169780927835052,0.1023138409760202,-0.8535186593938296,1.862039045553145,0.3498964803312629,-0.0083527583527582,-0.0279158008853555,6.383934448046e-10,-0.086742912371134,-0.3647495872317006,0.0067785430671332,0.0825650959429689,0.2036485355993549,-7.370370370370369,1.2498915401301516,-0.0889520585135264,-0.0999999999999998,0.0714285714285714,0.0526315789473683,0.0,0.2244897959183673,0.3333333333333332,0.5789473684210527,0.2765957446808511,0.25,0.2765957446808511,0.4285714285714286,0.25,0.1111111111111109,0.25,0.1538461538461537,0.0169491525423728,-0.0909090909090909,-0.0322580645161291,-0.0625,-0.1891891891891892,-0.1428571428571428,-0.0625,-0.1176470588235295,-0.2105263157894736,-0.1176470588235295,0.0,0.25,0.0714285714285714,0.1111111111111109,0.0714285714285714,0.0344827586206897,0.4634146341463414,0.4285714285714286,0.2765957446808511,0.6666666666666667,0.4999999999999998,1.3076923076923077,1.3076923076923077,1.0689655172413794,1.0,1.1428571428571428,1.0,0.7647058823529409,0.6666666666666667,0.7647058823529409,1.6086956521739126,1.3076923076923077,1.1428571428571428,1.0689655172413794
MPZC_88-L^D09,0.0563312032466155,-0.0563312032466155,8.0,0.1338374046788161,0.0867601006211818,0.7619578977922208,1.0346038903161536,2.954954954954955,-0.0744449964699422,-0.032420727459947,6.80654371551467e-10,-0.0112769807418896,0.4705956961062022,0.0410663431464046,-0.4939095873897789,-0.415229102530641,-8.920863309352518,1.0346038903161536,0.1523082942097026,-0.0714285714285715,0.2727272727272729,0.4000000000000001,0.5555555555555558,0.5555555555555558,1.0,0.7500000000000002,0.7500000000000002,1.0,0.7500000000000002,0.5555555555555558,0.4000000000000001,0.1666666666666667,0.1666666666666667,0.4000000000000001,0.5555555555555558,0.7500000000000002,0.7500000000000002,0.2727272727272729,0.1666666666666667,0.2727272727272729,0.2727272727272729,0.0769230769230771,-0.1249999999999998,-0.2222222222222221,0.1666666666666667,0.4000000000000001,0.0,-0.2222222222222221,-0.1249999999999998,-0.3333333333333332,-0.4166666666666666,-0.4166666666666666,-0.5,-0.4615384615384614,-0.4615384615384614,-0.3636363636363635,-0.3913043478260869,-0.5,-0.4814814814814815,-0.4166666666666666,-0.5172413793103448,-0.5483870967741935,-0.631578947368421,-0.7358490566037736,-0.7941176470588235,-0.78125,-0.6499999999999999,-0.588235294117647
MQFA_K7-L,0.1082924168030551,-0.1082924168030551,15.0,0.0876993166287015,0.2486021505376344,0.5956239130387146,1.0811554332874829,0.1772908366533864,0.2249163879598662,-0.0351882160392735,1.0817264817780351e-05,-0.0065489749430523,0.0182291666666666,10.771516164022357,-0.2994834304454648,0.0621817699765601,-0.8118609406952966,0.9270976616231088,0.0515434721042197,-0.0140405616224649,0.0247801758593126,0.06744379683597,0.0639004149377593,0.1497757847533631,0.1697080291970802,0.0938566552901023,0.1591320072332729,0.2163187855787478,0.2949494949494948,0.2071563088512242,0.0639004149377593,0.1622846781504987,0.0782169890664423,0.0773109243697478,0.0764063811922755,0.2386473429951692,0.0985432733504714,0.0577557755775579,0.0508196721311475,0.1109185441941076,0.13854351687389,0.220952380952381,0.282,0.3410041841004183,0.3354166666666667,0.2832832832832832,0.215165876777251,0.2326923076923077,0.2267942583732058,0.385945945945946,0.346638655462185,0.3965141612200435,0.282,0.4404494382022472,0.3904555314533622,0.4994152046783624,0.4010928961748634,0.5749385749385749,0.5827160493827162,0.6736292428198434,0.7070572569906792,0.7634112792297112,0.9542682926829268,1.0913539967373571,1.3653136531365315,1.0544871794871793,1.2103448275862072,0.6456996148908858
MQFB_07-L,0.0548558845266285,-0.0548558845266285,6.0,0.1741596983111984,0.3052854416102724,0.1904724426295864,1.160131519115744,0.1937683342583049,0.1509622951992558,0.087728691874933,1.4649515784817156e-08,0.1435563207083129,0.1899557676815273,0.1159255605260539,0.4864980274773751,-0.1861127494612086,-0.5954485920104781,1.034681171079786,-0.0456634399139533,0.1626506024096385,-0.3083333333333333,-0.3615384615384616,-0.543956043956044,-0.5117647058823529,-0.5537634408602151,-0.538888888888889,-0.4969696969696969,-0.3438735177865613,-0.3782771535580524,-0.3735849056603774,-0.4028776978417265,-0.4575163398692811,-0.3963636363636363,-0.3985507246376811,-0.5452054794520549,-0.5620052770448549,-0.5452054794520549,-0.6103286384976525,-0.6066350710900474,-0.5754475703324808,-0.5808080808080809,-0.6066350710900474,-0.6319290465631929,-0.6460554371002133,-0.6294642857142858,-0.613953488372093,-0.6343612334801763,-0.6577319587628866,-0.6795366795366795,-0.6732283464566929,-0.6468085106382979,-0.6311111111111112,-0.67578125,-0.6541666666666667,-0.6570247933884298,-0.6745098039215687,-0.6686626746506986,-0.6873822975517891,-0.7009009009009008,-0.6712871287128712,-0.6468085106382979,-0.6367614879649891,-0.5931372549019608,-0.6819923371647509,-0.6807692307692308,-0.6776699029126214,-0.6430107526881721,-0.6210045662100456
MQFQ_13-L^B07,0.0030534570522284,-0.0030534570522284,7.0,0.1203878614301819,0.1426944796055787,0.2290649632726953,1.2308236641993058,0.0796520552618113,0.1704915331053519,0.0363612850384196,1.450823475939702e-07,0.1170896682002377,0.0909936912329892,0.1083651693218821,1.055510998013517,-0.1869939272539403,-0.0445399287361141,0.3504476069595299,-0.0251110340277636,-0.0344827586206897,0.0116279069767442,0.0674846625766871,0.0116279069767442,0.0481927710843375,0.1599999999999999,0.2253521126760564,0.3488372093023255,0.7058823529411764,0.4745762711864407,0.4262295081967213,0.4262295081967213,0.2608695652173913,0.2794117647058822,0.3809523809523809,0.403225806451613,0.4146341463414633,0.3181818181818181,0.2985074626865671,0.2608695652173913,0.2985074626865671,0.3488372093023255,0.5963302752293578,0.6111111111111109,0.641509433962264,0.7755102040816326,1.0714285714285716,0.8125,0.8913043478260869,1.148148148148148,0.9772727272727272,1.0714285714285716,1.289473684210526,1.2307692307692308,1.351351351351351,1.852459016393443,1.4857142857142858,1.450704225352113,1.852459016393443,2.0,2.1071428571428568,2.782608695652174,2.5510204081632653,3.1428571428571432,3.1428571428571432,2.8666666666666667,2.346153846153846,2.625,1.9
MQPG_44-L^B17,0.2335024331780094,-0.2335024331780094,9.0,0.1241056928411533,0.1687553467709255,2.387303862707837,1.509251382390472,0.0795387025333549,-0.9621803916170548,-0.015849235951109,2.6483808374598787e-10,0.1180924373436335,2.036408796268249,0.0342910105603338,-0.0039252176440756,0.052231238328104,-4.22114307060142,1.4869204593789875,-0.3307835209266747,0.014749262536873,0.0593749999999999,0.0847999999999999,0.0847999999999999,0.1394957983193276,0.0935483870967741,0.2602230483271377,0.2372262773722626,0.2216216216216218,0.2216216216216218,0.2327272727272726,0.1873905429071805,0.1114754098360657,0.0761904761904763,0.0626959247648903,0.0626959247648903,-0.4921348314606741,-0.4170249355116079,-0.3404669260700388,-0.2995867768595041,-0.3352941176470587,-0.3468208092485549,-0.3499520613614573,-0.3499520613614573,-0.3808219178082191,-0.3808219178082191,-0.3206412825651302,-0.3253731343283582,-0.3253731343283582,-0.3151515151515152,-0.3499520613614573,-0.3518164435946462,-0.3808219178082191,-0.3768382352941176,-0.3768382352941176,-0.4244482173174871,-0.44562551103843,-0.44562551103843,-0.44562551103843,-0.4419753086419753,-0.4015887025595763,-0.3681267474370923,-0.3891891891891891,-0.3935599284436493,-0.4094076655052264,-0.4588986432561851,-0.4554216867469879,-0.4523424878836833,-0.44562551103843
MQVH_61-L,0.0238691687391664,-0.0238691687391664,15.0,0.1094852913121447,0.0872840502106399,0.1144290517527087,1.0305496239729843,0.5594766355140187,0.1641434726912774,-0.0510935262642233,1.0153099132705632e-06,0.0274237857224617,0.1013069754491705,0.1834496308860356,-0.5388042055579039,0.0244633198440405,-0.5309105538420277,0.7859319897831346,0.0954846314524354,0.0167130919220055,-0.0082872928176795,0.0198863636363635,-0.0426666666666667,0.1809210526315789,0.3198529411764703,0.2596491228070174,0.6620370370370368,0.7177033492822966,0.6467889908256879,0.8131313131313131,1.0514285714285712,0.6775700934579438,0.574561403508772,0.3296296296296295,0.0621301775147928,0.1887417218543046,0.0558823529411764,-0.1472684085510689,-0.172811059907834,-0.3226415094339623,-0.298828125,-0.2732793522267207,-0.2329059829059828,-0.1932584269662922,-0.0699481865284974,-0.0841836734693878,-0.2426160337552743,-0.1651162790697674,-0.2092511013215859,-0.2161572052401746,-0.0426666666666667,-0.0297297297297298,-0.077120822622108,0.1012269938650307,0.2210884353741495,0.3296296296296295,0.3968871595330738,0.3247232472324723,0.2379310344827585,0.344569288389513,0.273049645390071,0.3754789272030652,0.3598484848484846,0.5608695652173914,0.2821428571428572,0.0945121951219511,0.1732026143790848,0.2552447552447552
MQWF_93-L,0.0110583518599851,-0.0110583518599851,18.0,0.2241616413380733,0.177626837961512,-0.0780383842321912,1.3027183065176493,0.1758808289080363,0.2358538915533479,0.0598262290399105,1.6666108784573947e-06,0.1446165444829058,0.2185724128561446,0.7498738646170059,0.2100498307373832,0.2123968041666351,-0.1442655333305847,1.1303476575686482,0.2595789088863163,-0.0064850843060959,-0.0265151515151514,0.0561643835616438,0.0307486631016042,0.0874471086036672,-0.0446096654275093,-0.0799522673031026,0.0293724966622161,0.1541916167664672,0.2046874999999999,0.1681818181818182,0.1898148148148146,0.1717325227963526,0.2849999999999999,0.2536585365853658,0.117391304347826,0.2680921052631579,0.0418918918918918,-0.0051612903225806,-0.0422360248447205,0.0561643835616438,0.1093525179856114,0.1014285714285714,0.0418918918918918,0.0982905982905983,0.1898148148148146,0.3179487179487179,0.2199367088607593,0.120639534883721,0.1646525679758308,0.2238095238095239,0.2336,0.1898148148148146,0.0307486631016042,0.0678670360110804,0.1338235294117646,0.1898148148148146,0.3023648648648649,0.2639344262295082,0.1422222222222222,0.3023648648648649,0.3408695652173912,0.1371681415929202,0.2046874999999999,0.1473214285714286,0.0532786885245901,0.6580645161290322,0.6688311688311688,0.6652267818574515
