firms,age,cashdebt,chcsho,depr,grltnoa,herf,mve_ia,secured,securedind,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
LXWG_56-L^H13,11.0,0.5883073572449466,-0.0006116459841975,0.2222222222222222,-0.0715668837751377,3.213720153012486e-10,0.1935131334523913,1.0,1.0,0.8704678437605397,0.1011904761904762,-0.0232558139534884,-0.1157894736842105,-0.1515151515151515,-0.1384615384615385,-0.16,-0.1384615384615385,-0.2186046511627907,-0.3,-0.3488372093023256,-0.2851063829787235,-0.3,-0.2941176470588235,-0.3142857142857144,-0.3333333333333333,-0.308641975308642,-0.3,-0.3538461538461539,-0.3612167300380228,-0.3777777777777779,-0.328,-0.328,-0.2466367713004484,-0.2186046511627907,-0.0918918918918919,-0.04,-0.0666666666666667,-0.3463035019455253,-0.3411764705882353,-0.3411764705882353,-0.3142857142857144,-0.2695652173913043,-0.1804878048780487,-0.1295336787564767,-0.1295336787564767,-0.0819672131147541,-0.0508474576271187,-0.0344827586206897,-0.0117647058823529,-0.0117647058823529,-0.0289017341040462,-0.0454545454545455,-0.0344827586206897,-0.0232558139534884,0.0120481927710842,0.0434782608695651,0.1275167785234898,0.1351351351351351,0.2352941176470586
MOMA_07-L^K99,1.0,0.5049377839225755,0.0018573950875729,0.1759067999669503,0.1778401665133836,2.5868639206442955e-08,0.148953679522454,1.0,1.0,1.0444846875733187,-0.0234375,0.0756302521008405,0.0756302521008405,-0.0229007633587786,-0.111111111111111,-0.152317880794702,-0.0518518518518519,-0.0857142857142856,-0.0857142857142856,-0.152317880794702,-0.1172413793103447,-0.0229007633587786,0.0756302521008405,0.0578512396694215,0.024,0.0666666666666666,-0.044776119402985,-0.1949685534591195,-0.1794871794871795,-0.0588235294117647,-0.044776119402985,-0.0153846153846154,0.0078740157480314,-0.044776119402985,0.1228070175438598,0.1636363636363635,0.0666666666666666,-0.3333333333333332,-0.3502538071065989,-0.3502538071065989,-0.3535353535353535,-0.3694581280788176,-0.2289156626506023,-0.2335329341317364,-0.2808988764044944,-0.2049689440993789,-0.1409395973154362,-0.111111111111111,-0.0724637681159419,-0.0921985815602836,-0.0656934306569343,-0.0229007633587786,-0.0791366906474819,-0.0985915492957746,-0.129251700680272,-0.1172413793103447,0.0847457627118644,0.1962616822429905,0.1962616822429905
MOMS_01-L^G92,1.0,0.1625735294117647,0.193955160400486,0.6038888888888888,-0.0778915190468713,9.046559187879546e-08,0.7007623454320825,1.0,1.0,0.7265629308660791,-0.0402144772117962,0.0163487738419618,0.0507042253521128,-0.0675,-0.0261096605744125,-0.0053333333333333,0.0566572237960341,-0.0508905852417302,-0.0744416873449131,-0.0628140703517587,-0.0435897435897435,0.0275482093663912,0.0596590909090908,0.0596590909090908,0.0026881720430107,0.0874635568513118,0.013586956521739,-0.0508905852417302,-0.0311688311688311,-0.0508905852417302,-0.0968523002421307,-0.0386597938144329,0.041899441340782,0.0874635568513118,0.1371951219512195,0.2644067796610168,0.3087719298245612,-0.1012048192771085,-0.0790123456790122,-0.1119047619047619,-0.1580135440180586,0.0275482093663912,0.1841269841269841,0.1656249999999999,0.1547987616099071,0.2433333333333334,0.445736434108527,0.45703125,0.5224489795918366,0.5872340425531914,0.6217391304347828,0.6008583690987124,0.6217391304347828,0.6217391304347828,0.6577777777777778,0.6577777777777778,0.6726457399103138,0.6954545454545453,0.6801801801801801
MOQT_40-L^H04,1.0,0.0955994748862553,0.0040036041857917,0.2873239436619718,-0.0418508197783681,4.630291649131243e-10,0.07641799719116,1.0,1.0,0.7767344321563229,0.0,-0.04,-0.1294885745375408,-0.263125575683144,-0.2696287279367011,-0.263125575683144,-0.2532669570628501,-0.2292870905587668,-0.1640543364681296,-0.1640543364681296,-0.1294885745375408,-0.1516436903499469,-0.0510083036773427,-0.1205569805789665,-0.1640543364681296,-0.1806077159440081,-0.1064780342516753,-0.096725630410237,-0.0871053632559908,-0.045346062052506,-0.0287333063537029,0.0371650821089022,0.1352885525070954,0.1588604538870111,0.2924071082390953,0.4607425441265977,0.2924071082390953,-0.0665110851808634,-0.1156963890935888,-0.0818668706962509,0.0,0.1747430249632893,0.3333333333333332,0.3333333333333332,0.3880855986119145,0.4732965009208103,0.5132408575031526,0.5554115359688918,0.5,0.4002333722287048,0.486988847583643,0.5276893698281349,0.5276893698281349,0.5276893698281349,0.5,0.4607425441265977,0.4607425441265977,0.4732965009208103,0.448400724200362
MOQW_26-L^C91,1.0,0.3768814300945735,0.0004138977185229,0.0602101801861849,1.269000944287061,3.286059360380012e-08,0.7195412839281145,1.0,1.0,0.8648396835531942,0.0310077519379845,0.0661157024793388,0.1025641025641026,0.0078125,-0.134228187919463,-0.14,-0.0719424460431653,-0.0444444444444445,0.048780487804878,0.0750000000000001,0.0078125,0.0840336134453783,0.4175824175824176,0.3723404255319149,0.2169811320754717,0.303030303030303,0.2772277227722772,0.1727272727272726,0.1944444444444444,0.2403846153846154,0.1834862385321101,0.162162162162162,0.1025641025641026,0.2772277227722772,0.329896907216495,0.5176470588235296,0.4021739130434782,-0.1456953642384105,-0.0514705882352941,-0.0851063829787233,-0.0076923076923076,0.1025641025641026,0.1727272727272726,0.2403846153846154,0.048780487804878,0.329896907216495,0.449438202247191,0.4333333333333333,0.29,0.3578947368421052,0.1315789473684212,0.2772277227722772,-0.0227272727272727,-0.0444444444444445,-0.1103448275862069,0.0078125,0.3163265306122449,0.4021739130434782,0.4827586206896552
MQFA_K7-L,1.0,0.671586990960768,0.0003683782079422,0.1068302157890535,0.7843168288972648,8.306616593426021e-06,3.8506481124947327,1.0,1.0,0.9887627944331624,-0.0501858736059478,0.0386100386100387,0.1255230125523012,0.0738522954091815,0.0306513409961686,0.0611439842209071,0.1495726495726497,0.1569892473118279,0.1208333333333333,0.1798245614035087,0.1824175824175824,0.2117117117117115,0.3901808785529714,0.4083769633507854,0.345,0.4462365591397847,0.4308510638297873,0.3759590792838874,0.3551637279596977,0.4659400544959129,0.4501347708894878,0.6156156156156156,0.5777126099706744,0.5823529411764705,0.6303030303030304,0.7993311036789297,0.7933333333333332,0.1982182628062359,0.1422505307855626,0.1569892473118279,0.0868686868686867,0.113871635610766,0.2629107981220657,0.3251231527093596,0.1929046563192904,0.3551637279596977,0.4780219780219779,0.5917159763313609,0.6553846153846155,0.6156156156156156,0.5823529411764705,0.6656346749226005,0.5964391691394657,0.5594202898550724,0.5504322766570604,0.5504322766570604,0.7755775577557757,0.9706959706959706,0.9635036496350362
MQFB_07-L,26.0,1.0448408068011334,0.0023654991739308,0.1422470433639947,0.7956688035339112,8.689183581073746e-10,0.0436677097769255,1.0,1.0,0.7146845178273967,-0.0074626865671642,0.0,0.0,-0.0694444444444443,0.046875,0.0806451612903227,0.1166666666666667,0.1964285714285714,0.1452991452991454,0.1964285714285714,-0.0496453900709218,0.0229007633587785,0.1964285714285714,0.1260504201680674,0.1355932203389831,0.2293577981651375,0.3137254901960784,0.2181818181818182,0.1551724137931036,0.046875,0.2641509433962263,0.2407407407407407,0.1551724137931036,0.185840707964602,0.1452991452991454,0.185840707964602,0.1754385964912281,-0.0428571428571427,-0.021897810218978,-0.1728395061728395,-0.1184210526315788,-0.0758620689655171,-0.0289855072463767,0.0387596899224806,0.046875,-0.1066666666666665,-0.0496453900709218,0.046875,0.046875,0.046875,-0.0289855072463767,-0.056338028169014,-0.056338028169014,-0.0359712230215826,-0.021897810218978,-0.0428571428571427,-0.0758620689655171,0.1551724137931036,0.2523364485981307
NLY_Z9-L^I09,1.0,0.5786589618411875,0.0023255813953488,0.2276119402985074,-0.046958377801492,4.773177494199097e-06,9.152530427113884,1.0,1.0,1.0248721297792565,-0.0260586319218241,0.0778232884727911,0.1190765492102066,0.1103074141048825,0.0448099829835508,0.1717557251908397,0.3063829787234045,0.2720994475138123,0.4039634146341466,0.4759615384615385,0.5299003322259139,0.6639566395663958,0.9763948497854078,1.2166064981949458,1.065022421524664,1.0535117056856187,1.1645123384253822,1.044395116537181,0.8401598401598405,1.0604026845637589,1.1368909512761023,1.129479768786127,0.8738555442522891,0.9471458773784356,1.0766629086809476,1.6016949152542377,1.1148105625717566,0.1279853031230866,0.1754945756222081,0.1891542930923178,0.2102496714848882,0.3624260355029587,0.5505050505050506,0.4595879556259907,0.5505050505050506,0.7231057062675399,0.8475426278836511,0.843843843843844,0.8931140801644399,1.1368909512761023,1.0043525571273126,1.1594372801875736,0.9913513513513514,1.3228247162673394,1.2853598014888337,1.1876484560570075,1.3228247162673394,1.6541786743515852,1.7782805429864257
NVJ_39-L^G03,13.0,0.0234826901493568,4.7852493175467216e-05,0.1482342007434944,0.1228232678769895,6.453104702649034e-05,0.8286020872207989,1.0,1.0,1.816407327165198,-0.0161344537815125,-0.0913255956017105,-0.1862691466083151,-0.155788876276958,-0.2094073877225618,-0.2094073877225618,-0.2019849785407725,-0.2168991839957884,-0.1169486494508755,-0.1414141414141413,-0.3774848294622306,-0.3695698241152786,-0.2454983515090033,-0.2431951157466294,-0.2965240009458501,-0.2886178861788617,-0.265432098765432,-0.3044189852700492,-0.3394760213143871,-0.3305580558055805,-0.3727598566308243,-0.3852035544533995,-0.4113573407202215,-0.4262295081967213,-0.4113573407202215,-0.3323608617594255,-0.3270753223252658,-0.5646766169154229,-0.6277993244088578,-0.6078819032555687,-0.633259368836292,-0.5877217294900221,-0.6096824980320126,-0.6163270570028373,-0.6197111082704845,-0.5911214953271029,-0.5376126826235623,-0.5174371451743714,-0.47549365303244,-0.4372990353697749,-0.5451765785048157,-0.5044970019986675,-0.5602365114560237,-0.5743310917155531,-0.5660102115244348,-0.6356845456771981,-0.6075197889182058,-0.5503325272067714,-0.5614681603773586
QBD_36-L^L93,1.0,0.3251170046801872,-0.0080586015310841,0.077546882919412,0.6240732664631157,0.0001864962341625,11.494496987181702,1.0,1.0,1.2043570321421422,-0.074074074074074,0.0414285714285713,0.1146788990825689,0.1701444622792935,0.0962406015037593,0.1534810126582277,0.2293423271500843,0.3550185873605949,0.3278688524590163,0.3833017077798863,0.3938814531548755,0.3677298311444652,0.5677419354838709,0.653061224489796,0.49079754601227,0.605726872246696,0.6720183486238531,0.4938524590163935,0.5543710021321961,0.6382022471910112,0.609271523178808,0.577922077922078,0.466800804828974,0.4550898203592814,0.5847826086956522,0.6643835616438356,0.4938524590163935,0.1498422712933753,0.1462264150943395,0.111280487804878,0.0962406015037593,0.1970443349753694,0.3499999999999998,0.4322200392927309,0.4294117647058824,0.5219206680584552,0.6681922196796339,0.7911547911547911,0.8984375,1.0138121546961325,0.918421052631579,1.1441176470588237,1.0948275862068964,1.2225609756097562,1.2430769230769232,1.3516129032258064,1.513793103448276,1.6035714285714286,1.6509090909090909
STL_65-L,1.0,0.0056333926401863,0.0011965716575875,0.0596641657734905,-0.0095668235304248,0.0008156106431664,14.091986590848968,1.0,1.0,0.8639990604878708,0.0319148936170212,0.0444444444444442,0.2207792207792207,0.1058823529411765,0.0561797752808987,0.119047619047619,0.2702702702702702,0.2876712328767123,0.2533333333333332,0.2876712328767123,0.2702702702702702,0.2207792207792207,0.4029850746268655,0.3823529411764703,0.3823529411764703,0.3823529411764703,0.4687499999999998,0.4242424242424241,0.4029850746268655,0.4242424242424241,0.4920634920634918,0.4029850746268655,0.3428571428571429,0.3623188405797102,0.4687499999999998,0.540983606557377,0.4029850746268655,0.0930232558139534,0.1604938271604936,0.119047619047619,0.1604938271604936,0.2533333333333332,0.2702702702702702,0.323943661971831,0.2876712328767123,0.2368421052631577,0.2876712328767123,0.4242424242424241,0.3623188405797102,0.4242424242424241,0.2702702702702702,0.3428571428571429,0.2533333333333332,0.3623188405797102,0.205128205128205,0.1898734177215189,0.4029850746268655,0.4920634920634918,0.4029850746268655
SZI_08-L^H07,11.0,0.1924222199404456,0.0010165184243964,0.0513670256835128,0.1601847575057112,0.0001659308740425,18.828568632102392,1.0,1.0,0.5607850419661312,-0.006651884700665,-0.0152838427947599,0.0815347721822541,0.0661938534278958,-0.0301075268817205,0.0066964285714283,0.0537383177570092,0.141772151898734,0.1683937823834196,0.199468085106383,0.2830725462304408,0.2776203966005666,0.4571890145395798,0.4642857142857142,0.5134228187919463,0.560553633217993,0.6399999999999999,0.5714285714285714,0.6049822064056938,0.7413127413127414,0.7826086956521741,0.8039999999999998,0.6164874551971324,0.6703703703703703,0.7686274509803921,0.8483606557377048,0.6703703703703703,0.2493074792243768,0.193121693121693,0.2356164383561643,0.2668539325842696,0.2885714285714285,0.358433734939759,0.391975308641975,0.3666666666666667,0.5992907801418439,0.5908289241622575,0.541880341880342,0.4811165845648604,0.6078431372549018,0.541880341880342,0.7582846003898636,0.6611418047882136,0.6340579710144929,0.7180952380952381,0.6611418047882136,0.8559670781893003,1.1173708920187797,1.024691358024691
TRI_95-L^D00,1.0,0.0044691083980762,0.0025396825396825,0.0512760477639896,0.0032397559011502,0.000723928739996,11.961724336173337,1.0,1.0,1.2497503404854569,0.0230547550432276,0.0057971014492754,0.1683501683501682,0.0776397515527951,-0.033426183844011,0.0515151515151517,0.1843003412969284,0.1883561643835618,0.1528239202657808,0.1924398625429553,0.1802721088435375,0.1762711864406778,0.35546875,0.2996254681647941,0.2851851851851852,0.2710622710622712,0.3244274809160306,0.2437275985663083,0.1965517241379311,0.2304964539007092,0.3045112781954886,0.2304964539007092,0.1644295302013423,0.160535117056856,0.2048611111111111,0.35546875,0.2175438596491228,-0.0844327176781002,-0.0672043010752688,-0.036111111111111,-0.0414364640883977,0.0205882352941177,0.1339869281045751,0.1762711864406778,0.1683501683501682,0.2090592334494774,0.2664233576642336,0.4221311475409837,0.3143939393939394,0.3501945525291829,0.2132867132867133,0.35546875,0.3295019157088124,0.4518828451882846,0.2348754448398577,0.1883561643835618,0.5491071428571428,0.599078341013825,0.584474885844749
UEM_23-L^F05,1.0,0.2095975898429094,8.033475500986223e-05,0.083866382373845,0.3784665579119083,1.3558542797584775e-05,0.5401575485062946,1.0,1.0,0.9254324593687188,0.0557768924302788,-0.0599250936329588,-0.0195312500000001,-0.2828571428571429,-0.2828571428571429,-0.2849002849002849,-0.2703488372093023,-0.3123287671232877,-0.2969187675070028,-0.3008356545961003,-0.3142076502732241,-0.3027777777777778,-0.1743421052631579,-0.2180685358255452,-0.3252688172043011,-0.3123287671232877,-0.3027777777777778,-0.3771712158808934,-0.3306666666666668,-0.3197831978319784,-0.2949438202247192,-0.237082066869301,-0.2056962025316456,-0.1374570446735395,-0.1130742049469966,0.0818965517241379,-0.261764705882353,-0.4737945492662474,-0.4269406392694064,-0.4384787472035795,-0.4094117647058823,-0.3787128712871287,-0.3629441624365482,-0.3085399449035813,-0.2416918429003022,-0.261764705882353,-0.0905797101449275,-0.1980830670926517,-0.1223776223776224,-0.1797385620915034,-0.1980830670926517,-0.1716171617161715,-0.3008356545961003,-0.3530927835051547,-0.3412073490813648,-0.3047091412742383,-0.1980830670926517,-0.066914498141264,-0.1374570446735395
