firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
MCUF_18-L,0.2243666066731275,-0.2243666066731275,7.0,-0.1128427543142301,0.1102090904800113,-0.4145636819517979,0.2809789576891168,0.2507020731808045,-1.7099616858237543,-0.2646268863353174,3.0784277485925123e-09,0.0101895517903565,0.0068197963533034,0.0146049684401525,-0.4783257257862843,-0.1506704043942196,-0.1050060116927227,-0.124123725371013,-2.169187525097042,0.214495814163964,0.1395268206508278,0.0384615384615385,0.0,-0.11864406779661,-0.1875,-0.1475409836065573,-0.11864406779661,-0.1333333333333333,-0.1999999999999999,-0.2777777777777777,-0.2121212121212121,-0.2972972972972972,-0.1999999999999999,0.0,0.0196078431372548,0.0,0.1304347826086955,0.2380952380952381,0.3,0.2380952380952381,0.625,0.625,0.625,0.368421052631579,0.2380952380952381,0.1818181818181818,0.0612244897959184,0.0833333333333334,0.1304347826086955,0.04,0.0196078431372548,-0.0545454545454545,0.0,0.0,-0.0714285714285715,-0.2571428571428571,-0.2571428571428571,-0.35,-0.35,-0.409090909090909,-0.5272727272727273,-0.5438596491228069,-0.559322033898305,-0.5630252100840336,-0.5806451612903225,-0.5905511811023623,-0.6645161290322581,-0.6867469879518072,-0.6976744186046511,-0.7523809523809524
MCUP_32-L^A05,0.0179419116079905,0.0179419116079905,9.0,-0.177963708253901,0.0662162162162162,-0.0138134938649195,1.0540220353038738,0.0371208691715708,0.0556255776825477,0.0709538664238242,1.7253736434605466e-10,0.0703593871354938,-0.3265280482442365,0.0447118917497023,-0.952565831384505,-0.0136372556507468,-0.0239619852377578,0.4463095650685002,1.1871794871794872,1.034593057694586,0.0365389495052017,0.0070175438596491,0.3255813953488371,0.4615384615384614,0.3768115942028986,0.8387096774193548,0.8874172185430464,0.912751677852349,0.7768079800498755,0.9655172413793104,0.9655172413793104,1.1923076923076923,1.336065573770492,1.456896551724138,1.6635514018691588,1.8051181102362204,2.064516129032258,2.2758620689655173,2.958333333333333,3.425465838509316,3.425465838509316,3.453125,3.425465838509316,3.425465838509316,3.130434782608696,3.130434782608696,3.215976331360947,3.3445121951219514,2.6538461538461537,2.6075949367088604,2.6726804123711343,2.7012987012987013,3.481132075471698,3.781879194630872,3.947916666666667,3.75,3.718543046357616,4.181818181818182,4.438931297709924,4.297397769516729,4.181818181818182,4.2389705882352935,4.2389705882352935,4.7,5.721698113207546,6.5,6.421875,5.195652173913044,5.250000000000001,5.250000000000001
MDFJ_98-L^K19,0.1749580049101951,0.1749580049101951,11.0,-0.2671294223018361,-0.5026548672566371,0.1405020034388155,3.0145413870246083,0.7251184834123223,-0.2325806451612903,-0.0945858638066933,1.6669995431294123e-11,0.028437080161218,-0.3455344070278184,0.0023046608195204,4.935559779556257,0.0346785281506338,-0.0535150118692891,0.0038767897385908,0.9389736477115116,2.397091722595078,0.1519618961215695,0.0,0.0,0.1111111111111111,0.25,0.1111111111111111,-0.1666666666666666,-0.1666666666666666,-0.2857142857142857,-0.3333333333333332,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.4444444444444444,-0.4444444444444444,-0.4117647058823529,-0.4736842105263158,-0.375,-0.0909090909090908,-0.4117647058823529,0.25,0.6666666666666667,0.4285714285714286,0.6666666666666667,0.6666666666666667,0.0,0.0,-0.5454545454545454,-0.7222222222222222,-0.7435897435897436,-0.7560975609756098,-0.7619047619047619,-0.75,-0.8,-0.8,-0.8214285714285714,-0.8148148148148149,-0.8076923076923077,-0.8214285714285714,-0.8245614035087719,-0.8245614035087719,-0.8333333333333333,-0.8765432098765432,-0.9056603773584906,-0.95850622406639,-0.9615384615384616,-0.9668874172185432,-0.9742268041237112,-0.973404255319149,-0.9705882352941176
MDFK_D4-L^H08,0.0004490345756623,0.0004490345756623,8.0,-0.0558707987778262,0.03466796875,-0.1020778993303098,0.9817470664928292,0.281437125748503,-0.425233644859813,-0.0534351145038161,4.087474289448116e-08,-0.0541248363160192,-0.0164648910411622,0.0944289921417033,-0.3941369445864677,-0.0449412032759077,-0.0808142582561594,0.0009755567401396,0.0434782608695652,0.8305084745762711,-0.0719557195571955,-0.1020408163265305,-0.0516129032258064,-0.0754716981132076,-0.0981595092024539,-0.1403508771929824,-0.1647727272727273,-0.1197604790419161,-0.25,-0.234375,-0.3066037735849057,-0.2686567164179103,-0.1787709497206704,-0.3098591549295775,-0.3608695652173912,-0.25,-0.2422680412371134,-0.2794117647058823,-0.2010869565217391,-0.0328947368421053,0.0068493150684931,0.3738317757009344,0.2457627118644068,0.2148760330578512,0.0352112676056337,-0.02,-0.0067567567567567,-0.1403508771929824,-0.3162790697674418,-0.3098591549295775,-0.5050505050505051,-0.508361204013378,-0.4712230215827337,-0.449438202247191,-0.4712230215827337,-0.4452830188679245,-0.4143426294820717,-0.3950617283950618,-0.3033175355450237,-0.4143426294820717,-0.5739130434782609,-0.5726744186046512,-0.5258064516129033,-0.3466666666666667,-0.3287671232876712,-0.069620253164557,-0.2932692307692308,-0.5545454545454545,-0.4895833333333333,-0.4965753424657534
MDFN_N7-L^A23,0.1196900720552323,-0.1196900720552323,8.0,0.1935718537133786,0.4319865577025892,-0.0049263682833839,1.9618374558303888,0.3460166468489893,0.1608007749434936,-0.060086225089692,9.386967730191515e-10,0.0210964883274915,0.2457975986277872,0.127420537953159,-0.0195953671756797,0.003246302265912,0.0315034481079659,0.0168408178482372,-1.0153452685421993,1.9465017667844524,0.0584592312819372,0.0329670329670328,0.0963855421686747,0.1895424836601307,0.2133333333333333,0.205298013245033,0.1592356687898088,0.2214765100671141,0.2297297297297298,0.2551724137931035,0.2297297297297298,0.2214765100671141,0.3284671532846714,0.3582089552238805,0.2551724137931035,0.2816901408450705,0.3382352941176469,0.368421052631579,0.5166666666666668,0.610619469026549,0.8571428571428572,0.9782608695652172,0.9157894736842108,1.0,0.801980198019802,0.9361702127659576,1.527777777777778,1.3037974683544302,0.8762886597938147,0.7843137254901962,0.5689655172413794,0.5041322314049588,0.5166666666666668,0.625,0.766990291262136,0.5555555555555558,0.4444444444444444,0.4918032786885247,0.8762886597938147,1.1411764705882352,0.625,0.368421052631579,0.263888888888889,0.1741935483870968,0.2380952380952381,0.421875,0.2465753424657535,0.1895424836601307,0.1592356687898088,0.263888888888889
MDFZ_M0-L,0.2274799191058534,-0.2274799191058534,9.0,-0.1252139393363126,0.1971291299002059,-0.0069878865803434,1.2228403751886967,0.327950835549138,-0.0284672042447725,-0.1730855791602477,1.437572585552148e-07,-0.0843039840258628,-0.175160842689542,0.0825132622002637,-0.3502342110565283,-0.2002178848633089,-0.1117168102348698,0.1392289062276777,-26.837696335078533,0.3093440982410909,0.0296524789716923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.3333333333333332,0.0,0.0,0.0,-0.3333333333333332,-0.3333333333333332,-0.5,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,0.0,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,0.0
MDKX_71-L^A20,0.1500487575470458,-0.1500487575470458,8.0,0.4548479652297921,0.2053169240669241,-0.0456087008674793,1.261027286679556,0.3239664082687338,0.4110380234237125,0.1250959590021639,2.5493109594867e-09,-0.0418159284222678,0.474091395308341,0.0750402790742249,-0.3040880125852085,-0.0322519099320138,-0.0011312908856772,0.0466553756550572,-1.1782339524275005,1.261027286679556,0.123173762987071,-0.0096618357487923,0.0097560975609756,0.0349999999999999,-0.0758928571428573,-0.0504587155963304,-0.0633484162895928,-0.1446280991735538,-0.1481481481481482,-0.1785714285714286,-0.2038461538461539,-0.1265822784810127,-0.1038961038961039,-0.1653225806451613,-0.1914062500000001,-0.1818181818181817,-0.1551020408163266,-0.1302521008403361,-0.1302521008403361,-0.0999999999999999,-0.0235849056603775,-0.0460829493087557,-0.0547945205479452,-0.0590909090909091,-0.0675675675675677,-0.0999999999999999,0.0349999999999999,-0.0048076923076924,-0.2787456445993032,-0.3386581469648563,-0.4152542372881356,-0.4281767955801105,-0.4297520661157025,-0.4450402144772118,-0.4623376623376624,-0.4450402144772118,-0.3802395209580839,-0.4328767123287671,-0.4281767955801105,-0.4102564102564102,-0.4281767955801105,-0.425,-0.4566929133858268,-0.4450402144772118,-0.3893805309734514,-0.3929618768328446,-0.3947368421052631,-0.3765060240963855,-0.3669724770642202,-0.3689024390243902
MDKZ_41-L^A06,0.0659668755069175,-0.0659668755069175,9.0,0.0567912576761277,0.0839309726580009,-0.1516564030935126,1.5846658466584664,0.6089978054133138,0.5128716027735712,-0.0539536633244387,2.790157832146686e-09,0.015980851989749,-0.1418011452368558,0.0309730889962351,0.3383321581466059,0.2702443089009567,0.297471639388036,0.0699902618925494,-4.821305841924399,1.068353540678264,0.0263984129711491,-0.0116279069767442,0.036144578313253,0.1944444444444444,0.303030303030303,0.323076923076923,0.2285714285714286,0.303030303030303,0.2112676056338027,0.1466666666666667,0.0749999999999999,0.1944444444444444,0.34375,0.3870967741935482,0.34375,0.2647058823529411,0.2647058823529411,0.2647058823529411,0.2285714285714286,0.2285714285714286,0.2647058823529411,0.5357142857142856,0.34375,0.0117647058823529,0.0617283950617282,0.1944444444444444,0.2285714285714286,0.3870967741935482,0.303030303030303,0.2463768115942028,0.5087719298245614,0.1780821917808219,0.1025641025641024,0.0617283950617282,0.1025641025641024,-0.0652173913043479,-0.0851063829787234,-0.0444444444444445,0.131578947368421,0.4827586206896552,0.162162162162162,0.1944444444444444,-0.2456140350877192,-0.3943661971830986,-0.4027777777777778,-0.3676470588235294,-0.4591194968553459,-0.4970760233918129,-0.3582089552238806,-0.4027777777777778
MDLC_54-L^C17,0.1922981526222475,-0.1922981526222475,9.0,-0.1361858044191043,0.0948436667258838,0.6373797350157268,1.0527748050756764,0.1529093126703974,-0.1606928180239547,-0.2701755514114837,7.539301515868726e-09,-0.0182217428153169,-0.1208740767529522,0.0365748196738583,-0.802827970342608,-0.1056334266367916,-0.1016940776600386,0.0500767710796311,-3.280520294624667,1.0260816388931358,0.0021804078754476,-0.232876712328767,0.0814814814814814,0.123076923076923,0.0579710144927536,0.123076923076923,0.1679999999999999,0.1679999999999999,-0.0266666666666667,-0.0394736842105263,-0.1204819277108433,-0.0394736842105263,0.0354609929078013,0.0977443609022554,0.0354609929078013,0.0138888888888888,-0.0135135135135134,-0.033112582781457,0.1869918699186992,0.2586206896551724,0.6976744186046511,0.7804878048780488,0.6222222222222222,0.6404494382022472,0.1967213114754098,0.1145038167938929,0.3518518518518516,0.3518518518518516,0.0428571428571429,0.1317829457364341,-0.1704545454545455,-0.3393665158371041,-0.396694214876033,-0.4065040650406504,-0.3209302325581395,-0.4362934362934363,-0.3865546218487394,-0.3624454148471616,-0.3787234042553191,-0.231578947368421,-0.2474226804123711,-0.0817610062893082,-0.3047619047619048,-0.7014314928425358,-0.7008196721311475,-0.6964656964656964,-0.7181467181467182,-0.7311233885819521,-0.7068273092369478,-0.7097415506958251
MDLE_54-L^F11,0.1262830934989929,-0.1262830934989929,9.0,0.7426955074875208,0.173990810127363,-0.0207915872883866,1.0849642746194472,0.1736726634488811,0.0561929290564271,0.0757601494819093,2.958043310872988e-09,0.5635274542429285,1.0153431281383671,0.0081299583911322,6.352112485424975,0.1379367744776867,0.1333843743394143,0.2846031210975269,-3.0902612826603324,1.017940354147251,0.3368570807563871,0.119047619047619,0.0,-0.0454545454545455,0.1052631578947367,0.0499999999999998,0.024390243902439,0.0499999999999998,0.1052631578947367,0.4999999999999998,0.0499999999999998,0.1052631578947367,-0.0454545454545455,0.0,-0.0869565217391304,-0.1428571428571429,-0.125,-0.0454545454545455,-0.0232558139534884,0.1052631578947367,0.1666666666666667,0.0499999999999998,0.024390243902439,0.0,0.0,0.0,-0.0454545454545455,0.0,-0.2500000000000001,-0.2500000000000001,-0.3636363636363636,-0.34375,-0.373134328358209,-0.3636363636363636,-0.4,-0.3636363636363636,-0.16,-0.1923076923076924,-0.2222222222222223,-0.2222222222222223,0.1351351351351351,0.3548387096774192,0.1052631578947367,0.6799999999999999,1.0999999999999996,1.0999999999999996,0.909090909090909,0.909090909090909,1.7999999999999998,2.0
