firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chpmia,egr,herf,lgr,mve_ia,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
FTGU_Q3-L,12.0,-0.1705682918953825,0.1486269614835948,-0.0162779397473275,1.234571146779058,1.1666666446072005,-4.9,-0.0061289856144116,-0.0943744236089762,1.035968108237041e-06,-0.1977011494252873,0.145860662574367,-0.3409713251714215,0.0647986554193706,-0.2544069337930585,0.0040752060757617,0.0107737512242899,-0.2023582073257274,0.03886925795053,0.0143369175627239,0.0884615384615383,-0.0841423948220063,-0.4557692307692308,-0.4557692307692308,-0.4176954732510288,-0.3582766439909297,-0.338785046728972,-0.444007858546169,-0.1983002832861189,-0.1398176291793312,-0.1072555205047318,-0.0104895104895104,0.0143369175627239,-0.3012345679012345,-0.2942643391521197,-0.5129087779690189,-0.3582766439909297,-0.1265432098765432,-0.2817258883248731,-0.4339999999999999,-0.5306799336650083,-0.5375816993464052,-0.633419689119171,-0.6947141316073355,-0.7396504139834406,-0.80098452883263,-0.7883320867614061,-0.790680473372781,-0.7875375375375375,-0.8145478374836173,-0.8198599618077658,-0.8136932192231732,-0.8180064308681672,-0.8169469598965071,-0.796549245147376,-0.8082655826558265,-0.7860922146636432,-0.7704785077047851,-0.7443541102077688,-0.7347703842549203,-0.7265700483091787,-0.7255092143549952,-0.7206317867719645,-0.7581196581196581,-0.7504409171075838,-0.7115188583078491,-0.7141414141414142
FTHD_44-L,22.0,0.0008317161075686,0.0076177285318559,0.1898507462686567,1.5225991679746969,4.970285787229613e-06,-2.2,-0.0023980280518028,0.0009907529722589,4.589819317413154e-07,0.0007166746297179,0.439253586925742,-0.0262164272884627,-0.0125609735058084,-0.0292576178732731,0.0262651672092335,0.0637114142139267,-0.0020521239482864,0.0451977401129943,0.0925925925925925,0.0473372781065088,0.195945945945946,0.195945945945946,0.0792682926829269,0.1799999999999999,0.2553191489361703,0.1799999999999999,0.0925925925925925,0.4274193548387097,0.4628099173553719,0.3615384615384616,0.2553191489361703,0.282608695652174,0.2291666666666667,0.0535714285714286,-0.0056179775280899,0.1346153846153845,0.2291666666666667,0.0535714285714286,-0.0380434782608696,-0.0923076923076923,0.0350877192982457,-0.106060606060606,-0.1490384615384615,-0.1917808219178082,-0.2804878048780488,-0.3031496062992126,-0.30859375,-0.294820717131474,-0.3244274809160306,-0.4253246753246753,-0.4215686274509804,-0.3896551724137931,-0.3295454545454546,-0.3832752613240419,-0.3959044368600682,-0.3610108303249097,-0.3789473684210527,-0.3655913978494624,-0.271604938271605,-0.2270742358078602,-0.2370689655172413,-0.2976190476190476,-0.3395522388059702,-0.3745583038869258,-0.3854166666666666,-0.4119601328903653
FTHF_97-L,21.0,-0.0432616305329719,0.083324258099646,0.085514321002176,2.864554460044825,0.0093747978559212,0.0279999999999998,-0.0013319916677394,-0.3017301359061181,1.3872432921770157e-08,0.0697924486193673,0.0205740682763704,-0.4463649363596171,0.1748629462716006,0.9449653692817956,0.017533894929407,0.0789491165138833,0.0059672189665941,0.1587301587301586,0.008,0.024390243902439,-0.1486486486486486,0.1454545454545452,0.2233009708737863,0.1999999999999999,0.1351351351351351,-0.1126760563380281,-0.125,0.1052631578947369,0.1454545454545452,-0.0381679389312977,-0.16,0.05,0.0862068965517242,-0.1126760563380281,-0.2409638554216867,0.1052631578947369,-0.0999999999999999,-0.136986301369863,-0.2317073170731707,-0.2588235294117647,-0.3152173913043479,-0.3114754098360656,-0.3942307692307693,-0.3793103448275862,-0.65,-0.685,-0.7076566125290022,-0.7290322580645161,-0.7149321266968326,-0.7266811279826464,-0.7260869565217392,-0.7230769230769231,-0.7375,-0.7369519832985386,-0.7428571428571429,-0.6926829268292682,-0.7014218009478672,-0.6752577319587629,-0.6204819277108433,-0.6238805970149254,-0.6272189349112426,-0.6181818181818182,-0.6379310344827587,-0.594855305466238,-0.5987261146496816,-0.594855305466238
FTHX_01-L^E20,21.0,-0.0607086436470323,0.039025602783992,0.0722390317700454,0.583894479715178,0.002948494752387,-1.1999999999999995,-0.0004132882622579,0.0081351689612013,4.50772054602934e-08,-0.1019382627422829,0.0514918859985447,-0.5693738824956478,0.0773295561117902,-0.1490966825095702,0.008169149447381,0.021104903786468,-0.0906921241050118,-0.1176470588235295,0.1333333333333335,0.1333333333333335,0.1724137931034484,0.0303030303030302,-0.0555555555555554,0.1333333333333335,0.4166666666666667,0.2592592592592593,0.2592592592592593,0.6190476190476193,0.4782608695652175,0.2592592592592593,0.1333333333333335,-0.081081081081081,-0.2608695652173912,-0.5952380952380951,-0.6179775280898876,-0.6530612244897959,-0.6458333333333333,-0.6851851851851851,-0.6699029126213591,-0.6699029126213591,-0.6699029126213591,-0.6091954022988506,-0.6880733944954128,-0.6666666666666666,-0.7235772357723578,-0.71900826446281,-0.7301587301587301,-0.7364341085271318,-0.7384615384615385,-0.7404580152671756,-0.7384615384615385,-0.7364341085271318,-0.7404580152671756,-0.734375,-0.711864406779661,-0.7068965517241379,-0.6880733944954128,-0.6761904761904762,-0.6909090909090909,-0.6822429906542056,-0.679245283018868,-0.6936936936936937,-0.6666666666666666,-0.6730769230769231,-0.6565656565656566,-0.6494845360824741
FTIC_M8-L^B14,22.0,-0.2764675213150954,0.0137761481889663,-0.2321265077911803,2.593132123589648,-0.2,-4.1995,0.003795593744189,-2.022569444444444,1.1414998316167076e-08,-0.143703385915121,0.0079421707439103,-0.0217083948479914,-0.3151419447551496,-0.1094478386639771,-0.081384187431437,-0.6817361339021988,-0.3871877646908411,-0.111111111111111,-0.0526315789473684,-0.1219512195121951,-0.1219512195121951,-0.1,-0.2,-0.25,-0.2653061224489795,-0.3454545454545455,-0.2173913043478261,1.4,1.7692307692307692,1.4,1.7692307692307692,2.0,1.7692307692307692,0.2857142857142856,-0.3898305084745762,-0.3898305084745762,-0.4461538461538462,-0.4705882352941177,-0.5555555555555556,-0.625,-0.6363636363636364,-0.4857142857142856,-0.5955056179775281,-0.7096774193548387,-0.8163265306122449,-0.8371040723981901,-0.8745644599303136,-0.8732394366197183,-0.8871473354231975,-0.8831168831168831,-0.8819672131147541,-0.8615384615384616,-0.8487394957983193,-0.859375,-0.8468085106382979,-0.8085106382978724,-0.8074866310160428,-0.7777777777777778,-0.8105263157894737,-0.7869822485207101,-0.8,-0.8378378378378378,-0.8676470588235294,-0.8881987577639752,-0.8892307692307693,-0.8857142857142857
FTIG_35-L^G10,21.0,0.0076685167139769,0.0306587984428851,0.0504033819043342,0.8238275967777079,0.0002994042992181,-4.9430000000000005,-0.0017996757825238,0.1384560906515581,2.709021238921647e-09,-0.0481472526143988,0.0029151271003465,-0.0288955590059521,-0.092702380153092,-0.0251260988342087,-0.0500388916918937,-0.1480715396578538,-0.0423454021147068,-0.111111111111111,0.125,0.1999999999999999,-0.1,-0.28,-0.3333333333333333,-0.1818181818181818,-0.3333333333333333,-0.3793103448275862,-0.4193548387096775,0.5,0.5,1.0,0.0588235294117645,-0.1,-0.3076923076923077,-0.5384615384615385,-0.6666666666666667,-0.6538461538461539,-0.7272727272727273,-0.7857142857142857,-0.7352941176470589,-0.7631578947368421,-0.7954545454545454,-0.7857142857142857,-0.8085106382978724,-0.8163265306122449,-0.85,-0.8536585365853658,-0.856,-0.8582677165354331,-0.8636363636363636,-0.8846153846153846,-0.8831168831168831,-0.8656716417910448,-0.8582677165354331,-0.8783783783783784,-0.8846153846153846,-0.8860759493670887,-0.8888888888888888,-0.8941176470588236,-0.8895705521472392,-0.8875,-0.8846153846153846,-0.88,-0.8941176470588236,-0.8888888888888888,-0.8875,-0.8783783783783784
FTIT_63-L,23.0,0.1074589127686472,0.1494736842105263,0.350453172205438,0.900743615634918,4.0,-0.3999999999999999,-0.0002712603957873,0.1230342275670676,1.2421299236101544e-08,0.0601659751037344,0.1117743783460658,0.0178156869247986,0.0397239956148835,-0.0287204488295608,0.0182648401826484,0.0263591433278418,-0.0713871154962275,0.0284090909090908,-0.0056497175141243,0.0114942528735633,0.0602409638554217,0.0352941176470589,0.1282051282051282,0.3333333333333332,0.3538461538461537,0.2753623188405798,0.4426229508196722,0.9130434782608694,0.6603773584905659,0.6603773584905659,0.4079999999999999,0.5999999999999999,0.4079999999999999,0.1578947368421053,0.0999999999999998,0.1139240506329113,0.0999999999999998,0.0864197530864196,0.1428571428571428,0.1503267973856208,0.0731707317073171,0.0173410404624276,-0.0537634408602151,-0.0588235294117647,-0.1456310679611651,-0.2107623318385649,-0.0486486486486487,-0.0167597765363128,-0.0537634408602151,-0.0974358974358974,-0.1020408163265306,0.0,0.0114942528735633,0.0232558139534884,0.0057142857142857,0.1282051282051282,0.0931677018633538,0.1655629139072847,0.1812080536912752,0.1354838709677419,0.2222222222222223,0.1891891891891892,0.1282051282051282,0.0864197530864196,0.1069182389937106,0.1503267973856208
FTJE_09-L,21.0,-0.1199089661870229,0.0128660263043196,-0.0214463244950454,0.2042335912190135,4.0,-3.5155000000000003,-0.0233816332687547,-0.0721419345923048,6.58806428192093e-09,-0.1785227115472056,0.0688963600704349,-0.0946233387615985,-0.3377325730756816,-0.5182276428271101,0.0108605331383367,0.0186746299365605,-0.3983653364587797,-0.03,0.0869565217391303,-0.0566037735849057,-0.1150442477876105,-0.0099009900990099,0.1904761904761904,0.3513513513513513,0.3513513513513513,0.3888888888888888,0.3888888888888888,0.4492753623188408,0.4084507042253522,0.7241379310344829,0.7241379310344829,1.0833333333333337,0.7543859649122808,0.2345679012345678,0.0869565217391303,0.1494252873563217,-0.0566037735849057,-0.2700729927007299,-0.2857142857142857,-0.2957746478873239,-0.2907801418439716,-0.358974358974359,-0.4047619047619047,-0.4117647058823529,-0.5412844036697249,-0.5555555555555556,-0.6031746031746033,-0.6062992125984252,-0.609375,-0.6441281138790036,-0.6197718631178707,-0.5884773662551441,-0.5370370370370371,-0.5454545454545454,-0.5348837209302326,-0.5098039215686274,-0.5098039215686274,-0.4505494505494506,-0.3902439024390244,-0.3975903614457831,-0.3865030674846625,-0.3788819875776398,-0.4117647058823529,-0.2753623188405796,-0.2907801418439716,-0.3197278911564626
FTJJ_08-L^H12,8.0,-0.1190418757236589,0.0136994104411722,0.0931998439734754,1.09391258412965,2.3369754768175856e-06,31.25,8.176211101545416e-06,-0.0706833210874356,6.648229942332484e-06,-0.160663892476204,1.0388361729368667,-0.0282906353208105,-0.5397674788979139,0.1313174499189739,0.0092686399605706,0.017842083069787,0.0316610925306577,0.0,0.0438596491228071,-0.0083333333333333,0.017094017094017,-0.048,0.0438596491228071,0.1553398058252426,0.5063291139240504,0.6301369863013699,0.5256410256410255,0.8307692307692307,0.7499999999999998,0.9193548387096772,0.7246376811594204,0.7761194029850744,0.6527777777777777,0.1226415094339621,-0.1250000000000001,0.1333333333333333,0.1121495327102801,-0.0083333333333333,0.0084745762711864,0.0818181818181817,0.3222222222222222,0.072072072072072,0.0084745762711864,-0.0165289256198347,-0.2562500000000001,-0.232258064516129,-0.2831325301204819,-0.2272727272727273,-0.2171052631578948,-0.2831325301204819,-0.3567567567567568,-0.3276836158192091,-0.274390243902439,-0.3160919540229885,-0.3602150537634409,-0.32,-0.274390243902439,-0.2222222222222223,-0.2562500000000001,-0.3,-0.3314606741573034,-0.3,-0.3351955307262571,-0.3897435897435898,-0.3802083333333333,-0.3602150537634409
FTJK_00-L,21.0,-0.1444978409894101,0.0506842222057844,0.0851191137101052,1.3856266911499862,0.0006758144202044,0.2635,-0.0092386742170582,-0.2118034480532059,7.25871205054223e-08,-0.0828637484404657,0.0276704315507079,-0.1174669843690331,0.131896937657332,-0.0972400774434033,0.0141679444394335,0.0321705934397221,-0.119246542745173,-0.1694915254237288,0.0535714285714283,-0.0781250000000001,-0.1060606060606061,-0.1917808219178082,0.1346153846153845,0.2040816326530612,0.1346153846153845,-0.2804878048780488,-0.0483870967741936,0.2826086956521738,0.1568627450980391,-0.1323529411764706,-0.2804878048780488,-0.2133333333333333,-0.2804878048780488,-0.4433962264150943,-0.650887573964497,-0.6445783132530121,-0.6445783132530121,-0.7135922330097088,-0.7456896551724138,-0.756198347107438,-0.764,-0.7765151515151516,-0.756198347107438,-0.764,-0.8006756756756757,-0.7107843137254902,-0.7293577981651376,-0.7354260089686099,-0.7541666666666667,-0.786231884057971,-0.815625,-0.8115015974440895,-0.8071895424836601,-0.8006756756756757,-0.8,-0.7722007722007722,-0.7601626016260162,-0.7591836734693878,-0.7149758454106281,-0.7093596059113301,-0.7255813953488373,-0.7620967741935484,-0.7541666666666667,-0.7686274509803921,-0.764,-0.7677165354330708
FTKU_11-L,21.0,-0.0119783370500159,0.0360448442184852,0.0563557883505504,1.583279526832881,0.0003910482357201,-10.7,-0.0077144020685664,-0.2388233338873193,2.1532339499151274e-06,0.1309425382389416,0.2610346949542422,-0.0505490703968011,0.1639327402739914,-0.0775192861318237,0.0046069771875198,0.0165562913907284,0.0706988564167725,0.0985915492957747,-0.1234567901234569,-0.0657894736842106,-0.0405405405405405,0.0289855072463769,0.2678571428571425,0.392156862745098,0.6904761904761905,0.4791666666666667,0.3653846153846152,1.1515151515151514,0.6136363636363635,0.3653846153846152,0.4489795918367347,1.21875,0.6904761904761905,0.0289855072463769,-0.1341463414634146,0.0,0.0441176470588233,-0.144578313253012,-0.1931818181818182,-0.3173076923076924,-0.3238095238095239,-0.3486238532110093,-0.4701492537313433,-0.4661654135338346,-0.5266666666666666,-0.432,-0.5034965034965035,-0.5359477124183007,-0.5477707006369428,-0.5477707006369428,-0.538961038961039,-0.5103448275862069,-0.4580152671755726,-0.4580152671755726,-0.4365079365079365,-0.3771929824561403,-0.3660714285714287,-0.29,-0.303921568627451,-0.2526315789473684,-0.2446808510638297,-0.2828282828282829,-0.2604166666666666,-0.3879310344827585,-0.3660714285714287,-0.3983050847457627
