firms,age,agr,cashdebt,egr,lgr,mve_ia,pchsale_pchxsga,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
PROM_J7-L,7.0,0.0447302969065754,0.3593224987999725,0.052183559348894,-0.0004113533525298,0.0138753495360798,2.0191476219888824,0.0,0.0232558139534884,-0.0222222222222222,-0.0638297872340425,-0.0222222222222222,-0.0833333333333332,-0.0736842105263158,-0.0833333333333332,-0.0434782608695653,-0.0638297872340425,-0.1020408163265306,0.0,-0.0222222222222222,-0.0434782608695653,-0.0434782608695653,-0.0833333333333332,0.0232558139534884,-0.0638297872340425,-0.0638297872340425,-0.0638297872340425,-0.0434782608695653,0.0232558139534884,0.0,-0.1020408163265306,0.1282051282051282,0.1282051282051282,0.0731707317073171,0.0114942528735633,-0.0434782608695653,0.2941176470588234,0.6923076923076923,0.6923076923076923,0.5438596491228072,0.5438596491228072,0.0999999999999998,-0.0222222222222222,-0.0222222222222222,-0.1020408163265306,-0.1538461538461538,-0.2666666666666666,-0.296,-0.296,-0.2413793103448275,-0.2478632478632477,-0.2542372881355932,-0.2845528455284553,-0.2727272727272727,-0.3070866141732283,-0.3383458646616541
PRVD_70-L^H17,8.0,0.0632686980609417,-0.0154691634439242,-0.0069787728990985,0.288309268747089,0.0024656204221163,-0.1254724060413382,0.0,-0.111111111111111,-0.2,-0.2,-0.111111111111111,-0.111111111111111,-0.0588235294117647,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0666666666666666,0.0,0.0,0.0,0.3333333333333335,0.3333333333333335,0.3333333333333335,0.5999999999999999,0.5999999999999999,0.7777777777777779,0.7777777777777779,0.5999999999999999,1.0,1.666666666666667,1.666666666666667,1.666666666666667,0.3333333333333335,0.3333333333333335,-0.2,-0.3043478260869565,-0.6363636363636364,-0.6363636363636364,-0.6666666666666666,-0.6666666666666666,-0.6799999999999999,-0.7575757575757576,-0.7575757575757576,-0.7575757575757576,-0.7714285714285714,-0.7948717948717949,-0.7948717948717949,-0.8
PRWG_B9-L,7.0,0.0335421154064165,0.2022991327115038,0.0408757549611734,0.0194976867151355,0.0191045951850136,-0.0043337280145286,-0.0224719101123596,0.0113636363636364,-0.021978021978022,-0.011111111111111,0.3484848484848484,0.390625,0.3484848484848484,0.3692307692307692,0.3088235294117647,0.2361111111111111,0.0595238095238095,0.0595238095238095,0.3088235294117647,0.2361111111111111,0.0113636363636364,-0.0824742268041236,-0.1442307692307692,-0.1603773584905661,0.0113636363636364,-0.1523809523809524,-0.226086956521739,-0.2583333333333333,-0.44375,-0.44375,-0.463855421686747,-0.4702380952380952,-0.4825581395348837,-0.4943181818181817,-0.4764705882352941,-0.5055555555555555,-0.4539877300613496,-0.3819444444444444,-0.3819444444444444,-0.2583333333333333,-0.3986486486486487,-0.463855421686747,-0.526595744680851,-0.5741626794258372,-0.531578947368421,-0.521505376344086,-0.5364583333333333,-0.526595744680851,-0.47953216374269,-0.4825581395348837,-0.463855421686747,-0.4702380952380952,-0.4702380952380952,-0.4764705882352941,-0.4506172839506173
PRWH_T3-L^D15,1.0,2.586538461538462,-0.1428571428571428,1.2672332389046268,14.261838440111422,0.0060842322419386,122.16666666666822,0.0,-0.111111111111111,-0.2,-0.2,-0.2,-0.2,-0.111111111111111,0.0,-0.111111111111111,0.0,0.0,0.3333333333333335,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,-0.111111111111111,-0.111111111111111,-0.111111111111111,-0.111111111111111,0.5999999999999999,0.5999999999999999,0.5999999999999999,1.666666666666667,1.0,1.0,1.666666666666667,1.666666666666667,1.666666666666667,1.666666666666667,1.666666666666667,1.0,0.5999999999999999,0.3333333333333335,0.3333333333333335,0.1428571428571428,0.1428571428571428,0.3333333333333335,-0.111111111111111,-0.111111111111111,0.0,0.0,0.0,0.0,-0.111111111111111,-0.111111111111111,-0.3333333333333332,-0.3333333333333332
PRZU_G2-L,5.0,-0.0558212232290716,1.0726007435754263,7.726589414343874,-0.547398615232443,0.7509721672851657,0.1876925097697393,0.0666666666666666,-0.0839694656488549,0.0,-0.0082644628099173,0.0909090909090908,0.1320754716981131,0.25,0.3333333333333332,0.3953488372093023,0.5384615384615383,0.5789473684210527,0.5189873417721518,0.6216216216216215,0.7910447761194028,0.7647058823529409,0.9354838709677418,0.6666666666666667,0.7142857142857144,0.7391304347826089,0.846153846153846,1.3076923076923077,1.4,1.222222222222222,1.2641509433962264,1.1818181818181817,1.2641509433962264,1.8571428571428568,2.333333333333333,2.333333333333333,2.75,3.444444444444444,4.217391304347825,6.5,5.666666666666667,5.315789473684211,4.999999999999999,3.615384615384615,2.75,3.137931034482759,3.8,2.529411764705882,1.9268292682926829,1.4,1.4,1.7906976744186047,1.6086956521739126,1.4489795918367347,1.0689655172413794,1.3076923076923077
PSBT_R2-L^D18,5.0,0.0749623833885043,0.094547193877551,0.0482372169040392,0.1234024545069826,0.0072242057373063,-2.7596707818930044,0.0140845070422535,0.0,-0.0405405405405405,-0.0405405405405405,0.109375,0.2033898305084744,0.2241379310344828,0.3148148148148146,0.2909090909090908,0.2241379310344828,0.2033898305084744,0.1451612903225805,0.1451612903225805,0.2909090909090908,0.2909090909090908,0.3653846153846152,0.2909090909090908,0.2241379310344828,0.5106382978723405,0.4199999999999999,0.3653846153846152,0.3396226415094339,0.2909090909090908,0.2678571428571425,0.5106382978723405,0.543478260869565,0.5777777777777777,0.5777777777777777,0.4791666666666667,0.7749999999999999,0.4489795918367347,0.3396226415094339,0.3148148148148146,0.3148148148148146,0.2678571428571425,0.3653846153846152,0.2456140350877194,0.2241379310344828,0.2456140350877194,-0.0533333333333333,-0.1647058823529411,0.0289855072463769,0.0142857142857142,-0.1125,-0.1547619047619047,-0.2446808510638297,-0.2446808510638297,-0.2526315789473684,-0.2526315789473684
PSDC_W3-L^B23,6.0,0.8199654827868108,0.394754619511226,0.9718309859154928,0.6232669654956738,0.0201700337812133,-0.0345664143576732,0.0517241379310344,-0.1343283582089554,-0.1888111888111888,-0.1714285714285714,-0.0793650793650794,-0.0569105691056911,0.0450450450450448,0.1776649746192893,0.0593607305936072,0.1776649746192893,0.2406417112299463,0.0892018779342722,0.2210526315789474,0.3488372093023255,0.5064935064935063,0.7443609022556388,0.7984496124031006,0.657142857142857,0.6338028169014085,0.6223776223776223,0.7846153846153845,0.6934306569343063,0.7709923664122136,0.7575757575757573,0.8709677419354838,0.8412698412698412,0.966101694915254,0.966101694915254,0.6453900709219857,0.4777070063694266,0.6338028169014085,0.6111111111111112,0.5999999999999999,0.7185185185185183,0.7846153846153845,0.7185185185185183,0.4320987654320984,0.4499999999999997,0.5675675675675675,0.3647058823529412,0.6223776223776223,0.4591194968553458,0.4967741935483869,0.5466666666666666,0.5364238410596025,0.5675675675675675,0.4777070063694266,0.4591194968553458,0.3488372093023255
PSDH_98-L,7.0,0.1300313487803295,0.9534035099075188,0.0718489858522234,0.4010809361637646,0.3436533075547779,-0.3964602022500435,0.052,-0.2088607594936709,-0.3150684931506849,-0.2857142857142857,-0.2647058823529411,-0.2260061919504643,-0.2732558139534884,-0.3150684931506849,-0.3386243386243386,-0.4103773584905661,-0.4033412887828163,-0.4279176201372998,-0.4239631336405529,-0.4131455399061032,-0.4382022471910113,-0.4612068965517241,-0.4791666666666666,-0.5,-0.5404411764705883,-0.5,-0.5145631067961165,-0.3975903614457832,-0.3902439024390243,-0.3036211699164345,-0.3315508021390374,-0.2603550295857988,-0.1935483870967742,-0.4505494505494505,-0.4075829383886256,-0.4444444444444444,-0.4394618834080718,-0.2537313432835821,-0.3279569892473118,-0.2113564668769716,-0.1909385113268608,-0.2857142857142857,-0.3622448979591837,-0.5404411764705883,-0.5107632093933464,-0.5412844036697249,-0.5421245421245422,-0.4382022471910113,-0.4279176201372998,-0.3796526054590571,-0.2492492492492493,-0.3556701030927834,-0.3638676844783715,-0.2857142857142857,-0.2424242424242424
PSEH_P2-L^G12,8.0,0.1939756442297791,0.1467050504874803,0.0719786264340719,0.3245926165541222,0.019530191541335,-0.1043524974852379,0.0,-0.0476190476190475,-0.183673469387755,-0.1999999999999999,-0.2233009708737864,-0.2592592592592593,-0.2727272727272727,-0.2233009708737864,-0.2982456140350876,-0.3442622950819671,-0.1999999999999999,-0.2079207920792078,-0.183673469387755,-0.1999999999999999,-0.1999999999999999,-0.1489361702127658,-0.1304347826086956,-0.2452830188679244,-0.183673469387755,-0.0243902439024389,0.0,-0.3220338983050846,-0.36,-0.3442622950819671,-0.3220338983050846,-0.1304347826086956,-0.069767441860465,-0.2307692307692307,-0.2857142857142857,-0.0804597701149424,0.2121212121212121,0.3333333333333335,0.6000000000000001,0.2121212121212121,0.0666666666666666,0.0958904109589042,-0.2592592592592593,-0.2660550458715596,-0.2592592592592593,-0.4736842105263158,-0.4936708860759493,-0.4594594594594594,-0.4871794871794871,-0.5121951219512195,-0.5555555555555556,-0.5876288659793814,-0.5698924731182795,-0.631336405529954,-0.6330275229357798
PSES_02-L^L16,7.0,0.08686911483688,0.8974037912889113,0.0735603399020168,0.0757361408126336,0.0181423665793231,0.391632192703476,-0.0769230769230769,-0.1875,-0.3157894736842105,-0.2352941176470588,-0.2777777777777777,-0.3157894736842105,-0.35,-0.35,-0.35,-0.3157894736842105,-0.2777777777777777,-0.35,-0.2777777777777777,-0.0714285714285715,-0.0714285714285715,-0.0714285714285715,-0.1333333333333333,-0.2352941176470588,-0.1875,-0.2352941176470588,-0.1875,-0.2777777777777777,-0.1875,-0.2777777777777777,-0.1875,0.0833333333333334,0.0,-0.1333333333333333,0.1818181818181818,0.0833333333333334,0.4444444444444446,0.4444444444444446,0.3,0.625,0.3,-0.1333333333333333,-0.4583333333333332,-0.6388888888888888,-0.6176470588235294,-0.6904761904761905,-0.6904761904761905,-0.7173913043478262,-0.675,-0.7758620689655172,-0.7833333333333333,-0.8243243243243243,-0.821917808219178,-0.8266666666666667,-0.803030303030303
PTDQ_S5-L,18.0,0.2878089924090053,1.758706946315182,0.3442684766214177,0.1631633714880334,0.0513343870203161,0.2207990951129444,0.0142857142857142,-0.0909090909090909,-0.1504854368932039,-0.2045454545454545,-0.1935483870967741,-0.1764705882352941,-0.146341463414634,-0.1566265060240964,-0.2134831460674158,-0.2222222222222222,-0.1116751269035533,-0.1504854368932039,-0.0437158469945355,0.2411347517730497,0.2411347517730497,0.2152777777777779,0.2455516014234875,0.25,0.2867647058823528,0.25,0.1363636363636362,0.1705685618729095,0.1589403973509933,0.1744966442953019,0.2323943661971832,0.4957264957264957,0.5765765765765765,0.6055045871559632,0.5350877192982457,0.6666666666666665,1.397260273972603,1.7559055118110236,1.4647887323943665,1.4305555555555558,1.4647887323943665,1.845528455284553,0.5217391304347827,0.25,0.1666666666666667,0.0479041916167666,0.0447761194029849,0.0385756676557862,0.0479041916167666,0.0355029585798816,0.0479041916167666,-0.0112994350282485,0.0670731707317073,0.0144927536231882,0.3565891472868217
PTEH_45-L,8.0,0.0732652342374074,0.0424271819875934,0.106881968473664,0.0302150816273645,0.0062419466872068,0.0320010941660968,-0.0588235294117647,0.0625,-0.0555555555555554,-0.1052631578947368,-0.15,0.0625,0.1333333333333335,0.0,0.0,0.2142857142857142,0.3076923076923077,0.7,0.7,0.7,0.1333333333333335,0.7,0.4166666666666667,0.4166666666666667,-0.0555555555555554,-0.3703703703703703,-0.3461538461538461,-0.3199999999999999,-0.4137931034482758,-0.5,-0.5,-0.4848484848484848,-0.46875,-0.46875,-0.5277777777777777,-0.6136363636363635,-0.5142857142857142,-0.5853658536585366,-0.5952380952380951,-0.6599999999999999,-0.6599999999999999,-0.6909090909090909,-0.734375,-0.782051282051282,-0.782051282051282,-0.8023255813953488,-0.8111111111111111,-0.8191489361702128,-0.7976190476190476,-0.8191489361702128,-0.83,-0.8508771929824561,-0.8650793650793651,-0.8811188811188811,-0.8851351351351351
PTER_P8-L^C23,5.0,-0.1628310504279977,-0.0294520935367283,-0.1011712937544261,-0.1831789158994117,0.0042882121923623,13.871707590443988,0.0,-0.0555555555555554,-0.1052631578947368,-0.15,-0.1052631578947368,-0.15,-0.1052631578947368,-0.0555555555555554,-0.1052631578947368,-0.1052631578947368,-0.0555555555555554,-0.1052631578947368,-0.0555555555555554,-0.1052631578947368,-0.1052631578947368,-0.0555555555555554,-0.1052631578947368,-0.2272727272727271,-0.1052631578947368,0.3076923076923077,0.2142857142857142,0.2142857142857142,0.0625,0.2142857142857142,-0.0555555555555554,-0.0555555555555554,0.2142857142857142,0.5454545454545456,0.5454545454545456,0.4166666666666667,1.125,1.4285714285714284,0.1333333333333335,1.4285714285714284,1.4285714285714284,0.8888888888888891,-0.4333333333333332,-0.5853658536585366,-0.6222222222222222,-0.5952380952380951,-0.6909090909090909,-0.6666666666666666,-0.6909090909090909,-0.7017543859649122,-0.711864406779661,-0.7424242424242424,-0.679245283018868,-0.6851851851851851,-0.6851851851851851
PTFJ_76-L,8.0,0.1438866339101333,-0.0968724886150549,-0.0091160334942045,1.1084048920114495,0.0024989379974666,-0.0427413721381163,0.0,0.0,-0.1,-0.1818181818181818,-0.25,-0.1818181818181818,-0.25,-0.1818181818181818,-0.4,-0.1,-0.25,-0.25,-0.25,-0.25,-0.3076923076923077,-0.3571428571428572,-0.25,-0.3076923076923077,-0.3571428571428572,-0.25,-0.25,-0.25,-0.3076923076923077,-0.25,-0.3076923076923077,-0.5,-0.4375,-0.5,-0.1818181818181818,-0.25,-0.1,-0.1818181818181818,-0.3076923076923077,-0.3076923076923077,-0.25,-0.25,-0.5263157894736843,-0.5,-0.4705882352941177,-0.55,-0.5909090909090909,-0.6538461538461539,-0.6785714285714286,-0.6538461538461539,-0.7096774193548387,-0.71875,-0.7352941176470589,-0.7631578947368421,-0.7857142857142857
PTJR_6M-L^G17,9.0,0.6544026457213723,0.5597913322632424,9.983333333333324,0.1669565217391306,0.0150599177889517,0.1250883126875731,0.0,0.142857142857143,0.2121212121212121,0.3333333333333335,0.4814814814814814,0.5384615384615385,0.5384615384615385,1.0,1.0,1.5,1.5,1.5,1.5,1.666666666666667,1.8571428571428568,1.8571428571428568,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.3529411764705883,1.5,1.0,0.8181818181818183,1.2222222222222223,1.2222222222222223,1.0,1.0,0.8181818181818183,1.2222222222222223,0.8181818181818183,1.5,0.7391304347826086,0.7391304347826086,0.5384615384615385,0.4285714285714286,0.5384615384615385,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.3333333333333335,0.1764705882352941,0.1764705882352941,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.0476190476190475
PTLE_C3-L^F17,7.0,0.0490245339247348,0.0365490076601671,0.1477754237288135,0.0223571868673531,0.0030787838658047,-2.970214926383483,-0.081081081081081,-0.1868131868131868,-0.3620689655172413,-0.3620689655172413,-0.2952380952380953,-0.26,-0.2210526315789474,-0.2210526315789474,-0.2448979591836735,-0.2952380952380953,-0.1956521739130435,-0.159090909090909,-0.4637681159420289,-0.513157894736842,-0.408,-0.5066666666666666,-0.5888888888888889,-0.655813953488372,-0.5595238095238095,-0.6205128205128205,-0.5934065934065934,-0.4896551724137931,-0.5647058823529412,-0.6205128205128205,-0.5515151515151515,-0.408,-0.26,-0.3272727272727274,-0.4518518518518519,0.2333333333333334,-0.26,1.1142857142857143,1.4666666666666668,-0.5375000000000001,-0.63,-0.6711111111111111,-0.8216867469879519,-0.8474226804123711,-0.8442105263157895,-0.827906976744186,-0.8603773584905661,-0.8654545454545455,-0.8724137931034482,-0.8825396825396825,-0.8861538461538462,-0.8986301369863013,-0.8986301369863013,-0.9159090909090908,-0.928846153846154
