,0
2006-06,-0.0008850726059987784
2006-07,0.0050348971263049725
2006-08,0.008412051906564027
2006-09,0.00652509631474126
2006-10,-0.0019757971531241
2006-11,-0.004863282403083613
2006-12,0.0074798523046234605
2007-01,0.00202969023940576
2007-02,-0.002424153130833817
2007-03,0.0018975255628299215
2007-04,-0.00671661709286499
2007-05,-0.001805585288231333
2007-06,-0.008579998330194853
2007-07,-0.009704531835530193
2007-08,0.026773659682323318
2007-09,0.0004629183858699628
2007-10,-0.005451524274828647
2007-11,-0.0015627949880276048
2007-12,-0.0010330994015979216
2008-01,0.031462750541517426
2008-02,0.01862628567945145
2008-03,0.01182591346501499
2008-04,0.01893645347965173
2008-05,0.005730579027216814
2008-06,-0.039640814432824086
2008-07,0.0473682054997468
2008-08,0.005734008981241558
